date,open,high,low,close,volume
2016-09-15,10.06,10.21,10.02,10.20,13745832
2016-09-16,10.11,10.12,9.96,10.02,12360916
2016-09-19,10.08,10.18,10.06,10.14,8783728
2016-09-20,10.18,10.18,9.98,9.98,8283832
2016-09-21,9.99,10.08,9.98,10.06,9729292
2016-09-22,10.14,10.19,10.12,10.14,7390192
2016-09-23,10.10,10.18,10.07,10.11,6754400
2016-09-26,10.05,10.11,10.04,10.05,5547804
2016-09-27,10.01,10.11,10.01,10.10,6687412
2016-09-28,10.13,10.23,10.09,10.22,5439624
2016-09-29,10.18,10.31,10.10,10.21,6761168
2016-09-30,10.25,10.50,10.23,10.45,12958504
2016-10-03,10.39,10.57,10.37,10.54,12450436
2016-10-04,10.57,10.59,10.32,10.36,6206444
2016-10-05,10.43,10.52,10.42,10.48,6010428
2016-10-06,10.46,10.70,10.45,10.68,8305464
2016-10-07,10.62,10.69,10.54,10.57,11550648
2016-10-10,10.62,10.63,10.50,10.53,19564364
2016-10-11,10.42,10.69,9.92,9.99,28277736
2016-10-12,9.96,9.96,9.76,9.77,18304884
2016-10-13,9.71,9.71,9.48,9.59,19317848
2016-10-14,9.53,9.66,9.43,9.59,13472100
2016-10-17,9.58,9.64,9.54,9.57,10816280
2016-10-18,9.66,9.70,9.47,9.54,8626692
2016-10-19,9.56,9.74,9.51,9.73,13074960
2016-10-20,9.73,9.78,9.69,9.70,9026460
2016-10-21,9.58,9.62,9.49,9.59,6654488
2016-10-24,9.65,9.77,9.59,9.73,9690904
2016-10-25,9.71,9.74,9.62,9.66,7461340
2016-10-26,9.63,9.85,9.61,9.76,6916420
2016-10-27,9.77,9.78,9.59,9.61,5001260
2016-10-28,9.62,9.75,9.61,9.69,4859444
2016-10-31,9.73,9.76,9.67,9.74,7050692
2016-11-01,9.77,9.78,9.55,9.60,6641220
2016-11-02,9.62,9.65,9.52,9.56,9070184
2016-11-03,9.60,9.65,9.54,9.65,8957184
2016-11-04,9.68,9.95,9.67,9.86,14349472
2016-11-07,9.98,10.16,9.98,10.15,11646880
2016-11-08,10.14,10.26,10.05,10.15,8058132
2016-11-09,9.99,10.99,9.95,10.90,22909944
2016-11-10,10.99,11.32,10.99,11.23,22311432
2016-11-11,11.19,11.27,10.86,11.07,20075868
2016-11-14,11.12,11.36,11.10,11.28,15919360
2016-11-15,11.30,11.31,11.18,11.27,10172308
2016-11-16,11.26,11.30,11.19,11.27,9585264
2016-11-17,11.26,11.34,11.20,11.24,11558624
2016-11-18,11.23,11.27,11.18,11.20,7436896
2016-11-21,11.25,11.32,11.20,11.31,8146312
2016-11-22,11.35,11.49,11.29,11.48,10055548
2016-11-23,11.50,11.63,11.43,11.56,7692372
2016-11-25,11.55,11.59,11.50,11.59,2153452
2016-11-28,11.57,11.63,11.49,11.59,8892500
2016-11-29,11.57,11.79,11.54,11.75,13706696
2016-11-30,11.80,11.97,11.72,11.85,14780048
2016-12-01,11.88,12.09,11.82,11.87,14631104
2016-12-02,11.89,12.00,11.80,11.96,14324136
2016-12-05,12.12,12.30,12.04,12.14,25085496
2016-12-06,11.98,12.11,11.80,12.07,20751640
2016-12-07,12.07,12.31,11.96,12.29,12621448
