date,open,high,low,close,volume
2021-01-04,70.29,70.93,66.73,66.97,260948
2021-01-05,65.81,67.94,65.81,66.44,211523
2021-01-06,67.62,68.44,64.58,64.80,539513
2021-01-07,65.35,65.72,63.20,63.53,336434
2021-01-08,63.54,63.54,61.28,62.26,411484
2021-01-11,61.76,62.54,60.25,60.81,715143
2021-01-12,60.96,61.53,59.13,60.06,1029112
2021-01-13,60.06,60.55,58.78,59.20,265748
2021-01-14,59.44,60.80,59.21,59.98,629882
2021-01-15,59.68,60.30,59.08,59.50,563580
2021-01-19,59.89,59.89,56.98,58.16,404194
2021-01-20,58.47,59.13,57.49,59.04,339590
2021-01-21,58.63,59.09,57.62,58.52,154739
2021-01-22,57.93,58.71,57.52,58.41,192358
2021-01-25,57.92,58.76,56.74,58.15,290633
2021-01-26,58.48,58.86,57.73,58.64,272646
2021-01-27,57.73,58.69,55.24,55.69,561590
2021-01-28,57.45,59.03,54.85,58.68,782232
2021-01-29,57.76,59.80,57.43,58.88,563959
2021-02-01,59.23,59.23,57.19,57.67,350554
2021-02-02,58.13,58.31,56.82,57.81,363640
2021-02-03,57.58,59.08,56.85,58.68,309178
2021-02-04,57.79,60.13,57.79,59.47,340531
2021-02-05,60.13,61.27,59.60,60.89,208109
2021-02-08,61.01,62.64,60.95,62.57,232657
2021-02-09,62.64,62.64,61.30,61.66,325889
2021-02-10,61.26,62.97,61.26,62.53,345475
2021-02-11,62.26,63.20,61.48,62.65,284533
2021-02-12,62.32,63.51,62.18,62.55,256136
2021-02-16,62.04,64.27,62.04,63.33,274391
2021-02-17,63.18,64.72,62.63,62.70,466927
2021-02-18,62.67,63.32,61.70,63.15,311728
2021-02-19,63.17,63.77,62.58,62.82,149721
2021-02-22,62.53,63.82,62.29,63.57,161258
2021-02-23,63.64,64.61,62.93,64.41,227711
2021-02-24,64.77,66.20,64.28,66.10,219123
2021-02-25,66.21,66.62,64.74,65.33,208014
2021-02-26,65.22,65.22,63.31,63.32,199050
2021-03-01,64.48,65.22,63.46,64.90,186529
2021-03-02,64.65,65.06,63.37,64.44,168275
2021-03-03,64.79,66.11,64.79,65.45,175815
2021-03-04,65.70,68.02,65.46,66.79,351583
2021-03-05,67.66,68.67,67.01,68.59,295826
2021-03-08,69.15,69.44,65.86,67.32,230975
2021-03-09,67.26,67.47,65.01,67.02,210891
2021-03-10,67.46,68.19,66.80,67.66,197393
2021-03-11,67.55,69.05,66.81,69.00,161957
2021-03-12,69.39,69.98,67.99,68.47,257561
2021-03-15,68.52,69.06,66.71,68.70,335435
2021-03-16,68.24,69.31,66.96,68.99,175755
2021-03-17,69.13,69.49,68.44,69.36,151224
2021-03-18,69.42,69.60,68.59,69.03,372257
2021-03-19,68.96,68.96,63.72,63.88,816928
2021-03-22,63.51,65.17,63.34,64.88,245994
2021-03-23,64.23,65.33,64.02,64.67,219648
2021-03-24,65.13,66.76,65.13,65.91,197928
2021-03-25,65.85,67.53,64.75,67.21,153322
2021-03-26,67.88,68.82,67.02,68.46,191073
2021-03-29,67.76,69.05,65.11,65.13,228862
2021-03-30,65.36,67.71,64.41,65.48,132841
2021-03-31,66.35,66.48,64.40,65.67,220627
2021-04-01,65.91,67.91,65.69,67.74,141246
2021-04-05,68.00,68.46,67.53,67.88,134254
2021-04-06,67.44,68.09,67.34,67.54,172201
2021-04-07,68.02,68.02,65.29,65.36,116675
2021-04-08,65.64,66.09,65.28,65.85,139771
2021-04-09,65.85,67.12,65.00,67.00,172880
2021-04-12,67.19,68.35,66.36,68.25,264604
2021-04-13,68.25,69.24,66.53,68.22,241398
2021-04-14,68.38,69.88,68.21,69.52,178214
2021-04-15,69.45,69.92,66.97,68.20,133459
2021-04-16,68.86,69.72,68.30,69.35,121788
2021-04-19,69.09,70.11,68.51,69.64,156907
2021-04-20,69.18,69.95,67.59,68.00,231397
2021-04-21,69.00,71.00,66.59,67.53,249585
2021-04-22,68.07,69.36,66.75,67.80,143631
2021-04-23,67.88,71.64,67.67,70.89,260620
2021-04-26,71.15,72.49,70.55,71.84,190320
2021-04-27,71.54,72.57,71.42,72.35,154093
