date,open,high,low,close,volume
2023-07-25,33.40,33.40,33.40,33.40,0
2023-07-26,33.40,33.40,33.40,33.40,0
2023-07-27,33.40,33.40,33.40,33.40,0
2023-07-28,33.40,33.40,33.40,33.40,0
2023-07-31,33.40,33.40,33.40,33.40,0
2023-08-01,33.40,33.40,33.40,33.40,100
2023-08-02,33.40,33.40,33.40,33.40,0
2023-08-03,33.40,33.40,33.40,33.40,0
2023-08-04,33.10,33.10,33.10,33.10,592
2023-08-07,33.10,33.10,33.10,33.10,0
2023-08-08,33.10,33.10,33.10,33.10,0
2023-08-09,33.10,33.10,33.10,33.10,0
2023-08-10,33.10,33.10,33.10,33.10,0
2023-08-11,33.10,33.10,33.10,33.10,0
2023-08-14,33.10,33.10,33.10,33.10,0
2023-08-15,33.10,33.10,33.10,33.10,0
2023-08-16,33.10,33.10,33.10,33.10,0
2023-08-17,33.10,33.10,33.10,33.10,0
2023-08-18,33.10,33.10,33.10,33.10,0
2023-08-21,34.00,34.00,34.00,34.00,115
2023-08-22,30.00,30.00,30.00,30.00,101
2023-08-23,30.00,30.00,30.00,30.00,0
2023-08-24,30.00,30.00,30.00,30.00,0
2023-08-25,30.00,30.00,30.00,30.00,0
2023-08-28,30.00,30.00,30.00,30.00,0
2023-08-29,30.00,30.00,30.00,30.00,0
2023-08-30,30.00,30.00,30.00,30.00,0
2023-08-31,30.00,30.00,30.00,30.00,0
2023-09-01,30.00,30.00,30.00,30.00,0
2023-09-05,30.00,30.00,30.00,30.00,0
2023-09-06,30.00,30.00,30.00,30.00,0
2023-09-07,31.60,31.60,31.59,31.59,370
2023-09-08,31.59,31.59,31.59,31.59,0
2023-09-11,31.59,31.59,31.59,31.59,0
2023-09-12,31.59,31.59,31.59,31.59,0
2023-09-13,31.59,31.59,31.59,31.59,0
2023-09-14,31.59,31.59,31.59,31.59,0
2023-09-15,31.59,31.59,31.59,31.59,0
2023-09-18,31.59,31.59,31.59,31.59,0
2023-09-19,31.59,31.59,31.59,31.59,0
2023-09-20,31.59,31.59,31.59,31.59,0
2023-09-21,31.59,31.59,31.59,31.59,0
2023-09-22,31.63,33.29,31.63,33.29,203
2023-09-25,33.29,33.29,33.29,33.29,0
2023-09-26,33.29,33.29,33.29,33.29,0
2023-09-27,33.29,33.29,33.29,33.29,0
2023-09-28,33.29,33.29,33.29,33.29,0
2023-09-29,30.35,30.35,30.35,30.35,200
2023-10-02,30.35,30.35,30.35,30.35,0
2023-10-03,30.00,30.00,30.00,30.00,210
2023-10-04,29.50,29.50,29.50,29.50,200
2023-10-05,29.50,29.50,29.50,29.50,0
2023-10-06,29.50,29.50,29.50,29.50,0
2023-10-09,29.50,29.50,29.50,29.50,0
2023-10-10,29.94,29.94,29.55,29.55,300
2023-10-11,29.55,29.55,29.55,29.55,0
2023-10-12,29.55,29.55,29.55,29.55,0
2023-10-13,32.79,32.79,32.79,32.79,200
2023-10-16,32.79,32.79,32.79,32.79,0
2023-10-17,32.50,32.50,32.50,32.50,100
2023-10-18,32.50,32.50,32.50,32.50,0
2023-10-19,32.50,32.50,32.50,32.50,0
2023-10-20,32.50,32.50,32.50,32.50,0
2023-10-23,32.50,32.50,32.50,32.50,0
2023-10-24,32.50,32.50,32.50,32.50,0
2023-10-25,32.50,32.50,32.50,32.50,0
2023-10-26,32.50,32.50,32.50,32.50,0
2023-10-27,32.50,32.50,32.50,32.50,0
2023-10-30,32.50,32.50,32.50,32.50,0
2023-10-31,32.50,32.50,32.50,32.50,0
2023-11-01,32.50,32.50,32.50,32.50,0
2023-11-02,32.50,32.50,32.50,32.50,0
2023-11-03,32.50,32.50,32.50,32.50,0
2023-11-06,32.50,32.50,32.50,32.50,0
2023-11-07,32.50,32.50,32.50,32.50,0
2023-11-08,32.50,32.50,32.50,32.50,0
2023-11-09,32.50,32.50,32.50,32.50,0
2023-11-10,32.50,32.50,32.50,32.50,0
2023-11-13,32.50,32.50,32.50,32.50,0
2023-11-14,32.50,32.50,32.50,32.50,0
2023-11-15,32.50,32.50,32.50,32.50,0
2023-11-16,32.50,32.50,32.50,32.50,0
2023-11-17,38.07,38.07,38.07,38.07,150
2023-11-20,32.82,32.86,32.82,32.86,641
2023-11-21,32.86,32.86,32.86,32.86,0
2023-11-22,32.86,32.86,32.86,32.86,0
2023-11-24,32.86,32.86,32.86,32.86,0
2023-11-27,32.86,32.86,32.86,32.86,0
2023-11-28,32.86,32.86,32.86,32.86,0
2023-11-29,32.86,32.86,32.86,32.86,0
2023-11-30,32.86,32.86,32.86,32.86,0
2023-12-01,32.86,32.86,32.86,32.86,0
2023-12-04,32.86,32.86,32.86,32.86,0
2023-12-05,32.86,32.86,32.86,32.86,0
2023-12-06,32.86,32.86,32.86,32.86,0
2023-12-07,32.86,32.86,32.86,32.86,0
2023-12-08,32.86,32.86,32.86,32.86,0
2023-12-11,32.86,32.86,32.86,32.86,0
2023-12-12,32.86,32.86,32.86,32.86,0
2023-12-13,32.86,32.86,32.86,32.86,0
2023-12-14,35.41,35.41,35.41,35.41,216
2023-12-15,35.41,35.41,35.41,35.41,0
2023-12-18,35.41,35.41,35.41,35.41,0
2023-12-19,35.41,35.41,35.41,35.41,0
2023-12-20,35.41,35.41,35.41,35.41,0
2023-12-21,35.41,35.41,35.41,35.41,0
2023-12-22,35.41,35.41,35.41,35.41,0
2023-12-26,35.41,35.41,35.41,35.41,0
2023-12-27,35.41,35.41,35.41,35.41,0
2023-12-28,35.41,35.41,35.41,35.41,0
2023-12-29,35.41,35.41,35.41,35.41,0
2024-01-02,35.41,35.41,35.41,35.41,0
2024-01-03,35.41,35.41,35.41,35.41,0
2024-01-04,35.41,35.41,35.41,35.41,0
2024-01-05,38.78,38.78,38.78,38.78,200
2024-01-08,38.78,38.78,38.78,38.78,0
2024-01-09,38.78,38.78,38.78,38.78,0
2024-01-10,38.78,38.78,38.78,38.78,0
2024-01-11,38.78,38.78,38.78,38.78,0
2024-01-12,38.78,38.78,38.78,38.78,0
2024-01-16,38.78,38.78,38.78,38.78,0
2024-01-17,38.78,38.78,38.78,38.78,0
2024-01-18,38.78,38.78,38.78,38.78,0
2024-01-19,38.00,38.00,38.00,38.00,160
2024-01-22,38.00,38.00,38.00,38.00,0
2024-01-23,38.00,38.00,38.00,38.00,0
2024-01-24,38.00,38.00,38.00,38.00,0
2024-01-25,38.00,38.00,38.00,38.00,0
2024-01-26,38.00,38.00,38.00,38.00,0
2024-01-29,38.00,38.00,38.00,38.00,0
2024-01-30,38.00,38.00,38.00,38.00,0
2024-01-31,38.00,38.00,38.00,38.00,0
2024-02-01,38.00,38.00,38.00,38.00,0
2024-02-02,38.00,38.00,38.00,38.00,0
2024-02-05,38.00,38.00,38.00,38.00,0
2024-02-06,38.00,38.00,38.00,38.00,0
2024-02-07,38.00,38.00,38.00,38.00,0
2024-02-08,38.45,38.45,38.45,38.45,188
2024-02-09,38.45,38.45,38.45,38.45,0
2024-02-12,38.45,38.45,38.45,38.45,0
2024-02-13,38.45,38.45,38.45,38.45,0
2024-02-14,37.54,37.54,37.54,37.54,433
2024-02-15,37.54,37.54,37.54,37.54,0
2024-02-16,37.54,37.54,37.54,37.54,0
2024-02-20,37.54,37.54,37.54,37.54,0
2024-02-21,37.54,37.54,37.54,37.54,0
2024-02-22,37.54,37.54,37.54,37.54,0
2024-02-23,37.54,37.54,37.54,37.54,0
2024-02-26,37.54,37.54,37.54,37.54,0
2024-02-27,37.54,37.54,37.54,37.54,0
2024-02-28,39.53,39.53,39.53,39.53,300
2024-02-29,39.53,39.53,39.53,39.53,0
2024-03-01,39.53,39.53,39.53,39.53,0
2024-03-04,39.53,39.53,39.53,39.53,0
2024-03-05,39.53,39.53,39.53,39.53,0
2024-03-06,37.07,37.07,37.07,37.07,300
2024-03-07,37.07,37.07,37.07,37.07,0
2024-03-08,37.07,37.07,37.07,37.07,0
2024-03-11,40.02,40.02,40.02,40.02,198
2024-03-12,40.02,40.02,40.02,40.02,0
2024-03-13,40.02,40.02,40.02,40.02,0
2024-03-14,40.02,40.02,40.02,40.02,0
2024-03-15,40.02,40.02,40.02,40.02,0
2024-03-18,40.02,40.02,40.02,40.02,0
2024-03-19,40.02,40.02,40.02,40.02,0
2024-03-20,40.02,40.02,40.02,40.02,0
2024-03-21,40.02,40.02,40.02,40.02,0
2024-03-22,40.02,40.02,40.02,40.02,0
2024-03-25,40.02,40.02,40.02,40.02,0
2024-03-26,40.02,40.02,40.02,40.02,0
2024-03-27,40.02,40.02,40.02,40.02,0
2024-03-28,40.02,40.02,40.02,40.02,0
2024-04-01,40.02,40.02,40.02,40.02,0
2024-04-02,40.02,40.02,40.02,40.02,0
2024-04-03,40.74,40.74,40.74,40.74,404
2024-04-04,40.74,40.74,40.74,40.74,0
2024-04-05,40.74,40.74,40.74,40.74,0
2024-04-08,38.65,38.65,37.62,37.62,4154
2024-04-09,37.64,37.64,37.64,37.64,159
2024-04-10,37.64,37.64,37.64,37.64,0
2024-04-11,37.58,37.58,37.58,37.58,300
2024-04-12,37.58,37.58,37.58,37.58,0
2024-04-15,37.58,37.58,37.58,37.58,0
2024-04-16,35.30,36.11,35.30,36.11,800
2024-04-17,36.11,36.11,36.11,36.11,0
2024-04-18,36.11,36.11,36.11,36.11,0
2024-04-19,36.11,36.11,36.11,36.11,0
2024-04-22,36.11,36.11,36.11,36.11,0
2024-04-23,36.11,36.11,36.11,36.11,0
2024-04-24,36.11,36.11,36.11,36.11,0
2024-04-25,36.12,36.12,36.12,36.12,141
2024-04-26,36.12,36.12,36.12,36.12,0
2024-04-29,36.12,36.12,36.12,36.12,0
2024-04-30,36.12,36.12,36.12,36.12,0
2024-05-01,37.60,37.60,37.60,37.60,100
2024-05-02,37.60,37.60,37.60,37.60,0
2024-05-03,39.29,39.29,39.29,39.29,100
2024-05-06,40.00,40.00,40.00,40.00,125
2024-05-07,40.34,40.34,40.34,40.34,270
2024-05-08,40.74,40.74,40.74,40.74,614
2024-05-09,47.22,48.29,38.00,40.00,94935
2024-05-10,39.00,39.00,37.00,37.50,29354
2024-05-13,38.00,38.61,37.80,37.90,8708
2024-05-14,40.00,41.02,38.96,40.40,6963
2024-05-15,40.90,42.46,40.41,41.52,131153
2024-05-16,41.04,41.21,40.18,40.49,27263
2024-05-17,40.37,41.42,40.37,40.62,7526
2024-05-20,39.61,40.59,39.60,40.00,3146
2024-05-21,40.52,40.90,39.60,40.90,80575
2024-05-22,40.40,40.40,39.61,40.12,27018
2024-05-23,40.14,40.78,39.52,40.00,86979
2024-05-24,39.74,41.70,39.26,40.21,53939
2024-05-28,39.73,40.28,39.61,40.10,6058
2024-05-29,39.60,39.60,39.20,39.60,8760
2024-05-30,39.70,40.44,39.67,40.25,8325
2024-05-31,39.87,40.49,39.44,40.49,3493
2024-06-03,39.48,40.90,39.25,40.40,7782
2024-06-04,39.42,40.10,39.42,39.91,10136
2024-06-05,39.70,40.71,39.70,40.50,4512
2024-06-06,39.95,40.08,39.87,39.87,4512
2024-06-07,39.70,40.00,39.29,39.69,6920
2024-06-10,38.85,39.40,38.73,39.40,4711
2024-06-11,38.50,44.00,37.97,41.39,19278
2024-06-12,39.53,40.45,39.53,39.90,9001
2024-06-13,39.59,40.06,39.15,39.23,6045
2024-06-14,39.28,40.24,38.78,39.35,12530
2024-06-17,38.76,38.80,38.27,38.51,26098
2024-06-18,39.33,39.60,39.02,39.02,16581
2024-06-20,39.46,39.90,38.95,39.60,20562
2024-06-21,38.78,39.20,37.92,37.92,34568
2024-06-24,39.26,39.99,38.97,39.76,23073
2024-06-25,38.98,40.38,38.98,39.80,20318
2024-06-26,39.23,40.94,39.14,39.80,63234
2024-06-27,39.34,39.72,39.11,39.30,49014
2024-06-28,39.00,39.50,38.74,38.89,13207
2024-07-01,39.46,39.60,38.90,39.00,15224
2024-07-02,38.99,40.03,38.98,39.25,66779
2024-07-03,39.79,40.78,39.79,40.18,26025
2024-07-05,40.66,41.00,40.41,40.62,11025
2024-07-08,40.71,40.90,40.53,40.65,18398
2024-07-09,39.96,39.96,39.39,39.71,16139
2024-07-10,40.04,40.83,39.97,40.31,14051
2024-07-11,41.56,42.33,41.46,41.52,23860
2024-07-12,42.02,42.60,40.81,42.31,20401
2024-07-15,42.17,42.28,41.65,41.95,15475
2024-07-16,41.54,42.03,41.50,42.01,24288
2024-07-17,41.91,42.23,41.71,42.23,17745
2024-07-18,42.16,42.28,41.78,41.91,21073
2024-07-19,41.79,41.97,41.44,41.83,16210
2024-07-22,42.41,42.67,42.16,42.56,17329
2024-07-23,42.06,42.48,41.94,42.25,51381
2024-07-24,41.87,42.22,41.69,41.74,23386
2024-07-25,41.56,42.17,41.40,41.79,30230
2024-07-26,41.42,42.12,41.42,41.72,34517
2024-07-29,41.44,41.51,41.19,41.42,39379
2024-07-30,42.04,42.91,41.79,42.54,22023
2024-07-31,40.28,40.33,39.52,39.82,44332
2024-08-01,39.55,39.70,38.76,38.80,21831
2024-08-02,39.13,39.79,39.13,39.55,15558
2024-08-05,38.78,39.25,38.39,38.53,28251
2024-08-06,38.10,38.95,38.10,38.77,32000
2024-08-07,39.13,39.71,39.13,39.30,27998
2024-08-08,38.98,39.41,38.95,39.30,31200
2024-08-09,39.23,39.40,39.10,39.34,21465
2024-08-12,39.00,39.51,39.00,39.24,27762
2024-08-13,39.60,39.99,39.60,39.93,37772
2024-08-14,39.99,40.46,39.98,40.18,13523
2024-08-15,40.30,40.77,40.10,40.22,53793
2024-08-16,39.87,40.25,39.87,40.19,65927
2024-08-19,40.57,40.82,40.57,40.71,11548
2024-08-20,40.76,41.29,40.49,40.80,4652
2024-08-21,40.55,41.04,40.55,40.77,23455
2024-08-22,40.94,40.94,40.74,40.76,12267
2024-08-23,41.05,41.80,41.03,41.75,9299
2024-08-26,41.08,41.22,40.96,41.07,26014
2024-08-27,41.05,41.26,40.97,41.08,19749
2024-08-28,41.60,41.71,40.97,41.35,29869
2024-08-29,41.25,41.59,41.25,41.28,25831
2024-08-30,41.76,42.10,41.68,42.06,38152
2024-09-03,41.81,41.84,41.09,41.16,207259
2024-09-04,41.21,41.72,41.21,41.57,18514
2024-09-05,41.97,42.05,41.70,41.79,13440
2024-09-06,42.04,42.21,41.55,41.64,19761
2024-09-09,41.84,42.34,41.81,42.12,19112
2024-09-10,41.93,41.95,41.62,41.86,22925
2024-09-11,41.40,41.42,40.96,41.19,27013
2024-09-12,41.52,41.63,41.14,41.45,26789
2024-09-13,42.30,42.37,41.90,41.96,20632
2024-09-16,41.94,42.43,41.94,42.35,26128
2024-09-17,42.76,42.86,42.52,42.82,29786
2024-09-18,42.69,42.91,41.98,42.60,34964
2024-09-19,42.73,42.84,42.51,42.69,38237
2024-09-20,42.62,42.66,42.33,42.37,34509
2024-09-23,42.66,43.00,42.66,42.86,27351
2024-09-24,42.70,43.09,42.63,42.91,66775
2024-09-25,42.95,43.18,42.79,42.79,25017
2024-09-26,43.32,43.39,43.03,43.25,31219
2024-09-27,43.45,43.75,43.20,43.31,26491
2024-09-30,43.20,43.20,42.88,43.19,50086
2024-10-01,43.30,43.30,42.54,42.93,29387
2024-10-02,42.29,42.67,42.29,42.57,28832
2024-10-03,42.25,42.41,41.72,42.14,35514
2024-10-04,39.95,41.55,39.70,40.93,71980
2024-10-07,40.69,40.89,40.45,40.59,38288
2024-10-08,40.98,41.04,40.79,40.89,47779
2024-10-09,40.61,41.29,40.61,40.68,24480
2024-10-10,41.01,41.14,40.92,41.02,20859
2024-10-11,41.15,41.23,40.96,40.99,35141
2024-10-14,41.32,41.38,41.10,41.24,46433
2024-10-15,41.88,41.95,41.51,41.66,31577
2024-10-16,42.05,42.35,42.00,42.08,52174
2024-10-17,41.99,42.15,41.70,41.98,21982
2024-10-18,42.08,42.39,42.06,42.24,84109
2024-10-21,42.01,42.08,41.22,41.34,58680
2024-10-22,41.16,41.26,40.34,41.05,43433
2024-10-23,40.99,41.32,40.99,41.17,25405
2024-10-24,40.91,41.00,40.66,40.95,26705
2024-10-25,40.37,40.69,40.33,40.33,32178
2024-10-28,40.98,41.12,40.78,41.00,30547
