date,open,high,low,close,volume
2025-07-31,85.00,124.63,84.11,115.50,64409030
2025-08-01,134.82,142.92,110.11,122.00,56350630
2025-08-04,113.92,114.28,88.60,88.60,39710100
2025-08-05,91.19,94.00,79.00,79.08,25581080
2025-08-06,76.90,91.49,76.65,90.32,28703580
2025-08-07,86.65,87.88,77.80,78.24,14153660
2025-08-08,82.54,82.60,78.00,78.11,7353690
2025-08-11,78.78,84.00,78.00,82.50,8644610
2025-08-12,84.00,90.69,83.91,87.36,10473600
2025-08-13,90.96,91.00,81.05,81.91,8138917
2025-08-14,81.50,82.94,76.00,76.31,8133858
2025-08-15,79.00,81.00,76.56,79.42,4685886
2025-08-18,79.20,80.75,75.50,76.16,4296767
2025-08-19,76.42,76.57,68.61,69.41,9025600
2025-08-20,70.00,75.15,67.00,74.04,8574041
2025-08-21,73.10,74.07,71.82,72.76,2786415
2025-08-22,73.41,78.00,72.41,77.30,4151861
2025-08-25,74.56,75.70,69.61,70.40,6761607
2025-08-26,70.88,72.20,69.30,70.13,3355410
2025-08-27,70.50,71.68,68.52,69.88,3915326
2025-08-28,70.18,72.11,69.31,71.26,3137962
2025-08-29,70.51,71.44,68.90,70.28,3420015
2025-09-02,68.96,68.96,64.55,65.57,8027796
2025-09-03,66.70,68.59,65.54,68.13,12276060
2025-09-04,55.90,57.35,53.20,54.56,29316440
2025-09-05,52.38,54.96,50.49,54.86,20813800
2025-09-08,54.17,55.32,52.40,52.47,9662785
2025-09-09,52.45,53.62,51.43,53.32,7845422
2025-09-10,53.61,55.21,50.81,51.06,9614213
2025-09-11,51.05,56.32,51.04,55.96,13224340
2025-09-12,56.06,56.30,53.00,53.07,8610960
2025-09-15,54.67,55.55,52.30,54.12,8938762
2025-09-16,54.19,55.00,52.22,53.67,5707469
2025-09-17,53.67,57.49,53.31,54.78,11400910
2025-09-18,55.48,58.88,54.66,58.41,12053100
2025-09-19,59.37,59.49,55.24,56.81,10658520
2025-09-22,56.30,59.69,55.36,58.79,9769227
2025-09-23,59.59,59.59,56.89,58.13,7677250
2025-09-24,57.50,57.70,54.80,55.21,9373614
2025-09-25,53.88,55.12,52.45,54.39,6701476
2025-09-26,53.82,54.39,52.13,52.91,7584527
2025-09-29,54.06,54.30,52.64,53.15,5645674
2025-09-30,53.65,54.50,51.34,51.87,7998420
2025-10-01,51.28,52.29,49.53,50.30,11446290
2025-10-02,51.17,52.45,51.12,51.91,6991124
2025-10-03,52.50,56.09,52.33,53.04,11308970
2025-10-06,53.46,61.75,51.10,56.96,28006340
2025-10-07,61.60,64.17,58.78,60.84,25145750
2025-10-08,63.00,71.48,62.52,71.08,27356460
2025-10-09,70.16,70.79,67.15,67.94,11430470
2025-10-10,69.67,70.40,60.76,61.06,16558790
2025-10-13,63.00,65.47,61.36,64.28,8221799
2025-10-14,62.00,62.75,60.49,60.82,7166674
2025-10-15,62.22,65.50,60.88,63.82,10656800
2025-10-16,65.15,67.68,57.43,57.79,16694310
2025-10-17,57.00,57.99,54.10,56.84,7529095
2025-10-20,58.18,58.58,54.00,55.71,7895555
2025-10-21,55.88,57.25,54.92,55.71,5368193
2025-10-22,54.72,54.85,51.10,52.81,8750192
2025-10-23,53.36,53.68,52.00,53.35,3545840
2025-10-24,54.55,55.48,53.00,53.36,4439751
2025-10-27,54.48,55.27,52.73,53.14,4333207
2025-10-28,54.75,54.75,51.82,51.89,4810107
2025-10-29,52.10,52.64,50.21,50.81,5824525
2025-10-30,50.07,50.42,48.68,48.84,6417380
2025-10-31,48.47,50.30,46.88,49.84,8198981
2025-11-03,49.95,50.04,47.43,48.17,8654474
2025-11-04,46.35,48.69,45.44,45.81,7701246
2025-11-05,46.12,46.54,43.80,44.01,14285490
2025-11-06,45.82,46.79,43.00,45.98,20916670
2025-11-07,44.52,45.02,43.00,44.25,32071000
2025-11-10,44.75,44.83,42.24,44.42,12845060
2025-11-11,43.83,44.98,42.90,44.48,9644496
2025-11-12,44.24,45.42,43.41,44.00,5308954
2025-11-13,43.21,43.31,40.02,40.56,10436000
2025-11-14,40.00,41.24,38.53,38.53,8574128
2025-11-17,37.80,38.53,36.56,37.38,14106750
2025-11-18,36.48,37.33,35.72,36.76,9129227
2025-11-19,36.59,36.70,35.50,35.74,6637141
2025-11-20,36.41,36.89,33.42,33.57,8622454
2025-11-21,33.55,34.56,32.83,34.31,7307342
2025-11-24,34.37,35.72,33.35,35.47,7173870
2025-11-25,35.01,35.63,33.50,35.50,5388310
2025-11-26,35.60,36.45,34.82,36.13,4800523
2025-11-28,36.26,36.55,35.60,35.97,2927822
2025-12-01,35.10,36.10,34.26,35.69,6044628
2025-12-02,36.10,36.86,35.83,36.18,5091779
2025-12-03,36.28,37.50,35.33,37.37,4053145
2025-12-04,37.32,39.15,36.70,38.71,6476091
2025-12-05,38.40,38.83,37.40,37.97,5004804
2025-12-08,38.00,38.07,36.64,37.65,4985442
2025-12-09,37.32,39.01,36.99,38.47,4096820
2025-12-10,38.35,40.28,38.13,39.26,6343591
2025-12-11,38.91,38.91,37.81,38.69,4020558
2025-12-12,38.67,38.68,36.01,36.07,5021802
2025-12-15,35.81,35.91,33.92,35.08,7219429
2025-12-16,34.66,36.18,34.66,35.94,4747848
2025-12-17,36.00,37.80,35.86,37.36,6076497
2025-12-18,37.88,38.49,36.57,36.99,5574374
2025-12-19,37.70,39.50,37.44,39.48,5513891
2025-12-22,40.00,40.18,38.82,39.25,4575798
2025-12-23,38.60,38.87,37.41,38.39,3861056
2025-12-24,38.30,38.93,38.11,38.86,1552759
2025-12-26,39.26,39.37,37.88,38.54,3281988
2025-12-29,37.77,38.68,37.66,37.83,3631628
2025-12-30,37.75,38.40,37.47,37.63,3604663
2025-12-31,37.05,37.65,36.53,37.37,5020669
2026-01-02,38.00,38.17,36.23,37.61,5350298
2026-01-05,38.10,38.54,36.30,37.07,7240933
2026-01-06,36.80,37.50,35.71,37.49,4985077
2026-01-07,36.83,37.90,36.44,37.26,3169788
2026-01-08,37.16,37.78,36.15,37.27,3881533
2026-01-09,37.19,38.05,35.97,37.33,4021687
2026-01-12,37.10,37.77,36.05,36.40,5117267
2026-01-13,36.09,36.53,33.03,33.56,14265800
2026-01-14,33.86,34.14,32.07,32.36,8960324
2026-01-15,32.30,32.47,31.60,31.60,7897298
2026-01-16,31.55,31.55,29.48,29.57,14904600
2026-01-20,28.18,28.79,27.48,27.76,14621780
2026-01-21,27.71,27.86,26.79,27.07,11862910
2026-01-22,27.45,28.92,27.07,28.42,12308940
2026-01-23,28.25,29.48,27.87,28.93,6581159
2026-01-26,28.94,29.69,28.22,29.17,6760355
2026-01-27,29.05,29.29,27.98,28.46,6393430
2026-01-28,28.85,30.26,28.31,30.06,7587034
2026-01-29,29.64,29.78,26.75,27.07,11330840
2026-01-30,27.00,27.12,25.91,25.92,9106346
2026-02-02,25.67,25.82,23.99,24.00,14686720
2026-02-03,23.40,23.42,20.94,21.39,25595890
2026-02-04,21.02,22.72,19.85,22.51,24193960
2026-02-05,21.83,22.97,21.42,22.20,25140340
2026-02-06,22.52,22.95,20.95,21.99,12071610
2026-02-09,21.54,22.43,20.94,22.13,8852053
2026-02-10,22.23,25.17,21.90,24.10,27066920
2026-02-11,23.68,23.69,22.17,22.57,12262360
2026-02-12,22.60,22.84,21.15,22.02,9605399
2026-02-13,22.47,23.37,22.17,22.53,9365177
2026-02-17,23.00,23.58,21.96,23.10,12748240
2026-02-18,23.11,24.85,22.84,24.19,25278150
2026-02-19,26.00,26.50,23.28,25.86,65989890
2026-02-20,25.49,28.42,25.07,26.09,42577660
2026-02-23,25.20,25.23,23.45,24.75,26505050
2026-02-24,24.75,27.52,24.74,27.43,23545440
2026-02-25,28.48,31.64,28.48,31.24,28113710
2026-02-26,30.42,32.65,29.87,30.22,26026580
2026-02-27,28.59,29.97,28.50,29.39,13065840
2026-03-02,28.50,29.89,28.28,29.29,12043710
2026-03-03,28.47,30.90,27.95,30.74,12243970
2026-03-04,30.57,31.30,29.52,29.64,12027290
2026-03-05,29.58,31.94,29.15,30.30,14166640
2026-03-06,29.61,29.70,28.72,29.11,8577928
2026-03-09,28.70,30.66,28.59,30.48,12913280
2026-03-10,30.10,30.30,28.24,28.35,10292000
2026-03-11,28.60,29.77,27.66,27.84,8962961
2026-03-12,27.89,28.50,26.14,26.17,9542983
2026-03-13,26.20,26.77,25.43,26.03,9088016
2026-03-16,26.32,27.20,26.24,27.16,8788735
