date,open,high,low,close,volume
2021-01-04,75.81,77.73,74.76,75.12,243752
2021-01-05,75.39,75.91,74.36,74.87,258686
2021-01-06,74.87,76.52,74.38,75.61,610974
2021-01-07,75.65,76.03,73.91,74.27,485019
2021-01-08,74.35,76.10,74.17,75.29,341504
2021-01-11,74.50,75.17,73.87,75.07,1041138
2021-01-12,75.39,75.87,74.70,75.80,551457
2021-01-13,75.60,75.93,75.00,75.01,402319
2021-01-14,75.34,77.40,75.06,76.89,725052
2021-01-15,76.86,76.86,75.33,75.75,661976
2021-01-19,75.61,76.28,73.88,74.84,1003847
2021-01-20,75.18,75.18,73.61,74.03,1370609
2021-01-21,74.25,74.89,73.72,74.11,248824
2021-01-22,73.30,73.81,72.07,73.74,281264
2021-01-25,73.74,74.86,72.29,74.75,410455
2021-01-26,75.26,75.26,73.48,74.42,331100
2021-01-27,73.06,73.99,72.29,73.41,540037
2021-01-28,73.70,73.73,71.72,72.68,781661
2021-01-29,72.29,72.36,67.81,68.05,1000212
2021-02-01,68.43,69.00,67.83,68.80,854096
2021-02-02,69.74,70.04,68.55,68.75,1094840
2021-02-03,68.90,69.35,68.15,68.32,539972
2021-02-04,68.47,69.65,67.74,69.01,635353
2021-02-05,69.54,70.83,68.77,69.55,334769
2021-02-08,69.24,69.99,68.58,69.00,327692
2021-02-09,68.73,70.85,68.62,69.98,749773
2021-02-10,70.04,71.25,70.04,70.66,447889
2021-02-11,70.54,71.15,68.32,68.95,379226
2021-02-12,68.93,70.11,68.60,69.73,221101
2021-02-16,70.10,71.29,69.20,71.26,497104
2021-02-17,71.13,71.14,70.30,70.70,799979
2021-02-18,70.10,70.97,69.70,70.49,504076
2021-02-19,70.86,72.01,70.29,70.45,606953
2021-02-22,70.00,71.09,69.47,69.60,460716
2021-02-23,69.61,70.73,68.83,69.68,457487
2021-02-24,69.97,70.85,68.94,70.31,712126
2021-02-25,69.90,70.61,68.21,68.32,1020765
2021-02-26,68.63,69.36,67.91,68.50,504475
2021-03-01,68.91,70.39,68.55,69.53,445499
2021-03-02,69.52,70.94,69.30,70.34,364698
2021-03-03,70.23,70.62,69.46,69.56,486128
2021-03-04,70.19,72.48,69.55,72.17,664513
2021-03-05,72.74,74.63,72.53,73.70,714752
2021-03-08,73.68,74.53,72.64,73.08,812735
2021-03-09,74.93,75.18,73.29,73.29,704254
2021-03-10,73.88,74.66,73.44,74.65,472094
2021-03-11,74.42,76.16,74.25,75.63,268365
2021-03-12,75.30,75.69,73.61,74.01,381649
2021-03-15,74.05,74.35,73.24,73.88,424089
2021-03-16,73.77,75.64,73.73,75.47,395302
2021-03-17,75.53,75.95,74.13,74.86,544254
2021-03-18,74.29,75.33,74.06,74.48,394628
2021-03-19,74.48,75.97,74.48,75.64,445656
2021-03-22,75.13,75.93,74.90,75.45,372485
2021-03-23,75.51,75.51,74.60,75.06,672402
2021-03-24,75.14,76.60,74.57,75.42,422033
2021-03-25,75.20,75.88,74.76,75.57,411801
2021-03-26,76.26,76.26,74.30,74.74,488722
2021-03-29,74.50,76.81,74.07,76.42,331689
2021-03-30,76.50,76.77,75.62,76.33,304643
2021-03-31,76.10,76.87,74.94,75.33,577035
2021-04-01,75.53,76.92,75.53,76.87,499575
2021-04-05,77.69,79.06,76.73,78.58,365012
2021-04-06,78.57,80.83,78.57,80.78,396441
2021-04-07,80.70,80.84,79.42,79.73,343908
2021-04-08,79.94,81.18,79.69,81.00,318360
