date,open,high,low,close,volume
2021-01-04,130.08,132.34,127.66,131.76,1176633
2021-01-05,132.86,133.15,130.28,132.43,561819
2021-01-06,130.50,132.63,128.84,131.20,605186
2021-01-07,130.48,131.57,128.75,131.39,435032
2021-01-08,128.92,129.75,125.53,128.30,697390
2021-01-11,126.59,128.83,126.26,126.36,514191
2021-01-12,126.42,127.49,125.30,127.14,437870
2021-01-13,126.64,127.34,125.13,125.61,478623
2021-01-14,125.60,126.25,123.62,123.70,390454
2021-01-15,123.20,123.85,121.06,121.20,491776
2021-01-19,121.88,122.58,120.44,121.29,523170
2021-01-20,122.72,125.82,122.46,124.80,765822
2021-01-21,124.99,125.27,123.29,124.32,445115
2021-01-22,122.34,124.63,121.40,123.29,351850
2021-01-25,123.56,125.77,122.33,122.90,444793
2021-01-26,122.76,124.53,122.35,123.54,638602
2021-01-27,123.10,123.36,120.66,120.97,682959
2021-01-28,122.46,124.42,120.56,121.58,895738
2021-01-29,124.01,124.01,118.77,119.33,877226
2021-02-01,122.61,123.35,120.68,122.67,815970
2021-02-02,120.81,122.61,120.50,121.08,540928
2021-02-03,120.60,121.50,119.97,120.97,626678
2021-02-04,118.56,120.58,117.66,119.64,821494
2021-02-05,119.27,121.10,119.27,121.06,461485
2021-02-08,122.70,122.95,121.62,122.50,650265
2021-02-09,123.00,123.87,122.19,123.60,474023
2021-02-10,125.00,125.36,123.21,124.41,443461
2021-02-11,124.50,124.78,122.47,122.89,368575
2021-02-12,122.16,122.46,120.69,121.16,466960
2021-02-16,120.02,121.85,119.13,119.26,724897
2021-02-17,118.02,118.03,113.31,114.56,1194469
2021-02-18,114.80,115.78,112.80,113.37,764723
2021-02-19,112.86,113.56,110.58,111.26,1015154
2021-02-22,112.74,116.95,112.26,116.49,782900
2021-02-23,115.42,115.88,112.06,112.20,670790
2021-02-24,110.82,114.93,109.70,113.77,608310
2021-02-25,112.67,114.05,109.97,111.22,641208
2021-02-26,110.33,110.99,106.75,107.02,914838
2021-03-01,107.70,109.29,105.62,106.16,1048238
2021-03-02,106.68,112.17,106.53,111.17,998611
2021-03-03,109.01,109.03,105.64,108.01,1731416
2021-03-04,107.60,110.90,106.97,108.49,1307848
2021-03-05,108.34,109.75,106.21,109.47,696861
2021-03-08,110.02,110.85,108.83,108.92,841556
2021-03-09,112.43,114.92,111.59,111.67,951811
2021-03-10,112.29,113.44,110.21,113.04,2021646
2021-03-11,115.06,119.00,115.06,118.69,1565062
2021-03-12,117.02,120.76,115.85,120.57,973826
2021-03-15,121.62,123.00,120.77,122.66,1150806
2021-03-16,122.99,123.98,121.92,123.37,795119
2021-03-17,122.75,125.29,121.71,124.31,829657
2021-03-18,122.41,124.76,122.34,123.32,816411
2021-03-19,123.38,124.42,122.93,124.33,1945137
2021-03-22,123.03,124.64,123.03,123.44,650980
2021-03-23,122.75,124.06,122.23,123.24,703963
2021-03-24,123.08,123.51,121.90,122.18,793884
2021-03-25,121.75,122.39,121.20,121.56,636197
2021-03-26,122.34,123.67,121.23,123.40,575070
2021-03-29,122.97,125.71,122.53,125.57,592742
2021-03-30,122.61,125.16,122.61,123.89,850483
2021-03-31,124.56,126.30,123.51,125.29,671563
2021-04-01,126.77,129.95,126.25,129.91,836902
2021-04-05,130.10,131.94,129.30,130.74,640909
2021-04-06,130.84,133.15,130.61,131.96,659613
2021-04-07,131.57,131.95,130.82,131.42,392717
2021-04-08,133.00,133.85,132.51,133.43,478036
2021-04-09,131.91,135.39,131.69,135.17,545519
2021-04-12,135.00,135.00,133.77,134.05,435134
2021-04-13,134.91,135.87,133.38,133.65,542367
2021-04-14,133.62,133.82,132.62,132.96,341953
2021-04-15,134.77,137.76,134.44,136.52,645366
2021-04-16,138.29,138.29,135.98,137.12,453824
2021-04-19,137.00,137.92,136.26,136.79,468295
2021-04-20,136.82,140.40,136.73,138.76,537641
2021-04-21,139.00,142.15,139.00,141.83,453069
2021-04-22,141.09,142.74,140.27,141.63,438766
2021-04-23,143.07,143.24,141.62,142.66,325034
2021-04-26,143.00,143.18,141.32,141.90,282554
2021-04-27,141.78,142.30,140.20,140.43,351260
2021-04-28,139.24,142.62,138.08,142.00,444336
2021-04-29,141.55,141.57,139.15,140.49,302748
2021-04-30,140.04,140.76,139.13,139.24,326749
2021-05-03,141.09,143.28,140.39,142.76,546201
2021-05-04,141.90,144.29,141.16,142.07,487718
2021-05-05,142.97,144.36,142.12,143.96,551083
2021-05-06,144.99,148.64,144.49,146.13,802304
2021-05-07,147.57,148.54,146.48,147.88,605126
2021-05-10,149.75,150.20,147.95,148.32,495921
2021-05-11,145.86,148.83,145.15,148.35,356793
2021-05-12,149.40,149.47,146.86,147.00,570779
2021-05-13,146.43,148.56,145.13,147.55,298534
