date,open,high,low,close,volume
2021-01-04,43.38,44.59,42.27,42.70,459561
2021-01-05,42.49,44.13,42.35,43.19,555741
2021-01-06,43.00,44.30,42.82,43.73,576475
2021-01-07,44.12,45.64,43.69,45.48,542557
2021-01-08,46.49,46.75,44.51,44.74,497123
2021-01-11,44.18,45.61,43.25,45.50,346798
2021-01-12,46.16,47.07,45.77,46.45,483054
2021-01-13,46.47,46.78,45.67,45.86,265512
2021-01-14,47.24,50.28,47.09,49.54,838407
2021-01-15,49.13,49.38,47.92,48.82,571222
2021-01-19,50.09,50.57,49.27,49.86,400181
2021-01-20,50.25,50.45,48.01,48.55,341847
2021-01-21,49.13,49.97,47.68,48.33,311071
2021-01-22,47.86,49.44,47.27,49.29,438253
2021-01-25,49.90,50.15,48.06,48.52,268657
2021-01-26,47.75,47.87,46.12,46.35,370980
2021-01-27,45.00,45.63,42.66,43.02,529938
2021-01-28,43.07,43.85,42.06,43.00,509498
2021-01-29,42.62,42.70,40.50,40.87,584505
2021-02-01,41.14,42.93,41.02,42.49,386759
2021-02-02,43.26,44.61,42.52,44.50,457440
2021-02-03,44.56,44.74,42.07,42.59,446325
2021-02-04,44.26,45.25,42.79,44.91,608375
2021-02-05,45.50,45.74,44.50,45.63,477278
2021-02-08,45.44,46.42,44.93,46.25,428322
2021-02-09,45.84,46.54,45.36,46.08,428662
2021-02-10,46.11,46.75,45.72,45.98,458816
2021-02-11,46.66,48.46,46.50,48.38,456884
2021-02-12,48.07,50.46,47.56,50.40,503597
2021-02-16,50.99,52.39,50.52,50.92,878484
2021-02-17,49.71,50.17,47.46,48.83,371402
2021-02-18,48.11,48.25,46.71,47.44,276590
2021-02-19,47.97,49.49,47.90,49.16,346281
2021-02-22,48.53,48.55,46.92,47.45,265408
2021-02-23,46.06,47.13,44.55,46.85,380231
2021-02-24,46.53,48.98,46.06,48.68,333141
2021-02-25,48.10,48.26,44.63,44.83,331316
2021-02-26,44.70,46.26,43.66,45.37,465371
2021-03-01,46.39,48.47,45.75,48.39,396266
2021-03-02,48.58,48.58,45.21,45.28,1133070
2021-03-03,45.75,46.15,44.05,44.07,432515
2021-03-04,43.59,43.92,40.20,41.21,826129
2021-03-05,42.51,43.19,40.50,42.92,902575
2021-03-08,42.79,43.44,40.74,40.79,600966
2021-03-09,42.18,44.44,42.18,43.73,446260
2021-03-10,44.86,45.10,43.18,43.18,308277
2021-03-11,44.69,45.38,44.41,45.30,354445
2021-03-12,44.78,45.45,43.90,45.06,316745
2021-03-15,44.90,45.70,44.50,45.27,484414
2021-03-16,45.78,47.13,45.32,46.63,479348
2021-03-17,45.13,47.18,44.63,46.68,319180
2021-03-18,45.60,45.87,43.96,44.09,303720
2021-03-19,44.23,45.84,43.30,43.68,932767
2021-03-22,44.35,45.21,43.73,44.16,332492
2021-03-23,44.04,44.18,41.75,42.24,455475
2021-03-24,44.05,45.19,42.40,42.42,1001738
2021-03-25,40.99,42.87,40.27,42.52,527750
2021-03-26,42.42,45.45,42.18,45.40,576921
2021-03-29,44.67,45.20,42.15,42.61,451061
2021-03-30,42.13,43.25,41.91,42.82,315175
2021-03-31,43.52,45.73,43.45,45.11,595639
2021-04-01,46.21,49.75,46.21,49.75,678504
2021-04-05,50.10,51.36,49.09,51.12,484625
2021-04-06,50.83,51.37,49.81,50.55,311630
2021-04-07,50.90,51.03,49.59,49.68,216190
2021-04-08,50.70,51.08,49.19,50.81,249544
2021-04-09,50.50,51.03,50.21,50.85,333424
2021-04-12,50.39,50.51,49.42,50.05,243475
2021-04-13,50.69,51.05,48.61,49.31,302414
2021-04-14,49.39,50.11,48.43,48.91,255811
2021-04-15,49.98,49.98,48.58,49.37,241615
2021-04-16,49.68,49.79,48.50,49.37,232453
2021-04-19,49.07,49.36,46.81,47.87,298848
2021-04-20,47.67,48.38,46.16,46.53,251925
2021-04-21,46.79,48.53,46.52,48.49,262333
2021-04-22,48.49,48.96,47.53,47.58,265291
2021-04-23,48.17,49.64,48.17,48.96,273411
2021-04-26,49.98,50.48,49.29,49.56,335219
2021-04-27,50.17,50.17,48.43,48.66,210073
2021-04-28,47.94,48.63,46.87,47.97,361471
2021-04-29,41.78,44.90,38.16,39.22,1816368
2021-04-30,39.36,40.45,38.90,39.15,1137247
2021-05-03,39.63,40.07,38.90,39.03,828898
2021-05-04,38.91,39.05,38.10,38.51,611489
2021-05-05,38.62,38.90,37.53,37.70,473444
2021-05-06,37.35,38.32,37.14,38.26,475683
2021-05-07,38.42,39.08,38.26,38.69,293419
2021-05-10,38.27,38.45,36.01,36.35,485208
2021-05-11,34.99,36.83,34.33,35.78,489899
2021-05-12,34.98,35.76,32.82,33.07,699873
2021-05-13,33.58,34.43,32.81,33.19,692171
2021-05-14,33.44,34.25,32.84,33.80,554648
2021-05-17,33.47,34.14,32.98,34.07,429524
2021-05-18,34.49,34.80,33.58,33.61,450869
2021-05-19,32.69,34.26,32.69,34.04,482896
2021-05-20,34.25,35.45,34.01,34.97,692865
2021-05-21,35.54,35.54,34.07,34.09,341912
2021-05-24,34.48,35.28,34.43,35.03,719612
2021-05-25,35.51,36.15,34.60,34.62,421669
2021-05-26,34.89,35.43,34.39,34.73,303896
2021-05-27,34.58,35.47,34.52,34.69,404699
2021-05-28,34.80,35.51,34.32,35.25,548201
2021-06-01,35.43,35.88,34.67,34.85,473481
2021-06-02,34.75,35.16,34.40,34.75,303684
2021-06-03,34.20,34.42,33.24,33.31,520307
2021-06-04,34.80,35.50,34.52,34.91,1104435
2021-06-07,34.62,34.85,33.36,33.77,569899
2021-06-08,34.31,34.70,33.51,33.60,1022469
2021-06-09,33.92,34.46,33.59,33.80,610164
2021-06-10,33.68,34.40,33.66,34.05,348852
2021-06-11,34.07,34.18,33.52,33.82,329026
2021-06-14,33.82,35.29,33.76,34.98,412012
2021-06-15,34.99,35.25,33.94,34.57,480221
2021-06-16,34.55,35.23,34.48,35.03,477712
2021-06-17,34.72,35.63,34.52,34.85,464145
2021-06-18,34.17,34.63,33.46,33.61,748861
2021-06-21,33.68,34.47,33.31,33.50,444938
2021-06-22,33.71,33.71,32.94,33.19,477537
2021-06-23,33.34,33.91,33.34,33.68,542780
2021-06-24,34.09,35.20,33.92,35.05,403358
2021-06-25,35.46,36.01,35.38,35.62,1319395
2021-06-28,35.75,36.63,35.75,36.55,505565
2021-06-29,36.34,36.95,36.21,36.54,370495
2021-06-30,36.33,36.70,36.10,36.46,464481
2021-07-01,36.42,36.76,35.93,36.75,732089
2021-07-02,37.00,37.13,36.32,36.53,690665
2021-07-06,36.80,37.13,35.24,35.92,387831
2021-07-07,36.22,36.36,34.95,35.25,423119
2021-07-08,34.30,34.92,33.43,34.59,602266
2021-07-09,34.85,35.64,34.53,35.23,306388
2021-07-12,35.40,35.64,34.84,35.41,303070
2021-07-13,35.10,35.40,34.85,35.26,233635
2021-07-14,35.79,36.04,35.07,35.13,284012
2021-07-15,34.87,35.05,33.97,34.35,217657
2021-07-16,34.76,34.97,33.76,33.84,336721
2021-07-19,33.18,34.27,32.71,33.96,398354
2021-07-20,34.17,34.94,33.81,34.48,504621
2021-07-21,34.60,36.49,34.34,36.40,351885
2021-07-22,36.25,36.62,35.95,36.08,326691
2021-07-23,36.15,36.38,35.75,36.32,184547
2021-07-26,36.31,36.61,35.73,36.00,305964
2021-07-27,35.75,35.75,33.60,34.79,816055
2021-07-28,35.12,36.59,34.80,36.30,294505
2021-07-29,36.03,36.46,34.86,36.09,576367
2021-07-30,35.87,37.50,35.87,37.26,446953
2021-08-02,37.60,38.29,37.52,37.89,692285
2021-08-03,37.87,38.17,36.77,37.86,958820
2021-08-04,37.70,38.57,37.51,38.50,482859
2021-08-05,38.61,39.54,37.85,38.30,324319
2021-08-06,38.15,38.87,38.11,38.65,347488
2021-08-09,38.70,38.80,37.99,38.00,646109
2021-08-10,38.00,38.25,37.02,38.05,482986
2021-08-11,38.38,38.38,36.93,37.15,360156
2021-08-12,36.77,36.80,35.15,35.20,299754
2021-08-13,35.12,35.41,34.74,34.97,285119
2021-08-16,34.88,35.59,34.76,35.59,262694
2021-08-17,34.99,35.16,34.22,34.53,320638
2021-08-18,34.39,35.23,34.39,34.47,200542
2021-08-19,34.37,34.97,34.10,34.75,236407
2021-08-20,35.36,35.51,34.59,35.15,325427
2021-08-23,35.80,36.50,35.67,36.37,262857
