date,open,high,low,close,volume
2026-02-05,26.00,29.70,25.95,29.00,31560720
2026-02-06,29.98,33.76,29.75,33.76,12839240
2026-02-09,33.86,35.80,32.01,33.50,7249663
2026-02-10,33.13,34.16,30.87,30.95,3138714
2026-02-11,35.09,35.17,32.35,33.03,8935690
2026-02-12,33.27,34.50,31.08,31.73,2445606
2026-02-13,31.40,34.05,30.35,33.59,1957441
2026-02-17,33.72,35.00,32.14,33.75,1421283
2026-02-18,33.70,34.25,32.46,32.68,1054150
2026-02-19,32.63,34.65,32.50,34.00,1206609
2026-02-20,34.65,34.65,32.92,33.99,1090581
2026-02-23,33.53,34.70,33.20,34.35,1056571
2026-02-24,34.50,35.00,33.60,34.13,1918965
2026-02-25,34.50,34.78,32.67,34.35,1386732
2026-02-26,34.86,35.50,32.10,34.49,1966040
2026-02-27,33.64,34.85,33.45,34.39,1505009
2026-03-02,34.13,36.68,33.79,35.99,4328797
2026-03-03,34.82,35.51,32.75,33.57,2394670
2026-03-04,34.17,35.73,33.58,34.27,1581637
2026-03-05,35.77,36.29,32.85,33.93,3390561
2026-03-06,33.05,33.45,31.49,31.65,1887689
2026-03-09,31.31,34.92,31.02,34.48,1842945
2026-03-10,34.01,37.53,33.79,35.54,3631816
2026-03-11,35.06,36.48,34.06,35.48,1591011
2026-03-12,35.00,35.48,31.89,32.05,2932057
2026-03-13,32.59,33.28,30.64,30.97,3149565
2026-03-16,32.00,36.35,30.81,34.56,4843224
2026-03-17,34.82,37.44,33.97,36.00,3415089
2026-03-18,36.26,37.05,34.20,34.30,2410447
2026-03-19,33.37,36.08,32.68,35.90,2026596
2026-03-20,35.77,36.25,33.44,33.45,5998478
2026-03-23,33.93,35.95,33.77,34.63,1624705
2026-03-24,34.41,36.35,34.41,35.78,1739535
2026-03-25,33.38,33.89,31.18,32.47,5380694
2026-03-26,31.94,32.05,29.98,30.06,5924869
2026-03-27,30.05,30.97,29.20,30.64,18902310
2026-03-30,31.00,31.01,27.39,27.97,10548770
2026-03-31,29.00,29.84,28.05,29.27,6971073
2026-04-01,29.26,29.80,28.60,29.13,5847932
2026-04-02,27.75,29.10,27.27,28.87,5813860
2026-04-06,28.97,30.22,28.65,30.17,4226938
2026-04-07,29.99,30.55,29.00,29.85,3973106
2026-04-08,31.50,31.81,30.00,31.36,5777614
2026-04-09,31.36,31.94,30.75,31.31,4126087
2026-04-10,31.44,32.38,30.88,31.65,2994493
2026-04-13,31.45,32.98,30.92,32.85,3042704
2026-04-14,33.09,33.88,32.57,33.03,3596798
2026-04-15,33.10,33.52,31.59,32.39,5114963
2026-04-16,32.17,32.83,31.52,32.54,2346127
2026-04-17,33.10,34.73,33.10,33.69,3625272
2026-04-20,33.69,34.11,32.95,34.09,2496578
2026-04-21,35.33,36.48,33.85,34.06,4110103
2026-04-22,35.07,35.15,33.78,34.67,3268781
2026-04-23,34.97,36.25,34.18,34.62,4719325
2026-04-24,34.97,35.25,34.02,35.14,3206988
2026-04-27,35.88,37.49,35.32,37.15,5961403
2026-04-28,35.83,37.53,34.52,36.89,5291257
2026-04-29,38.60,38.60,35.55,36.30,4047932
2026-04-30,36.65,38.30,36.00,37.62,3420462
2026-05-01,37.94,40.28,37.01,39.22,5388198
2026-05-04,40.44,41.06,39.26,40.42,4699467
2026-05-05,40.87,42.46,40.25,41.96,4233038
2026-05-06,43.38,44.86,41.24,42.68,4897863
2026-05-07,42.48,44.50,39.36,39.69,7476276
2026-05-08,40.65,41.05,39.67,40.38,2817844
2026-05-11,40.46,43.24,40.00,43.02,3859935
2026-05-12,42.85,43.20,40.85,43.01,4222230
2026-05-13,43.55,46.10,42.81,45.52,7094954
2026-05-14,50.01,51.00,44.51,50.19,10820330
2026-05-15,48.63,49.57,44.73,45.02,6986152
2026-05-18,46.25,47.10,42.16,43.22,4414810
2026-05-19,43.41,44.27,41.76,42.59,4062706
2026-05-20,43.94,45.18,42.34,44.74,3157083
2026-05-21,46.00,48.83,44.14,48.52,5910431
2026-05-22,49.50,50.50,47.25,47.90,3470623
2026-05-26,50.00,50.45,48.80,49.84,4527647
2026-05-27,46.08,49.06,45.58,47.30,6122063
2026-05-28,46.94,49.23,45.62,47.56,4960771
2026-05-29,47.72,55.19,47.65,54.66,32080560
2026-06-01,53.00,58.02,52.67,56.35,12499350
2026-06-02,56.29,58.52,55.47,56.88,5121433
2026-06-03,56.06,60.23,56.06,59.78,5858746
2026-06-04,56.62,65.56,56.07,64.59,8922859
2026-06-05,62.90,63.00,57.82,59.13,9214238
2026-06-08,61.28,61.35,58.79,59.32,5782691
2026-06-09,61.00,62.34,55.15,57.15,5905679
2026-06-10,56.72,57.80,51.82,53.20,7730733
2026-06-11,54.25,58.32,53.95,58.21,6122696
2026-06-12,58.83,61.26,58.41,59.03,2904972
2026-06-15,61.29,62.00,60.04,60.51,4619221
2026-06-16,60.27,62.25,59.01,59.37,2919199
2026-06-17,60.97,65.39,59.96,61.92,5124814
2026-06-18,64.24,65.45,62.50,63.41,4778442
2026-06-22,64.50,66.00,60.58,61.84,6311045
2026-06-23,56.61,61.23,56.20,59.30,3424303
2026-06-24,59.30,62.97,58.12,60.12,4014077
2026-06-25,63.00,63.00,57.53,58.70,3898064
2026-06-26,56.00,57.38,53.84,55.13,14510840
2026-06-29,56.22,56.65,53.21,54.99,5421684
2026-06-30,52.55,56.86,51.83,55.86,7738023
2026-07-01,54.22,55.60,49.85,49.90,11908720
2026-07-02,48.40,49.09,45.71,46.86,32150890
2026-07-06,47.41,48.29,46.40,47.50,16703290
2026-07-07,46.21,46.92,43.26,44.67,14813100
2026-07-08,44.37,46.13,43.20,45.29,13201660
2026-07-09,46.59,47.50,45.76,46.15,7161411
2026-07-10,45.82,46.40,44.64,45.75,4299247
2026-07-13,44.56,45.15,42.36,42.60,6189709
2026-07-14,43.30,44.47,40.85,41.18,11440680
2026-07-15,41.97,43.10,40.40,42.62,7146141
2026-07-16,41.90,41.99,38.58,39.58,10979930
2026-07-17,37.50,41.10,36.57,39.79,21019900
2026-07-20,40.50,41.89,38.27,38.50,8531102
2026-07-21,39.21,40.51,38.06,40.31,7856157
2026-07-22,39.02,40.06,38.58,38.87,5546666
2026-07-23,38.45,40.30,38.23,38.96,4415444
2026-07-24,39.11,39.11,35.08,35.89,11092550
2026-07-27,36.34,36.91,34.48,36.22,8405102
2026-07-28,35.00,35.17,31.85,32.41,10453180
2026-07-29,31.66,31.75,29.01,29.25,13046140
2026-07-30,30.71,33.58,30.65,33.28,12078850
2026-07-31,34.52,35.30,32.64,33.27,15383490
2026-08-03,32.55,36.30,32.01,36.29,6931145
2026-08-04,37.88,40.26,37.00,39.40,13163380
2026-08-05,39.00,39.92,38.25,38.49,6895814
2026-08-06,37.50,39.75,36.90,37.72,4259762
2026-08-07,39.13,39.99,36.85,38.71,4323771
2026-08-10,39.30,39.31,37.54,37.60,3611738
2026-08-11,38.15,39.07,37.54,37.72,3502340
2026-08-12,39.38,40.00,38.00,38.27,4623031
2026-08-13,38.00,38.51,37.22,37.56,5415122
2026-08-14,38.54,39.73,37.98,39.66,4816935
2026-08-17,39.95,40.19,38.63,38.83,4874056
2026-08-18,37.44,37.88,35.89,36.18,4587945
2026-08-19,36.64,37.05,33.66,34.46,5306792
2026-08-20,34.51,34.56,32.85,33.36,4685502
2026-08-21,33.75,34.08,32.63,33.18,2867837
2026-08-24,32.92,33.00,31.43,32.19,7810504
2026-08-25,33.11,33.37,31.86,32.19,4067020
2026-08-26,32.28,32.99,31.92,32.21,3911185
2026-08-27,33.72,33.98,31.50,31.62,5378164
2026-08-28,31.65,31.81,30.02,30.40,5542880
2026-08-31,30.52,30.68,29.73,30.54,5015534
