date,open,high,low,close,volume
2021-01-04,51.32,52.44,47.16,49.97,1043782
2021-01-05,49.87,50.26,49.41,49.83,813980
2021-01-06,49.90,51.84,49.58,51.14,843852
2021-01-07,51.12,51.33,50.01,50.01,455703
2021-01-08,50.31,51.25,49.08,51.02,702066
2021-01-11,50.70,51.50,49.81,49.89,675941
2021-01-12,50.00,50.08,48.76,49.18,670492
2021-01-13,49.30,50.06,48.76,49.23,567882
2021-01-14,49.63,54.24,49.21,52.59,1631093
2021-01-15,52.35,55.00,50.52,50.81,1902131
2021-01-19,51.76,53.66,51.70,52.16,1152677
2021-01-20,52.19,52.35,50.73,51.47,1030205
2021-01-21,51.48,53.26,51.02,53.10,1028238
2021-01-22,52.73,53.14,51.42,51.70,630783
2021-01-25,51.71,51.96,50.51,51.05,652685
2021-01-26,51.09,51.97,50.10,50.34,609085
2021-01-27,50.09,51.62,49.47,49.55,846867
2021-01-28,50.00,53.25,49.58,52.33,901903
2021-01-29,52.27,52.49,50.08,50.08,825682
2021-02-01,50.60,52.10,49.82,51.82,650985
2021-02-02,51.46,51.69,49.86,49.91,1218087
2021-02-03,50.11,51.15,49.50,49.61,959415
2021-02-04,49.71,50.25,48.65,49.03,595735
2021-02-05,49.60,49.60,48.26,48.41,1232000
2021-02-08,51.54,57.64,51.47,56.85,2636730
2021-02-09,57.53,57.89,53.90,54.58,935902
2021-02-10,57.99,58.29,55.03,56.05,836500
2021-02-11,56.51,61.77,55.51,59.00,2010732
2021-02-12,59.02,59.38,57.60,59.38,590700
2021-02-16,59.51,61.29,58.75,60.23,917779
2021-02-17,60.22,60.44,57.20,58.35,738480
2021-02-18,57.30,57.30,53.70,56.50,1052560
2021-02-19,56.94,59.37,56.24,56.87,789607
2021-02-22,56.36,57.85,55.02,55.84,535645
2021-02-23,55.48,55.50,50.20,54.30,882018
2021-02-24,54.56,55.70,52.60,53.90,762872
2021-02-25,53.80,54.96,53.20,54.48,860365
2021-02-26,53.79,55.91,52.65,53.99,1012428
2021-03-01,54.61,56.84,54.42,56.05,918364
2021-03-02,56.32,59.38,54.51,54.83,999205
2021-03-03,55.24,55.24,52.51,52.73,687332
2021-03-04,52.74,52.79,49.52,50.02,890699
2021-03-05,50.42,50.70,44.20,49.01,1584654
2021-03-08,48.94,49.80,46.51,48.74,1023324
2021-03-09,49.21,53.50,49.06,52.10,966186
2021-03-10,52.63,53.92,49.85,51.98,840837
2021-03-11,52.54,53.29,52.54,53.29,971353
2021-03-12,52.31,52.91,51.63,52.68,305196
2021-03-15,52.70,53.18,52.00,52.18,654180
2021-03-16,52.28,54.73,51.93,53.07,833764
2021-03-17,52.46,53.00,50.04,52.79,752828
2021-03-18,52.00,53.18,51.50,51.73,413801
2021-03-19,51.73,53.16,51.54,52.78,850753
2021-03-22,52.98,53.96,52.72,52.72,780759
2021-03-23,52.52,52.60,51.36,51.36,444336
2021-03-24,51.42,51.71,50.52,50.84,559976
2021-03-25,50.57,52.45,48.85,51.39,715049
2021-03-26,51.16,52.60,50.93,51.90,882891
2021-03-29,52.05,54.15,50.98,51.38,1174243
2021-03-30,51.29,51.77,51.04,51.34,360318
2021-03-31,51.79,54.00,51.43,53.36,1178867
2021-04-01,53.81,56.66,53.80,56.61,1809439
2021-04-05,56.60,57.11,55.03,56.25,1086692
2021-04-06,56.24,57.49,55.53,56.31,668809
2021-04-07,56.05,57.91,55.82,57.38,761394
2021-04-08,57.62,58.10,55.32,55.74,859969
