date,open,high,low,close,volume
2021-01-04,62.35,62.70,59.73,60.37,1416942
2021-01-05,60.80,61.65,60.01,61.48,982995
2021-01-06,60.75,60.80,59.22,59.54,1367084
2021-01-07,60.00,62.15,59.86,62.07,1482994
2021-01-08,62.22,63.55,61.28,62.59,853259
2021-01-11,62.00,63.28,60.50,61.93,710604
2021-01-12,62.80,63.00,61.07,62.98,584207
2021-01-13,62.52,64.01,62.18,63.87,717230
2021-01-14,64.04,64.86,61.85,62.00,687950
2021-01-15,62.15,62.48,59.61,59.65,989566
2021-01-19,60.80,60.85,58.90,60.43,898077
2021-01-20,61.27,61.47,59.83,61.42,1215528
2021-01-21,61.50,63.85,60.52,63.54,817983
2021-01-22,63.64,65.22,63.00,64.74,1129768
2021-01-25,65.76,69.59,65.66,67.36,2107706
2021-01-26,68.17,70.44,67.45,69.81,1418230
2021-01-27,67.18,70.01,66.32,69.93,1825310
2021-01-28,69.10,69.90,64.63,64.63,925849
2021-01-29,64.72,65.24,61.54,62.47,876551
2021-02-01,63.09,63.68,60.90,62.61,678377
2021-02-02,63.60,65.19,62.89,63.89,493474
2021-02-03,63.90,64.69,62.85,63.30,354047
2021-02-04,63.46,63.96,62.69,63.46,457150
2021-02-05,64.00,67.23,63.01,67.22,843740
2021-02-08,67.87,69.20,65.89,66.00,756022
2021-02-09,67.12,67.37,65.15,65.99,560863
2021-02-10,67.27,67.63,64.71,65.96,1058022
2021-02-11,64.58,71.78,63.56,65.93,3381612
2021-02-12,65.61,70.82,65.61,65.80,1794405
2021-02-16,67.69,70.00,67.13,69.23,1214231
2021-02-17,67.69,67.69,64.61,66.37,2290094
2021-02-18,64.33,67.79,62.82,66.40,1659828
2021-02-19,66.54,68.57,66.11,66.84,3118786
2021-02-22,64.83,65.92,60.98,61.36,3198715
2021-02-23,59.30,60.51,56.12,59.78,2071970
2021-02-24,59.51,59.89,57.74,58.82,1130543
2021-02-25,58.52,59.40,54.09,54.58,1651950
2021-02-26,54.72,55.19,51.39,53.49,1400818
2021-03-01,55.17,56.31,54.00,55.87,840327
2021-03-02,55.66,55.80,53.41,53.51,730602
2021-03-03,53.31,53.93,49.03,49.66,1677864
2021-03-04,49.62,49.89,45.19,47.21,2070795
2021-03-05,47.81,48.15,43.85,47.40,1823788
2021-03-08,47.41,48.75,44.70,44.90,1171967
2021-03-09,46.82,47.85,45.47,47.18,1984475
2021-03-10,48.00,48.81,45.32,45.88,1336399
2021-03-11,47.53,49.25,46.50,49.02,1527495
2021-03-12,48.04,49.97,46.66,49.91,978043
2021-03-15,50.63,51.89,49.63,51.08,1243347
2021-03-16,51.99,51.99,48.73,49.76,806788
2021-03-17,48.30,48.75,47.08,47.55,1407337
2021-03-18,47.31,49.47,46.97,48.50,1343944
2021-03-19,48.04,50.82,48.04,50.66,983414
2021-03-22,50.79,52.49,50.47,50.79,945214
2021-03-23,51.00,51.83,49.97,50.53,744411
2021-03-24,50.53,50.80,47.48,47.63,553542
2021-03-25,46.38,47.20,44.85,45.26,1287316
2021-03-26,45.71,46.74,43.87,45.29,695634
2021-03-29,45.18,45.60,43.16,43.38,795866
2021-03-30,43.28,43.96,41.89,43.48,1161218
