date,open,high,low,close,volume
2021-01-04,48.10,50.75,47.02,48.94,4616444
2021-01-05,49.91,59.75,49.87,58.61,8796017
2021-01-06,56.08,57.96,53.21,55.32,4113958
2021-01-07,57.10,58.73,56.48,57.43,3181389
2021-01-08,60.29,66.72,59.36,64.53,6589718
2021-01-11,62.00,67.37,61.00,61.50,4361894
2021-01-12,65.67,71.88,64.20,70.89,5341171
2021-01-13,71.40,73.30,66.70,69.07,6404937
2021-01-14,70.72,79.70,70.50,73.01,7615544
2021-01-15,77.04,77.04,69.20,69.38,5894058
2021-01-19,78.60,84.80,77.50,81.07,9354265
2021-01-20,92.79,94.00,85.00,89.96,10592710
2021-01-21,87.00,99.78,86.81,98.91,10728750
2021-01-22,100.00,101.03,96.50,99.89,7393951
2021-01-25,113.01,131.71,99.21,102.26,15518210
2021-01-26,111.36,114.33,102.62,103.20,8910989
2021-01-27,95.00,113.00,93.10,96.26,9744350
2021-01-28,101.00,106.87,95.00,99.00,7106053
2021-01-29,102.77,110.50,95.80,99.41,7691894
2021-02-01,108.00,114.75,104.40,105.00,6999532
2021-02-02,112.52,121.63,112.12,116.97,9060564
2021-02-03,126.14,132.95,114.50,118.63,14761360
2021-02-04,121.88,129.86,112.00,115.07,14264100
2021-02-05,111.40,119.95,105.01,116.00,12896700
2021-02-08,118.96,128.38,118.75,128.00,10024900
2021-02-09,142.11,161.00,142.00,154.41,18154680
2021-02-10,179.81,204.25,157.02,165.24,26579460
2021-02-11,167.82,172.94,149.27,157.34,17092790
2021-02-12,142.00,157.90,140.00,147.57,13619380
2021-02-16,159.49,193.88,156.60,191.00,24735930
2021-02-17,184.43,191.00,174.53,183.35,11473340
2021-02-18,170.37,183.10,169.21,171.81,8836133
2021-02-19,188.40,202.21,184.51,189.70,17895970
2021-02-22,181.35,186.20,172.51,174.52,7388737
2021-02-23,165.68,174.28,150.30,167.19,13495270
2021-02-24,160.21,168.08,155.02,166.16,11962800
2021-02-25,162.35,169.80,149.68,154.01,10247770
2021-02-26,152.18,164.49,146.71,152.79,15246010
2021-03-01,165.21,171.96,164.02,165.68,8753942
2021-03-02,169.00,171.50,156.86,157.31,6977767
2021-03-03,163.53,164.67,143.50,144.38,9596727
2021-03-04,139.00,148.43,128.00,131.45,16180120
2021-03-05,135.10,144.60,118.00,140.41,20319460
2021-03-08,136.25,142.86,122.00,123.00,12087630
2021-03-09,130.00,157.20,129.50,152.91,16186710
2021-03-10,163.54,165.77,146.37,147.30,17082370
