date,open,high,low,close,volume
2016-09-15,150.15,152.24,149.85,152.16,1221650
2016-09-16,151.55,151.66,149.57,150.75,1869328
2016-09-19,151.68,152.87,151.60,152.17,886944
2016-09-20,152.41,152.89,151.47,151.86,726799
2016-09-21,152.00,153.19,151.68,153.10,800701
2016-09-22,153.88,154.88,153.47,154.86,1161076
2016-09-23,152.04,154.36,150.00,153.81,876828
2016-09-26,153.47,154.88,153.07,153.87,1252583
2016-09-27,153.72,155.70,153.54,155.28,1412974
2016-09-28,155.77,156.21,155.10,156.01,1083328
2016-09-29,155.16,156.97,154.82,155.61,1771143
2016-09-30,156.36,156.95,154.69,155.16,1856826
2016-10-03,154.58,155.65,154.21,154.71,1325952
2016-10-04,155.46,155.61,152.87,153.55,1412952
2016-10-05,153.39,154.48,153.28,153.72,1142718
2016-10-06,153.80,154.43,153.13,154.14,1685067
2016-10-07,151.83,153.22,150.26,152.96,2063707
2016-10-10,153.53,154.26,152.58,152.89,1247717
2016-10-11,152.06,152.36,149.04,149.60,1693971
2016-10-12,149.61,150.56,149.55,150.00,1149844
2016-10-13,149.49,151.46,149.49,151.01,951293
2016-10-14,152.79,152.79,151.31,151.34,862647
2016-10-17,151.28,151.61,150.35,150.48,971613
2016-10-18,151.35,152.29,151.24,151.88,703763
2016-10-19,152.10,152.70,151.41,151.42,706846
2016-10-20,151.48,151.78,150.23,150.71,944035
2016-10-21,149.58,150.32,149.13,150.18,1245660
2016-10-24,151.17,152.18,151.00,151.44,905534
2016-10-25,151.21,153.05,151.21,152.59,1448672
2016-10-26,149.67,152.95,149.05,151.14,2783409
2016-10-27,151.58,151.68,149.10,150.13,1593583
2016-10-28,150.46,152.49,150.09,151.50,1500929
2016-10-31,152.03,152.21,150.72,150.74,1568305
2016-11-01,151.07,152.12,149.48,149.98,1529944
2016-11-02,149.69,151.12,149.56,149.67,1309433
2016-11-03,150.00,150.49,148.76,150.03,1458172
2016-11-04,150.03,151.10,149.66,149.81,1059625
2016-11-07,151.31,152.43,150.90,152.39,1425313
2016-11-08,152.26,154.33,152.06,153.78,1214892
2016-11-09,157.67,163.56,157.67,162.09,5322540
2016-11-10,162.47,166.82,162.47,166.51,3251792
2016-11-11,165.99,168.60,164.09,168.55,1725623
2016-11-14,169.86,171.19,168.56,170.19,2587448
2016-11-15,169.97,170.82,166.37,168.02,2508821
2016-11-16,167.72,167.89,165.29,165.84,1611578
2016-11-17,165.82,166.91,165.22,165.63,1553250
