date,open,high,low,close,volume
2021-01-04,72.47,72.55,69.56,70.60,617886
2021-01-05,70.70,71.79,69.85,70.12,791965
2021-01-06,70.56,73.34,70.56,72.87,1714012
2021-01-07,73.16,74.99,72.37,74.96,664170
2021-01-08,74.91,75.66,73.53,74.88,423258
2021-01-11,74.66,75.83,74.31,75.35,491892
2021-01-12,75.02,76.19,74.76,75.65,388621
2021-01-13,75.66,75.73,74.25,74.29,496905
2021-01-14,74.68,75.34,74.17,75.00,436049
2021-01-15,74.29,74.68,72.90,73.54,667339
2021-01-19,75.76,76.53,75.05,75.33,689293
2021-01-20,75.71,76.75,75.63,76.69,714876
2021-01-21,76.75,76.98,75.92,76.17,462671
2021-01-22,76.01,76.83,75.10,75.83,425387
2021-01-25,75.83,76.10,73.50,74.76,861749
2021-01-26,75.10,76.23,71.05,71.09,1006134
2021-01-27,70.71,71.43,68.14,68.59,1059182
2021-01-28,69.49,71.68,69.10,70.45,1807677
2021-01-29,70.33,70.42,68.91,68.94,1515510
2021-02-01,69.40,69.87,68.31,69.37,834600
2021-02-02,70.17,70.91,69.75,70.74,688201
2021-02-03,70.74,71.22,70.15,70.66,448179
2021-02-04,71.09,71.60,70.29,70.43,441314
2021-02-05,71.22,71.84,70.57,71.79,418585
2021-02-08,72.29,73.21,71.83,72.21,1116130
2021-02-09,72.08,72.46,71.56,72.15,721211
2021-02-10,72.86,73.04,71.63,71.91,362245
2021-02-11,72.10,72.53,71.15,71.92,526360
2021-02-12,71.58,72.10,71.17,71.87,400348
2021-02-16,72.16,72.36,70.77,70.84,624820
2021-02-17,70.54,70.56,69.53,69.84,604410
2021-02-18,69.60,69.81,68.97,69.19,582133
2021-02-19,69.51,70.72,69.35,69.99,666270
2021-02-22,69.44,69.60,69.02,69.39,518144
2021-02-23,69.42,69.82,68.50,69.23,639138
2021-02-24,69.38,70.30,69.08,69.84,1034316
2021-02-25,69.60,70.51,69.21,69.38,588386
2021-02-26,69.50,70.26,69.17,69.35,729991
2021-03-01,70.05,71.87,70.05,70.96,914334
2021-03-02,71.00,71.17,69.60,69.93,522985
2021-03-03,69.42,69.74,68.28,68.36,452440
2021-03-04,68.34,68.34,64.89,65.61,1293307
2021-03-05,66.35,66.43,64.34,66.31,1465620
2021-03-08,66.42,67.34,65.75,66.08,1487169
2021-03-09,66.68,67.14,65.79,66.24,824728
2021-03-10,66.43,67.70,66.03,67.51,1230100
2021-03-11,67.92,68.86,67.39,67.54,1536657
2021-03-12,67.74,69.34,67.64,69.33,1588639
2021-03-15,69.50,70.34,69.27,70.24,731745
2021-03-16,70.00,70.47,69.30,69.74,633836
2021-03-17,69.73,71.22,69.27,70.74,1634053
2021-03-18,70.72,71.50,70.01,70.11,637755
2021-03-19,70.08,70.66,68.96,69.54,2016230
2021-03-22,69.63,69.98,68.55,69.43,660858
2021-03-23,68.98,69.50,68.04,68.47,729604
2021-03-24,68.94,70.33,68.86,69.41,858522
2021-03-25,69.16,70.25,68.16,70.16,865877
2021-03-26,70.60,72.00,70.21,71.95,1580131
2021-03-29,71.88,73.16,71.88,72.26,742516
2021-03-30,72.14,72.69,71.71,72.18,884654
2021-03-31,72.04,72.88,71.58,71.62,1086300
2021-04-01,72.01,72.96,71.18,72.90,1640756
2021-04-05,73.32,73.84,73.12,73.66,1308645
2021-04-06,73.72,74.52,73.13,73.29,956291
2021-04-07,73.15,73.53,72.54,72.91,560849
2021-04-08,73.13,73.13,72.19,72.80,429756
2021-04-09,73.04,73.49,72.56,73.40,368022
2021-04-12,73.40,74.24,73.35,74.08,360158
2021-04-13,74.03,74.17,73.34,73.49,441784
2021-04-14,73.83,74.25,73.28,73.38,561313
2021-04-15,73.66,74.64,73.37,74.50,686842
2021-04-16,74.76,75.45,74.56,75.13,621844
2021-04-19,75.00,75.84,74.59,75.80,613203
2021-04-20,75.97,76.48,75.10,76.02,498261
2021-04-21,75.88,77.12,75.75,77.06,716494
2021-04-22,77.40,78.20,76.28,76.47,769469
2021-04-23,76.76,77.94,76.09,77.75,590611
2021-04-26,78.00,78.29,76.78,76.86,567834
2021-04-27,76.67,77.45,76.36,77.38,421629
2021-04-28,77.24,77.55,76.81,77.01,360337
2021-04-29,77.24,77.91,76.89,77.76,425799
2021-04-30,77.20,77.83,76.45,76.80,1142732
2021-05-03,77.38,77.60,76.45,76.49,542805
2021-05-04,76.21,77.80,76.17,77.63,710795
2021-05-05,77.98,77.98,77.02,77.56,378865
2021-05-06,77.49,78.72,77.33,78.60,545415
2021-05-07,78.40,78.81,77.64,78.54,582888
2021-05-10,78.68,79.37,78.27,78.27,431755
2021-05-11,77.56,77.92,76.46,76.77,489994
2021-05-12,76.25,76.80,74.40,74.40,615695
2021-05-13,74.64,76.87,74.58,76.40,508160
2021-05-14,76.80,77.39,76.12,77.07,459353
2021-05-17,76.64,76.97,75.66,76.42,280709
2021-05-18,76.49,76.49,75.24,75.24,424292
2021-05-19,74.29,74.76,74.10,74.60,334310
2021-05-20,74.64,74.87,74.16,74.77,346803
2021-05-21,75.17,75.41,74.34,74.71,451774
2021-05-24,75.33,75.33,74.38,74.92,384088
2021-05-25,75.27,75.75,74.92,75.06,326376
2021-05-26,75.35,75.50,74.75,75.32,246394
2021-05-27,75.90,76.00,75.30,75.59,369351
2021-05-28,75.42,75.86,75.00,75.72,481967
2021-06-01,76.47,76.82,75.97,75.97,508396
2021-06-02,76.14,76.14,74.69,75.05,424287
2021-06-03,74.80,75.11,73.85,74.41,699507
2021-06-04,74.52,75.36,74.31,75.36,466434
2021-06-07,75.06,75.34,74.20,74.72,781406
2021-06-08,74.74,74.74,73.76,74.46,594696
2021-06-09,74.31,74.38,73.65,73.70,365222
2021-06-10,73.92,74.11,73.18,73.48,343199
2021-06-11,73.95,74.05,73.06,73.85,300051
2021-06-14,73.86,73.86,73.06,73.67,346469
2021-06-15,73.91,74.01,73.33,73.72,317520
2021-06-16,73.68,73.68,72.44,72.46,391536
2021-06-17,72.47,72.77,71.24,71.51,705515
2021-06-18,70.76,71.64,70.61,71.18,1007754
2021-06-21,71.78,72.96,71.51,72.66,400623
2021-06-22,72.51,73.50,72.23,73.39,658210
2021-06-23,73.62,74.23,73.28,73.75,682648
2021-06-24,74.29,74.41,73.50,74.03,384058
2021-06-25,74.16,75.07,74.14,74.98,1307878
2021-06-28,75.20,75.28,74.38,75.14,414946
2021-06-29,75.39,76.14,75.13,75.59,493380
2021-06-30,75.36,75.88,75.21,75.70,493360
2021-07-01,76.00,76.20,75.59,75.89,645749
2021-07-02,76.10,76.43,75.39,76.33,315779
2021-07-06,76.33,76.36,74.96,76.28,789269
2021-07-07,76.20,78.68,75.97,78.35,1062995
2021-07-08,77.38,78.33,77.07,77.61,741583
2021-07-09,78.34,78.51,77.65,77.68,883390
2021-07-12,77.24,77.60,77.11,77.54,739329
2021-07-13,77.55,77.65,77.10,77.28,681433
2021-07-14,77.37,77.73,76.40,76.87,492153
2021-07-15,76.58,77.10,76.10,76.41,432127
2021-07-16,76.39,76.98,76.12,76.47,579162
2021-07-19,75.48,76.05,74.84,75.60,781345
2021-07-20,75.84,77.72,75.64,77.03,910427
2021-07-21,77.47,78.40,77.47,78.32,1080761
2021-07-22,76.00,77.12,75.11,76.10,1302341
2021-07-23,76.68,76.83,75.49,76.64,579161
2021-07-26,76.64,76.99,75.78,76.30,662282
2021-07-27,75.96,76.08,74.83,75.44,657605
2021-07-28,75.67,75.86,75.08,75.69,507313
2021-07-29,76.41,76.55,75.90,76.38,464610
2021-07-30,76.42,78.10,76.29,78.08,1126798
2021-08-02,77.93,78.85,77.34,77.84,629967
2021-08-03,78.08,79.90,77.88,79.71,564456
2021-08-04,79.59,80.16,79.21,79.60,1261433
2021-08-05,80.07,80.48,78.59,78.76,469251
2021-08-06,78.80,79.38,78.20,78.28,530951
2021-08-09,78.17,78.36,77.64,77.94,318322
2021-08-10,78.12,78.28,77.35,77.45,430342
2021-08-11,77.48,77.88,77.21,77.83,373508
2021-08-12,77.98,78.19,77.44,77.97,323054
2021-08-13,78.05,78.74,77.97,78.29,300015
2021-08-16,78.31,78.76,77.88,78.42,343992
2021-08-17,78.30,78.30,76.68,77.32,310264
2021-08-18,76.93,77.14,76.43,76.83,386924
2021-08-19,76.21,76.99,76.00,76.79,425358
2021-08-20,77.14,77.22,76.70,76.97,482351
2021-08-23,77.50,77.86,77.24,77.46,427005
2021-08-24,77.56,77.90,77.34,77.49,420631
2021-08-25,77.70,77.95,77.53,77.65,451068
2021-08-26,77.53,77.74,77.24,77.54,532594
2021-08-27,77.63,78.64,77.63,78.01,507717
2021-08-30,78.21,79.25,78.15,78.81,417834
2021-08-31,79.12,79.12,78.18,78.42,485126
2021-09-01,78.47,78.54,77.52,78.41,379819
2021-09-02,78.84,79.30,78.50,78.94,403482
2021-09-03,78.69,79.40,78.52,78.56,294949
2021-09-07,78.23,78.23,77.15,77.16,418810
2021-09-08,76.91,78.25,76.71,78.10,409252
2021-09-09,78.30,78.61,77.18,77.22,430048
2021-09-10,77.47,77.83,76.96,76.99,375485
2021-09-13,77.39,77.39,75.90,76.32,446824
2021-09-14,76.55,76.73,75.83,76.08,378986
2021-09-15,75.97,76.59,75.67,76.54,598490
2021-09-16,76.72,76.72,75.68,76.11,460596
2021-09-17,76.25,76.25,74.91,75.17,1957483
2021-09-20,74.23,74.52,73.44,74.17,631898
2021-09-21,74.45,74.59,73.42,73.59,456826
2021-09-22,74.12,74.33,73.62,73.75,650567
2021-09-23,73.97,74.56,73.86,73.96,502849
2021-09-24,73.61,73.75,73.19,73.49,880073
2021-09-27,73.09,73.79,73.03,73.20,636513
2021-09-28,72.78,73.09,71.88,72.09,766115
2021-09-29,72.22,72.64,71.69,72.18,407960
2021-09-30,72.56,72.56,69.77,69.97,1072490
2021-10-01,70.08,70.85,69.08,70.30,495582
2021-10-04,70.07,70.49,69.00,69.60,727748
2021-10-05,69.78,70.54,69.28,70.19,573714
2021-10-06,69.86,70.49,69.07,70.48,626091
2021-10-07,70.55,71.61,70.55,70.78,525408
2021-10-08,70.63,70.66,69.81,69.99,401384
2021-10-11,69.73,70.18,69.07,69.14,273389
2021-10-12,69.34,69.65,68.70,68.83,327803
2021-10-13,68.95,69.84,68.66,69.42,456536
2021-10-14,69.89,71.13,69.89,71.04,397582
2021-10-15,71.27,71.75,69.63,70.87,1112245
2021-10-18,70.60,71.72,70.16,71.71,898077
2021-10-19,72.22,72.45,71.52,72.19,931669
2021-10-20,72.25,73.09,72.12,73.02,1097858
2021-10-21,70.19,75.17,70.12,75.10,1585820
2021-10-22,75.46,75.95,74.91,75.47,702335
2021-10-25,75.47,76.15,74.77,75.33,712178
2021-10-26,75.69,75.75,75.00,75.49,638729
2021-10-27,75.51,75.51,74.45,74.57,502121
2021-10-28,74.64,74.91,74.24,74.78,565005
2021-10-29,74.44,75.60,74.44,75.18,574387
2021-11-01,75.48,76.51,74.92,76.43,639605
2021-11-02,76.80,77.60,76.49,77.48,475532
2021-11-03,77.31,77.63,76.05,76.89,459567
2021-11-04,77.10,78.48,76.89,77.77,447808
2021-11-05,78.26,78.59,77.42,77.89,461894
2021-11-08,78.48,79.05,77.94,78.98,525924
2021-11-09,79.00,79.60,78.85,79.35,613727
2021-11-10,79.44,79.55,78.86,79.19,552774
2021-11-11,79.16,79.52,78.08,78.20,583941
2021-11-12,78.55,78.81,78.05,78.57,292760
2021-11-15,78.67,78.67,77.54,77.68,418522
2021-11-16,77.63,78.52,77.43,77.91,444624
2021-11-17,77.88,78.28,77.07,78.05,441482
2021-11-18,78.15,78.23,76.97,77.13,380552
2021-11-19,77.24,77.55,76.94,77.31,520569
2021-11-22,77.45,78.32,77.03,77.47,405562
2021-11-23,77.47,78.06,77.10,77.84,370204
2021-11-24,77.55,77.97,77.05,77.62,268326
2021-11-26,76.56,76.79,74.99,75.12,344688
2021-11-29,75.66,75.77,74.78,75.19,710988
2021-11-30,74.81,75.22,72.75,72.89,757049
2021-12-01,73.59,74.50,71.66,71.68,571643
2021-12-02,73.67,76.05,73.67,75.65,875320
2021-12-03,75.61,75.91,74.08,75.40,655436
2021-12-06,76.11,77.52,76.04,77.32,604441
2021-12-07,78.06,79.23,77.47,77.72,682980
2021-12-08,78.03,78.48,77.09,78.47,657468
2021-12-09,78.41,79.53,78.02,78.84,742920
2021-12-10,79.07,80.00,78.74,79.94,855699
2021-12-13,79.94,80.98,79.48,79.95,1008355
2021-12-14,79.54,80.02,78.93,79.36,1015571
2021-12-15,79.51,80.46,79.14,80.39,595352
2021-12-16,80.59,80.79,79.27,79.39,508329
2021-12-17,78.90,79.06,76.00,76.36,2119958
2021-12-20,75.72,76.16,74.67,75.89,676326
2021-12-21,76.43,77.02,76.13,76.76,995474
2021-12-22,77.19,77.66,76.88,77.50,393674
2021-12-23,77.81,79.11,77.81,78.57,621059
2021-12-27,78.76,79.68,78.23,79.60,282075
2021-12-28,79.45,80.65,79.45,80.48,311106
2021-12-29,80.39,81.00,80.38,80.60,336929
2021-12-30,81.00,81.09,80.19,80.25,271367
2021-12-31,80.00,80.96,80.00,80.62,307797
2022-01-03,80.70,80.92,77.97,78.68,729184
2022-01-04,78.87,79.61,78.52,78.89,492769
2022-01-05,79.11,80.04,77.93,77.98,493277
2022-01-06,77.89,78.62,77.54,77.72,453948
2022-01-07,77.92,78.14,76.82,77.05,481405
