date,open,high,low,close,volume
2021-01-04,79.20,79.74,77.84,78.03,150162
2021-01-05,77.72,80.00,77.72,79.81,141240
2021-01-06,79.47,79.91,78.55,78.70,145839
2021-01-07,78.67,79.14,78.05,78.89,142078
2021-01-08,79.00,80.90,78.91,80.26,169983
2021-01-11,79.01,79.59,78.44,78.78,105258
2021-01-12,78.66,78.93,77.93,78.85,96093
2021-01-13,79.04,79.56,78.44,79.31,126458
2021-01-14,79.40,79.85,78.08,78.19,129648
2021-01-15,77.76,78.52,77.19,78.01,112609
2021-01-19,78.09,78.99,77.86,78.68,89679
2021-01-20,79.14,79.61,78.78,79.58,105543
2021-01-21,79.83,80.60,79.19,79.84,113225
2021-01-22,79.40,79.56,78.45,78.97,122377
2021-01-25,79.00,79.22,78.11,78.59,90369
2021-01-26,78.57,78.66,77.51,77.62,160828
2021-01-27,77.99,78.80,76.85,77.37,202564
2021-01-28,77.50,80.95,77.50,80.66,271752
2021-01-29,80.37,80.98,78.72,80.05,401865
2021-02-01,80.56,80.56,78.83,79.81,193937
2021-02-02,80.08,81.51,79.87,81.19,183812
2021-02-03,80.98,81.51,80.56,80.60,122705
2021-02-04,80.31,80.47,78.54,78.76,209050
2021-02-05,78.74,80.16,78.61,80.13,162094
2021-02-08,80.10,80.89,79.15,79.45,98446
2021-02-09,79.50,79.70,78.89,79.34,130080
2021-02-10,79.95,79.95,78.33,79.15,136228
2021-02-11,79.13,79.56,78.83,79.01,75447
2021-02-12,78.69,79.36,77.92,79.19,125310
2021-02-16,79.12,79.34,77.91,78.35,99316
2021-02-17,77.81,78.26,77.22,78.20,70792
2021-02-18,77.43,78.12,76.26,77.36,100536
2021-02-19,78.17,78.17,76.32,76.41,118636
2021-02-22,75.78,76.49,75.66,76.02,98175
2021-02-23,75.75,75.94,74.89,75.57,135325
2021-02-24,75.20,76.91,74.69,76.74,128366
2021-02-25,76.52,77.10,75.42,75.73,159715
2021-02-26,75.84,76.18,74.58,74.63,190392
2021-03-01,75.27,76.98,75.27,76.79,229166
2021-03-02,76.81,78.60,76.47,78.14,196222
2021-03-03,77.78,77.78,75.98,76.01,147535
2021-03-04,76.56,77.05,74.99,75.69,211952
2021-03-05,76.43,77.26,75.45,76.89,197497
2021-03-08,76.51,78.51,76.45,76.93,113639
2021-03-09,77.81,79.90,77.81,79.31,161148
2021-03-10,79.33,79.93,78.43,78.47,194064
2021-03-11,79.09,80.84,79.09,80.71,139577
2021-03-12,79.60,80.67,79.45,80.50,109029
2021-03-15,79.97,80.79,79.60,80.76,107224
2021-03-16,80.56,81.54,80.56,81.27,142378
2021-03-17,80.44,81.17,79.74,80.76,116507
2021-03-18,80.09,81.15,79.94,80.47,128333
2021-03-19,80.76,82.23,80.30,81.64,209074
2021-03-22,81.64,83.06,81.64,82.55,110996
2021-03-23,82.45,83.53,82.32,82.51,127807
2021-03-24,82.34,82.34,81.18,81.43,118754
2021-03-25,81.01,82.08,80.62,81.60,100048
2021-03-26,82.00,82.49,81.11,82.40,162300
2021-03-29,82.00,83.45,81.99,83.33,146962
2021-03-30,82.92,82.92,81.73,82.40,123494
2021-03-31,82.35,83.98,82.35,83.22,233047
2021-04-01,83.92,84.25,83.29,84.18,157239
2021-04-05,84.00,84.74,83.94,84.56,135463
2021-04-06,84.03,85.13,83.85,84.72,116837
2021-04-07,84.93,85.05,84.35,84.70,117798
2021-04-08,85.03,85.39,84.58,84.78,133738
2021-04-09,84.83,84.83,83.58,84.20,201700
2021-04-12,83.72,86.37,83.64,86.14,175892
2021-04-13,85.95,86.62,85.79,85.88,108676
2021-04-14,85.63,86.33,85.63,85.63,116540
2021-04-15,86.08,87.08,85.93,86.89,116380
2021-04-16,86.80,87.31,86.66,87.03,110916
2021-04-19,86.59,87.27,86.10,86.16,81428
2021-04-20,86.16,86.32,84.86,85.15,104236
2021-04-21,84.80,85.68,84.80,85.59,86913
2021-04-22,85.24,85.82,84.83,85.34,102804
2021-04-23,85.56,85.97,85.17,85.24,137307
2021-04-26,85.03,85.16,84.38,84.94,109462
2021-04-27,84.98,85.40,84.54,84.99,131402
2021-04-28,85.14,86.96,84.67,86.82,233474
2021-04-29,87.24,89.61,87.18,88.86,228836
2021-04-30,88.28,88.80,88.00,88.46,293982
2021-05-03,88.97,89.95,88.63,88.88,167557
2021-05-04,88.13,89.39,88.01,89.34,190130
2021-05-05,89.50,89.99,89.35,89.70,92225
2021-05-06,89.58,90.33,88.99,90.22,115038
2021-05-07,90.02,91.24,89.77,91.05,149213
2021-05-10,90.73,91.33,90.00,90.12,95980
2021-05-11,88.87,89.62,88.35,89.25,108920
2021-05-12,88.36,89.40,87.35,87.64,135281
2021-05-13,87.68,88.54,87.39,88.31,165537
2021-05-14,88.92,89.93,88.34,89.67,122897
2021-05-17,88.97,90.07,88.92,89.50,97867
2021-05-18,89.45,89.98,88.88,89.40,95577
2021-05-19,88.02,88.96,87.87,88.19,216858
2021-05-20,88.50,90.90,88.34,90.63,168035
2021-05-21,90.72,90.76,90.12,90.21,111009
2021-05-24,90.08,90.94,90.00,90.64,40637
2021-05-25,90.50,91.39,90.44,90.97,108854
2021-05-26,90.78,91.18,90.33,90.57,86672
2021-05-27,90.38,91.19,89.34,89.46,463265
2021-05-28,89.44,90.15,89.16,89.40,200986
2021-06-01,89.34,91.62,89.26,89.69,153598
2021-06-02,89.46,90.29,89.15,89.66,166244
2021-06-03,89.01,89.44,88.09,89.09,115957
2021-06-04,89.35,90.55,89.35,90.30,90783
2021-06-07,89.80,90.35,89.32,90.00,103873
2021-06-08,89.96,90.52,89.09,89.21,90840
2021-06-09,89.42,89.98,88.89,89.73,64499
2021-06-10,89.85,90.96,89.64,90.66,84900
2021-06-11,90.36,90.69,90.30,90.56,111659
2021-06-14,90.32,90.99,90.32,90.97,90755
2021-06-15,90.86,92.09,90.67,91.30,150009
2021-06-16,91.30,91.60,90.26,90.33,104603
2021-06-17,89.99,91.89,89.97,90.78,153094
2021-06-18,90.09,90.14,88.28,89.57,171280
2021-06-21,89.42,91.46,89.42,90.53,130027
2021-06-22,90.37,91.32,90.17,91.03,111084
2021-06-23,91.00,91.25,90.38,90.80,82840
2021-06-24,90.94,91.69,90.69,90.85,207254
2021-06-25,90.82,91.44,89.66,91.32,181921
2021-06-28,90.82,91.65,90.73,91.49,125205
2021-06-29,91.39,92.10,91.39,91.89,93266
2021-06-30,91.46,91.92,90.21,90.60,153471
2021-07-01,90.38,91.36,90.25,91.30,60649
2021-07-02,91.60,92.06,91.17,91.46,113868
2021-07-06,90.91,91.06,89.81,90.80,180884
2021-07-07,91.14,91.80,90.83,91.66,103353
2021-07-08,90.50,90.71,89.70,90.42,122460
2021-07-09,90.32,92.00,90.32,91.94,110365
2021-07-12,91.75,92.36,91.03,91.16,102794
2021-07-13,90.90,91.88,89.52,91.27,115936
2021-07-14,91.94,92.11,90.83,90.91,104656
2021-07-15,90.92,92.59,90.92,91.86,121425
2021-07-16,92.08,92.15,90.83,90.86,95578
2021-07-19,89.72,89.96,88.15,88.60,160917
2021-07-20,88.91,90.29,88.09,90.11,191517
2021-07-21,90.10,90.63,89.30,90.12,109872
2021-07-22,90.16,90.77,89.97,90.74,97968
2021-07-23,90.84,92.18,90.84,92.12,114773
2021-07-26,91.84,92.07,91.03,91.69,84593
2021-07-27,91.31,92.17,91.14,92.09,88869
2021-07-28,91.72,92.25,89.78,89.93,220980
2021-07-29,90.25,90.78,89.42,90.16,74709
2021-07-30,90.03,91.02,89.72,90.93,129740
2021-08-02,90.81,91.24,90.10,90.53,43048
2021-08-03,90.54,91.37,90.49,90.95,133389
2021-08-04,90.50,91.21,89.50,89.50,82784
2021-08-05,89.68,90.83,89.68,90.13,90237
2021-08-06,89.88,90.98,89.42,90.68,130190
2021-08-09,90.21,90.56,89.50,89.72,70559
2021-08-10,89.60,90.60,89.60,90.25,105369
2021-08-11,90.20,90.32,88.74,89.23,117860
2021-08-12,88.85,89.51,88.32,89.48,78806
2021-08-13,89.22,89.88,89.11,89.83,92451
2021-08-16,89.16,89.60,89.12,89.39,145688
2021-08-17,88.98,89.14,88.27,88.80,121991
2021-08-18,88.42,88.85,88.03,88.04,154491
2021-08-19,87.70,88.28,87.12,87.68,195595
2021-08-20,87.39,88.38,86.99,88.37,244794
2021-08-23,88.70,89.00,87.42,88.58,124847
2021-08-24,88.79,88.99,88.34,88.67,215328
2021-08-25,88.52,88.62,87.45,87.50,112217
2021-08-26,87.70,87.70,86.00,86.45,172749
2021-08-27,86.39,87.73,86.26,87.51,148905
2021-08-30,87.46,89.50,87.46,89.49,203844
2021-08-31,89.10,89.90,89.08,89.36,139786
2021-09-01,89.49,91.42,89.48,91.32,224304
2021-09-02,91.45,93.06,91.16,92.93,192721
2021-09-03,92.40,92.97,91.60,92.02,147694
2021-09-07,91.53,92.22,91.28,91.66,152249
2021-09-08,91.62,92.00,90.92,91.30,116791
2021-09-09,91.17,91.62,90.86,90.96,134543
2021-09-10,91.54,91.88,90.82,90.97,350687
2021-09-13,91.25,91.60,90.61,91.08,103980
2021-09-14,90.44,90.44,88.53,89.53,201221
2021-09-15,89.88,90.03,89.17,89.79,99101
2021-09-16,89.62,89.73,88.55,88.82,98350
2021-09-17,88.33,88.86,87.93,88.06,258256
2021-09-20,86.73,88.24,86.29,88.21,659759
2021-09-21,88.54,89.43,88.32,88.59,129222
2021-09-22,88.75,90.32,88.74,89.65,100100
2021-09-23,90.12,91.85,90.12,91.52,364555
2021-09-24,91.00,92.01,90.53,91.94,96067
2021-09-27,91.35,91.61,90.50,90.60,96787
2021-09-28,89.73,89.73,86.23,86.61,242071
2021-09-29,86.88,87.39,85.74,85.79,145822
2021-09-30,86.15,86.86,84.58,84.76,157587
2021-10-01,85.14,85.76,84.11,85.46,230257
2021-10-04,84.98,85.42,84.03,85.08,135963
2021-10-05,85.51,85.59,83.89,85.15,189411
2021-10-06,84.23,85.92,84.23,85.84,162878
2021-10-07,86.43,87.74,86.38,87.34,97409
2021-10-08,87.49,88.15,87.23,87.71,147404
2021-10-11,87.22,87.99,87.22,87.29,47034
2021-10-12,87.47,87.62,86.79,86.88,85466
2021-10-13,87.29,88.98,87.13,88.90,113843
2021-10-14,89.91,90.67,89.50,90.09,80987
2021-10-15,90.19,90.68,90.09,90.52,78179
2021-10-18,90.00,90.90,89.65,90.78,82574
2021-10-19,91.01,92.03,91.01,91.95,92900
2021-10-20,92.34,93.93,92.12,92.97,144616
2021-10-21,92.45,92.98,92.43,92.77,58898
2021-10-22,92.68,93.49,92.26,92.47,97822
2021-10-25,92.40,93.00,91.71,92.28,77592
2021-10-26,92.50,92.67,91.12,91.12,76371
2021-10-27,91.12,91.17,89.14,89.17,82880
2021-10-28,89.56,90.16,89.52,89.85,93159
2021-10-29,89.18,89.67,88.90,89.39,225914
2021-11-01,89.33,89.97,88.54,89.22,101966
2021-11-02,89.27,90.75,88.76,90.14,222711
2021-11-03,90.14,90.58,89.25,90.31,49639
2021-11-04,90.46,90.78,89.69,90.11,100320
2021-11-05,90.47,91.43,90.47,91.28,167826
2021-11-08,91.20,92.20,90.79,91.00,101176
2021-11-09,90.74,92.40,90.74,92.23,128391
2021-11-10,92.66,92.75,87.64,87.89,163481
2021-11-11,88.39,90.15,88.27,89.07,119229
2021-11-12,89.25,89.87,88.62,89.05,134872
2021-11-15,88.97,89.40,88.27,88.35,240445
2021-11-16,88.04,88.58,86.72,86.80,597662
2021-11-17,86.65,87.00,85.50,86.12,389728
2021-11-18,86.31,86.70,85.50,86.24,709696
2021-11-19,86.20,86.28,85.06,86.21,421347
2021-11-22,86.06,86.70,85.11,85.12,173819
2021-11-23,85.18,85.80,84.53,85.60,151146
2021-11-24,85.04,85.49,84.54,85.39,124579
2021-11-26,84.54,85.64,83.50,83.69,146701
2021-11-29,84.15,84.69,83.39,84.22,148437
2021-11-30,83.87,84.33,82.98,83.48,304892
2021-12-01,84.39,85.05,83.53,83.63,295653
2021-12-02,83.61,86.03,83.61,85.93,148582
2021-12-03,86.40,86.40,84.18,84.94,159077
2021-12-06,84.88,86.57,84.88,86.29,154952
2021-12-07,87.50,88.08,86.48,86.48,487462
2021-12-08,86.53,86.74,85.93,86.28,222972
2021-12-09,85.67,86.40,84.36,84.37,106146
2021-12-10,84.77,85.53,84.36,85.51,150868
2021-12-13,85.17,86.57,85.11,86.26,346537
2021-12-14,85.80,86.37,83.63,83.78,264764
2021-12-15,83.67,85.39,83.32,85.33,168231
2021-12-16,85.56,86.30,83.94,84.11,387342
2021-12-17,83.85,85.89,83.59,84.86,316140
2021-12-20,83.85,84.65,83.69,84.45,161104
2021-12-21,84.93,86.17,84.77,86.09,149188
2021-12-22,85.77,87.11,85.77,87.02,68393
2021-12-23,88.71,88.97,88.23,88.64,73795
2021-12-27,87.28,88.78,86.99,88.75,91970
2021-12-28,88.71,88.97,88.23,88.64,78563
2021-12-29,88.28,89.04,88.02,88.47,135779
2021-12-30,88.81,88.81,88.22,88.32,100579
2021-12-31,88.36,88.99,88.36,88.50,102517
2022-01-03,88.11,88.77,87.56,88.70,67765
2022-01-04,88.57,88.93,87.79,88.17,146387
2022-01-05,87.48,88.00,85.66,85.71,213562
2022-01-06,86.00,86.16,85.08,85.35,175004
2022-01-07,85.03,85.35,84.01,84.09,227619
2022-01-10,82.94,83.29,80.23,83.25,260208
2022-01-11,83.10,83.59,81.69,83.02,370390
2022-01-12,83.44,84.36,82.89,83.97,260812
2022-01-13,84.39,85.78,84.39,84.98,261012
2022-01-14,84.44,85.77,84.44,85.68,297181
2022-01-18,85.49,86.98,85.34,86.64,433777
2022-01-19,87.08,87.43,84.86,84.87,307509
2022-01-20,85.47,86.18,84.44,84.47,219451
2022-01-21,84.18,85.14,83.51,83.54,208200
2022-01-24,82.17,83.46,80.00,83.39,228139
2022-01-25,82.23,82.56,80.71,80.79,246129
2022-01-26,82.08,82.76,80.51,80.97,185262
2022-01-27,81.44,81.94,80.47,80.59,174073
2022-01-28,80.56,82.74,80.33,82.68,184345
2022-01-31,82.42,85.50,82.33,85.37,453737
2022-02-01,85.65,86.23,84.86,86.16,417432
2022-02-02,82.50,89.05,82.50,88.59,405592
2022-02-03,87.09,87.09,85.84,86.34,216463
2022-02-04,85.79,87.60,85.21,87.44,234146
2022-02-07,87.24,87.76,86.70,87.24,159191
2022-02-08,86.69,87.10,85.59,85.65,231224
2022-02-09,86.56,87.72,86.56,87.69,124580
2022-02-10,85.98,87.50,85.94,86.13,152234
2022-02-11,86.35,86.56,83.66,83.89,160789
2022-02-14,83.38,84.71,83.00,84.05,192230
2022-02-15,84.89,85.88,84.19,84.59,196912
2022-02-16,84.09,85.35,83.25,85.09,212213
2022-02-17,84.37,84.40,83.17,83.23,142591
2022-02-18,83.25,83.99,82.50,82.77,182281
2022-02-22,81.38,83.27,81.03,81.56,178347
2022-02-23,82.23,82.23,80.04,80.10,161068
2022-02-24,77.67,81.68,77.25,81.45,229411
2022-02-25,81.66,82.56,80.46,82.46,153715
2022-02-28,81.39,82.20,81.10,81.96,117095
2022-03-01,82.15,82.31,80.79,81.02,179593
2022-03-02,81.71,83.05,81.07,82.60,163610
2022-03-03,83.11,83.33,82.00,82.60,184232
2022-03-04,81.71,82.00,80.14,80.82,165518
2022-03-07,80.48,81.16,79.56,79.66,228240
2022-03-08,79.50,79.92,77.80,78.21,621521
2022-03-09,79.31,81.35,79.31,80.90,194546
2022-03-10,79.69,81.50,79.40,81.30,233229
2022-03-11,82.00,82.67,80.56,80.62,194919
2022-03-14,80.55,81.08,79.66,80.01,120219
2022-03-15,80.31,80.52,78.90,79.59,176766
2022-03-16,80.18,81.88,79.90,81.53,182313
2022-03-17,81.17,82.82,81.09,82.82,125941
2022-03-18,82.36,83.39,81.82,82.63,156750
2022-03-21,82.03,82.72,81.10,82.33,221221
2022-03-22,82.32,82.85,81.49,81.57,199984
2022-03-23,81.33,81.44,79.75,79.82,187288
2022-03-24,80.21,81.06,79.14,81.02,277154
2022-03-25,81.22,81.42,79.96,80.44,194339
2022-03-28,80.22,80.67,79.69,80.64,128742
2022-03-29,81.46,82.17,80.92,81.03,135544
2022-03-30,80.47,81.32,80.41,81.01,169805
2022-03-31,81.00,81.13,79.70,79.83,151243
2022-04-01,79.94,79.94,78.92,79.31,244708
2022-04-04,79.30,80.90,79.23,80.74,145541
2022-04-05,80.65,82.90,80.65,82.82,247540
2022-04-06,82.02,82.35,81.42,81.89,186546
2022-04-07,81.92,82.40,80.85,81.57,160814
2022-04-08,81.42,81.90,80.75,81.22,132932
2022-04-11,80.52,81.23,80.52,80.60,139427
2022-04-12,81.06,81.32,80.47,80.58,140277
2022-04-13,80.32,81.60,80.05,81.31,231620
2022-04-14,81.42,81.42,80.30,80.38,84029
2022-04-18,79.95,80.36,79.61,79.83,220585
2022-04-19,79.54,81.30,79.54,81.24,138075
2022-04-20,81.74,82.51,81.57,81.70,105800
2022-04-21,82.37,83.46,82.24,82.57,177226
2022-04-22,82.19,82.19,79.96,80.14,154063
2022-04-25,79.52,81.20,79.11,80.96,204958
2022-04-26,80.34,80.61,79.14,79.48,249124
2022-04-27,80.00,81.61,79.36,80.38,253586
2022-04-28,81.13,81.76,79.89,81.26,187685
2022-04-29,81.03,81.22,79.58,79.73,222673
2022-05-02,79.46,79.91,78.93,79.81,167862
2022-05-03,79.87,82.18,79.73,81.71,203343
2022-05-04,81.60,82.54,80.27,82.38,156961
2022-05-05,81.34,81.64,78.98,79.39,155967
2022-05-06,78.80,80.15,78.27,79.50,209791
2022-05-09,78.23,79.50,77.95,78.82,206853
2022-05-10,79.75,79.91,77.62,78.34,206802
2022-05-11,77.92,78.97,77.58,77.83,245210
2022-05-12,77.09,78.57,76.98,77.81,260798
2022-05-13,78.07,81.00,78.07,80.86,196898
2022-05-16,79.74,81.92,79.74,81.61,156753
2022-05-17,81.79,82.26,80.74,81.84,151999
2022-05-18,80.90,81.98,80.41,80.72,176441
2022-05-19,80.60,83.37,80.60,82.71,185249
2022-05-20,83.08,83.80,82.43,83.44,262104
2022-05-23,83.73,84.54,83.25,84.41,108475
2022-05-24,84.00,84.07,82.40,83.11,146759
2022-05-25,82.58,83.24,82.39,82.96,111823
2022-05-26,82.83,83.41,82.42,82.92,178631
2022-05-27,83.16,85.78,83.08,85.35,209596
2022-05-31,84.40,86.22,84.03,85.43,286792
2022-06-01,85.73,86.24,84.66,84.77,116395
2022-06-02,84.69,85.54,84.08,85.46,125708
2022-06-03,84.80,85.04,84.07,84.35,123129
2022-06-06,85.05,86.28,84.70,85.40,105948
2022-06-07,84.92,85.37,84.23,84.78,92203
2022-06-08,84.83,84.83,83.26,83.55,81189
2022-06-09,83.32,83.50,81.74,81.82,89908
2022-06-10,81.04,81.04,78.77,78.83,188263
2022-06-13,77.36,77.47,75.89,76.16,147299
2022-06-14,76.33,76.33,74.62,75.05,150362
2022-06-15,75.70,76.85,74.97,76.09,134348
2022-06-16,74.92,75.05,73.76,74.15,182966
2022-06-17,74.16,75.85,73.76,75.17,243914
2022-06-21,75.36,76.75,75.36,76.28,152707
2022-06-22,75.55,76.74,75.38,75.96,122823
2022-06-23,76.13,78.06,76.13,77.89,167942
2022-06-24,78.35,80.48,78.35,80.43,218530
2022-06-27,80.45,80.58,79.35,80.31,116891
2022-06-28,80.47,81.30,79.57,79.71,202640
2022-06-29,79.39,79.65,78.83,79.33,101108
2022-06-30,79.42,80.24,78.68,80.10,165006
2022-07-01,79.42,80.24,78.68,80.10,52986
2022-07-05,78.21,79.36,77.39,79.05,160863
2022-07-06,79.17,81.40,79.10,81.16,153300
2022-07-07,81.09,81.76,80.34,81.68,121565
2022-07-08,81.23,82.16,81.23,82.04,101034
2022-07-11,81.27,81.39,80.13,80.23,137767
2022-07-12,79.82,82.25,79.82,81.33,285390
2022-07-13,80.26,82.55,80.07,82.21,187699
2022-07-14,81.23,82.29,80.29,82.03,173470
2022-07-15,82.59,82.90,81.59,81.75,140987
2022-07-18,81.87,83.28,81.79,82.90,170762
2022-07-19,83.41,84.71,83.18,83.72,154646
2022-07-20,83.15,84.83,83.15,84.62,90498
2022-07-21,84.60,85.89,84.23,85.55,92850
2022-07-22,85.21,86.27,84.16,84.31,129952
2022-07-25,84.25,84.53,83.80,84.25,325186
2022-07-26,83.56,83.77,81.65,83.04,158704
