date,open,high,low,close,volume
2021-01-04,75.71,75.71,69.89,70.43,642397
2021-01-05,70.59,73.48,70.59,72.45,514660
2021-01-06,72.62,76.48,72.62,75.45,552659
2021-01-07,75.79,77.41,75.60,76.51,533953
2021-01-08,76.80,79.50,76.80,78.23,392151
2021-01-11,76.84,78.52,76.53,77.19,197566
2021-01-12,76.74,78.90,76.57,77.99,233788
2021-01-13,78.07,84.47,76.32,84.18,737100
2021-01-14,84.05,88.21,83.78,86.71,1116809
2021-01-15,86.25,87.44,85.38,86.34,297526
2021-01-19,86.89,89.41,86.89,88.50,433368
2021-01-20,89.46,90.27,88.52,89.96,540954
2021-01-21,90.44,90.71,88.21,88.74,455824
2021-01-22,87.59,88.12,86.65,87.17,469582
2021-01-25,87.00,87.26,83.12,84.97,474078
2021-01-26,85.63,86.49,84.59,85.57,308707
2021-01-27,84.10,88.48,81.31,88.37,781124
2021-01-28,89.39,92.19,87.89,90.64,664942
2021-01-29,89.59,91.52,87.25,88.69,590180
2021-02-01,89.63,90.12,86.25,89.52,337554
2021-02-02,91.72,92.94,91.28,92.11,238572
2021-02-03,91.97,93.17,91.09,92.64,222958
2021-02-04,93.77,96.71,93.58,95.18,449957
2021-02-05,96.25,96.48,94.03,95.84,246148
2021-02-08,96.50,97.19,95.64,96.67,239976
2021-02-09,96.98,97.45,95.87,96.67,340801
2021-02-10,97.20,97.78,95.15,95.52,363824
2021-02-11,96.05,96.05,93.75,95.30,389348
2021-02-12,95.00,96.09,94.40,94.96,430556
2021-02-16,95.20,96.21,94.22,94.74,585236
2021-02-17,94.00,94.00,89.65,90.73,354113
2021-02-18,89.80,90.32,87.80,88.91,241240
2021-02-19,89.27,94.56,88.90,93.36,576068
2021-02-22,92.64,94.94,91.91,94.91,433235
2021-02-23,93.56,94.87,91.23,94.07,436736
2021-02-24,94.50,97.49,93.30,96.43,597651
2021-02-25,96.67,98.24,91.57,92.11,319685
2021-02-26,92.88,97.49,91.06,94.56,492004
2021-03-01,93.99,98.26,93.03,97.42,482935
2021-03-02,97.30,99.00,95.58,96.08,309514
2021-03-03,95.85,96.45,88.20,89.02,444993
2021-03-04,87.77,88.28,82.27,83.73,526582
2021-03-05,85.26,86.00,79.68,85.76,510666
2021-03-08,86.14,87.62,81.65,81.81,366202
2021-03-09,83.51,86.45,83.37,85.20,403891
2021-03-10,87.09,88.23,86.34,87.05,311994
2021-03-11,88.90,89.44,87.31,89.14,362690
2021-03-12,88.46,89.02,86.52,88.85,278856
2021-03-15,87.88,90.64,87.88,89.22,186495
2021-03-16,89.10,90.85,88.31,88.94,287980
2021-03-17,87.57,90.31,86.31,89.74,206942
2021-03-18,88.98,88.98,85.43,85.94,267948
2021-03-19,86.24,88.64,85.92,88.43,707430
2021-03-22,89.16,90.25,87.29,87.55,339939
2021-03-23,86.63,87.55,83.32,84.33,533555
2021-03-24,85.30,85.73,81.64,81.88,289520
2021-03-25,80.78,85.62,80.50,85.00,327120
2021-03-26,85.61,86.23,83.01,85.58,286484
2021-03-29,84.92,86.98,82.84,82.96,291160
