date,open,high,low,close,volume
2021-01-04,42.47,43.08,40.54,40.61,1115557
2021-01-05,40.20,41.46,40.20,41.06,1279528
2021-01-06,41.36,41.89,41.02,41.15,1141518
2021-01-07,41.22,41.94,40.86,41.74,1114532
2021-01-08,41.91,42.49,41.50,41.59,839599
2021-01-11,41.44,41.81,41.07,41.22,650410
2021-01-12,41.36,41.41,40.52,40.53,883530
2021-01-13,40.62,41.06,40.32,40.40,919156
2021-01-14,40.74,41.32,39.35,39.39,1955095
2021-01-15,39.36,39.97,39.08,39.83,1236855
2021-01-19,39.84,40.43,39.31,40.29,1076509
2021-01-20,40.20,41.37,40.20,41.10,1144408
2021-01-21,41.00,41.29,40.30,40.96,1335671
2021-01-22,40.97,41.38,40.28,41.30,2225284
2021-01-25,41.48,41.88,40.82,41.18,1121227
2021-01-26,41.33,41.51,40.67,41.01,1237428
2021-01-27,40.81,41.00,39.81,40.34,2161694
2021-01-28,40.52,41.84,40.04,41.42,1824679
2021-01-29,41.17,41.57,40.45,41.13,1090629
2021-02-01,41.33,41.96,40.94,41.85,944195
2021-02-02,42.12,43.09,41.73,42.91,821686
2021-02-03,42.93,42.97,42.34,42.70,663371
2021-02-04,42.83,43.33,42.60,43.24,881485
2021-02-05,43.50,44.20,43.24,43.61,716543
2021-02-08,43.41,43.42,42.51,43.10,866837
2021-02-09,43.05,43.10,42.36,42.77,831998
2021-02-10,43.00,43.64,42.84,42.88,820735
2021-02-11,42.91,43.46,42.88,43.42,752892
2021-02-12,43.19,44.18,43.17,44.04,839900
2021-02-16,44.16,44.22,43.60,44.10,1095911
2021-02-17,44.15,44.30,43.77,44.16,1060032
2021-02-18,44.05,44.57,43.29,43.37,1175253
2021-02-19,42.65,43.93,42.33,43.11,1460924
2021-02-22,43.17,43.48,42.67,43.19,1200735
2021-02-23,43.21,43.91,42.78,43.76,1227008
2021-02-24,43.95,44.89,43.81,44.15,1042457
2021-02-25,44.21,44.64,43.61,44.18,2542794
2021-02-26,44.21,45.09,43.94,44.40,2600171
2021-03-01,45.65,45.75,44.02,44.24,1473381
2021-03-02,44.29,44.36,43.75,44.23,1187604
2021-03-03,43.98,44.34,43.17,43.76,4324554
2021-03-04,43.86,44.47,42.69,42.89,1569271
2021-03-05,42.98,43.53,41.87,43.16,1611649
2021-03-08,42.37,42.88,41.52,41.59,1278344
2021-03-09,41.59,42.04,41.53,41.69,1407967
2021-03-10,41.77,42.45,41.37,41.98,1280644
2021-03-11,42.41,42.56,41.58,42.36,1518741
2021-03-12,42.26,42.97,41.91,42.96,1593456
2021-03-15,43.54,45.34,43.31,44.85,2332674
2021-03-16,44.86,45.21,43.62,44.07,1318475
2021-03-17,44.19,44.30,43.35,44.09,1003354
2021-03-18,43.75,44.08,42.55,42.79,929318
2021-03-19,42.68,43.01,42.11,42.12,1857391
2021-03-22,42.34,42.83,42.16,42.37,859159
2021-03-23,42.40,42.60,41.78,42.01,1214005
2021-03-24,42.33,42.65,41.46,41.49,794472
2021-03-25,41.22,41.93,40.71,41.82,842596
2021-03-26,42.01,42.34,41.44,42.26,517451
2021-03-29,42.30,42.58,41.35,41.63,770187
2021-03-30,41.70,42.56,41.52,42.19,829498
2021-03-31,42.15,42.84,41.84,42.43,1189229
2021-04-01,42.94,43.73,42.76,43.67,1561901
2021-04-05,43.95,44.08,43.35,43.91,945107
2021-04-06,44.17,44.22,43.79,43.92,891340
2021-04-07,44.03,44.14,43.52,43.73,808366
2021-04-08,43.85,44.13,43.59,43.70,1050187
2021-04-09,43.68,43.88,43.14,43.26,857485
2021-04-12,43.56,43.56,42.90,43.34,582331
2021-04-13,43.25,44.78,43.05,44.68,2977490
2021-04-14,44.60,45.80,44.60,44.71,1146864
2021-04-15,44.68,45.20,44.63,45.02,934426
2021-04-16,45.11,45.59,44.97,45.43,1291889
2021-04-19,45.56,45.67,44.64,44.81,889178
2021-04-20,44.78,45.61,44.70,45.51,745828
2021-04-21,45.75,46.26,45.47,46.06,824627
2021-04-22,46.07,46.34,45.14,45.16,1552419
2021-04-23,45.20,45.98,45.01,45.94,690081
2021-04-26,46.23,46.31,45.88,46.04,736756
2021-04-27,46.16,46.19,45.78,46.06,821896
2021-04-28,46.21,46.68,45.88,46.03,633928
2021-04-29,46.53,46.94,46.21,46.85,909363
2021-04-30,46.54,46.97,46.11,46.49,1619724
2021-05-03,46.89,47.18,46.36,46.67,1166729
2021-05-04,46.79,46.93,46.40,46.70,1051347
2021-05-05,46.91,46.91,46.01,46.21,1355717
2021-05-06,46.21,46.34,45.04,45.50,749701
2021-05-07,45.56,47.18,45.56,47.11,797939
2021-05-10,47.29,47.50,46.09,46.10,772671
2021-05-11,45.73,45.76,44.97,45.52,562696
2021-05-12,45.46,45.75,44.12,44.30,758368
2021-05-13,44.67,45.22,44.42,44.85,684625
2021-05-14,45.11,46.18,45.02,45.98,644795
2021-05-17,45.89,45.98,45.41,45.67,585464
2021-05-18,45.67,46.25,45.36,45.83,570054
2021-05-19,45.47,45.49,44.97,45.32,718845
2021-05-20,45.32,45.68,45.23,45.60,807358
2021-05-21,45.96,46.13,45.68,45.87,779891
2021-05-24,46.36,46.66,46.12,46.30,750157
2021-05-25,46.28,46.54,46.09,46.27,866422
2021-05-26,46.39,46.82,46.13,46.47,739995
2021-05-27,46.72,46.76,46.03,46.12,748729
2021-05-28,46.46,46.48,46.09,46.36,646124
2021-06-01,46.94,47.24,46.58,47.10,950158
2021-06-02,47.37,47.58,47.00,47.44,1040453
2021-06-03,47.55,47.67,47.03,47.12,651769
2021-06-04,47.23,47.29,46.81,47.18,868502
2021-06-07,47.68,48.10,47.52,47.97,903611
2021-06-08,48.02,48.63,47.97,48.34,686178
2021-06-09,48.50,48.92,48.35,48.45,644743
2021-06-10,47.61,47.95,47.35,47.84,681879
2021-06-11,47.87,47.92,47.52,47.86,725370
2021-06-14,47.98,47.99,47.45,47.83,501536
2021-06-15,47.60,47.70,47.21,47.32,537346
2021-06-16,47.35,47.70,47.01,47.06,504943
2021-06-17,47.01,47.29,46.31,46.88,603928
2021-06-18,46.46,46.61,45.46,45.71,1779610
2021-06-21,45.95,46.67,45.71,46.61,624849
2021-06-22,46.68,46.75,46.17,46.45,464031
2021-06-23,46.39,46.75,46.08,46.09,521336
2021-06-24,46.17,46.30,45.69,45.85,651588
2021-06-25,45.85,46.58,45.74,46.24,1241888
2021-06-28,46.31,46.55,45.58,46.08,715242
2021-06-29,46.08,46.52,45.96,46.08,681398
2021-06-30,46.10,46.54,46.10,46.33,1224063
2021-07-01,46.45,46.67,45.92,46.05,1091120
2021-07-02,46.26,46.61,46.18,46.44,811857
2021-07-06,46.50,46.70,45.46,46.25,774541
2021-07-07,46.31,46.52,46.01,46.21,938565
2021-07-08,45.73,46.15,45.27,45.98,552893
2021-07-09,46.16,46.87,46.13,46.85,632004
2021-07-12,47.00,47.24,46.76,47.12,534164
2021-07-13,47.04,47.15,46.53,46.56,525210
2021-07-14,46.65,47.08,46.62,46.69,387118
2021-07-15,46.62,46.93,46.41,46.90,441874
2021-07-16,47.11,47.49,46.70,46.75,745242
2021-07-19,46.20,46.27,45.11,45.81,1075425
2021-07-20,45.95,47.45,45.82,47.10,1155404
2021-07-21,47.19,47.78,47.14,47.39,840426
2021-07-22,47.16,47.26,46.69,47.06,536944
2021-07-23,47.37,47.53,47.14,47.26,477564
2021-07-26,47.17,47.43,46.93,47.06,771178
2021-07-27,46.96,47.51,46.71,47.46,721682
2021-07-28,47.45,47.73,46.94,47.54,619522
2021-07-29,47.53,47.96,47.48,47.48,748919
2021-07-30,47.46,48.20,47.14,47.34,1090002
2021-08-02,47.63,48.51,46.35,46.49,726137
2021-08-03,46.52,46.70,45.49,46.02,732639
2021-08-04,46.57,48.11,46.23,47.95,1493335
2021-08-05,48.27,49.14,48.26,48.85,1119086
2021-08-06,49.09,49.32,48.20,48.29,437928
2021-08-09,48.16,48.16,47.73,47.84,439729
2021-08-10,47.92,47.96,47.30,47.31,441243
2021-08-11,47.69,48.33,47.30,48.25,484503
2021-08-12,48.36,48.37,47.72,48.32,539012
2021-08-13,48.49,48.62,48.07,48.31,463528
2021-08-16,48.31,48.51,48.10,48.15,485902
2021-08-17,48.01,48.16,47.57,48.07,518990
2021-08-18,48.09,48.10,47.66,47.80,349251
2021-08-19,47.60,47.84,46.92,47.22,687945
2021-08-20,47.21,47.80,46.58,47.54,597994
2021-08-23,47.63,47.98,47.56,47.81,746749
2021-08-24,47.99,48.18,47.76,48.00,597008
2021-08-25,47.98,48.48,47.75,48.10,632642
2021-08-26,47.97,48.40,47.89,48.16,498017
2021-08-27,48.27,48.83,48.18,48.54,597312
2021-08-30,48.80,48.80,48.28,48.49,994736
2021-08-31,48.49,49.46,48.19,49.30,2006249
2021-09-01,49.55,50.10,49.48,50.04,1108790
2021-09-02,50.21,51.07,49.96,51.05,1399322
2021-09-03,51.17,51.46,50.72,51.33,1381316
2021-09-07,51.32,51.33,50.50,50.50,1611923
2021-09-08,50.26,50.98,50.00,50.92,2969061
2021-09-09,50.00,50.12,48.52,48.58,1735694
2021-09-10,49.30,49.30,47.46,48.01,2146619
2021-09-13,48.35,48.74,47.98,48.26,1011999
2021-09-14,48.29,48.48,48.06,48.17,874501
2021-09-15,48.12,48.55,47.93,48.20,703426
2021-09-16,48.16,48.61,48.05,48.24,659857
2021-09-17,48.27,48.49,47.24,47.38,2342748
2021-09-20,46.75,47.20,46.47,47.02,790479
2021-09-21,47.14,47.61,46.97,46.99,836658
2021-09-22,47.29,48.06,47.14,47.79,572309
2021-09-23,48.03,48.37,47.78,47.80,935711
2021-09-24,47.62,48.08,47.23,47.30,582582
2021-09-27,47.46,47.91,46.83,46.94,817104
2021-09-28,46.72,46.86,46.27,46.74,1092240
2021-09-29,46.93,47.51,46.89,47.21,758937
2021-09-30,47.45,47.45,46.15,46.32,946045
2021-10-01,46.47,47.64,46.34,47.32,534960
2021-10-04,47.37,47.82,47.28,47.41,784183
2021-10-05,47.41,48.10,47.09,47.75,1009292
2021-10-06,47.64,48.43,47.35,48.31,1187175
2021-10-07,48.46,48.63,47.96,48.15,814397
2021-10-08,48.14,48.14,47.41,47.49,595446
2021-10-11,47.62,47.76,47.31,47.64,635462
2021-10-12,47.70,48.48,47.62,48.12,754774
2021-10-13,48.22,48.65,47.98,48.53,569694
2021-10-14,48.99,49.15,48.69,48.91,532497
2021-10-15,49.10,50.03,48.97,49.33,823479
2021-10-18,49.00,49.28,48.62,48.78,876988
2021-10-19,48.96,49.44,48.88,48.90,512394
2021-10-20,49.02,49.51,48.90,49.30,404390
2021-10-21,49.29,49.39,48.91,49.32,502405
2021-10-22,49.48,49.73,49.08,49.23,471264
2021-10-25,49.46,49.55,49.11,49.22,555211
2021-10-26,49.39,49.73,49.27,49.52,533954
2021-10-27,49.67,49.68,49.08,49.12,674188
2021-10-28,49.14,50.18,48.94,50.03,693054
2021-10-29,49.20,49.55,48.16,48.49,1642646
2021-11-01,48.76,50.24,48.58,50.01,913949
2021-11-02,50.10,50.24,49.36,49.48,800459
2021-11-03,49.58,49.83,49.02,49.41,892042
2021-11-04,49.50,49.71,47.76,48.11,779318
2021-11-05,48.51,49.22,48.51,48.77,751000
2021-11-08,48.95,48.95,48.29,48.57,443339
2021-11-09,48.52,48.59,48.13,48.58,342560
2021-11-10,48.51,48.79,48.10,48.31,653281
2021-11-11,48.45,48.56,48.05,48.43,537943
2021-11-12,48.55,48.63,47.71,47.88,730126
2021-11-15,48.11,48.41,47.87,48.17,1253344
