date,open,high,low,close,volume
2026-06-03,50.00,51.14,49.95,50.40,62405630
2026-06-04,51.10,52.25,50.50,52.00,31674200
2026-06-05,52.00,52.15,50.82,51.00,9483876
2026-06-08,51.00,51.73,50.00,50.65,4690106
2026-06-09,50.65,51.61,50.01,50.62,5342193
2026-06-10,51.29,51.29,49.88,50.02,23358040
2026-06-11,50.50,51.88,49.05,50.24,5905299
2026-06-12,50.98,51.13,50.00,50.45,4195824
2026-06-15,51.85,51.85,51.10,51.53,4526648
2026-06-16,51.70,52.18,51.25,51.96,11832340
2026-06-17,52.27,52.51,50.80,51.00,3822366
2026-06-18,51.59,51.59,50.50,51.38,2502561
2026-06-22,50.99,50.99,48.73,49.49,2724695
2026-06-23,48.98,49.49,48.70,49.12,5871109
2026-06-24,49.69,49.90,48.72,49.00,1408831
2026-06-25,48.50,49.16,48.11,48.95,1481605
2026-06-26,49.00,49.26,48.05,48.23,2214594
2026-06-29,48.85,50.18,48.85,50.11,4111777
2026-06-30,50.24,50.89,49.85,50.89,21427270
2026-07-01,50.79,51.18,50.55,51.08,4313629
2026-07-02,51.00,51.30,50.21,50.87,3190628
2026-07-06,50.99,51.60,50.61,51.49,6776457
2026-07-07,51.70,52.10,51.31,51.51,4021142
2026-07-08,51.39,51.54,50.53,50.96,515118
2026-07-09,50.69,50.73,49.85,50.69,11606740
2026-07-10,50.66,50.66,50.06,50.41,983251
2026-07-13,50.59,50.59,49.87,49.96,623780
2026-07-14,49.82,50.67,49.82,50.46,323140
2026-07-15,50.51,52.00,50.51,51.73,641292
2026-07-16,52.10,52.10,49.95,50.18,1894775
2026-07-17,49.50,50.11,48.84,49.22,2028756
2026-07-20,49.54,50.58,49.54,49.93,701053
2026-07-21,49.99,49.99,49.42,49.48,1143673
2026-07-22,49.53,49.65,48.91,48.97,722440
2026-07-23,46.95,46.99,46.24,46.56,3129254
2026-07-24,46.50,47.15,46.50,46.81,3435350
2026-07-27,47.43,47.91,47.15,47.51,1576285
2026-07-28,47.80,48.62,47.39,48.46,1494871
2026-07-29,48.60,49.30,48.24,48.77,1537270
2026-07-30,48.86,48.95,48.10,48.59,1570138
2026-07-31,48.40,50.47,48.40,50.16,2836090
2026-08-03,50.69,52.31,50.69,52.09,2008721
2026-08-04,51.66,52.80,51.64,52.58,588103
2026-08-05,53.13,53.13,50.55,51.11,2086015
2026-08-06,50.89,51.26,50.58,50.69,1113475
2026-08-07,50.65,50.79,50.24,50.35,542758
2026-08-10,50.54,50.64,50.15,50.64,177332
2026-08-11,50.53,50.53,49.13,49.19,1948917
2026-08-12,49.20,49.26,48.82,49.12,505158
2026-08-13,49.59,49.59,49.07,49.38,1918640
2026-08-14,49.41,49.80,49.10,49.29,617276
2026-08-17,49.49,49.49,48.78,49.03,394840
2026-08-18,48.81,49.01,48.68,48.85,476452
2026-08-19,48.81,49.26,48.49,48.96,89930
2026-08-20,48.74,48.90,48.31,48.62,721015
2026-08-21,48.96,49.13,48.65,48.99,319872
2026-08-24,48.99,49.59,48.76,49.34,2202414
2026-08-25,49.47,49.51,48.98,49.22,4084096
2026-08-26,49.22,49.22,48.49,48.74,3247128
2026-08-27,48.41,48.67,48.28,48.59,424340
2026-08-28,48.60,49.39,48.54,49.11,612228
2026-08-31,49.09,49.09,48.06,48.46,1207172
2026-09-01,48.16,48.16,47.66,47.77,481333
2026-09-02,47.79,48.36,47.58,48.08,531966
2026-09-03,48.48,48.83,48.41,48.59,1420838
2026-09-04,48.73,48.73,48.00,48.22,124961
2026-09-08,48.09,48.30,47.64,48.08,242791
2026-09-09,47.59,47.60,47.10,47.39,648384
2026-09-10,47.03,47.64,47.03,47.62,300703
2026-09-11,48.30,48.63,47.94,48.17,1348299
2026-09-14,48.54,49.27,48.54,49.27,10561570
2026-09-15,49.03,49.05,48.54,48.86,3340078
