date,open,high,low,close,volume
2016-09-15,53.91,54.52,53.69,54.42,1527025
2016-09-16,53.85,54.02,53.38,53.60,2564887
2016-09-19,54.33,54.39,54.02,54.12,1754152
2016-09-20,54.15,54.26,53.77,53.83,2065378
2016-09-21,53.74,54.07,53.30,54.01,2582387
2016-09-22,54.52,54.84,54.41,54.48,1519246
2016-09-23,54.00,54.41,53.98,54.27,1702454
2016-09-26,53.86,53.88,53.59,53.70,1644782
2016-09-27,53.54,54.18,53.39,54.15,1667843
2016-09-28,54.65,54.73,54.12,54.59,1575208
2016-09-29,54.55,54.58,53.45,53.62,2757949
2016-09-30,53.62,54.09,53.52,53.91,2078714
2016-10-03,54.02,54.10,53.73,54.02,1894590
2016-10-04,54.86,54.90,54.04,54.30,2608450
2016-10-05,54.16,54.30,54.00,54.16,1670481
2016-10-06,53.61,53.75,53.46,53.62,1368950
2016-10-07,53.48,53.76,53.35,53.70,1741374
2016-10-10,53.69,53.95,53.67,53.80,1264910
2016-10-11,53.56,53.59,52.56,52.67,2417898
2016-10-12,52.66,52.74,52.31,52.60,1878286
2016-10-13,52.05,53.23,52.00,52.99,3088864
2016-10-14,52.41,52.54,52.10,52.10,2830258
2016-10-17,51.64,51.88,51.49,51.49,3084757
2016-10-18,52.01,52.25,51.92,52.20,1988360
2016-10-19,51.91,52.14,51.79,51.86,1847234
2016-10-20,51.39,52.00,51.36,51.79,2745778
2016-10-21,51.26,51.56,51.20,51.41,1841955
2016-10-24,51.12,51.27,50.81,50.85,2475289
2016-10-25,50.56,50.64,50.24,50.40,5195750
2016-10-26,49.67,50.60,49.45,50.42,4343031
2016-10-27,50.70,50.88,50.12,50.52,3988138
2016-10-28,50.49,50.54,50.01,50.17,3400446
2016-10-31,49.75,50.18,49.51,50.01,3009779
2016-11-01,49.84,50.14,49.54,49.81,3501185
2016-11-02,49.84,49.89,49.29,49.36,3934249
2016-11-03,49.54,49.59,48.40,48.42,3380463
2016-11-04,48.48,48.60,48.20,48.29,3221506
2016-11-07,48.61,48.75,48.44,48.55,2661721
2016-11-08,48.74,49.25,48.66,48.92,2705320
2016-11-09,50.23,50.75,49.50,50.50,5887457
2016-11-10,49.59,50.19,49.27,49.88,4621552
2016-11-11,49.21,49.52,48.84,48.99,4545199
2016-11-14,48.79,48.85,48.51,48.73,2484189
2016-11-15,48.41,48.74,48.26,48.66,3091306
2016-11-16,48.20,48.60,47.62,47.73,7009489
2016-11-17,47.85,48.15,47.76,48.06,5003710
2016-11-18,47.86,47.92,47.56,47.64,2743678
2016-11-21,47.95,48.07,47.79,48.04,2448438
2016-11-22,48.15,48.24,47.31,47.55,2938526
2016-11-23,47.17,47.67,47.06,47.62,3282738
2016-11-25,48.74,48.74,48.44,48.58,2422219
2016-11-28,48.11,48.21,47.85,47.86,2657521
2016-11-29,47.89,47.96,47.71,47.84,3505261
2016-11-30,47.69,47.76,47.21,47.24,4524723
2016-12-01,46.98,47.10,46.70,46.79,3841934
2016-12-02,46.92,47.31,46.83,47.12,3111912
2016-12-05,47.27,47.31,46.95,47.09,3062818
2016-12-06,46.88,47.25,46.85,47.11,2911650
2016-12-07,46.84,47.04,46.50,46.94,3980645
2016-12-08,46.76,46.89,46.50,46.74,4327750
2016-12-09,47.10,47.34,46.99,47.24,5212341
2016-12-12,47.19,47.45,47.14,47.27,3084054
2016-12-13,47.85,48.37,47.79,48.06,3653721
2016-12-14,47.89,48.09,47.43,47.45,3068250
2016-12-15,47.92,47.92,47.53,47.65,3242250
2016-12-16,48.04,48.27,47.85,48.17,4020002
2016-12-19,47.94,48.21,47.83,47.89,2666014
2016-12-20,47.99,48.04,47.73,47.88,2792472
2016-12-21,47.81,47.96,47.65,47.66,2467659
2016-12-22,47.89,48.06,47.61,47.85,2740651
2016-12-23,47.75,48.02,47.75,47.94,1574564
2016-12-27,47.94,48.09,47.81,47.85,1877870
2016-12-28,47.95,48.06,47.67,47.70,2327150
2016-12-29,48.08,48.25,47.93,48.05,2664026
2016-12-30,48.31,48.42,48.01,48.14,2321839
2017-01-03,48.19,48.59,48.06,48.55,3095782
2017-01-04,48.62,48.96,48.54,48.86,2390097
2017-01-05,49.00,49.74,48.98,49.66,2415293
2017-01-06,49.20,49.38,49.17,49.23,2312996
2017-01-09,49.04,49.50,48.99,49.29,3072720
2017-01-10,49.24,49.33,49.12,49.17,2467600
2017-01-11,49.09,49.20,48.45,48.81,4309607
2017-01-12,48.67,48.94,48.50,48.76,3392401
2017-01-13,48.70,49.16,48.56,49.02,2578064
2017-01-17,49.05,49.21,48.67,49.12,3199017
2017-01-18,48.67,48.84,48.51,48.61,2409649
2017-01-19,48.75,48.84,48.34,48.44,3098020
2017-01-20,48.34,48.44,48.19,48.40,1799982
2017-01-23,48.46,48.73,48.20,48.65,2797298
2017-01-24,48.41,48.49,48.14,48.41,2369401
2017-01-25,48.88,48.88,48.48,48.60,3908620
2017-01-26,48.67,48.70,48.44,48.52,2600903
2017-01-27,48.46,48.58,48.27,48.41,2197146
2017-01-30,48.46,48.76,48.35,48.75,2960282
2017-01-31,48.48,49.19,48.46,49.14,2791990
2017-02-01,49.49,49.49,48.94,49.33,2860209
2017-02-02,49.08,49.28,48.91,49.12,2210560
2017-02-03,49.11,49.26,49.05,49.15,2174249
2017-02-06,49.04,49.48,49.00,49.45,2039918
2017-02-07,49.26,49.56,49.24,49.33,3263314
2017-02-08,49.12,49.83,49.06,49.69,3106704
2017-02-09,50.29,50.40,50.00,50.02,3144495
2017-02-10,49.98,50.58,49.88,50.35,2948626
2017-02-13,50.25,50.38,49.90,49.99,5291195
2017-02-14,49.85,50.15,49.74,50.14,3619575
2017-02-15,49.98,50.73,49.91,50.71,3267706
2017-02-16,51.38,51.48,51.08,51.15,3530758
2017-02-17,51.27,51.67,51.10,51.67,3418296
2017-02-21,51.77,52.19,51.64,52.04,4775002
2017-02-22,51.21,51.55,51.17,51.29,3027892
2017-02-23,51.58,52.01,51.45,51.86,2284394
2017-02-24,51.56,51.95,51.48,51.95,2557873
2017-02-27,51.54,52.09,51.51,51.96,2208249
2017-02-28,51.84,52.14,51.77,51.85,2200931
2017-03-01,51.76,52.05,51.51,51.73,2330453
2017-03-02,51.84,52.28,51.73,52.08,1985125
2017-03-03,52.19,52.54,52.15,52.49,2345278
2017-03-06,52.21,52.45,52.19,52.27,1928139
2017-03-07,51.44,51.96,51.40,51.80,2482018
2017-03-08,51.36,51.70,51.34,51.41,2680990
2017-03-09,51.42,51.86,51.42,51.81,1816934
2017-03-10,51.69,51.82,51.61,51.71,2098986
2017-03-13,51.92,52.14,51.86,52.06,1738594
2017-03-14,51.89,52.24,51.89,52.16,1952130
2017-03-15,52.05,52.54,52.02,52.50,2500374
2017-03-16,52.91,52.99,52.64,52.83,2217248
2017-03-17,52.91,53.03,52.77,52.84,1909169
2017-03-20,52.79,53.06,52.79,52.90,2719976
2017-03-21,53.05,53.19,52.84,52.90,2281606
2017-03-22,52.83,53.02,52.69,52.85,1657249
2017-03-23,52.77,53.23,52.73,52.89,1422580
2017-03-24,52.80,52.98,52.74,52.89,1607653
2017-03-27,53.14,53.52,53.09,53.36,1646133
2017-03-28,53.26,53.34,52.96,53.01,1529356
2017-03-29,52.71,53.46,52.69,53.41,3921914
2017-03-30,53.42,53.45,52.96,53.10,2095661
2017-03-31,52.83,53.04,52.69,52.70,3154435
2017-04-03,52.46,52.77,52.23,52.54,2921572
2017-04-04,52.25,52.60,52.21,52.55,2266210
2017-04-05,52.55,52.95,52.40,52.41,2662144
2017-04-06,51.86,51.99,51.69,51.77,2681858
2017-04-07,51.77,51.98,51.54,51.84,2934210
2017-04-10,51.85,51.98,51.58,51.62,1876267
2017-04-11,51.96,52.26,51.81,52.23,2572284
2017-04-12,52.26,52.42,52.15,52.33,1206810
2017-04-13,52.19,52.41,52.12,52.26,2147722
2017-04-17,52.23,52.45,52.17,52.30,1270549
2017-04-18,51.83,51.88,51.28,51.60,1981951
2017-04-19,51.38,51.40,51.02,51.05,2797507
2017-04-20,51.11,51.13,50.89,50.89,2767774
2017-04-21,50.83,50.99,50.75,50.98,2588291
2017-04-24,51.42,51.57,51.29,51.40,2460427
2017-04-25,51.80,52.18,51.62,51.85,2791094
2017-04-26,51.40,51.69,50.83,50.85,3345275
2017-04-27,50.65,51.14,50.56,50.98,2751551
2017-04-28,50.84,51.16,50.80,51.12,1849486
2017-05-01,51.23,51.27,51.02,51.04,1239114
2017-05-02,51.41,51.79,51.26,51.77,2410971
2017-05-03,51.40,51.55,51.30,51.45,1757867
2017-05-04,51.76,52.20,51.74,52.19,2161864
2017-05-05,52.21,52.25,52.08,52.23,1810626
2017-05-08,52.64,52.64,52.05,52.12,2241164
2017-05-09,52.48,52.50,52.19,52.41,2576733
2017-05-10,52.50,52.88,52.30,52.85,3111502
2017-05-11,52.80,53.48,52.79,53.26,3396716
2017-05-12,53.75,54.29,53.71,54.08,3511071
2017-05-15,53.88,54.24,53.84,54.24,2137824
2017-05-16,54.33,54.60,54.16,54.27,2582213
2017-05-17,54.58,54.76,54.02,54.04,2385354
2017-05-18,53.75,54.15,53.60,54.05,3010734
2017-05-19,54.10,54.55,54.09,54.50,2195622
2017-05-22,54.31,54.50,54.04,54.12,2715456
2017-05-23,53.89,54.16,53.62,53.70,2656094
