date,open,high,low,close,volume
2021-01-04,128.40,128.40,123.08,126.06,487404
2021-01-05,125.03,127.21,125.03,126.59,289027
2021-01-06,125.13,129.44,124.25,127.91,599668
2021-01-07,128.91,132.91,128.13,132.54,802356
2021-01-08,133.90,134.22,130.06,130.92,756691
2021-01-11,129.26,131.58,128.98,130.44,387753
2021-01-12,130.78,131.07,128.00,128.92,328441
2021-01-13,129.00,129.65,126.57,127.26,458055
2021-01-14,127.68,128.50,125.12,125.30,897553
2021-01-15,125.62,127.06,124.22,125.00,280084
2021-01-19,125.81,126.87,124.54,126.15,560543
2021-01-20,127.64,128.05,125.66,125.68,478366
2021-01-21,126.21,126.21,124.54,124.90,361153
2021-01-22,124.90,125.50,123.56,123.71,448104
2021-01-25,124.73,124.73,120.22,122.95,567941
2021-01-26,122.96,123.31,120.53,121.66,528215
2021-01-27,120.40,121.09,117.34,117.55,1009442
2021-01-28,118.33,119.92,117.68,118.77,892760
2021-01-29,117.85,118.31,114.04,114.74,793595
2021-02-01,115.65,116.11,114.19,115.69,564471
2021-02-02,116.09,120.47,115.54,119.21,721974
2021-02-03,119.44,120.70,118.33,119.12,373850
2021-02-04,120.16,120.90,118.66,120.82,341600
2021-02-05,121.23,122.44,120.66,121.37,247394
2021-02-08,122.21,125.00,121.78,123.70,375083
2021-02-09,124.01,126.90,123.67,126.33,341095
2021-02-10,126.60,128.21,125.89,127.03,409171
2021-02-11,127.69,128.22,126.51,127.21,451745
2021-02-12,127.58,129.31,126.80,128.69,297506
2021-02-16,128.81,129.80,126.09,127.65,588252
2021-02-17,126.71,126.71,124.26,125.33,332344
2021-02-18,123.93,126.31,123.06,125.12,285405
2021-02-19,125.69,127.62,125.31,125.96,314886
2021-02-22,124.34,124.86,122.15,123.08,393946
2021-02-23,121.47,122.50,117.10,120.25,725044
2021-02-24,119.89,120.83,117.81,119.51,660991
2021-02-25,118.84,119.41,113.00,113.52,1143189
2021-02-26,114.03,114.49,110.52,110.99,1213365
2021-03-01,112.70,116.79,112.43,115.65,1384681
