date,open,high,low,close,volume
2021-01-04,74.32,74.69,70.47,71.00,623788
2021-01-05,70.69,72.50,70.66,71.55,417031
2021-01-06,72.30,74.55,72.03,74.00,917734
2021-01-07,74.92,75.38,73.75,74.54,554896
2021-01-08,74.78,75.53,73.97,74.33,411684
2021-01-11,73.63,73.78,72.75,73.30,318539
2021-01-12,73.80,74.74,73.15,73.62,379598
2021-01-13,73.13,73.48,71.36,72.07,641248
2021-01-14,72.86,73.96,72.35,72.71,765683
2021-01-15,72.36,72.41,70.77,70.94,460968
2021-01-19,71.50,72.91,71.01,71.34,830037
2021-01-20,71.99,72.26,70.36,71.87,798686
2021-01-21,71.58,72.66,70.71,72.52,714216
2021-01-22,71.47,72.33,71.04,71.05,468810
2021-01-25,70.46,70.79,67.71,70.57,890134
2021-01-26,71.00,71.76,70.21,70.35,611409
2021-01-27,69.47,69.47,65.70,65.95,1138053
2021-01-28,67.42,70.00,67.32,68.47,1008370
2021-01-29,67.69,68.37,65.44,65.66,912896
2021-02-01,66.80,67.73,66.11,66.94,643615
2021-02-02,68.09,70.26,67.82,69.44,865995
2021-02-03,69.73,71.39,69.55,70.68,545556
2021-02-04,71.35,72.60,71.00,72.00,453796
2021-02-05,72.70,74.23,72.53,73.94,598460
2021-02-08,74.43,75.24,73.31,73.77,458841
2021-02-09,73.51,73.81,72.00,73.17,390824
2021-02-10,73.37,74.33,73.16,73.59,448754
2021-02-11,73.73,74.35,73.09,74.00,438297
2021-02-12,72.00,76.42,72.00,76.39,761375
2021-02-16,77.44,78.79,77.01,78.68,850622
2021-02-17,77.76,79.99,77.05,78.44,749989
2021-02-18,77.19,78.88,75.33,78.56,1379353
2021-02-19,79.10,82.86,78.91,82.26,786428
2021-02-22,82.98,85.75,82.87,83.63,1015078
2021-02-23,85.34,86.95,81.48,86.42,976062
2021-02-24,87.01,91.19,86.94,91.15,1078066
2021-02-25,91.15,92.22,85.48,87.12,716450
2021-02-26,87.64,88.94,85.62,87.95,787123
2021-03-01,90.00,90.00,87.53,88.13,688908
2021-03-02,87.71,88.26,87.05,87.98,797731
2021-03-03,88.58,90.47,87.69,88.08,588447
2021-03-04,88.15,88.56,82.50,84.84,1242251
2021-03-05,85.07,86.34,80.48,86.25,860349
2021-03-08,87.22,88.32,86.31,87.46,672696
2021-03-09,88.10,88.31,85.48,85.82,600006
2021-03-10,85.92,87.43,84.76,84.85,599505
2021-03-11,85.36,86.96,84.42,86.25,838127
2021-03-12,86.41,87.71,86.09,86.40,904279
2021-03-15,87.46,89.27,86.14,89.06,1267561
2021-03-16,89.25,89.25,85.88,86.25,583285
2021-03-17,85.76,89.60,85.60,89.55,509404
2021-03-18,88.99,89.41,86.82,87.09,704897
2021-03-19,86.47,87.87,84.19,87.00,717842
2021-03-22,86.54,86.80,84.70,85.52,367052
2021-03-23,84.47,84.47,79.38,79.81,983088
2021-03-24,81.06,82.77,80.10,80.46,562225
2021-03-25,80.11,82.69,78.18,82.46,681771
2021-03-26,83.73,83.79,80.25,83.06,833560
2021-03-29,83.01,83.66,80.88,81.43,347269
2021-03-30,81.94,84.13,81.88,83.28,261824
2021-03-31,83.60,84.18,82.26,82.70,435208
2021-04-01,83.25,84.11,82.65,83.63,406056
2021-04-05,85.08,86.34,84.68,85.69,341982
2021-04-06,86.17,87.72,85.86,86.12,559780
2021-04-07,86.52,86.97,84.33,84.74,359621
2021-04-08,84.74,85.36,83.10,84.40,383614
2021-04-09,83.95,84.53,83.08,84.18,319929
2021-04-12,84.19,84.83,83.01,84.48,394400
2021-04-13,83.50,84.03,82.06,83.64,443911
2021-04-14,83.73,85.75,83.73,84.10,357284
2021-04-15,84.60,85.01,83.26,83.67,323158
2021-04-16,84.60,85.45,84.01,84.17,270113
2021-04-19,83.77,83.88,82.05,82.35,625432
2021-04-20,81.48,81.74,78.59,79.88,626924
2021-04-21,79.82,82.27,78.60,81.85,318486
2021-04-22,81.60,83.81,81.18,82.11,318692
2021-04-23,82.63,83.54,82.03,83.21,274385
2021-04-26,84.21,85.38,83.00,83.05,294580
2021-04-27,83.48,84.15,83.06,83.95,315382
2021-04-28,84.23,84.40,83.05,83.22,309690
2021-04-29,84.27,85.27,83.18,83.84,384689
2021-04-30,83.15,83.47,81.95,82.33,345882
2021-05-03,82.99,83.65,81.84,81.96,455241
2021-05-04,81.46,81.47,78.69,80.68,572140
2021-05-05,78.00,82.89,78.00,80.01,678168
2021-05-06,79.97,80.20,76.76,78.87,453997
2021-05-07,78.81,80.78,78.63,80.47,295339
2021-05-10,80.10,80.12,78.28,78.75,382847
2021-05-11,76.94,78.68,76.75,78.41,376668
2021-05-12,77.83,78.43,75.16,75.34,405649
2021-05-13,75.59,77.20,75.33,76.50,381688
2021-05-14,77.36,79.89,77.19,79.23,474944
2021-05-17,78.75,78.75,76.44,77.82,462489
2021-05-18,78.00,79.39,77.00,77.03,500951
2021-05-19,75.24,76.72,75.00,76.29,343116
2021-05-20,76.29,76.40,75.05,76.22,449389
2021-05-21,76.88,77.27,76.25,76.58,372206
2021-05-24,77.68,77.76,76.42,76.90,399686
2021-05-25,77.44,78.74,76.90,77.01,593605
2021-05-26,77.51,78.73,77.37,78.46,686743
2021-05-27,79.06,79.30,77.68,78.53,485391
2021-05-28,78.64,78.83,77.39,78.08,276979
2021-06-01,79.20,80.21,79.08,79.94,486447
2021-06-02,80.26,80.34,78.93,79.32,451719
2021-06-03,78.55,78.81,77.27,78.55,344893
2021-06-04,79.16,79.87,78.38,79.00,309322
2021-06-07,79.17,79.65,78.80,79.24,382966
2021-06-08,80.13,82.90,79.33,82.79,607063
2021-06-09,83.31,83.31,80.87,81.04,611711
2021-06-10,81.03,81.63,80.17,80.89,683132
2021-06-11,80.75,81.99,80.22,81.86,942109
2021-06-14,82.26,82.72,81.73,82.27,366093
2021-06-15,82.22,82.79,81.28,82.00,718197
2021-06-16,82.08,83.88,81.76,83.29,820130
2021-06-17,83.53,84.62,82.61,82.63,1054323
2021-06-18,81.74,82.11,79.39,80.02,1125301
2021-06-21,80.51,82.83,80.13,82.81,486543
2021-06-22,82.45,82.98,81.52,82.06,342786
2021-06-23,81.83,82.52,81.57,81.88,416518
2021-06-24,82.59,82.90,80.36,81.23,474233
2021-06-25,81.21,82.13,79.97,81.09,818261
2021-06-28,80.73,80.95,76.32,77.63,1180646
2021-06-29,77.78,78.20,76.55,76.69,471889
2021-06-30,76.62,77.78,76.50,77.64,624915
2021-07-01,78.00,79.30,78.00,78.59,416399
2021-07-02,78.99,79.43,78.60,79.25,364330
2021-07-06,79.49,79.62,77.14,78.24,440650
2021-07-07,77.72,78.72,75.89,77.63,473793
2021-07-08,76.07,78.20,75.18,76.82,442849
2021-07-09,77.99,79.56,77.33,79.45,328548
2021-07-12,78.70,79.91,78.32,79.08,378484
2021-07-13,78.55,78.80,77.20,77.28,336416
2021-07-14,77.83,78.70,76.67,77.63,381259
2021-07-15,77.23,77.89,76.58,77.58,365752
2021-07-16,78.53,78.69,74.89,75.53,476759
2021-07-19,73.07,74.42,71.41,72.02,736452
2021-07-20,72.02,74.63,71.12,74.12,863772
2021-07-21,75.17,77.69,75.11,77.60,616419
2021-07-22,76.99,78.10,76.25,77.40,619154
2021-07-23,77.79,78.34,77.21,77.47,299688
2021-07-26,77.19,78.71,76.82,78.63,302264
2021-07-27,78.24,79.19,77.34,78.85,370522
2021-07-28,79.40,79.75,76.95,79.08,464448
2021-07-29,79.59,81.96,78.50,81.02,428273
2021-07-30,80.25,81.45,79.50,79.87,395607
2021-08-02,80.61,81.21,77.19,77.37,700977
2021-08-03,76.91,77.20,74.16,75.80,743272
2021-08-04,74.00,75.21,72.18,72.90,1022784
2021-08-05,73.54,75.55,73.10,74.89,474883
2021-08-06,74.89,75.87,74.01,75.48,367446
2021-08-09,75.00,75.07,73.02,73.97,545620
2021-08-10,73.61,75.03,73.61,74.56,524237
2021-08-11,74.10,74.28,73.04,73.79,488309
2021-08-12,73.20,73.32,71.83,72.50,403109
2021-08-13,72.14,72.55,71.85,72.14,341526
2021-08-16,72.02,72.91,71.23,72.25,587650
2021-08-17,71.37,71.83,70.06,71.40,955727
2021-08-18,71.24,71.24,69.81,70.41,714739
2021-08-19,69.79,69.88,67.70,69.36,816527
2021-08-20,68.61,70.23,68.11,70.16,631836
2021-08-23,70.24,71.77,70.16,71.48,468798
2021-08-24,72.27,75.39,72.02,74.75,816787
2021-08-25,75.05,75.25,73.73,75.09,382302
2021-08-26,74.41,74.99,72.67,73.15,331957
2021-08-27,73.06,75.23,73.06,74.55,410932
2021-08-30,74.88,74.88,73.43,73.48,298542
2021-08-31,73.12,73.86,72.79,73.59,247518
2021-09-01,73.90,74.27,73.15,73.33,315784
