date,open,high,low,close,volume
2021-01-04,132.48,132.85,126.42,127.62,428678
2021-01-05,127.71,131.00,127.69,130.88,309001
2021-01-06,130.33,135.19,130.33,134.32,537213
2021-01-07,135.78,137.41,135.32,137.04,419645
2021-01-08,137.44,139.15,136.38,138.50,430736
2021-01-11,136.02,138.76,136.02,137.65,232993
2021-01-12,138.46,138.65,136.74,137.08,229015
2021-01-13,136.46,138.45,136.39,138.02,271465
2021-01-14,139.05,141.31,138.04,138.78,499411
2021-01-15,137.84,137.84,134.91,135.06,483508
2021-01-19,136.03,137.36,135.45,136.01,343128
2021-01-20,137.03,137.60,136.04,136.72,369553
2021-01-21,135.72,136.53,131.00,131.61,519031
2021-01-22,130.25,131.50,128.26,128.70,705835
2021-01-25,128.39,128.78,125.84,126.34,435511
2021-01-26,127.25,127.94,121.99,122.13,377324
2021-01-27,121.19,121.46,115.57,116.13,731595
2021-01-28,117.54,120.61,116.30,118.43,803054
2021-01-29,117.87,119.04,116.31,117.74,553605
2021-02-01,119.40,120.24,118.02,119.22,413294
2021-02-02,121.18,125.21,120.45,124.93,601761
2021-02-03,124.58,127.39,123.90,126.80,412611
2021-02-04,127.68,129.73,127.15,128.71,346679
2021-02-05,129.44,130.27,128.03,128.97,291848
2021-02-08,129.77,131.94,129.77,131.84,206385
2021-02-09,131.46,131.85,129.50,131.54,193728
2021-02-10,132.20,133.04,129.77,129.91,268917
2021-02-11,130.62,132.09,129.74,130.45,201850
2021-02-12,129.54,130.20,128.35,128.54,298580
2021-02-16,128.64,129.09,127.21,127.36,270222
2021-02-17,126.48,128.91,125.80,128.34,226187
2021-02-18,127.07,128.84,126.29,128.09,219659
2021-02-19,128.75,132.29,128.56,132.16,290245
2021-02-22,130.42,132.25,129.30,129.59,208860
2021-02-23,128.67,132.75,128.12,132.37,386298
2021-02-24,128.61,134.47,127.17,133.04,506209
2021-02-25,132.29,132.51,126.99,127.90,516909
2021-02-26,127.94,127.94,124.26,125.78,478408
2021-03-01,128.45,130.99,128.22,130.17,307385
2021-03-02,129.99,130.49,128.76,129.30,166018
2021-03-03,129.83,130.05,126.46,126.56,230180
2021-03-04,126.55,127.70,121.17,123.00,361280
2021-03-05,124.68,124.68,117.06,123.33,625357
2021-03-08,124.66,125.67,122.95,123.44,360433
2021-03-09,123.86,126.83,122.90,125.32,344523
2021-03-10,126.85,126.93,123.67,125.86,181453
2021-03-11,126.19,127.80,124.76,126.18,195253
2021-03-12,126.63,130.90,126.48,130.70,326404
2021-03-15,131.23,132.74,130.71,132.45,270388
2021-03-16,132.68,133.28,131.19,131.82,371888
2021-03-17,132.40,133.66,131.55,133.18,248131
2021-03-18,131.96,133.49,128.42,128.52,292711
2021-03-19,128.21,128.21,124.76,125.26,754660
2021-03-22,125.00,126.17,124.25,125.23,267977
2021-03-23,124.11,125.31,121.21,121.97,312012
2021-03-24,123.01,126.09,122.56,122.75,316807
2021-03-25,122.17,122.99,118.52,122.42,415966
2021-03-26,123.24,123.59,121.26,123.46,275935
2021-03-29,123.55,124.50,122.03,122.97,281468
2021-03-30,122.96,124.99,122.46,123.80,217213
2021-03-31,124.34,125.93,123.95,125.80,482902
2021-04-01,127.54,129.85,126.51,127.98,416343
2021-04-05,128.75,130.84,127.98,129.17,287726
2021-04-06,128.42,130.85,127.87,130.01,209494
2021-04-07,130.67,130.67,127.39,128.13,159643
2021-04-08,127.49,132.01,126.76,131.70,547021
2021-04-09,131.47,131.68,129.59,131.34,229249
2021-04-12,130.94,132.04,130.07,132.03,193688
2021-04-13,131.15,132.40,130.55,132.10,223442
2021-04-14,132.93,134.60,132.79,133.77,239251
2021-04-15,134.56,135.97,132.99,135.31,337142
2021-04-16,135.96,136.00,133.90,135.46,246329
2021-04-19,135.28,135.28,133.10,133.76,281258
2021-04-20,132.38,133.19,130.60,132.68,400953
2021-04-21,132.43,135.90,132.03,134.99,404959
2021-04-22,137.39,140.44,136.79,137.58,493940
2021-04-23,138.10,139.90,137.75,139.20,173830
2021-04-26,140.47,141.74,139.32,139.60,392041
2021-04-27,140.70,141.59,139.20,139.99,280132
2021-04-28,139.19,140.92,139.01,140.44,282703
2021-04-29,141.73,142.89,140.80,142.46,252810
2021-04-30,141.69,141.86,139.64,140.80,217325
2021-05-03,141.93,141.93,138.85,139.95,205348
2021-05-04,139.17,140.02,137.07,139.69,279456
2021-05-05,140.08,140.22,136.76,136.99,223983
2021-05-06,136.93,138.22,135.00,138.08,282209
2021-05-07,137.86,142.04,137.40,141.63,335314
2021-05-10,142.50,142.50,139.10,139.10,540685
2021-05-11,136.92,138.98,128.50,138.19,480409
2021-05-12,137.64,138.36,131.19,131.22,409919
2021-05-13,131.93,134.98,131.93,132.88,294510
2021-05-14,134.36,136.96,133.12,136.48,145576
2021-05-17,135.28,135.38,133.16,133.79,350845
2021-05-18,133.20,133.40,131.85,131.94,319300
2021-05-19,129.13,130.07,127.52,130.03,493106
2021-05-20,130.92,132.39,130.05,132.34,440494
