date,open,high,low,close,volume
2021-01-04,49.63,49.80,48.02,48.29,2963883
2021-01-05,48.40,48.60,47.66,47.97,2612540
2021-01-06,49.01,51.06,48.91,50.86,2535340
2021-01-07,50.75,51.17,50.08,50.40,2556306
2021-01-08,50.41,50.53,48.99,49.89,2032143
2021-01-11,49.45,50.68,49.37,50.25,1804885
2021-01-12,50.70,51.95,50.56,51.86,2872685
2021-01-13,51.59,52.48,51.37,51.90,2381466
2021-01-14,52.09,52.96,51.77,52.37,1669212
2021-01-15,51.79,52.09,51.15,51.67,1804640
2021-01-19,52.44,52.95,51.62,52.66,1897702
2021-01-20,52.38,53.04,52.10,52.49,1478418
2021-01-21,52.32,52.92,50.95,51.02,2624398
2021-01-22,50.84,50.84,49.43,50.37,1831559
2021-01-25,49.68,50.80,49.52,50.70,1582822
2021-01-26,51.00,51.12,49.89,49.91,1117473
2021-01-27,49.23,49.64,47.71,48.01,1753740
2021-01-28,48.53,49.44,48.36,48.99,1356001
2021-01-29,48.60,48.88,47.47,48.02,1572506
2021-02-01,48.37,48.70,47.90,48.34,1380828
2021-02-02,48.82,49.53,48.64,49.27,2066911
2021-02-03,49.04,49.65,48.98,49.43,1527020
2021-02-04,49.78,51.09,49.48,50.94,2600128
2021-02-05,50.60,51.33,50.00,50.44,2965277
2021-02-08,50.50,50.55,49.59,50.31,1868653
2021-02-09,50.25,50.47,49.72,50.24,1909172
2021-02-10,50.20,50.78,50.01,50.55,1535883
2021-02-11,50.58,51.59,50.17,50.36,1414246
2021-02-12,49.91,50.39,48.84,49.61,2104013
2021-02-16,49.97,50.00,48.74,48.80,2707604
2021-02-17,48.66,50.39,48.60,50.10,3747058
2021-02-18,49.64,50.01,49.37,49.42,1943880
2021-02-19,49.80,50.10,49.47,49.86,2333728
2021-02-22,49.99,51.10,49.86,51.03,1626523
2021-02-23,51.56,52.56,51.27,51.87,2731792
2021-02-24,51.97,53.79,51.91,53.15,2515871
2021-02-25,53.45,53.95,51.86,51.89,2278083
2021-02-26,51.49,51.67,50.37,50.69,2611086
2021-03-01,51.45,52.43,51.45,51.96,1829607
2021-03-02,51.81,52.01,51.55,51.60,1885323
2021-03-03,51.80,53.14,51.61,52.42,2205518
2021-03-04,52.48,52.82,50.63,52.05,2270497
2021-03-05,52.68,53.86,52.26,53.62,2234479
2021-03-08,54.26,55.87,53.79,54.79,2475002
2021-03-09,54.12,55.50,53.66,54.41,2615706
2021-03-10,54.55,55.09,54.14,54.71,1483459
2021-03-11,54.33,55.08,54.18,54.41,1613488
2021-03-12,55.27,55.83,54.78,55.45,1557204
2021-03-15,55.32,57.54,55.02,57.50,3641003
2021-03-16,56.94,57.18,55.88,56.70,2794955
2021-03-17,57.09,57.60,56.14,57.41,2256957
2021-03-18,57.94,68.95,57.70,68.15,23993270
2021-03-19,67.90,69.00,67.09,67.68,16201350
2021-03-22,67.71,67.99,66.60,67.29,4737266
2021-03-23,65.76,67.62,65.70,67.30,5909662
2021-03-24,68.00,69.60,66.97,67.05,5992467
2021-03-25,67.62,69.45,66.41,69.17,4123026
2021-03-26,69.21,69.39,67.23,67.70,3946079
2021-03-29,65.10,66.65,64.82,65.96,5991973
2021-03-30,65.95,67.89,65.09,67.71,6558772
2021-03-31,68.00,68.17,66.26,66.79,3539836
2021-04-01,66.37,68.35,65.73,68.28,3143514
2021-04-05,68.96,69.47,68.04,68.30,2494133
2021-04-06,68.07,68.30,67.34,67.80,2254337
2021-04-07,67.81,68.21,67.26,68.15,1691906
2021-04-08,67.54,67.96,66.55,66.56,3425559
2021-04-09,67.23,67.31,65.83,66.79,2390822
2021-04-12,67.08,67.33,66.13,66.52,1652823
2021-04-13,66.33,66.77,65.92,66.61,2219837
2021-04-14,66.50,66.78,66.01,66.11,2682698
2021-04-15,66.11,67.02,65.74,66.89,2346550
2021-04-16,67.35,67.67,66.08,66.25,2251265
2021-04-19,66.35,66.90,65.71,66.73,2262934
2021-04-20,66.46,66.49,65.45,65.73,2574149
2021-04-21,65.92,67.49,65.74,67.45,1571466
2021-04-22,65.75,67.69,65.70,66.66,6728054
2021-04-23,67.24,68.54,66.99,68.33,3660322
2021-04-26,68.50,69.33,68.44,68.69,3665569
2021-04-27,68.54,69.94,68.35,69.50,5660884
2021-04-28,67.52,68.13,65.80,67.60,7324674
2021-04-29,67.97,68.48,65.86,66.65,4174860
2021-04-30,66.63,66.94,65.43,65.96,4108642
2021-05-03,66.47,66.74,65.57,66.05,2230551
2021-05-04,66.22,67.06,65.68,66.81,2277681
2021-05-05,66.68,66.96,65.44,66.70,2105369
2021-05-06,66.65,67.14,66.37,66.89,2251958
2021-05-07,65.87,67.03,65.72,66.65,3313871
2021-05-10,66.86,67.25,65.80,65.89,1980887
2021-05-11,65.50,65.56,63.78,63.99,3331018
2021-05-12,64.66,64.66,63.23,63.38,2137898
2021-05-13,63.40,65.08,63.22,64.82,2364056
2021-05-14,65.00,66.30,64.97,66.07,1678511
2021-05-17,66.06,66.95,65.62,66.15,3362009
2021-05-18,66.17,66.66,65.42,65.43,2924427
2021-05-19,64.74,66.05,64.16,65.93,2516565
2021-05-20,66.09,66.22,65.45,65.68,1698995
2021-05-21,65.97,66.74,65.21,65.41,3061295
2021-05-24,65.66,66.22,65.11,65.24,2976061
2021-05-25,65.23,65.79,64.53,64.58,3003182
2021-05-26,65.02,65.41,64.54,64.94,1940640
2021-05-27,65.61,65.98,65.17,65.76,3836773
2021-05-28,65.48,65.79,64.87,65.35,2377227
2021-06-01,66.00,66.40,65.20,65.49,1604575
2021-06-02,65.65,65.85,65.31,65.51,1168713
2021-06-03,65.25,65.87,64.98,65.62,1010978
2021-06-04,65.64,65.84,64.97,65.79,1555468
2021-06-07,65.88,65.96,64.98,65.17,1221942
2021-06-08,64.90,66.12,64.77,65.89,1846747
2021-06-09,65.67,66.32,65.07,66.00,2658440
2021-06-10,66.75,66.91,64.86,64.88,1712718
2021-06-11,65.03,65.44,64.88,65.12,1207589
2021-06-14,65.00,65.24,64.53,64.71,1641606
2021-06-15,64.75,65.42,64.47,64.77,1655129
2021-06-16,64.44,65.09,64.22,64.60,1440021
2021-06-17,64.74,64.74,62.73,62.86,2505709
2021-06-18,61.86,62.38,60.77,60.85,3300425
2021-06-21,61.29,62.17,60.87,62.15,2513789
2021-06-22,62.19,62.27,61.44,61.87,2179961
2021-06-23,61.90,62.47,61.44,61.82,1834612
2021-06-24,61.92,62.34,61.46,62.21,1208301
2021-06-25,62.60,63.61,62.27,63.42,1573756
2021-06-28,63.30,63.30,61.66,62.24,2697850
2021-06-29,62.67,63.12,61.65,62.08,2460631
2021-06-30,61.71,62.34,61.44,61.97,2085796
2021-07-01,62.41,63.18,62.17,62.69,991566
2021-07-02,62.72,62.92,61.98,62.16,1468976
2021-07-06,61.74,61.76,60.44,61.23,1402349
2021-07-07,60.73,61.89,60.58,61.86,1280662
2021-07-08,61.13,61.28,59.86,60.09,2465568
2021-07-09,61.23,61.78,60.85,61.58,1353910
2021-07-12,61.39,63.75,60.97,63.31,2210490
2021-07-13,63.26,63.30,62.53,62.60,1542081
2021-07-14,62.48,63.20,62.17,62.77,1109821
2021-07-15,61.93,63.48,61.93,63.27,1369051
2021-07-16,63.63,63.69,62.98,63.32,1263820
2021-07-19,62.00,62.35,60.82,61.38,1595693
2021-07-20,61.51,63.17,61.21,62.33,1616232
2021-07-21,62.98,63.60,62.45,62.61,1050987
2021-07-22,62.40,62.61,61.55,61.58,1565893
2021-07-23,61.70,62.27,61.21,61.40,1395121
2021-07-26,61.43,62.10,61.22,61.93,1318373
2021-07-27,61.18,62.27,60.92,61.90,1017979
2021-07-28,62.26,62.56,60.31,60.86,1478757
2021-07-29,61.87,63.53,61.15,63.21,2534130
2021-07-30,63.50,65.05,63.26,63.62,2265239
2021-08-02,64.14,65.30,63.81,64.42,1660364
2021-08-03,64.90,65.26,63.95,65.21,1479072
2021-08-04,64.67,65.50,64.45,64.49,1671062
2021-08-05,65.12,65.68,64.55,65.41,1385539
2021-08-06,66.21,66.93,65.87,66.40,1201000
2021-08-09,66.23,67.15,65.99,66.73,1456602
2021-08-10,66.49,67.70,66.44,66.84,1962404
2021-08-11,66.88,67.94,66.51,67.53,1428855
2021-08-12,67.88,68.23,67.48,67.99,2275245
2021-08-13,68.03,68.35,67.64,68.04,1096284
2021-08-16,67.84,68.42,67.50,67.78,1500938
2021-08-17,67.20,68.22,67.11,67.50,1167049
2021-08-18,67.22,67.98,66.64,66.71,2716546
2021-08-19,66.02,66.96,65.51,65.93,1604496
2021-08-20,65.86,66.52,65.57,66.24,2943929
2021-08-23,66.83,67.43,66.51,66.86,1346312
2021-08-24,66.86,67.34,66.56,67.18,996852
2021-08-25,67.25,68.17,66.87,67.86,893178
2021-08-26,67.89,67.97,67.03,67.27,1224853
2021-08-27,67.39,68.34,67.13,68.18,1376996
2021-08-30,68.40,68.50,66.99,67.01,1035415
2021-08-31,66.51,67.53,66.51,67.22,1813797
