date,open,high,low,close,volume
2016-09-15,69.12,69.84,69.12,69.30,1456561
2016-09-16,69.06,69.54,68.85,69.09,1601053
2016-09-19,69.36,69.75,68.88,69.06,1142281
2016-09-20,69.39,70.39,69.33,69.93,1754133
2016-09-21,69.90,70.02,68.72,69.93,2979646
2016-09-22,70.26,71.00,70.20,70.71,1385230
2016-09-23,70.32,71.10,70.26,70.80,1034120
2016-09-26,70.17,70.41,68.76,68.85,2097402
2016-09-27,68.97,69.44,68.85,69.18,1217779
2016-09-28,69.42,69.63,68.22,68.58,4332613
2016-09-29,68.40,69.30,67.98,68.46,3349647
2016-09-30,68.55,69.36,68.39,68.79,1914778
2016-10-03,68.82,69.26,68.45,68.64,1189227
2016-10-04,68.94,69.12,68.16,68.49,2390943
2016-10-05,68.43,68.76,68.04,68.22,1666058
2016-10-06,68.25,68.46,67.25,67.59,2114008
2016-10-07,67.62,68.01,66.99,67.29,1082199
2016-10-10,67.68,68.85,67.59,68.49,2303791
2016-10-11,68.31,68.49,67.50,67.65,2433764
2016-10-12,67.71,68.43,67.50,68.25,2065460
2016-10-13,67.44,68.60,66.72,68.16,2259316
2016-10-14,68.40,69.24,68.31,68.67,3185972
2016-10-17,68.43,69.05,68.19,68.25,1676341
2016-10-18,68.88,69.36,68.49,69.09,1571819
2016-10-19,69.39,69.99,69.09,69.30,1314826
2016-10-20,69.30,69.51,68.48,69.00,2393392
2016-10-21,68.70,69.33,68.25,68.73,1856335
2016-10-24,70.56,71.28,68.70,68.82,6765359
2016-10-25,68.37,68.73,67.89,68.19,2429921
2016-10-26,66.33,67.26,66.00,66.96,5174742
2016-10-27,65.40,67.08,65.40,66.75,3550224
2016-10-28,66.81,67.26,66.27,66.75,2505951
2016-10-31,67.80,68.10,67.41,67.80,3770919
2016-11-01,68.25,68.25,66.45,67.32,2100353
2016-11-02,67.32,68.07,66.81,66.90,2636416
2016-11-03,67.23,68.25,66.75,66.84,2340519
2016-11-04,66.78,68.31,66.78,67.77,3064655
2016-11-07,68.55,68.82,68.22,68.73,2181064
2016-11-08,67.68,70.41,67.29,69.90,2969518
2016-11-09,69.24,71.19,68.04,70.83,2907366
2016-11-10,70.77,70.98,70.07,70.38,7206265
2016-11-11,70.53,71.19,70.29,71.13,2483042
2016-11-14,71.37,73.50,70.95,72.96,4552564
2016-11-15,72.96,73.62,72.78,73.47,2671795
2016-11-16,73.23,74.31,73.23,73.65,2872658
2016-11-17,73.65,74.03,72.99,73.71,3425789
2016-11-18,73.74,73.92,73.04,73.26,2277297
2016-11-21,73.59,73.95,73.34,73.89,2640931
2016-11-22,74.07,74.61,73.92,74.55,2067327
2016-11-23,74.52,75.18,74.01,75.09,2326311
2016-11-25,75.30,76.35,75.21,75.93,743930
2016-11-28,75.51,75.80,74.40,74.43,3706000
2016-11-29,74.67,75.39,74.31,74.43,3490985
2016-11-30,74.40,75.41,73.92,75.21,3544168
2016-12-01,75.57,76.14,74.94,75.63,5982587
2016-12-02,75.48,76.11,75.33,75.78,3062521
2016-12-05,77.43,78.42,76.77,78.27,6142452
2016-12-06,78.51,79.02,78.03,78.93,5449759
2016-12-07,79.08,81.83,78.78,81.12,5888638
2016-12-08,81.15,81.96,78.56,78.72,4009743
2016-12-09,79.14,80.49,78.78,79.56,2462061
2016-12-12,78.93,79.20,77.18,77.97,4565701
2016-12-13,78.33,79.32,78.15,79.14,2834781
2016-12-14,79.29,80.67,78.90,80.04,4878915
2016-12-15,80.94,82.17,80.43,81.93,5161285
2016-12-16,82.14,82.71,81.54,82.59,5541871
2016-12-19,82.65,83.61,82.41,83.10,7040456
2016-12-20,83.28,83.85,82.89,83.22,4473812
2016-12-21,83.49,83.85,83.07,83.19,3516688
2016-12-22,83.31,83.64,82.06,82.35,2326571
2016-12-23,82.17,82.50,81.90,82.11,1049906
2016-12-27,82.53,82.83,82.05,82.29,2152768
2016-12-28,82.56,82.68,81.06,81.15,3686353
2016-12-29,81.39,81.87,80.85,81.75,941295
2016-12-30,81.75,82.05,81.09,81.60,1513867
2017-01-03,82.71,82.86,81.00,82.17,2276347
2017-01-04,57.30,59.76,57.30,58.00,5614782
2017-01-05,58.06,58.42,56.84,57.32,5122197
2017-01-06,57.18,57.56,56.23,57.47,3358793
2017-01-09,57.30,57.30,56.48,56.96,3921784
2017-01-10,56.96,57.00,55.78,56.02,3384687
2017-01-11,55.76,56.31,55.71,56.00,2781558
2017-01-12,56.11,56.30,55.00,55.40,7378615
2017-01-13,55.57,56.25,55.48,56.22,3058612
2017-01-17,56.32,56.32,55.68,56.09,2828852
2017-01-18,56.13,56.95,56.02,56.95,2854575
2017-01-19,57.49,57.91,57.28,57.50,4201438
2017-01-20,57.54,58.08,57.54,57.70,2058588
2017-01-23,57.71,57.84,57.19,57.75,2315248
2017-01-24,58.01,58.30,57.71,58.10,1857077
2017-01-25,58.10,58.94,58.10,58.78,1993843
2017-01-26,59.05,59.27,58.67,58.75,2989690
2017-01-27,58.87,58.99,58.47,58.55,1336008
2017-01-30,58.24,58.38,57.63,58.04,1719506
2017-01-31,57.77,57.96,57.56,57.58,2273901
2017-02-01,57.93,58.11,57.23,57.35,3690042
2017-02-02,57.53,57.69,57.13,57.30,2620139
2017-02-03,57.33,57.82,57.30,57.80,1353261
2017-02-06,57.56,58.23,57.39,57.72,1710372
2017-02-07,57.98,58.24,57.63,57.81,2061441
2017-02-08,57.72,58.43,57.47,58.26,1025028
2017-02-09,58.35,58.92,58.19,58.64,1476834
2017-02-10,58.84,58.84,58.48,58.69,1190984
2017-02-13,58.87,59.17,58.64,58.85,1615267
2017-02-14,58.79,58.91,58.42,58.47,2317318
2017-02-15,58.42,59.84,57.50,59.46,4716205
2017-02-16,59.54,60.49,59.14,59.24,3145260
2017-02-17,59.03,59.03,58.06,58.50,2762614
2017-02-21,58.65,58.65,57.98,58.02,2058041
2017-02-22,57.87,58.14,57.60,57.85,2581155
2017-02-23,58.09,58.21,57.12,57.21,1614889
2017-02-24,57.32,58.01,57.18,57.78,1511282
2017-02-27,57.77,58.10,57.41,58.02,1395988
2017-02-28,58.04,58.18,57.05,57.20,2634786
2017-03-01,57.89,58.19,57.52,57.70,2753721
2017-03-02,57.52,58.34,57.34,58.17,2817783
2017-03-03,57.72,57.78,56.47,57.75,3293398
2017-03-06,57.44,57.60,56.97,57.31,1804279
2017-03-07,57.22,57.22,56.30,56.64,2394174
2017-03-08,56.93,56.99,56.27,56.29,2710822
2017-03-09,56.31,56.61,55.79,55.84,1606781
2017-03-10,56.07,56.50,55.94,56.48,2443194
2017-03-13,56.50,57.52,56.42,57.51,1811926
2017-03-14,57.34,57.50,57.07,57.29,1818298
2017-03-15,57.45,58.37,57.38,58.15,1993542
2017-03-16,58.21,58.80,58.07,58.21,1577961
2017-03-17,58.59,58.65,57.84,57.92,1270128
2017-03-20,57.92,58.09,57.31,57.50,999797
2017-03-21,57.89,58.35,56.63,56.69,2150292
2017-03-22,56.62,57.83,56.39,57.70,1514628
2017-03-23,57.81,58.80,57.70,58.32,1996870
2017-03-24,58.37,58.79,58.04,58.31,1066652
2017-03-27,57.88,58.03,57.33,57.85,2571953
2017-03-28,57.92,59.10,57.55,58.67,1871478
2017-03-29,58.44,58.96,58.35,58.61,1549106
2017-03-30,58.62,59.44,58.60,58.77,1965442
2017-03-31,58.66,59.18,58.36,58.46,2283906
2017-04-03,57.87,58.45,57.05,57.62,3273208
2017-04-04,57.41,57.53,56.76,57.07,2188466
2017-04-05,57.31,57.69,56.69,56.75,2313597
2017-04-06,56.99,57.12,56.54,57.10,1107245
2017-04-07,57.08,57.08,55.91,56.60,3066168
2017-04-10,57.35,57.55,56.88,57.18,2650977
2017-04-11,57.35,57.54,56.94,57.48,1369548
2017-04-12,57.62,57.63,57.16,57.42,1929591
2017-04-13,57.39,57.76,57.10,57.11,2129243
2017-04-17,57.34,57.48,56.95,57.33,1965751
2017-04-18,57.10,57.40,56.24,56.86,1730056
2017-04-19,57.17,57.36,56.66,56.92,1939810
2017-04-20,57.09,57.85,56.28,57.59,5217223
2017-04-21,57.64,57.64,57.15,57.35,1197906
2017-04-24,58.00,58.17,57.77,58.04,2150690
2017-04-25,58.20,58.73,58.12,58.54,1329956
2017-04-26,58.38,61.02,58.28,60.60,4502396
2017-04-27,60.74,60.74,59.88,60.24,1695356
2017-04-28,60.36,60.37,58.41,58.97,3222852
2017-05-01,59.40,60.05,58.90,59.32,2956657
2017-05-02,61.46,61.82,59.96,61.49,4192011
2017-05-03,61.45,61.87,60.76,61.00,2471683
2017-05-04,61.15,61.29,60.12,60.50,2316266
2017-05-05,60.68,61.12,60.67,61.07,2605516
2017-05-08,61.07,61.40,60.51,60.68,2005469
2017-05-09,61.80,63.41,61.64,62.33,3562075
2017-05-10,62.16,62.40,61.59,62.12,1954514
2017-05-11,61.80,62.36,61.51,62.21,1348750
2017-05-12,62.10,62.31,61.84,62.10,1163771
2017-05-15,62.24,62.75,62.11,62.62,2124939
2017-05-16,62.69,62.87,62.16,62.43,2114829
2017-05-17,61.82,61.88,61.02,61.30,1765154
2017-05-18,61.30,62.81,60.96,62.44,2239456
2017-05-19,62.80,64.05,62.62,63.85,2588410
2017-05-22,63.78,65.32,63.67,65.25,3643551
2017-05-23,65.50,66.39,64.91,65.49,4021770
2017-05-24,65.77,66.29,65.10,65.48,3026655
2017-05-25,65.76,66.11,65.13,65.13,2766541
2017-05-26,65.16,65.55,64.94,65.34,1445801
2017-05-30,65.26,65.70,65.13,65.54,1104545
2017-05-31,65.85,66.58,65.35,66.47,3402070
2017-06-01,66.71,67.50,66.32,66.64,2001934
2017-06-02,66.97,67.54,66.53,67.41,1590404
2017-06-05,67.67,67.79,66.97,66.99,1599191
2017-06-06,66.58,66.71,65.55,65.76,1999448
2017-06-07,65.76,66.27,65.42,66.15,2659564
2017-06-08,65.26,65.50,64.66,65.02,8180391
2017-06-09,65.35,65.86,64.02,64.75,7978485
2017-06-12,66.31,66.46,65.25,65.85,10162850
2017-06-13,66.14,66.69,66.02,66.45,5087150
2017-06-14,66.62,66.86,65.88,66.25,7387165
2017-06-15,65.81,66.99,65.53,66.85,4511143
2017-06-16,67.27,67.29,66.40,66.41,33212520
2017-06-19,66.59,67.31,66.30,66.84,4362791
2017-06-20,67.04,67.07,65.69,65.88,4031608
2017-06-21,66.30,66.35,65.28,65.60,3997012
2017-06-22,65.45,65.47,64.89,65.20,2623453
2017-06-23,65.10,65.56,64.76,65.40,3110891
2017-06-26,65.38,65.55,64.98,65.23,1736249
2017-06-27,65.05,65.10,63.41,63.45,3272231
2017-06-28,63.80,64.07,63.17,63.36,2606962
2017-06-29,63.25,63.34,61.66,62.25,3666699
2017-06-30,62.65,62.91,61.82,61.85,3555997
2017-07-03,61.98,62.08,61.30,61.31,1967430
2017-07-05,61.31,61.80,60.74,61.51,3681417
2017-07-06,61.02,61.54,60.62,61.08,2925699
2017-07-07,61.21,62.01,61.02,61.76,4425042
2017-07-10,61.76,62.29,61.63,62.20,4126259
2017-07-11,61.89,62.61,61.82,62.46,5848808
2017-07-12,62.80,62.97,61.84,61.93,2443988
2017-07-13,62.04,62.38,61.78,62.08,1780177
2017-07-14,61.96,62.54,61.75,62.45,3466467
2017-07-17,62.40,62.88,62.18,62.62,1393112
2017-07-18,62.56,62.90,62.33,62.49,2216874
2017-07-19,62.44,62.65,62.09,62.12,1810306
2017-07-20,62.11,62.23,61.51,62.01,2110882
2017-07-21,61.88,62.49,61.84,62.47,1871248
2017-07-24,62.50,62.79,61.99,62.01,1923393
2017-07-25,62.32,63.13,61.72,63.08,3710967
2017-07-26,63.90,64.66,62.03,62.52,6574680
2017-07-27,62.83,62.83,61.75,62.56,2882527
2017-07-28,62.23,62.75,62.23,62.46,1184767
2017-07-31,62.81,62.87,62.29,62.53,2068102
2017-08-01,62.88,63.35,62.44,62.77,2642853
2017-08-02,62.69,63.58,61.28,61.98,2185922
2017-08-03,62.10,62.65,62.00,62.13,1957896
2017-08-04,62.31,63.13,62.14,62.98,2891414
2017-08-07,63.34,63.87,63.02,63.77,3245097
2017-08-08,62.84,63.18,61.74,62.08,2852104
2017-08-09,61.76,61.80,60.98,61.37,2983989
2017-08-10,60.99,61.41,60.65,61.00,2226616
2017-08-11,60.92,61.56,60.77,61.30,1682860
2017-08-14,61.87,61.94,61.32,61.75,2410279
2017-08-15,61.97,62.40,61.62,62.21,2022750
2017-08-16,62.30,62.76,62.10,62.44,2149358
2017-08-17,62.03,62.39,60.68,60.82,2687730
2017-08-18,60.72,61.53,60.54,61.06,2654293
2017-08-21,61.21,61.90,61.10,61.78,1687180
2017-08-22,61.88,63.37,61.80,63.32,1820222
2017-08-23,62.89,63.40,62.72,63.12,1285997
2017-08-24,63.47,63.72,62.84,62.91,1445763
2017-08-25,63.16,63.71,63.01,63.48,1365008
2017-08-28,63.72,63.77,62.92,63.17,1517796
2017-08-29,62.82,63.00,62.53,62.89,1796036
2017-08-30,62.93,64.80,62.81,64.32,2070475
2017-08-31,64.33,64.76,64.03,64.33,2797893
2017-09-01,64.70,64.87,64.28,64.59,1273114
2017-09-05,64.42,64.46,62.90,63.60,2699465
2017-09-06,63.80,64.00,63.29,63.67,1495581
2017-09-07,63.88,64.17,63.53,63.89,1517956
2017-09-08,63.89,65.34,63.74,65.14,2552390
2017-09-11,65.67,66.30,65.59,65.95,2604384
2017-09-12,65.98,66.25,65.66,66.07,1213360
2017-09-13,65.87,66.86,65.83,66.68,1863498
2017-09-14,66.60,66.72,65.91,66.52,1726815
2017-09-15,66.46,66.89,66.07,66.63,2400547
2017-09-18,66.59,66.81,66.33,66.56,2206983
2017-09-19,66.56,67.07,66.21,66.89,1977168
2017-09-20,67.02,67.36,66.64,67.04,1440823
2017-09-21,66.99,67.52,66.82,67.34,1178392
2017-09-22,67.34,68.37,67.18,68.19,2072727
2017-09-25,68.19,69.35,67.98,68.71,2245608
