date,open,high,low,close,volume
2021-01-04,5.08,5.37,4.99,5.33,10463490
2021-01-05,5.36,5.38,5.08,5.13,8610107
2021-01-06,5.08,5.08,4.76,4.95,10488940
2021-01-07,4.79,4.84,4.70,4.78,7965498
2021-01-08,4.70,4.72,4.39,4.52,7677606
2021-01-11,4.43,4.53,4.40,4.41,4345289
2021-01-12,4.42,4.53,4.36,4.53,4406099
2021-01-13,4.53,4.57,4.45,4.47,2491045
2021-01-14,4.40,4.52,4.34,4.44,4065546
2021-01-15,4.38,4.46,4.25,4.26,5700220
2021-01-19,4.30,4.33,4.20,4.23,4910540
2021-01-20,4.35,4.52,4.35,4.49,4451356
2021-01-21,4.47,4.50,4.38,4.46,3966076
2021-01-22,4.30,4.49,4.25,4.41,3626057
2021-01-25,4.42,4.48,4.32,4.43,4105577
2021-01-26,4.40,4.62,4.39,4.60,4979335
2021-01-27,4.42,4.47,4.27,4.29,5714782
2021-01-28,4.49,4.62,4.45,4.53,10049520
2021-01-29,4.68,4.72,4.41,4.45,7207019
2021-02-01,4.56,4.63,4.47,4.53,8733172
2021-02-02,4.41,4.43,4.32,4.33,4317694
2021-02-03,4.33,4.37,4.29,4.33,3297524
2021-02-04,4.14,4.21,4.10,4.19,4102925
2021-02-05,4.27,4.32,4.17,4.32,4177531
2021-02-08,4.33,4.38,4.27,4.30,5946823
2021-02-09,4.30,4.33,4.23,4.29,4576280
2021-02-10,4.35,4.39,4.29,4.33,4142294
2021-02-11,4.28,4.31,4.15,4.18,4914879
2021-02-12,4.11,4.21,4.06,4.13,4626882
2021-02-16,4.00,4.09,3.94,3.95,5726898
2021-02-17,3.82,3.89,3.79,3.89,7233919
2021-02-18,3.80,3.91,3.75,3.77,5695886
2021-02-19,3.87,3.90,3.81,3.86,5883952
2021-02-22,3.91,4.16,3.91,4.15,8793940
2021-02-23,4.06,4.11,3.90,4.06,5512414
2021-02-24,3.91,4.12,3.86,4.10,4692405
2021-02-25,4.01,4.05,3.87,3.92,5259795
2021-02-26,3.87,3.92,3.76,3.79,7455872
2021-03-01,3.88,3.94,3.79,3.82,4869013
2021-03-02,3.90,4.19,3.88,4.12,9288755
2021-03-03,4.01,4.24,3.95,4.14,7995701
2021-03-04,4.14,4.36,4.09,4.20,10043940
2021-03-05,4.20,4.36,4.12,4.33,5830085
2021-03-08,4.24,4.38,4.23,4.32,4877305
2021-03-09,4.50,4.63,4.45,4.52,6171713
2021-03-10,4.52,4.60,4.51,4.58,5419286
2021-03-11,4.57,4.61,4.43,4.47,6757843
2021-03-12,4.31,4.41,4.29,4.35,3930978
2021-03-15,4.40,4.55,4.39,4.47,4964742
2021-03-16,4.47,4.56,4.46,4.49,3599076
2021-03-17,4.47,4.59,4.38,4.57,4569431
2021-03-18,4.48,4.57,4.43,4.50,4548411
2021-03-19,4.40,4.55,4.39,4.54,8259808
2021-03-22,4.53,4.59,4.43,4.45,2973618
2021-03-23,4.42,4.43,4.15,4.16,6267076
2021-03-24,4.15,4.18,4.06,4.08,3026314
2021-03-25,4.08,4.15,4.06,4.15,3679275
2021-03-26,4.16,4.40,4.16,4.40,6119310
2021-03-29,4.34,4.51,4.32,4.50,5366810
2021-03-30,4.31,4.36,4.22,4.25,4198022
2021-03-31,4.26,4.45,4.25,4.36,5898303
2021-04-01,4.62,4.91,4.60,4.87,8419841
2021-04-05,4.89,4.91,4.78,4.82,3183000
2021-04-06,4.87,5.04,4.87,4.94,6216347
2021-04-07,4.88,4.93,4.80,4.82,5290259
2021-04-08,4.90,5.03,4.88,4.94,4251414
2021-04-09,4.73,4.91,4.71,4.88,5732514
2021-04-12,4.73,4.75,4.51,4.58,6307924
2021-04-13,4.52,4.60,4.49,4.57,6478614
2021-04-14,4.47,4.49,4.34,4.35,5497002
2021-04-15,4.37,4.66,4.37,4.60,7188607
2021-04-16,4.63,4.73,4.58,4.72,4093029
2021-04-19,4.71,4.73,4.62,4.69,3005381
2021-04-20,4.60,4.75,4.57,4.66,4967752
2021-04-21,4.71,4.86,4.68,4.86,4682283
2021-04-22,4.78,4.85,4.66,4.74,4950787
2021-04-23,4.85,4.93,4.77,4.79,4708694
2021-04-26,4.95,4.97,4.87,4.88,4361291
2021-04-27,4.97,4.97,4.75,4.77,3895128
2021-04-28,4.73,4.84,4.70,4.83,4215846
2021-04-29,4.75,4.75,4.56,4.63,4316674
2021-04-30,4.58,4.65,4.53,4.54,2881080
2021-05-03,4.65,4.84,4.64,4.82,3828770
2021-05-04,4.76,4.84,4.59,4.65,4620789
2021-05-05,4.65,4.65,4.56,4.62,2287985
2021-05-06,4.69,4.96,4.66,4.85,8426198
2021-05-07,5.00,5.20,4.91,5.18,8075010
2021-05-10,5.28,5.30,5.04,5.07,5867058
2021-05-11,4.88,5.03,4.81,4.98,7291691
2021-05-12,4.93,4.97,4.74,4.76,5887383
2021-05-13,4.71,4.85,4.70,4.78,4273095
2021-05-14,4.91,5.03,4.88,4.99,4969135
2021-05-17,5.14,5.60,5.13,5.53,12019530
2021-05-18,5.56,5.61,5.43,5.58,8507954
2021-05-19,5.59,5.76,5.36,5.47,9361119
2021-05-20,5.52,5.60,5.46,5.50,4893296
2021-05-21,5.58,5.59,5.41,5.48,4685453
2021-05-24,5.42,5.45,5.35,5.45,4279252
2021-05-25,5.37,5.48,5.26,5.43,6815445
2021-05-26,5.48,5.51,5.27,5.34,6017801
2021-05-27,5.25,5.27,5.16,5.16,5431665
2021-05-28,5.14,5.25,5.12,5.16,6898853
2021-06-01,5.30,5.36,5.22,5.26,6507191
2021-06-02,5.30,5.38,5.24,5.36,4416453
2021-06-03,5.13,5.13,4.98,5.01,7901417
2021-06-04,5.09,5.12,5.05,5.10,4839801
2021-06-07,4.95,4.98,4.89,4.94,5993173
2021-06-08,4.85,4.87,4.73,4.75,7038009
2021-06-09,4.73,4.78,4.67,4.67,6569795
2021-06-10,4.66,4.82,4.62,4.82,5821136
2021-06-11,4.74,4.80,4.60,4.64,8257435
2021-06-14,4.51,4.59,4.46,4.50,7619707
2021-06-15,4.49,4.50,4.37,4.43,6050465
2021-06-16,4.46,4.50,4.22,4.28,6944823
2021-06-17,4.22,4.29,4.15,4.22,12141900
