date,open,high,low,close,volume
2016-09-15,12.67,13.16,12.65,13.15,12893200
2016-09-16,13.11,13.26,13.05,13.23,16346840
2016-09-19,13.29,13.67,13.29,13.48,12007920
2016-09-20,13.52,13.63,13.44,13.44,9668378
2016-09-21,13.43,13.74,13.41,13.74,10676570
2016-09-22,13.75,13.98,13.75,13.81,10239050
2016-09-23,13.74,13.82,13.61,13.66,7244354
2016-09-26,13.58,13.65,13.45,13.54,8107145
2016-09-27,13.48,13.68,13.41,13.62,13124750
2016-09-28,13.67,13.78,13.56,13.69,7072567
2016-09-29,13.64,13.85,13.59,13.61,9051116
2016-09-30,13.71,13.84,13.42,13.52,16207540
2016-10-03,13.42,13.57,13.40,13.46,11689890
2016-10-04,13.48,13.63,13.23,13.30,9120475
2016-10-05,13.35,13.59,13.35,13.55,7272265
2016-10-06,13.51,13.58,13.45,13.48,6550022
2016-10-07,13.47,13.49,13.17,13.27,9362995
2016-10-10,13.36,13.48,13.33,13.37,9200424
2016-10-11,13.37,13.37,13.01,13.06,10109750
2016-10-12,13.12,13.14,12.95,13.07,7671177
2016-10-13,12.94,13.04,12.75,12.93,13811090
2016-10-14,12.80,13.04,12.76,12.79,13561140
2016-10-17,12.78,12.89,12.60,12.64,11645800
2016-10-18,12.80,12.83,12.54,12.76,11684970
2016-10-19,12.84,13.06,12.81,12.91,17489610
2016-10-20,12.85,13.02,12.80,13.00,10591230
2016-10-21,12.89,12.91,12.75,12.85,11967270
2016-10-24,12.88,12.95,12.83,12.88,9044100
2016-10-25,12.86,12.89,12.71,12.84,9246243
2016-10-26,12.79,12.96,12.76,12.95,7602475
2016-10-27,13.00,13.30,13.00,13.19,12642850
2016-10-28,13.19,13.36,13.07,13.17,7507107
2016-10-31,13.22,13.38,13.20,13.35,8140891
2016-11-01,13.32,13.41,12.94,13.12,7379247
2016-11-02,13.10,13.17,13.00,13.08,8314256
2016-11-03,13.11,13.18,12.93,12.95,6997669
2016-11-04,12.86,13.31,12.79,13.10,7716082
2016-11-07,13.30,13.78,13.29,13.73,10804730
2016-11-08,13.73,13.96,13.60,13.81,12781390
2016-11-09,13.33,13.99,13.29,13.80,15356550
2016-11-10,13.88,14.08,13.61,13.71,12977590
2016-11-11,13.68,13.89,13.62,13.85,9448813
2016-11-14,13.88,14.04,13.71,13.88,12371590
2016-11-15,13.95,13.98,13.75,13.91,14751100
2016-11-16,13.85,14.05,13.79,13.98,11548420
2016-11-17,13.95,14.07,13.82,14.02,10900540
2016-11-18,14.08,14.17,13.83,13.85,16560560
2016-11-21,13.92,13.99,13.55,13.74,23304930
2016-11-22,13.73,13.87,13.43,13.59,24161830
2016-11-23,13.49,14.04,13.35,13.99,21568380
2016-11-25,13.68,13.90,13.49,13.80,10647780
2016-11-28,13.65,13.90,13.60,13.87,21804330
2016-11-29,13.80,14.20,13.80,14.11,14083710
2016-11-30,14.14,14.20,14.04,14.14,14472340
2016-12-01,14.13,14.20,13.86,13.89,12146460
2016-12-02,13.88,14.20,13.87,14.17,7313693
2016-12-05,14.21,14.39,14.16,14.39,10272160
2016-12-06,14.36,14.37,14.20,14.24,9823081
2016-12-07,14.17,14.73,14.15,14.67,16277600
2016-12-08,14.65,14.73,14.56,14.64,7100188
2016-12-09,14.59,14.72,14.45,14.56,13314090
2016-12-12,14.31,14.39,14.08,14.20,12349860
2016-12-13,14.17,14.39,14.11,14.22,10744630
2016-12-14,14.11,14.49,14.10,14.21,9819418
2016-12-15,14.17,14.18,14.07,14.10,16102810
2016-12-16,14.04,14.13,13.89,13.96,20624220
2016-12-19,13.92,14.20,13.92,14.10,6781343
2016-12-20,14.12,14.25,14.05,14.17,9055502
2016-12-21,14.17,14.29,14.14,14.20,5399440
2016-12-22,14.21,14.26,13.98,14.12,6402322
2016-12-23,14.12,14.17,14.07,14.15,5898300
2016-12-27,14.15,14.20,14.04,14.11,3784965
2016-12-28,14.15,14.15,13.84,13.85,6529630
2016-12-29,13.83,13.95,13.77,13.87,5149336
2016-12-30,13.80,13.93,13.68,13.75,6313337
2017-01-03,13.78,13.95,13.66,13.79,8056579
2017-01-04,13.85,14.09,13.81,13.93,6956482
2017-01-05,13.93,14.01,13.86,14.00,9134623
2017-01-06,14.01,14.01,13.32,13.73,14525070
2017-01-09,13.75,13.78,13.38,13.41,14292140
2017-01-10,13.48,13.67,13.38,13.64,13470570
2017-01-11,13.62,13.66,13.44,13.52,9260579
2017-01-12,13.51,13.57,13.33,13.52,8258320
2017-01-13,13.52,13.70,13.51,13.63,5757032
2017-01-17,13.57,13.66,13.45,13.48,5902467
2017-01-18,13.53,13.66,13.42,13.58,8449091
2017-01-19,13.54,13.60,13.48,13.53,5798324
2017-01-20,13.54,13.61,13.45,13.60,9054790
2017-01-23,13.56,13.63,13.30,13.41,9075315
2017-01-24,13.49,13.72,13.47,13.60,8220729
2017-01-25,13.68,13.75,13.57,13.66,7295879
2017-01-26,13.64,13.72,13.44,13.44,6134510
2017-01-27,13.51,13.55,13.36,13.40,6810009
2017-01-30,13.36,13.36,13.07,13.16,9345204
2017-01-31,13.16,13.48,12.98,13.48,12485380
2017-02-01,13.51,13.54,13.29,13.42,9739692
2017-02-02,13.23,13.51,13.23,13.48,8296898
2017-02-03,13.52,14.01,13.52,13.96,13433300
2017-02-06,13.88,14.06,13.85,13.99,5492289
2017-02-07,13.99,14.14,13.98,14.08,6505100
2017-02-08,14.04,14.19,13.99,14.04,6084922
2017-02-09,14.08,14.33,14.00,14.31,7009694
2017-02-10,14.31,14.42,14.25,14.26,8311147
2017-02-13,14.27,14.40,14.24,14.33,6467793
2017-02-14,14.31,14.35,14.24,14.34,9739421
2017-02-15,14.39,14.52,14.31,14.49,6836419
2017-02-16,14.48,14.55,14.39,14.46,6849111
2017-02-17,14.41,14.51,14.34,14.50,7577591
2017-02-21,14.50,14.68,14.48,14.65,9438430
2017-02-22,14.58,14.78,14.56,14.72,7642181
2017-02-23,14.75,14.77,14.56,14.65,13240730
2017-02-24,13.15,13.66,13.13,13.64,46841420
2017-02-27,13.52,13.52,13.23,13.26,18990740
2017-02-28,13.11,13.59,13.07,13.56,18344550
2017-03-01,13.67,13.85,13.63,13.77,13272220
2017-03-02,13.74,13.79,13.57,13.64,10764390
2017-03-03,13.61,13.83,13.60,13.70,11567960
