date,open,high,low,close,volume
2021-01-04,45.59,46.33,44.62,45.45,777556
2021-01-05,45.38,47.01,45.23,46.79,1497656
2021-01-06,47.01,47.93,45.59,46.21,1289300
2021-01-07,47.10,47.18,46.52,47.04,1085466
2021-01-08,47.05,48.11,46.92,47.96,891953
2021-01-11,47.61,47.94,47.08,47.17,632479
2021-01-12,47.17,47.62,44.88,45.11,1470698
2021-01-13,45.24,46.46,45.01,46.05,1092924
2021-01-14,45.97,46.12,44.70,45.79,1063858
2021-01-15,45.84,45.84,44.55,45.53,926925
2021-01-19,46.45,48.76,46.38,48.11,2795425
2021-01-20,48.36,48.58,47.29,48.00,1501417
2021-01-21,48.04,48.59,46.83,48.15,2612399
2021-01-22,48.12,48.52,45.74,48.00,1524678
2021-01-25,48.57,49.28,45.99,46.48,1671029
2021-01-26,46.28,47.34,45.63,46.32,861984
2021-01-27,45.79,48.97,45.20,47.84,1331930
2021-01-28,47.43,48.54,46.75,46.79,799759
2021-01-29,47.58,49.31,47.15,48.50,1785310
2021-02-01,48.67,49.19,46.99,47.20,1254338
2021-02-02,47.82,50.44,47.81,48.98,1431498
2021-02-03,49.22,50.35,48.92,49.06,972371
2021-02-04,49.40,51.20,48.96,50.60,1133794
2021-02-05,50.56,59.18,50.53,57.55,4482730
2021-02-08,57.52,59.23,57.07,58.32,1211171
2021-02-09,58.01,58.30,56.42,57.30,908445
2021-02-10,57.20,58.04,56.43,57.16,980701
2021-02-11,57.81,61.39,57.16,61.25,2174916
2021-02-12,60.64,62.49,59.82,61.92,998249
2021-02-16,64.53,64.53,60.54,60.76,1989246
2021-02-17,59.24,59.49,57.08,57.89,3075957
2021-02-18,56.44,58.26,56.05,56.66,2128120
2021-02-19,58.49,60.08,57.74,59.09,1679845
2021-02-22,58.32,58.71,56.74,57.10,1142933
2021-02-23,56.69,57.63,54.80,57.24,2120995
2021-02-24,57.16,59.78,56.58,58.86,1590128
2021-02-25,58.95,59.66,57.84,58.23,2143336
2021-02-26,57.45,59.01,56.65,58.14,1369780
2021-03-01,58.56,59.09,57.01,57.30,732606
2021-03-02,57.20,58.01,56.25,57.55,591350
2021-03-03,57.80,57.80,56.24,56.78,697975
2021-03-04,56.53,56.93,54.28,55.08,1258592
2021-03-05,56.25,56.47,53.25,55.16,1176387
2021-03-08,54.99,55.82,54.10,55.31,1104818
2021-03-09,56.49,57.24,54.64,55.72,1079415
2021-03-10,55.97,56.27,54.13,54.93,2682373
2021-03-11,56.39,57.03,55.65,56.41,781235
2021-03-12,55.90,56.99,55.62,56.86,616358
2021-03-15,57.16,58.05,56.80,58.01,917980
2021-03-16,57.58,61.85,57.06,60.90,2632512
2021-03-17,60.01,60.90,59.08,60.75,1259692
2021-03-18,60.06,61.74,59.54,60.30,1126925
2021-03-19,60.00,60.20,58.42,59.85,1487339
2021-03-22,59.27,59.93,58.41,59.22,1201859
2021-03-23,58.35,58.57,55.17,55.55,1847310
2021-03-24,53.77,55.82,51.51,53.10,4038070
2021-03-25,50.86,53.75,50.65,53.08,1907791
2021-03-26,53.10,54.39,50.79,52.84,2764509
2021-03-29,50.32,53.50,50.32,53.22,1695319
2021-03-30,52.98,55.71,52.67,55.02,1365099
2021-03-31,54.86,55.27,54.41,54.90,1303334
2021-04-01,56.04,57.56,55.29,56.75,1296030
2021-04-05,57.07,57.07,55.08,55.36,751820
2021-04-06,55.92,57.31,55.20,56.90,672403
2021-04-07,55.98,57.17,55.47,55.50,878865
2021-04-08,56.50,57.55,56.14,57.24,935993
2021-04-09,56.52,56.52,54.61,54.99,1193925
2021-04-12,54.76,54.96,53.58,54.24,838911
2021-04-13,53.51,55.31,53.51,55.29,747140
2021-04-14,55.85,57.27,55.63,55.94,2078856
2021-04-15,55.75,56.37,55.20,55.65,388244
2021-04-16,56.21,57.51,56.06,57.31,872662
2021-04-19,57.31,58.29,56.92,57.49,807167
2021-04-20,57.26,59.13,55.42,55.44,1299155
2021-04-21,55.38,56.22,54.89,55.98,831205
2021-04-22,54.36,59.11,54.08,58.16,1528811
2021-04-23,58.45,60.06,58.42,59.00,1012006
2021-04-26,59.40,60.65,59.32,60.55,941052
2021-04-27,59.87,61.51,59.56,60.93,970538
2021-04-28,60.32,61.40,60.08,60.35,943297
2021-04-29,60.97,60.97,58.30,58.54,961694
2021-04-30,58.77,59.33,58.09,58.96,652072
2021-05-03,59.50,59.50,58.16,58.28,978135
2021-05-04,58.60,59.19,57.36,58.47,1061214
2021-05-05,58.75,60.09,57.08,57.60,833257
2021-05-06,57.48,57.48,55.62,56.30,1532904
2021-05-07,55.70,57.88,55.10,57.40,1279711
2021-05-10,56.93,57.63,55.17,55.71,1057632
2021-05-11,54.88,57.93,54.66,57.33,777573
2021-05-12,57.55,57.55,54.97,55.34,1367557
2021-05-13,56.26,56.26,53.48,54.07,806065
2021-05-14,54.39,56.70,54.39,56.50,918616
2021-05-17,56.08,56.31,55.38,56.19,511287
2021-05-18,56.67,58.76,56.63,56.90,786147
2021-05-19,56.26,57.17,56.21,57.13,1162720
2021-05-20,57.21,58.13,56.51,56.91,1137656
2021-05-21,56.89,57.92,56.05,56.84,545034
2021-05-24,57.20,57.52,55.73,56.26,999991
2021-05-25,56.87,58.17,55.00,55.36,2101584
2021-05-26,55.84,57.41,54.82,56.13,2069293
2021-05-27,57.23,57.28,55.70,56.01,3451933
2021-05-28,56.00,57.60,55.60,57.17,1800897
2021-06-01,57.96,59.86,57.92,59.48,1342854
2021-06-02,59.29,59.86,58.76,59.47,1131195
2021-06-03,59.42,59.42,57.19,57.43,726013
2021-06-04,57.32,57.60,56.77,57.44,937296
2021-06-07,57.74,57.99,57.11,57.35,377889
2021-06-08,57.25,57.65,56.89,56.89,1599182
2021-06-09,57.58,57.72,56.57,56.76,1038345
2021-06-10,57.62,57.62,55.69,55.88,932855
2021-06-11,55.82,57.12,55.82,56.82,975885
2021-06-14,56.87,57.20,56.59,56.94,540436
2021-06-15,56.51,56.62,55.56,56.24,767801
2021-06-16,55.37,56.66,55.03,55.68,1078014
2021-06-17,55.52,55.89,53.33,53.43,1552166
2021-06-18,53.26,55.55,53.26,54.65,2617642
2021-06-21,54.37,55.80,54.36,55.53,558571
2021-06-22,53.79,55.35,53.68,53.98,1202723
2021-06-23,54.00,54.74,52.88,52.90,1454887
2021-06-24,52.74,53.80,52.55,53.28,901970
2021-06-25,53.64,54.06,52.51,52.79,584156
2021-06-28,53.09,54.38,52.89,53.32,1262082
2021-06-29,52.70,53.30,52.47,53.16,450047
2021-06-30,52.60,53.88,52.60,52.81,1015703
2021-07-01,52.93,54.57,52.76,53.68,1377254
2021-07-02,53.37,54.93,53.37,54.24,626324
2021-07-06,53.87,54.65,52.95,53.21,1396440
2021-07-07,53.29,53.58,50.80,51.45,999656
2021-07-08,50.09,51.27,49.95,50.49,1105717
2021-07-09,51.10,51.53,49.42,49.49,1676417
2021-07-12,49.26,50.08,49.20,49.55,1097776
2021-07-13,49.79,50.58,49.48,50.00,1087668
2021-07-14,50.41,51.44,50.23,50.63,1390596
2021-07-15,50.65,51.99,50.42,51.52,1629775
2021-07-16,51.93,51.93,49.40,49.67,1127314
2021-07-19,48.80,49.21,48.13,48.58,928416
2021-07-20,48.59,49.14,47.94,48.90,467511
2021-07-21,48.99,49.96,48.95,49.74,345298
2021-07-22,49.74,49.84,48.08,48.62,779260
2021-07-23,48.01,48.56,46.78,47.10,2230109
2021-07-26,45.61,46.17,40.96,41.33,5008052
2021-07-27,39.47,41.65,39.01,40.75,8877487
2021-07-28,43.64,47.23,43.64,45.96,7158295
2021-07-29,45.84,46.78,45.07,46.23,4941667
2021-07-30,44.35,45.60,44.06,44.98,3720216
2021-08-02,45.50,45.55,43.84,44.13,1969692
2021-08-03,43.99,44.12,42.95,43.65,1940493
2021-08-04,43.47,44.23,43.00,43.36,2028309
2021-08-05,43.28,44.78,42.97,44.45,1046924
2021-08-06,44.50,45.18,44.04,44.92,1243859
2021-08-09,44.90,45.42,44.27,44.82,711173
2021-08-10,44.77,45.46,43.81,44.45,713687
2021-08-11,44.55,44.80,43.36,43.87,909168
2021-08-12,43.49,43.58,42.83,43.21,869169
2021-08-13,43.49,44.44,43.05,43.93,692691
2021-08-16,44.13,44.74,43.67,44.06,927921
2021-08-17,42.61,43.38,42.05,43.18,1299850
2021-08-18,43.39,44.99,43.25,44.22,1170784
2021-08-19,43.63,44.11,43.05,43.51,1306089
2021-08-20,43.53,44.18,43.19,43.57,1011673
2021-08-23,44.19,45.66,44.01,45.17,1448580
2021-08-24,47.13,48.22,46.26,46.41,1807837
2021-08-25,46.43,47.28,46.00,46.86,1375204
2021-08-26,46.40,46.85,44.76,45.26,1251519
2021-08-27,45.00,46.17,44.50,46.03,1007654
2021-08-30,45.31,46.98,45.31,46.70,1706284
2021-08-31,47.50,48.57,47.02,48.29,1754475
2021-09-01,48.52,50.78,48.30,50.15,1979365
2021-09-02,50.09,50.31,49.54,49.79,1416752
2021-09-03,49.50,50.29,48.92,49.66,2145683
2021-09-07,49.97,52.29,49.72,51.78,1967452
2021-09-08,51.90,52.17,50.65,51.15,1283856
2021-09-09,50.32,52.06,50.28,51.36,1392473
2021-09-10,51.62,51.77,49.92,50.08,799111
2021-09-13,48.75,49.85,48.30,49.75,1864861
2021-09-14,49.08,50.35,48.44,48.55,1371754
2021-09-15,48.39,48.76,47.39,48.29,1257727
2021-09-16,46.56,48.07,46.21,46.98,1639565
2021-09-17,46.96,47.60,46.14,46.95,1412628
2021-09-20,45.36,46.07,44.50,45.42,1066794
2021-09-21,46.01,46.36,45.64,45.99,889353
2021-09-22,46.38,47.51,46.38,46.76,867435
2021-09-23,47.20,47.45,46.31,47.19,1417409
2021-09-24,47.11,47.66,46.21,47.13,1025462
2021-09-27,47.80,47.80,46.04,47.45,716271
2021-09-28,46.84,47.67,46.24,46.73,1029070
2021-09-29,46.50,47.06,46.03,46.23,682741
2021-09-30,46.78,47.25,45.39,45.86,1397644
2021-10-01,46.41,47.87,45.28,47.49,854769
2021-10-04,46.88,47.61,46.56,46.95,984931
2021-10-05,46.94,48.84,46.05,48.78,1428607
2021-10-06,48.13,48.37,46.96,48.14,1345628
2021-10-07,49.21,49.32,47.62,47.91,1259930
2021-10-08,47.93,49.04,47.38,49.02,806108
2021-10-11,49.72,51.15,49.72,50.35,1682305
2021-10-12,49.32,50.41,48.95,49.32,1852142
2021-10-13,49.63,49.63,48.55,48.86,1195371
2021-10-14,49.36,50.38,48.68,48.77,811002
2021-10-15,49.00,49.53,48.66,48.92,1739926
2021-10-18,48.92,49.13,47.97,48.50,756918
2021-10-19,48.59,48.99,47.95,48.97,544847
2021-10-20,49.23,50.08,49.01,49.20,771714
2021-10-21,48.73,49.02,47.94,48.55,821508
2021-10-22,48.68,49.27,48.31,48.41,406133
2021-10-25,48.28,48.28,46.81,47.08,839455
2021-10-26,47.20,47.34,45.88,45.96,621940
2021-10-27,45.74,47.58,45.72,47.37,1033766
2021-10-28,47.37,47.72,46.40,47.24,490739
2021-10-29,47.12,47.12,46.14,46.36,827280
2021-11-01,46.66,47.64,46.47,47.30,935677
2021-11-02,46.75,47.34,46.03,46.62,663728
2021-11-03,46.96,47.72,46.37,46.66,510851
2021-11-04,46.61,46.61,44.18,44.46,998256
2021-11-05,45.67,47.66,45.57,46.57,843318
2021-11-08,47.86,49.27,47.40,47.64,1282382
2021-11-09,47.56,47.85,46.03,46.03,1234683
2021-11-10,46.26,47.81,45.27,47.25,768958
2021-11-11,48.12,49.44,47.69,47.73,1626187
2021-11-12,47.50,48.87,47.38,48.36,815011
2021-11-15,48.52,48.71,47.05,47.25,1638176
2021-11-16,47.50,47.94,47.05,47.50,1044119
2021-11-17,47.50,48.67,46.27,46.70,1036883
