date,open,high,low,close,volume
2021-01-04,96.46,96.46,91.79,91.79,537577
2021-01-05,91.79,92.21,89.28,89.48,558533
2021-01-06,87.45,91.69,87.42,90.80,413861
2021-01-07,90.72,90.72,86.93,87.27,318937
2021-01-08,87.52,89.23,86.57,89.21,395205
2021-01-11,88.96,90.63,88.96,90.39,394186
2021-01-12,90.05,91.29,89.20,90.71,341582
2021-01-13,90.60,92.00,90.39,91.46,236657
2021-01-14,91.59,92.14,89.03,89.55,378122
2021-01-15,88.91,90.73,88.08,90.35,308059
2021-01-19,90.89,90.89,89.23,89.47,205258
2021-01-20,88.88,89.67,88.53,89.51,249537
2021-01-21,89.00,89.53,88.36,88.63,704371
2021-01-22,88.63,89.03,87.34,88.41,334197
2021-01-25,88.09,90.71,88.06,90.39,466873
2021-01-26,90.79,90.90,89.06,90.18,463052
2021-01-27,89.38,90.15,87.66,87.76,269001
2021-01-28,88.22,90.19,87.65,89.31,322235
2021-01-29,88.81,89.99,88.05,88.30,360788
2021-02-01,88.97,89.27,88.21,88.55,212518
2021-02-02,89.52,89.73,88.40,88.59,286464
2021-02-03,88.11,88.76,87.19,87.70,269572
2021-02-04,87.02,87.82,86.72,87.77,360012
2021-02-05,88.55,88.89,87.95,88.63,286743
2021-02-08,88.95,88.95,87.22,87.98,261981
2021-02-09,88.14,88.28,86.43,86.57,318201
2021-02-10,87.25,87.64,86.29,87.12,391412
2021-02-11,87.06,87.26,85.78,86.42,353520
2021-02-12,86.27,86.85,85.90,86.49,333633
2021-02-16,86.22,86.76,85.75,86.68,218820
2021-02-17,86.77,87.27,86.34,86.93,248472
2021-02-18,87.21,89.00,86.81,88.45,344681
2021-02-19,88.26,88.38,86.34,88.18,486386
2021-02-22,87.96,88.38,86.04,87.00,402744
2021-02-23,87.48,89.14,87.00,88.90,465543
2021-02-24,88.98,89.50,87.95,88.35,448023
2021-02-25,88.40,89.55,88.18,88.25,228910
2021-02-26,88.57,88.60,86.10,86.24,419146
2021-03-01,87.24,89.14,87.17,88.13,344174
2021-03-02,88.12,88.12,85.57,86.14,291738
2021-03-03,85.91,86.41,85.30,86.22,290078
2021-03-04,86.64,88.76,86.14,87.26,355840
2021-03-05,87.95,90.26,87.55,90.14,332801
2021-03-08,90.70,93.43,90.10,92.43,434266
2021-03-09,92.94,93.75,92.40,92.81,435455
2021-03-10,92.81,95.57,92.81,94.78,438866
2021-03-11,94.49,95.23,93.68,93.86,387747
2021-03-12,94.32,97.39,93.66,97.18,531401
2021-03-15,97.70,101.48,97.46,101.12,693271
2021-03-16,100.68,102.96,100.68,102.60,415093
2021-03-17,102.60,102.60,99.47,99.68,480413
2021-03-18,99.48,100.82,99.39,99.78,358137
2021-03-19,100.58,100.96,98.22,100.25,705697
2021-03-22,99.69,100.73,97.70,97.81,409882
2021-03-23,97.79,98.86,97.51,97.91,406815
2021-03-24,97.73,99.24,97.23,98.15,535662
2021-03-25,98.81,100.36,98.24,100.16,628028
2021-03-26,99.93,101.87,99.48,101.61,554534
2021-03-29,101.44,102.13,100.38,101.27,445163
2021-03-30,100.78,100.78,99.06,99.68,219020
2021-03-31,99.53,100.26,98.74,99.97,395355
2021-04-01,99.70,100.31,98.74,100.26,259492
2021-04-05,101.23,102.38,100.35,100.58,421974
2021-04-06,100.00,100.82,99.30,100.45,265785
2021-04-07,100.48,100.55,99.45,100.28,298930
2021-04-08,100.81,101.14,99.08,99.63,255263
2021-04-09,99.70,100.10,99.16,99.43,236416
2021-04-12,99.66,100.30,99.34,100.09,229391
2021-04-13,98.55,99.67,98.29,99.39,370385
2021-04-14,99.15,99.93,98.94,99.76,395456
2021-04-15,99.69,100.68,99.19,100.49,323298
2021-04-16,100.99,102.25,100.57,101.04,1912363
2021-04-19,101.09,102.53,100.83,101.76,312032
2021-04-20,102.29,103.24,102.09,102.28,298990
2021-04-21,102.36,102.61,101.28,101.79,249450
2021-04-22,102.29,102.58,101.46,101.66,285843
2021-04-23,101.78,102.17,100.28,100.28,346102
2021-04-26,100.77,100.98,100.14,100.16,433694
2021-04-27,99.89,100.33,98.48,98.72,352087
2021-04-28,98.80,100.15,98.72,99.67,385599
2021-04-29,101.11,102.63,100.70,101.32,302565
2021-04-30,101.31,102.59,101.31,102.48,407715
2021-05-03,103.23,103.99,102.02,102.14,389640
2021-05-04,101.30,102.63,101.30,102.16,342924
2021-05-05,102.21,102.21,99.78,101.66,242917
2021-05-06,102.02,102.82,101.45,102.72,247911
2021-05-07,102.51,103.89,102.45,103.26,204692
2021-05-10,103.73,104.96,103.57,103.87,188308
2021-05-11,104.00,104.00,101.34,102.23,294978
2021-05-12,101.97,102.34,99.95,100.05,179224
2021-05-13,100.04,102.02,100.04,101.79,306033
2021-05-14,101.96,102.78,101.49,101.85,173472
2021-05-17,101.49,101.85,100.48,100.80,219764
2021-05-18,100.61,101.50,100.39,101.15,172128
2021-05-19,100.61,100.94,99.63,100.61,198774
2021-05-20,100.76,101.76,100.44,100.64,228875
2021-05-21,101.09,101.64,99.97,100.80,179994
2021-05-24,100.97,101.40,100.40,100.57,140836
2021-05-25,100.36,100.36,98.39,98.75,243581
2021-05-26,98.89,99.43,98.20,98.42,440106
2021-05-27,99.07,99.28,97.46,97.60,393715
2021-05-28,97.60,98.14,97.06,97.95,275907
2021-06-01,98.31,98.78,97.16,97.58,281083
2021-06-02,97.82,98.96,97.12,98.10,188383
2021-06-03,97.70,98.73,97.27,98.44,164303
