date,open,high,low,close,volume
2021-01-04,64.90,65.03,62.75,63.28,89275
2021-01-05,63.71,65.16,63.68,64.67,87924
2021-01-06,65.80,66.18,64.81,65.42,168503
2021-01-07,64.42,65.06,64.40,64.86,102157
2021-01-08,65.34,65.43,64.41,65.36,79785
2021-01-11,64.01,64.41,63.91,64.33,58367
2021-01-12,66.09,66.98,65.61,66.83,137331
2021-01-13,66.30,66.55,65.86,65.97,60589
2021-01-14,66.25,67.00,66.21,66.39,79704
2021-01-15,66.33,66.39,65.42,65.64,87562
2021-01-19,66.10,66.75,65.96,66.51,54852
2021-01-20,66.09,66.42,65.70,66.02,45685
2021-01-21,66.87,66.90,66.06,66.65,61997
2021-01-22,64.65,65.08,64.30,64.79,79389
2021-01-25,62.18,62.95,61.92,62.40,120282
2021-01-26,62.78,63.16,62.48,62.68,117389
2021-01-27,62.41,62.90,61.50,61.73,139581
2021-01-28,63.43,64.28,63.08,63.72,93030
2021-01-29,62.20,62.37,61.02,61.57,76499
2021-02-01,63.24,63.24,62.58,62.98,81361
2021-02-02,65.94,66.89,65.67,66.67,120637
2021-02-03,66.58,66.88,66.01,66.15,102157
2021-02-04,67.65,68.43,67.35,68.11,79082
2021-02-05,69.31,70.04,69.26,69.77,101145
2021-02-08,69.49,69.67,68.83,69.02,79854
2021-02-09,69.32,69.32,68.45,68.92,83271
2021-02-10,67.70,68.21,67.45,67.45,98693
2021-02-11,67.60,68.23,67.53,68.11,50882
2021-02-12,67.01,68.10,66.95,68.08,64013
2021-02-16,71.21,71.58,70.92,71.16,106998
2021-02-17,69.30,69.91,68.68,69.61,79115
2021-02-18,69.61,69.96,69.15,69.85,51712
2021-02-19,70.78,71.79,70.77,71.21,194621
2021-02-22,72.33,75.20,72.05,74.12,209504
2021-02-23,74.99,74.99,73.04,74.05,151238
2021-02-24,72.38,73.63,72.02,73.56,198487
2021-02-25,73.64,73.99,70.96,71.18,144254
2021-02-26,70.51,70.61,69.27,70.09,173458
2021-03-01,70.08,71.11,69.86,70.70,100554
2021-03-02,70.72,71.30,70.30,71.19,74244
2021-03-03,71.24,72.06,70.97,71.12,142023
2021-03-04,70.59,71.06,68.32,69.39,123987
2021-03-05,69.31,69.31,66.91,68.96,150557
2021-03-08,69.86,71.15,69.29,70.42,98008
2021-03-09,72.22,72.62,71.45,72.20,110002
2021-03-10,72.51,73.07,71.45,71.84,103014
2021-03-11,71.15,72.35,70.76,72.18,59186
2021-03-12,70.69,72.63,70.69,72.42,110063
2021-03-15,72.46,72.94,71.37,72.91,140489
2021-03-16,72.03,72.67,71.70,72.02,93520
2021-03-17,71.50,72.63,71.29,72.63,92266
2021-03-18,70.86,71.67,70.24,70.33,132087
