date,open,high,low,close,volume
2016-09-15,12.14,12.31,12.10,12.29,2196845
2016-09-16,12.03,12.06,11.91,11.95,2406103
2016-09-19,12.11,12.12,11.95,11.99,2002997
2016-09-20,12.04,12.05,11.92,11.92,2325953
2016-09-21,12.34,12.43,12.27,12.41,2858791
2016-09-22,12.66,12.68,12.42,12.46,1694299
2016-09-23,12.39,12.44,12.33,12.33,3496692
2016-09-26,12.18,12.22,12.12,12.14,2625614
2016-09-27,11.98,12.19,11.96,12.18,2263445
2016-09-28,12.32,12.35,12.14,12.30,1974198
2016-09-29,12.25,12.30,11.76,11.87,5023124
2016-09-30,12.02,12.39,11.99,12.34,4015997
2016-10-03,12.20,12.22,12.09,12.17,1770977
2016-10-04,12.19,12.32,12.16,12.22,3100981
2016-10-05,12.36,12.51,12.32,12.49,3547697
2016-10-06,12.69,12.71,12.56,12.62,2885513
2016-10-07,12.59,12.59,12.42,12.56,2707425
2016-10-10,12.54,12.58,12.47,12.48,1657446
2016-10-11,12.59,12.60,12.31,12.40,1956725
2016-10-12,12.50,12.56,12.41,12.42,1902459
2016-10-13,12.18,12.32,12.08,12.25,2912618
2016-10-14,12.50,12.56,12.33,12.36,2229301
2016-10-17,12.44,12.46,12.35,12.38,1741378
2016-10-18,12.62,12.69,12.58,12.65,2162512
2016-10-19,12.65,12.78,12.65,12.75,2463684
2016-10-20,12.82,12.97,12.80,12.95,4649894
2016-10-21,12.72,12.85,12.70,12.84,1754418
2016-10-24,13.07,13.09,12.96,13.01,1640977
2016-10-25,12.94,13.00,12.91,12.95,1925613
2016-10-26,12.89,13.04,12.88,12.99,3518291
2016-10-27,13.10,13.17,13.07,13.11,2667837
2016-10-28,13.09,13.20,13.03,13.13,3726505
2016-10-31,13.12,13.14,13.04,13.11,2876143
2016-11-01,13.18,13.19,12.88,12.98,3035626
2016-11-02,12.78,12.86,12.71,12.83,3136848
2016-11-03,13.17,13.25,13.05,13.07,3479678
2016-11-04,13.06,13.28,13.03,13.12,4458348
2016-11-07,13.43,13.52,13.42,13.49,2047016
2016-11-08,13.44,13.62,13.38,13.58,2825620
2016-11-09,13.92,14.20,13.90,14.14,6422485
2016-11-10,14.23,14.35,13.98,14.31,8132400
2016-11-11,13.93,13.98,13.84,13.95,4598887
2016-11-14,13.97,14.10,13.95,14.05,3573733
2016-11-15,14.07,14.14,13.96,14.14,3014125
2016-11-16,13.82,13.88,13.63,13.67,3524416
2016-11-17,13.69,13.75,13.61,13.70,2638001
2016-11-18,13.64,13.64,13.47,13.52,2857483
2016-11-21,13.58,13.63,13.53,13.62,1587300
2016-11-22,13.78,13.81,13.71,13.80,1798358
2016-11-23,13.42,13.59,13.38,13.50,2172678
2016-11-25,13.42,13.51,13.41,13.51,967991
2016-11-28,13.31,13.35,13.16,13.17,2058496
2016-11-29,13.41,13.44,13.30,13.38,2064236
2016-11-30,13.53,13.66,13.52,13.57,1988759
2016-12-01,13.69,13.77,13.62,13.72,2393731
2016-12-02,13.37,13.50,13.32,13.37,3075604
2016-12-05,13.66,13.92,13.66,13.92,2772246
2016-12-06,14.27,14.58,14.21,14.56,9466123
2016-12-07,14.39,14.68,14.34,14.64,12304240
2016-12-08,14.51,14.64,14.49,14.59,6259335
2016-12-09,14.30,14.45,14.29,14.45,3979539
2016-12-12,14.50,14.54,14.44,14.51,2564214
2016-12-13,14.43,14.52,14.43,14.48,2364158
2016-12-14,14.33,14.40,14.16,14.20,3756121
2016-12-15,14.26,14.31,14.21,14.22,3244179
2016-12-16,14.23,14.32,14.11,14.14,3317337
2016-12-19,14.10,14.12,14.01,14.03,1714282
2016-12-20,14.13,14.22,14.12,14.20,1543212
2016-12-21,14.19,14.32,14.18,14.29,3262487
2016-12-22,14.34,14.38,14.24,14.25,2296177
2016-12-23,14.21,14.30,14.19,14.28,1086041
2016-12-27,14.20,14.22,14.16,14.20,850725
2016-12-28,14.04,14.10,13.99,14.00,2928645
2016-12-29,13.95,13.98,13.90,13.94,1675973
2016-12-30,14.03,14.13,14.00,14.10,1752145
