date,open,high,low,close,volume
2021-01-04,45.68,45.76,43.84,44.31,2232123
2021-01-05,44.37,45.41,44.37,45.20,1797470
2021-01-06,45.86,47.65,45.80,46.68,1968325
2021-01-07,47.01,47.41,46.58,47.02,990760
2021-01-08,47.13,47.46,45.83,46.40,1658987
2021-01-11,45.91,46.68,45.59,46.49,739759
2021-01-12,46.99,47.78,46.54,47.06,1245342
2021-01-13,46.87,47.17,46.08,46.08,1577116
2021-01-14,46.39,46.78,45.93,46.34,1799104
2021-01-15,47.17,47.30,45.54,45.91,4577956
2021-01-19,46.36,46.59,45.93,46.29,1642923
2021-01-20,46.45,46.71,45.82,45.99,1367058
2021-01-21,45.93,46.23,45.71,45.76,1102243
2021-01-22,45.43,45.72,45.01,45.23,1319641
2021-01-25,45.00,45.22,44.16,44.51,1826142
2021-01-26,44.90,45.24,43.58,43.59,1485628
2021-01-27,42.56,42.60,40.64,40.81,2178438
2021-01-28,41.48,42.99,41.21,42.64,2174613
2021-01-29,42.37,42.65,41.40,41.84,3165265
2021-02-01,42.39,42.71,41.68,42.60,3118897
2021-02-02,43.13,43.66,42.62,43.38,1257199
2021-02-03,43.12,43.74,42.84,43.56,1255893
2021-02-04,43.78,44.04,42.85,42.99,4587713
2021-02-05,43.55,44.11,43.19,43.78,1357337
2021-02-08,43.84,44.20,43.69,44.05,1275396
2021-02-09,43.78,44.53,43.68,44.07,1339185
2021-02-10,44.21,44.64,43.80,44.46,1534011
2021-02-11,44.44,45.27,43.50,44.03,1743670
2021-02-12,43.89,44.37,43.41,43.92,1683265
2021-02-16,44.27,44.50,43.30,43.57,1338571
2021-02-17,43.44,43.58,42.83,42.99,1001569
2021-02-18,42.70,43.01,42.00,42.77,1250168
2021-02-19,43.05,44.31,43.05,43.89,1610066
2021-02-22,43.49,44.82,43.33,43.77,3412621
2021-02-23,44.68,46.99,43.96,45.58,4562676
2021-02-24,45.84,48.26,45.46,48.10,4067055
2021-02-25,48.01,48.92,46.20,46.35,3534017
2021-02-26,46.37,46.93,45.72,46.34,2381158
2021-03-01,47.04,47.97,46.99,47.46,1978360
2021-03-02,47.27,47.50,46.75,46.80,1548578
2021-03-03,46.71,47.50,46.60,46.81,2813347
2021-03-04,46.64,47.74,46.00,47.06,3444937
2021-03-05,47.62,49.68,46.81,49.49,3619535
2021-03-08,49.82,51.61,49.49,50.55,6393297
2021-03-09,50.53,50.55,48.08,48.09,2216388
2021-03-10,48.72,49.44,47.91,48.97,1454008
2021-03-11,49.02,49.95,48.73,49.02,1405038
2021-03-12,49.13,49.71,48.86,49.60,2125000
2021-03-15,49.53,50.79,49.18,50.76,2007019
2021-03-16,50.31,50.51,48.94,48.94,1398724
2021-03-17,49.09,50.02,48.56,49.78,1286283
2021-03-18,49.78,50.90,49.46,49.74,2031004
2021-03-19,49.63,49.99,48.51,49.45,6270472
2021-03-22,49.40,49.40,48.02,48.81,1880424
2021-03-23,48.24,48.72,46.94,47.14,1574913
2021-03-24,47.54,48.95,47.54,48.34,1788225
2021-03-25,47.89,48.98,46.94,48.73,1630590
2021-03-26,49.26,49.96,48.79,49.71,971021
2021-03-29,49.59,49.97,49.37,49.59,1149296
2021-03-30,49.75,50.39,49.42,50.04,2069095
2021-03-31,50.10,50.92,49.17,49.21,2105087
2021-04-01,49.41,49.72,48.93,49.61,1857258
2021-04-05,50.02,50.57,49.86,50.09,1839845
2021-04-06,50.36,50.77,49.91,50.23,1249018
2021-04-07,50.08,50.35,49.52,50.14,1494150
2021-04-08,50.05,50.40,49.33,50.32,1515756
2021-04-09,50.57,50.73,49.73,50.58,1296310
2021-04-12,51.44,51.49,49.92,50.15,2920239
2021-04-13,49.87,49.92,48.63,49.23,2749962
2021-04-14,49.36,50.12,49.32,49.40,1989764
2021-04-15,49.52,49.74,49.02,49.34,2174073
2021-04-16,49.81,50.38,49.52,50.24,2722869
2021-04-19,50.08,50.96,50.01,50.91,2344890
2021-04-20,50.86,50.90,49.48,50.34,3008987
2021-04-21,50.12,51.13,49.81,50.95,2139205
2021-04-22,50.96,52.12,50.59,51.24,2674875
2021-04-23,51.51,51.89,51.08,51.62,1873114
2021-04-26,51.58,52.00,51.21,51.23,2059720
2021-04-27,51.46,51.46,50.65,51.21,1330041
2021-04-28,51.05,52.12,50.97,51.94,3507987
2021-04-29,50.31,51.70,49.77,51.24,3276103
2021-04-30,50.72,50.98,49.29,49.41,3399180
2021-05-03,49.53,49.79,48.25,48.30,2870331
2021-05-04,48.09,49.27,47.62,49.21,1974393
2021-05-05,49.47,49.66,48.58,49.41,1022339
2021-05-06,49.42,49.69,48.99,49.53,1355452
2021-05-07,49.27,50.69,48.87,50.53,1704497
2021-05-10,50.86,51.60,50.11,50.12,1495469
2021-05-11,47.89,48.92,47.21,48.16,6767285
2021-05-12,48.29,48.51,47.03,47.13,2345920
2021-05-13,47.07,47.96,47.07,47.57,1474678
2021-05-14,47.94,48.76,47.75,48.54,2553991
2021-05-17,48.36,48.96,47.83,48.76,2893873
2021-05-18,48.75,48.77,48.03,48.42,3407625
2021-05-19,47.74,47.91,46.76,47.74,3195274
2021-05-20,48.21,48.46,47.59,48.27,4055531
2021-05-21,48.76,49.41,48.54,48.87,2453426
2021-05-24,49.13,49.78,48.86,49.59,2018076
2021-05-25,49.55,49.90,48.67,48.68,1642390
2021-05-26,48.77,49.19,48.64,49.17,1228001
2021-05-27,49.65,49.98,49.33,49.67,3278618
2021-05-28,49.80,49.80,49.23,49.64,1423413
2021-06-01,50.33,50.61,50.02,50.03,1421127
2021-06-02,50.04,50.26,49.52,49.73,1467779
2021-06-03,49.46,49.53,49.02,49.14,1226644
2021-06-04,49.36,49.69,49.05,49.21,1268039
2021-06-07,49.39,49.42,48.12,48.21,1569126
2021-06-08,48.07,48.72,47.67,48.50,1323324
2021-06-09,48.34,48.34,47.64,47.67,1334687
2021-06-10,48.04,48.06,47.34,47.36,1292033
2021-06-11,47.67,47.96,47.53,47.95,1394233
2021-06-14,47.97,47.99,47.36,47.53,1652076
2021-06-15,47.66,47.76,47.20,47.32,2345011
2021-06-16,47.16,47.94,46.76,47.74,4026351
