date,open,high,low,close,volume
2016-09-15,4.58,4.70,4.52,4.68,18844074
2016-09-16,4.64,4.65,4.54,4.60,25666258
2016-09-19,4.68,4.73,4.62,4.63,12744224
2016-09-20,4.72,4.75,4.66,4.67,10835483
2016-09-21,4.74,4.81,4.63,4.80,22270795
2016-09-22,4.88,4.96,4.80,4.86,18746601
2016-09-23,4.83,4.87,4.78,4.80,12646842
2016-09-26,4.75,4.81,4.72,4.76,22541341
2016-09-27,4.77,4.87,4.73,4.86,25792913
2016-09-28,4.86,4.93,4.79,4.91,14944761
2016-09-29,4.91,4.93,4.72,4.73,18823660
2016-09-30,4.79,4.80,4.70,4.74,22520628
2016-10-03,4.76,4.93,4.75,4.92,24004710
2016-10-04,4.91,4.94,4.84,4.86,40800801
2016-10-05,4.94,5.04,4.92,5.03,23579354
2016-10-06,5.01,5.08,4.98,5.07,20478646
2016-10-07,5.12,5.16,5.03,5.12,23404747
2016-10-10,5.17,5.20,5.11,5.14,21220014
2016-10-11,5.10,5.15,5.07,5.14,25962154
2016-10-12,5.10,5.18,5.06,5.11,16302578
2016-10-13,5.10,5.25,5.05,5.23,23718590
2016-10-14,5.29,5.31,5.25,5.28,22115481
2016-10-17,5.27,5.36,5.26,5.36,32252966
2016-10-18,5.44,5.52,5.34,5.50,22097917
2016-10-19,5.48,5.51,5.41,5.43,22439449
2016-10-20,5.40,5.55,5.39,5.50,16364821
2016-10-21,5.43,5.49,5.43,5.48,13557298
2016-10-24,5.53,5.53,5.45,5.45,12266059
2016-10-25,5.44,5.50,5.36,5.48,16639649
2016-10-26,5.41,5.50,5.39,5.45,17495637
2016-10-27,5.52,5.61,5.47,5.52,28308773
2016-10-28,5.53,5.58,5.43,5.50,21309349
2016-10-31,5.74,5.76,5.67,5.68,41110375
2016-11-01,5.69,5.70,5.40,5.48,40287392
2016-11-02,5.45,5.49,5.31,5.40,18846162
2016-11-03,5.48,5.57,5.35,5.37,23806067
2016-11-04,5.36,5.51,5.32,5.39,24142959
2016-11-07,5.63,5.70,5.59,5.68,24701024
2016-11-08,5.64,5.80,5.58,5.71,19301883
2016-11-09,5.47,5.62,5.43,5.44,35550971
2016-11-10,5.12,5.20,4.87,4.95,43203547
2016-11-11,4.82,4.95,4.67,4.91,34265843
2016-11-14,4.81,4.85,4.69,4.80,41150228
2016-11-15,4.84,5.06,4.84,5.04,26750060
2016-11-16,4.92,5.04,4.87,5.01,33743791
2016-11-17,4.99,5.04,4.85,4.87,20788571
2016-11-18,5.01,5.04,4.91,4.93,17961759
2016-11-21,5.06,5.09,5.02,5.07,13831052
2016-11-22,5.16,5.17,5.00,5.07,18207303
2016-11-23,4.93,4.99,4.90,4.98,12766896
2016-11-25,4.85,4.88,4.83,4.86,9157138
2016-11-28,4.87,5.02,4.84,4.96,23856424
2016-11-29,4.92,4.96,4.86,4.89,14280061
2016-11-30,5.00,5.06,4.92,4.92,26545814
2016-12-01,4.79,4.80,4.61,4.62,32182494
2016-12-02,4.68,4.74,4.63,4.65,17740909
2016-12-05,4.66,4.73,4.65,4.73,13247539
2016-12-06,4.69,4.83,4.67,4.79,13564285
