date,open,high,low,close,volume
2021-01-04,91.63,92.44,89.12,89.20,867024
2021-01-05,88.27,90.60,88.27,90.08,646538
2021-01-06,91.54,98.13,91.48,96.47,1538140
2021-01-07,96.78,97.98,94.71,96.52,816529
2021-01-08,96.34,96.39,94.24,95.43,855982
2021-01-11,94.56,96.07,94.54,95.00,475809
2021-01-12,95.29,95.99,94.29,95.48,455999
2021-01-13,95.94,96.16,94.46,94.80,441933
2021-01-14,95.47,95.96,93.80,94.14,938263
2021-01-15,93.46,93.59,91.71,92.63,687448
2021-01-19,93.60,94.91,93.30,93.89,502038
2021-01-20,94.12,94.44,93.29,94.14,366832
2021-01-21,94.39,94.91,93.17,93.41,428720
2021-01-22,93.15,93.65,91.97,93.32,412552
2021-01-25,93.06,93.31,91.79,92.71,366066
2021-01-26,93.32,93.40,91.17,91.47,426072
2021-01-27,89.48,89.90,87.01,87.85,1127011
2021-01-28,89.11,89.11,87.13,87.95,1127108
2021-01-29,87.26,87.68,84.15,84.87,1060938
2021-02-01,86.03,86.03,84.10,85.46,935178
2021-02-02,86.65,89.36,86.24,88.73,607131
2021-02-03,88.30,89.88,87.99,89.18,618403
2021-02-04,89.44,90.65,89.22,90.58,680233
2021-02-05,91.62,92.21,89.35,90.32,580618
2021-02-08,91.03,91.85,90.83,91.74,691131
2021-02-09,92.54,95.35,91.96,94.18,1040668
2021-02-10,94.49,94.63,92.02,93.07,591835
2021-02-11,93.69,96.83,93.26,96.67,769218
2021-02-12,96.26,97.06,95.60,96.59,513360
2021-02-16,96.30,97.57,94.60,95.18,583041
2021-02-17,94.71,95.04,92.91,94.83,572869
2021-02-18,93.96,95.14,92.24,94.58,944364
2021-02-19,95.30,95.76,94.36,94.49,389787
2021-02-22,94.41,97.66,93.92,97.30,808239
2021-02-23,97.29,98.12,95.96,97.71,565435
2021-02-24,98.21,101.17,97.56,100.66,809496
2021-02-25,100.71,101.24,98.61,98.94,517867
2021-02-26,99.11,99.24,96.69,96.74,702127
2021-03-01,98.34,98.88,96.75,96.82,716417
2021-03-02,96.81,97.51,95.97,96.29,556056
2021-03-03,96.42,98.20,95.87,96.73,459331
2021-03-04,97.15,97.82,94.02,94.89,678304
2021-03-05,95.44,97.71,94.25,97.11,624714
2021-03-08,98.41,100.86,98.08,99.40,710491
2021-03-09,99.80,102.31,98.97,102.26,839688
2021-03-10,102.98,105.06,102.16,104.87,731048
2021-03-11,104.69,106.76,104.51,105.13,776578
2021-03-12,105.17,106.55,105.17,106.31,480487
2021-03-15,105.95,106.33,104.42,105.82,511566
2021-03-16,105.72,105.72,103.94,104.68,388286
2021-03-17,105.15,105.70,103.93,105.35,413872
2021-03-18,105.56,107.12,104.46,104.76,550376
2021-03-19,104.35,104.56,102.08,103.71,981433
2021-03-22,102.88,103.65,101.72,103.56,593391
2021-03-23,103.11,104.00,102.05,102.39,448893
2021-03-24,102.61,104.77,102.34,103.65,483033
2021-03-25,104.05,106.53,102.36,106.04,542319
2021-03-26,106.15,108.22,104.12,108.12,524690
2021-03-29,107.44,108.44,106.41,107.07,548626
2021-03-30,107.07,108.01,106.86,107.71,453947
2021-03-31,108.25,109.03,107.09,108.67,620522
2021-04-01,109.28,110.32,108.42,109.24,570770
2021-04-05,110.68,111.89,109.91,111.53,660684
2021-04-06,110.65,112.44,110.65,110.93,649962
2021-04-07,110.79,111.01,109.61,110.50,554459
2021-04-08,110.59,111.78,109.39,111.61,550934
2021-04-09,112.24,113.63,111.42,113.58,481757
2021-04-12,113.70,114.48,112.64,113.00,1176885
2021-04-13,112.52,112.52,110.19,110.61,891215
2021-04-14,110.70,110.98,109.57,110.39,1184860
2021-04-15,110.33,112.68,109.95,112.57,833488
2021-04-16,113.57,113.58,111.99,112.46,669360
2021-04-19,112.89,113.09,111.48,112.41,628116
2021-04-20,112.41,112.79,110.55,111.96,419627
2021-04-21,112.27,114.06,111.63,113.87,433447
2021-04-22,114.32,115.42,113.45,113.63,567846
2021-04-23,113.94,115.87,113.78,115.28,437919
2021-04-26,115.51,116.46,114.27,114.69,502289
2021-04-27,114.77,115.26,113.83,114.92,433779
2021-04-28,115.25,115.36,114.11,114.32,300111
2021-04-29,114.44,114.44,113.60,113.80,702474
2021-04-30,113.64,114.17,111.90,112.32,1008540
2021-05-03,113.48,114.52,112.45,114.11,1257403
2021-05-04,113.61,116.26,113.35,116.22,528232
2021-05-05,116.43,116.70,114.78,116.15,334144
2021-05-06,116.45,116.85,115.47,116.38,512654
2021-05-07,115.58,118.59,114.85,117.65,844284
2021-05-10,119.09,122.71,118.05,119.67,1063490
2021-05-11,119.02,119.09,116.34,117.80,507615
2021-05-12,117.54,118.28,113.64,113.82,574922
2021-05-13,113.66,117.44,113.62,116.90,456087
2021-05-14,117.75,118.27,116.17,116.38,636339
2021-05-17,116.10,117.20,115.54,116.93,373480
2021-05-18,116.90,117.07,113.92,113.96,546110
2021-05-19,113.48,114.85,112.07,114.70,713065
2021-05-20,114.96,115.45,114.11,114.85,585816
2021-05-21,115.43,117.17,115.43,116.48,520393
2021-05-24,117.11,117.67,116.48,117.39,446686
2021-05-25,117.26,118.29,116.86,117.07,673392
2021-05-26,117.05,118.98,116.85,118.10,874750
2021-05-27,119.22,119.44,117.50,118.16,693518
2021-05-28,119.84,119.85,118.35,119.44,498442
2021-06-01,120.64,120.70,119.34,119.65,369226
2021-06-02,119.50,119.64,118.30,118.86,326230
2021-06-03,118.40,119.39,117.19,119.13,322753
2021-06-04,119.48,120.61,119.12,120.55,289623
2021-06-07,120.55,121.04,118.99,119.10,356487
