date,open,high,low,close,volume
2021-01-04,9.26,9.30,8.86,8.88,99871
2021-01-05,8.72,9.00,8.66,9.00,100143
2021-01-06,8.91,9.06,8.75,8.93,39252
2021-01-07,9.02,9.10,8.79,8.82,62376
2021-01-08,9.08,9.10,8.96,9.07,39953
2021-01-11,8.91,8.99,8.82,8.87,57730
2021-01-12,9.05,9.32,9.04,9.17,128134
2021-01-13,9.28,9.35,9.15,9.30,172867
2021-01-14,9.30,9.50,9.23,9.46,81368
2021-01-15,9.52,9.52,9.18,9.29,21866
2021-01-19,9.20,9.38,9.00,9.15,56103
2021-01-20,9.08,9.50,9.08,9.39,207126
2021-01-21,9.51,9.51,9.07,9.20,148429
2021-01-22,9.39,9.39,8.89,9.01,68340
2021-01-25,8.84,9.55,8.25,9.01,25637
2021-01-26,9.25,9.27,9.00,9.05,54466
2021-01-27,8.91,9.09,8.82,8.85,21806
2021-01-28,8.81,9.05,8.81,9.03,20258
2021-01-29,8.65,9.17,8.65,8.85,43292
2021-02-01,8.88,9.14,8.88,8.98,7010
2021-02-02,9.14,9.24,8.97,9.11,95892
2021-02-03,9.39,9.40,9.13,9.19,145565
2021-02-04,9.23,9.40,9.14,9.30,49869
2021-02-05,9.40,9.50,9.27,9.29,50540
2021-02-08,9.41,9.55,9.26,9.55,95962
2021-02-09,9.30,9.51,9.29,9.34,86787
2021-02-10,9.42,9.45,9.34,9.40,39937
2021-02-11,9.49,9.75,9.49,9.75,179326
2021-02-12,9.41,9.99,9.41,9.94,62962
2021-02-16,9.62,9.89,9.50,9.83,27922
2021-02-17,10.02,10.50,9.86,10.50,88195
2021-02-18,10.39,10.39,9.90,9.98,63146
2021-02-19,10.30,10.30,9.85,9.93,48075
2021-02-22,9.25,9.73,9.25,9.50,142697
2021-02-23,9.64,9.73,9.39,9.51,64920
2021-02-24,9.87,9.87,9.60,9.80,160505
2021-02-25,9.82,10.55,9.38,9.38,26411
2021-02-26,9.78,9.78,9.26,9.30,41370
2021-03-01,9.26,9.78,9.26,9.53,92017
2021-03-02,9.58,9.65,9.24,9.62,99565
2021-03-03,9.63,9.77,9.16,9.65,27279
2021-03-04,9.82,10.07,9.79,9.84,94946
2021-03-05,9.80,9.91,9.75,9.75,64589
2021-03-08,9.64,9.75,9.34,9.34,52290
2021-03-09,9.57,9.70,9.47,9.70,113719
2021-03-10,9.60,10.40,9.33,10.40,49004
2021-03-11,9.61,9.65,9.51,9.54,169995
2021-03-12,9.44,9.63,9.43,9.50,34210
2021-03-15,9.43,9.56,9.32,9.39,308694
2021-03-16,9.49,9.68,9.45,9.53,148117
2021-03-17,9.40,9.78,9.30,9.73,82389
2021-03-18,9.52,9.73,9.51,9.55,73214
2021-03-19,9.73,10.14,9.73,10.07,78209
2021-03-22,10.17,10.17,9.82,9.87,42376
2021-03-23,10.00,10.22,9.93,9.97,109652
2021-03-24,10.06,10.20,9.76,9.76,26145
2021-03-25,9.95,10.05,9.81,9.85,387533
2021-03-26,9.92,10.16,9.81,9.96,84017
2021-03-29,9.94,10.21,9.90,10.20,53208
2021-03-30,10.25,10.39,10.16,10.32,50439
2021-03-31,10.37,10.68,9.64,9.64,38382
2021-04-01,10.62,10.66,10.49,10.59,39753
2021-04-05,10.74,10.74,10.56,10.61,79660
2021-04-06,10.73,11.05,10.65,10.82,93448
2021-04-07,11.17,11.17,10.93,11.00,53872
2021-04-08,11.24,11.37,11.15,11.34,24219
2021-04-09,11.23,11.25,10.98,11.06,44776
2021-04-12,11.15,11.35,11.12,11.35,54609
2021-04-13,11.20,11.37,11.19,11.37,121949
2021-04-14,11.38,11.73,11.38,11.68,43546
2021-04-15,11.98,12.24,11.93,12.18,197596
2021-04-16,12.15,12.15,11.94,11.95,52536
2021-04-19,12.13,12.61,12.13,12.45,169702
2021-04-20,12.69,12.88,12.58,12.60,67376
2021-04-21,12.56,12.77,12.50,12.62,9813
2021-04-22,12.81,13.00,12.78,12.96,102970
2021-04-23,13.06,13.12,12.69,12.71,97080
2021-04-26,12.86,12.94,12.81,12.93,84021
2021-04-27,12.90,12.90,12.27,12.37,93055
2021-04-28,12.43,12.43,11.64,11.66,170119
2021-04-29,11.51,11.51,11.51,11.51,82552
2021-04-30,11.37,11.37,11.02,11.13,105638
2021-05-03,11.45,11.45,10.83,10.85,41901
2021-05-04,10.90,11.30,10.86,11.30,217574
2021-05-05,11.17,11.50,11.12,11.50,53698
2021-05-06,11.52,11.72,11.46,11.67,45863
2021-05-07,11.53,11.87,11.53,11.87,33103
2021-05-10,11.83,12.06,11.78,12.00,10642
2021-05-11,11.86,12.24,11.86,12.24,20916
2021-05-12,12.00,12.00,11.71,11.71,55129
2021-05-13,11.93,12.02,11.53,11.57,300055
2021-05-14,11.71,11.83,11.56,11.65,89957
2021-05-17,11.58,11.67,11.53,11.63,20764
2021-05-18,11.50,11.51,11.26,11.42,449939
2021-05-19,11.35,11.41,11.07,11.36,22167
2021-05-20,11.30,11.59,11.27,11.55,13242
2021-05-21,11.52,11.52,11.23,11.33,311665
2021-05-24,11.34,11.40,11.23,11.27,192925
2021-05-25,11.44,11.51,11.36,11.38,34349
2021-05-26,11.59,11.69,11.46,11.50,48134
2021-05-27,11.52,11.65,11.44,11.51,48051
2021-05-28,11.47,11.65,11.46,11.65,101928
2021-06-01,11.64,12.14,11.64,12.14,336474
2021-06-02,11.91,12.15,11.88,12.10,241578
2021-06-03,12.11,12.11,11.98,12.00,57194
2021-06-04,11.81,11.89,11.72,11.82,279144
2021-06-07,11.87,11.91,11.63,11.86,100164
2021-06-08,11.83,11.87,11.59,11.69,117150
2021-06-09,11.71,11.78,11.62,11.71,104338
2021-06-10,11.63,11.76,11.62,11.63,152837
2021-06-11,11.76,11.79,11.40,11.50,95042
2021-06-14,11.63,11.74,11.58,11.74,37678
2021-06-15,11.44,11.59,11.41,11.53,56977
2021-06-16,11.49,11.68,11.30,11.39,61688
2021-06-17,11.42,11.42,11.18,11.20,198460
2021-06-18,11.22,11.26,10.99,11.04,251121
2021-06-21,11.04,11.22,10.99,11.22,181753
2021-06-22,11.14,11.45,11.09,11.45,103478
2021-06-23,11.70,11.73,11.45,11.56,75921
2021-06-24,11.70,11.96,11.68,11.94,286870
2021-06-25,11.93,11.93,11.52,11.66,151168
2021-06-28,11.76,11.85,11.65,11.85,58956
2021-06-29,11.70,11.70,11.56,11.70,21739
2021-06-30,11.53,11.80,11.51,11.52,134655
2021-07-01,11.75,11.75,11.52,11.52,26325
2021-07-02,11.77,11.83,11.61,11.65,77366
2021-07-06,11.31,11.33,11.05,11.09,82719
2021-07-07,11.10,11.16,10.91,11.10,90191
2021-07-08,10.88,11.28,10.83,11.13,40635
2021-07-09,10.90,11.26,10.90,11.05,24862
2021-07-12,11.04,11.36,10.90,11.31,52731
2021-07-13,11.36,11.50,11.24,11.49,128117
2021-07-14,11.69,11.72,11.56,11.65,141817
2021-07-15,11.49,11.53,11.27,11.35,75140
2021-07-16,11.37,11.46,11.23,11.26,15280
2021-07-19,11.20,11.23,10.95,10.95,43345
2021-07-20,11.28,11.69,11.18,11.54,144854
2021-07-21,11.66,11.69,11.50,11.57,106011
2021-07-22,11.53,11.78,11.53,11.70,203182
2021-07-23,11.92,11.92,11.60,11.73,88837
2021-07-26,12.04,12.27,12.04,12.06,120739
2021-07-27,12.19,12.30,11.93,12.05,259414
