date,open,high,low,close,volume
2021-01-04,23.95,24.32,23.54,23.84,2839866
2021-01-05,24.59,25.19,23.75,23.93,2627771
2021-01-06,24.70,25.68,24.38,25.29,3427480
2021-01-07,25.67,25.70,25.06,25.13,2667562
2021-01-08,25.35,25.40,25.01,25.35,1919199
2021-01-11,25.00,25.81,24.99,25.71,1416284
2021-01-12,25.89,25.99,25.48,25.60,1252366
2021-01-13,25.45,25.73,25.41,25.55,1390573
2021-01-14,25.74,25.90,25.31,25.35,1184656
2021-01-15,25.04,25.30,24.56,25.13,1251357
2021-01-19,25.20,25.29,24.59,24.81,1539699
2021-01-20,24.83,24.90,24.53,24.85,1038067
2021-01-21,24.90,25.04,24.66,24.66,1048623
2021-01-22,24.41,24.59,23.83,24.11,1984990
2021-01-25,23.86,24.05,22.91,23.56,1991430
2021-01-26,23.69,23.70,23.28,23.33,2300735
2021-01-27,22.86,22.91,21.97,22.21,1804543
2021-01-28,22.38,23.12,22.24,22.95,2615525
2021-01-29,22.73,23.08,22.40,22.43,3407185
2021-02-01,22.70,23.13,22.54,23.13,3080219
2021-02-02,23.41,23.58,23.16,23.40,5326321
2021-02-03,23.48,23.93,23.25,23.66,4585313
2021-02-04,23.89,24.46,23.84,24.32,4987907
2021-02-05,24.40,24.94,24.40,24.50,4283325
2021-02-08,24.59,25.76,24.59,25.69,5064269
2021-02-09,25.69,25.91,25.12,25.74,2187058
2021-02-10,26.07,26.72,25.81,26.65,3269911
2021-02-11,26.50,27.45,26.41,27.41,4624228
2021-02-12,27.32,27.86,27.02,27.73,3165766
2021-02-16,28.00,28.17,27.75,27.91,3493052
2021-02-17,27.68,27.70,27.06,27.30,2893893
2021-02-18,27.16,27.73,26.97,27.18,2069010
2021-02-19,27.47,27.97,27.42,27.77,3167466
2021-02-22,27.79,28.36,27.70,28.06,1842581
2021-02-23,28.09,28.24,27.49,27.83,1550753
2021-02-24,28.13,29.09,28.04,28.93,3209525
2021-02-25,29.01,29.19,28.07,28.09,1308782
2021-02-26,28.18,28.26,27.62,27.89,1989252
2021-03-01,28.56,29.27,28.44,28.81,2684040
2021-03-02,28.81,29.06,28.62,28.72,1565630
2021-03-03,28.90,29.88,28.87,29.44,2863531
2021-03-04,29.33,29.46,28.06,28.55,3479326
2021-03-05,29.20,29.38,27.98,29.32,1700583
2021-03-08,29.63,30.60,29.62,30.42,2593703
2021-03-09,30.10,30.97,29.93,30.43,3402407
2021-03-10,30.48,30.83,30.42,30.75,1225159
2021-03-11,30.60,31.01,30.49,30.83,1436714
2021-03-12,31.15,31.77,30.94,31.77,1737247
2021-03-15,31.76,31.91,31.10,31.70,1717662
2021-03-16,31.70,32.18,31.62,32.04,2167977
2021-03-17,32.27,32.93,31.64,32.92,1506118
2021-03-18,33.24,33.48,32.08,32.35,2295664
2021-03-19,32.23,32.75,31.43,32.41,3633221
2021-03-22,32.26,32.66,31.95,32.57,1581524
2021-03-23,32.31,32.67,31.53,31.61,1903029
2021-03-24,31.98,32.39,31.23,31.24,1374902
2021-03-25,31.30,31.70,29.27,30.32,3697634
