date,open,high,low,close,volume
2021-01-04,39.33,39.56,38.68,39.13,164975
2021-01-05,39.86,40.17,39.80,39.93,83675
2021-01-06,40.42,41.46,40.30,41.03,114025
2021-01-07,42.34,42.43,41.93,42.07,122276
2021-01-08,42.51,42.54,41.72,42.35,108616
2021-01-11,41.69,42.14,41.61,41.97,101904
2021-01-12,41.82,42.42,41.82,42.40,86645
2021-01-13,42.96,43.10,42.52,43.10,113540
2021-01-14,42.71,43.18,42.58,42.83,106399
2021-01-15,41.23,41.43,40.76,40.95,150104
2021-01-19,41.28,41.28,40.51,40.90,163056
2021-01-20,40.99,41.44,40.89,41.25,156714
2021-01-21,40.95,40.95,40.52,40.80,158160
2021-01-22,40.08,40.11,39.66,39.88,102820
2021-01-25,40.01,40.01,39.42,39.91,66192
2021-01-26,39.27,39.38,38.67,39.04,231938
2021-01-27,38.25,38.30,37.22,37.23,106014
2021-01-28,37.13,37.85,36.80,37.54,277539
2021-01-29,36.50,37.02,36.26,36.26,619248
2021-02-01,37.75,38.23,37.51,38.14,457940
2021-02-02,37.86,37.98,37.52,37.77,278564
2021-02-03,37.58,37.79,37.26,37.62,299601
2021-02-04,37.91,37.91,36.98,37.54,312042
2021-02-05,39.28,39.44,39.04,39.18,327402
2021-02-08,40.04,40.07,39.41,39.79,199787
2021-02-09,39.79,40.30,39.69,40.19,121576
2021-02-10,41.00,41.14,40.34,40.39,129394
2021-02-11,40.59,40.61,39.96,40.50,156004
2021-02-12,40.64,40.96,40.40,40.92,91669
2021-02-16,40.88,40.88,40.13,40.37,170235
2021-02-17,40.32,40.72,40.17,40.63,119134
2021-02-18,39.47,39.57,39.15,39.41,137524
2021-02-19,39.81,39.97,39.55,39.74,163181
2021-02-22,38.90,39.41,38.72,38.92,210991
2021-02-23,39.17,39.49,38.66,39.18,212722
2021-02-24,39.11,39.39,38.88,39.29,154217
2021-02-25,39.99,40.28,39.13,39.49,235646
2021-02-26,39.09,39.15,38.32,38.32,149951
2021-03-01,39.18,39.36,38.54,39.21,203267
2021-03-02,39.58,39.99,39.39,39.76,291855
2021-03-03,40.33,40.58,40.04,40.20,228222
2021-03-04,40.74,41.05,39.85,39.92,208758
2021-03-05,41.62,41.82,40.88,41.63,332543
