date,open,high,low,close,volume
2021-01-04,7.70,8.04,7.66,7.98,23226130
2021-01-05,8.09,8.11,7.79,7.89,14015160
2021-01-06,7.82,8.02,7.72,8.01,34458470
2021-01-07,8.01,8.14,7.75,7.83,21495780
2021-01-08,7.66,7.68,7.25,7.38,23941300
2021-01-11,7.23,7.30,7.13,7.21,20178130
2021-01-12,7.25,7.27,7.09,7.25,18886860
2021-01-13,7.26,7.41,7.17,7.18,13512460
2021-01-14,7.18,7.29,7.12,7.19,12478180
2021-01-15,7.13,7.15,6.95,6.96,15539880
2021-01-19,7.08,7.08,6.90,6.99,21655420
2021-01-20,7.08,7.26,7.07,7.19,19513390
2021-01-21,7.19,7.20,7.00,7.13,14784290
2021-01-22,6.96,7.11,6.88,7.01,14499000
2021-01-25,7.11,7.17,6.93,7.04,15940710
2021-01-26,7.02,7.17,6.99,7.05,15754880
2021-01-27,6.98,7.04,6.76,6.76,20940070
2021-01-28,6.96,7.19,6.82,6.98,19114850
2021-01-29,7.19,7.35,6.96,6.98,18780860
2021-02-01,7.28,7.30,7.05,7.19,17260900
2021-02-02,7.00,7.05,6.85,7.03,13088940
2021-02-03,7.06,7.18,7.00,7.15,14353200
2021-02-04,6.96,7.03,6.90,6.98,15846350
2021-02-05,7.05,7.27,7.02,7.24,13728350
2021-02-08,7.36,7.45,7.29,7.39,24326420
2021-02-09,7.43,7.47,7.25,7.34,19294680
2021-02-10,7.45,7.50,7.24,7.31,13420410
2021-02-11,7.40,7.60,7.20,7.28,19920730
2021-02-12,7.21,7.43,7.06,7.38,18009940
2021-02-16,7.29,7.31,7.06,7.07,20843650
2021-02-17,6.98,6.98,6.80,6.85,22527960
2021-02-18,6.86,6.92,6.68,6.70,18424240
2021-02-19,6.77,6.77,6.50,6.54,19903460
2021-02-22,6.65,6.95,6.62,6.93,19392260
2021-02-23,6.85,6.85,6.61,6.72,21720170
2021-02-24,6.67,6.92,6.54,6.81,16603520
2021-02-25,6.70,6.85,6.55,6.58,17871100
2021-02-26,6.51,6.54,6.20,6.23,26431140
2021-03-01,6.33,6.44,6.12,6.19,23257440
2021-03-02,6.18,6.52,6.17,6.44,18406250
2021-03-03,6.28,6.43,6.18,6.38,18981910
2021-03-04,6.39,6.56,6.29,6.45,18850840
2021-03-05,6.44,6.58,6.38,6.55,18051290
2021-03-08,6.53,6.57,6.40,6.44,13765640
2021-03-09,6.70,6.83,6.60,6.63,12762380
2021-03-10,6.68,6.72,6.54,6.65,11688810
2021-03-11,6.71,6.82,6.64,6.81,13856950
2021-03-12,6.64,6.77,6.60,6.73,13059080
2021-03-15,6.80,6.88,6.72,6.88,13774100
2021-03-16,6.92,6.94,6.79,6.88,13127890
2021-03-17,6.81,7.14,6.75,7.06,20781860
2021-03-18,6.92,6.97,6.81,6.84,13771200
2021-03-19,6.85,7.01,6.80,6.92,19981980
2021-03-22,6.94,7.01,6.88,6.94,9366912
2021-03-23,6.89,6.90,6.66,6.72,12472880
2021-03-24,6.71,6.74,6.60,6.63,12075160
2021-03-25,6.58,6.66,6.49,6.57,10770160
2021-03-26,6.55,6.72,6.55,6.72,8683237
2021-03-29,6.65,6.72,6.55,6.72,11210720
2021-03-30,6.52,6.54,6.43,6.44,15280100
2021-03-31,6.48,6.75,6.46,6.67,11965020
2021-04-01,6.78,7.05,6.72,7.02,18863120
2021-04-05,7.06,7.10,6.94,7.04,11765460
2021-04-06,7.10,7.30,7.08,7.25,15416900
2021-04-07,7.21,7.24,7.15,7.17,9291647
2021-04-08,7.31,7.49,7.31,7.46,16481140
2021-04-09,7.29,7.42,7.24,7.41,11195030
2021-04-12,7.37,7.37,7.20,7.23,9413877
2021-04-13,7.27,7.44,7.27,7.34,9261735
2021-04-14,7.33,7.33,7.12,7.16,8585909
2021-04-15,7.28,7.53,7.27,7.46,14037700
2021-04-16,7.57,7.58,7.44,7.50,9724779
2021-04-19,7.48,7.50,7.39,7.45,8654284
2021-04-20,7.44,7.64,7.41,7.59,11390480
2021-04-21,7.65,7.78,7.61,7.72,11775740
2021-04-22,7.63,7.63,7.48,7.54,9848202
2021-04-23,7.64,7.66,7.34,7.35,11923600
2021-04-26,7.36,7.38,7.25,7.35,8514031
2021-04-27,7.37,7.37,7.15,7.16,7846087
2021-04-28,7.12,7.30,7.04,7.24,8624733
2021-04-29,7.24,7.24,7.05,7.11,8899975
2021-04-30,7.09,7.14,7.02,7.04,9347436
2021-05-03,7.19,7.42,7.17,7.37,12658220
2021-05-04,7.34,7.50,7.17,7.25,12414130
2021-05-05,7.29,7.30,7.19,7.30,4956375
2021-05-06,7.34,7.71,7.34,7.59,16223770
2021-05-07,7.72,7.83,7.66,7.74,13846290
2021-05-10,7.85,7.96,7.71,7.74,18175290
2021-05-11,7.55,7.72,7.51,7.66,13616370
2021-05-12,7.51,7.59,7.25,7.32,22198990
2021-05-13,7.29,7.53,7.24,7.50,13728810
2021-05-14,7.62,7.79,7.58,7.78,13806350
2021-05-17,7.81,8.34,7.79,8.26,24961240
2021-05-18,8.31,8.31,8.10,8.22,15296360
2021-05-19,8.13,8.32,7.93,8.01,18990400
2021-05-20,8.08,8.16,7.99,8.12,13387260
2021-05-21,8.03,8.09,7.97,8.04,16770730
2021-05-24,8.03,8.09,7.97,8.04,7697729
2021-05-25,8.02,8.10,7.92,8.07,10451070
2021-05-26,8.15,8.20,8.06,8.10,9858962
2021-05-27,8.07,8.10,7.95,7.97,14196030
2021-05-28,7.94,8.11,7.87,8.10,9690395
2021-06-01,8.18,8.23,8.05,8.13,10486650
2021-06-02,8.09,8.23,8.06,8.17,6745189
2021-06-03,7.97,7.98,7.83,7.89,9954889
2021-06-04,8.00,8.04,7.93,7.98,6645011
2021-06-07,7.94,8.02,7.88,7.99,6783155
2021-06-08,7.97,7.98,7.78,7.79,9891811
2021-06-09,7.85,7.91,7.77,7.77,5658056
2021-06-10,7.78,7.97,7.73,7.96,9485419
2021-06-11,7.89,7.98,7.80,7.81,7740602
2021-06-14,7.69,7.80,7.63,7.76,6962359
2021-06-15,7.74,7.79,7.62,7.66,6554842
2021-06-16,7.58,7.59,7.09,7.11,29259750
2021-06-17,6.84,6.89,6.60,6.68,30209360
2021-06-18,6.74,6.74,6.42,6.42,21856890
2021-06-21,6.53,6.58,6.40,6.50,15451540
2021-06-22,6.32,6.38,6.10,6.36,34132910
2021-06-23,6.50,6.54,6.36,6.36,18402370
2021-06-24,6.45,6.54,6.42,6.46,15181380
2021-06-25,6.57,6.58,6.33,6.38,13833740
2021-06-28,6.39,6.43,6.25,6.32,12271200
2021-06-29,6.21,6.37,6.15,6.28,11329900
2021-06-30,6.27,6.42,6.25,6.35,9908119
2021-07-01,6.46,6.46,6.31,6.36,6356896
2021-07-02,6.46,6.55,6.39,6.44,10786180
2021-07-06,6.56,6.61,6.41,6.49,13319150
2021-07-07,6.55,6.55,6.37,6.46,10645310
2021-07-08,6.49,6.57,6.16,6.20,27675460
2021-07-09,6.23,6.37,6.23,6.30,22039570
2021-07-12,6.29,6.30,6.18,6.19,15189730
2021-07-13,6.20,6.44,6.20,6.28,14954700
2021-07-14,6.40,6.53,6.34,6.38,11260870
2021-07-15,6.40,6.46,6.32,6.46,10247890
2021-07-16,6.41,6.44,6.18,6.20,12565270
2021-07-19,6.12,6.17,5.98,6.09,15518320
2021-07-20,6.16,6.24,6.03,6.08,13262230
2021-07-21,6.06,6.21,6.00,6.15,11685340
2021-07-22,6.16,6.19,5.98,6.11,15388740
2021-07-23,6.12,6.18,6.05,6.12,18033880
2021-07-26,6.12,6.28,6.11,6.18,9905859
2021-07-27,6.17,6.18,6.08,6.15,12580060
2021-07-28,6.14,6.28,6.11,6.27,12993130
2021-07-29,6.41,6.68,6.39,6.54,22833500
2021-07-30,6.48,6.62,6.46,6.56,9537414
2021-08-02,6.52,6.55,6.42,6.50,8433979
2021-08-03,6.49,6.56,6.45,6.52,6802424
2021-08-04,6.61,6.70,6.48,6.49,10449780
2021-08-05,6.45,6.49,6.33,6.35,8264542
2021-08-06,6.21,6.25,6.09,6.19,10866070
2021-08-09,6.08,6.17,6.00,6.03,11013740
2021-08-10,6.03,6.05,5.86,5.90,15918880
2021-08-11,5.98,6.07,5.97,6.02,9752559
2021-08-12,5.98,5.99,5.84,5.93,10169840
2021-08-13,6.00,6.10,5.96,6.08,13145170
2021-08-16,6.07,6.13,5.93,6.00,12042050
2021-08-17,5.97,6.04,5.90,5.96,9960336
2021-08-18,5.95,5.95,5.72,5.79,14628920
2021-08-19,5.78,5.78,5.64,5.67,10067080
2021-08-20,5.66,5.76,5.62,5.71,8182031
2021-08-23,5.83,5.97,5.77,5.93,11196590
2021-08-24,5.96,6.00,5.90,5.96,5871537
2021-08-25,5.90,5.90,5.78,5.85,7102473
2021-08-26,5.80,5.90,5.78,5.84,6477510
2021-08-27,5.85,6.11,5.81,6.05,9332120
2021-08-30,6.06,6.09,5.90,5.94,9325888
2021-08-31,5.96,6.04,5.92,6.02,10332630
2021-09-01,6.04,6.08,5.98,5.99,7773585
2021-09-02,6.04,6.04,5.95,6.04,6747554
2021-09-03,6.16,6.32,6.15,6.19,13435010
2021-09-07,6.11,6.14,5.95,5.97,12418790
2021-09-08,5.96,5.98,5.85,5.92,9745376
2021-09-09,5.94,5.96,5.81,5.86,9011908
2021-09-10,5.88,5.88,5.69,5.71,10585960
2021-09-13,5.73,5.90,5.71,5.81,12009990
2021-09-14,5.86,5.94,5.80,5.83,11492850
2021-09-15,5.82,5.92,5.78,5.87,8109099
2021-09-16,5.73,5.75,5.45,5.58,21067870
2021-09-17,5.53,5.58,5.43,5.48,19239530
2021-09-20,5.42,5.45,5.33,5.44,19334430
2021-09-21,5.51,5.63,5.47,5.49,12770910
2021-09-22,5.51,5.63,5.45,5.45,14671070
2021-09-23,5.41,5.43,5.30,5.32,14072530
2021-09-24,5.29,5.38,5.25,5.28,9501229
2021-09-27,5.31,5.41,5.25,5.28,8908965
2021-09-28,5.22,5.35,5.18,5.30,11062530
2021-09-29,5.27,5.29,5.18,5.24,11955060
2021-09-30,5.29,5.43,5.25,5.36,11069840
2021-10-01,5.41,5.41,5.25,5.32,9717959
2021-10-04,5.31,5.50,5.29,5.46,12456760
2021-10-05,5.43,5.47,5.29,5.46,12541820
2021-10-06,5.46,5.61,5.42,5.61,9577292
2021-10-07,5.57,5.72,5.57,5.64,10465330
2021-10-08,5.80,5.83,5.67,5.67,8430190
2021-10-11,5.68,5.74,5.61,5.67,5983291
2021-10-12,5.66,5.81,5.64,5.72,10608820
2021-10-13,5.77,6.03,5.77,6.01,17165880
2021-10-14,6.09,6.20,6.08,6.16,15074040
2021-10-15,6.02,6.16,5.96,6.11,11019240
2021-10-18,6.09,6.13,6.01,6.05,6658473
2021-10-19,6.19,6.21,6.06,6.11,10815720
2021-10-20,6.19,6.33,6.13,6.27,14922040
2021-10-21,6.22,6.31,6.18,6.28,8309129
2021-10-22,6.41,6.55,6.28,6.32,11964950
2021-10-25,6.40,6.51,6.40,6.45,13032130
2021-10-26,6.41,6.45,6.35,6.43,8723436
2021-10-27,6.40,6.49,6.37,6.40,10872680
2021-10-28,6.40,6.46,6.26,6.26,14971350
2021-10-29,6.15,6.16,6.01,6.01,10710850
2021-11-01,6.02,6.05,5.95,5.97,10938240
2021-11-02,5.95,5.97,5.85,5.97,9632974
2021-11-03,5.88,6.04,5.82,6.03,10920560
2021-11-04,6.11,6.20,5.98,6.01,12711080
2021-11-05,6.03,6.21,6.00,6.21,13508330
2021-11-08,6.27,6.29,6.18,6.27,13206060
2021-11-09,6.28,6.29,6.16,6.24,17746800
2021-11-10,6.41,6.61,6.38,6.46,22693440
2021-11-11,6.70,6.84,6.53,6.79,19679830
2021-11-12,6.71,6.97,6.67,6.94,18945980
2021-11-15,6.92,7.04,6.86,7.02,11092020
2021-11-16,7.01,7.13,6.83,6.86,14690570
2021-11-17,6.97,7.07,6.89,6.96,11709430
2021-11-18,6.91,6.95,6.78,6.82,9911882
2021-11-19,6.81,6.84,6.60,6.67,12023510
2021-11-22,6.53,6.66,6.44,6.56,11338640
2021-11-23,6.42,6.47,6.24,6.35,15205880
2021-11-24,6.28,6.30,6.17,6.23,12049100
2021-11-26,6.30,6.30,6.00,6.13,11671880
2021-11-29,6.05,6.10,5.90,6.06,20249540
2021-11-30,6.07,6.27,5.94,5.95,27021250
2021-12-01,6.08,6.14,5.81,5.82,18806000
2021-12-02,5.81,5.84,5.70,5.80,14492200
2021-12-03,5.82,5.88,5.76,5.84,12089940
2021-12-06,5.80,5.95,5.75,5.94,11223710
2021-12-07,5.95,6.06,5.94,5.94,12319860
2021-12-08,5.93,5.96,5.81,5.89,14797260
2021-12-09,5.57,5.57,5.22,5.27,47900400
2021-12-10,5.34,5.37,5.24,5.33,22427110
2021-12-13,5.31,5.38,5.18,5.20,25104800
2021-12-14,5.13,5.22,5.07,5.08,17092960
2021-12-15,5.05,5.08,4.90,5.04,22847860
2021-12-16,5.16,5.43,5.14,5.41,27277240
2021-12-17,5.44,5.63,5.42,5.55,34588960
2021-12-20,5.48,5.60,5.37,5.57,18834840
2021-12-21,5.60,5.62,5.47,5.56,15213590
2021-12-22,5.55,5.62,5.45,5.59,15271920
2021-12-23,5.61,5.62,5.54,5.57,11676600
2021-12-27,5.53,5.62,5.50,5.55,7337545
2021-12-28,5.55,5.71,5.54,5.60,9601039
2021-12-29,5.52,5.72,5.51,5.63,14158040
2021-12-30,5.65,5.77,5.63,5.75,10511730
2021-12-31,5.77,5.84,5.75,5.81,7534581
2022-01-03,5.74,5.74,5.56,5.66,11078270
2022-01-04,5.68,5.79,5.65,5.69,17025640
2022-01-05,5.73,5.80,5.59,5.60,18382420
2022-01-06,5.51,5.53,5.35,5.36,22254930
2022-01-07,5.44,5.48,5.36,5.45,13045480
2022-01-10,5.40,5.56,5.34,5.55,14051850
2022-01-11,5.54,5.68,5.52,5.68,11691530
2022-01-12,5.67,5.78,5.65,5.78,13859460
2022-01-13,5.75,5.81,5.66,5.67,10462290
2022-01-14,5.69,5.69,5.53,5.59,11372740
2022-01-18,5.58,5.62,5.42,5.48,21015610
2022-01-19,5.58,6.00,5.53,5.91,30140210
2022-01-20,5.96,5.99,5.80,5.81,19415430
2022-01-21,5.81,5.86,5.61,5.65,20029960
2022-01-24,5.55,5.63,5.38,5.62,28225020
2022-01-25,5.54,5.66,5.47,5.65,20227810
2022-01-26,5.67,5.70,5.40,5.46,24485530
2022-01-27,5.37,5.50,5.31,5.31,17993090
2022-01-28,5.30,5.30,5.15,5.25,16378820
2022-01-31,5.30,5.42,5.26,5.40,15599550
2022-02-01,5.45,5.53,5.38,5.47,9740720
2022-02-02,5.50,5.60,5.40,5.49,23133650
2022-02-03,5.44,5.48,5.34,5.38,13340810
2022-02-04,5.36,5.49,5.35,5.40,11492470
2022-02-07,5.49,5.59,5.42,5.54,14482670
2022-02-08,5.54,5.68,5.52,5.67,14053170
2022-02-09,5.71,5.74,5.64,5.65,10177300
2022-02-10,5.60,5.71,5.41,5.45,19496840
2022-02-11,5.47,5.79,5.45,5.71,29252240
2022-02-14,5.74,5.83,5.64,5.74,21649590
2022-02-15,5.59,5.75,5.55,5.72,15765360
2022-02-16,5.77,5.92,5.76,5.86,20401530
2022-02-17,5.87,5.99,5.59,5.81,46617050
2022-02-18,5.82,5.98,5.78,5.82,27936800
2022-02-22,5.82,5.85,5.46,5.51,30516230
2022-02-23,5.52,5.63,5.45,5.50,22076960
2022-02-24,5.63,5.63,5.20,5.32,42933690
2022-02-25,5.26,5.59,5.22,5.53,25144050
2022-02-28,5.43,5.48,5.00,5.01,55683230
2022-03-01,5.05,5.21,5.03,5.19,31312710
2022-03-02,5.10,5.47,5.09,5.45,28846520
2022-03-03,5.09,5.35,5.08,5.29,37193190
2022-03-04,5.20,5.53,5.20,5.48,26904280
2022-03-07,5.41,5.56,5.33,5.50,31206690
2022-03-08,5.52,5.81,5.47,5.60,47218450
2022-03-09,5.37,5.64,5.34,5.61,22827300
2022-03-10,5.65,5.77,5.61,5.69,20146900
2022-03-11,5.54,5.70,5.51,5.63,17406570
2022-03-14,5.57,5.59,5.21,5.30,26869220
2022-03-15,5.17,5.46,5.13,5.39,23221950
2022-03-16,5.40,5.53,5.35,5.52,18822390
2022-03-17,5.58,5.80,5.58,5.68,16771900
2022-03-18,5.62,5.67,5.53,5.58,32034600
2022-03-21,5.59,5.82,5.58,5.71,13617360
2022-03-22,5.69,5.71,5.58,5.66,14740120
2022-03-23,5.72,5.74,5.63,5.68,15775380
2022-03-24,5.73,5.75,5.63,5.66,15147890
2022-03-25,5.64,5.74,5.60,5.73,12327110
2022-03-28,5.65,5.70,5.56,5.59,11232690
2022-03-29,5.52,5.79,5.47,5.76,21126730
2022-03-30,5.75,5.95,5.75,5.92,20693010
2022-03-31,5.91,5.99,5.81,5.88,17336430
2022-04-01,5.84,6.05,5.82,6.02,12407470
2022-04-04,6.05,6.18,5.93,6.02,13762910
2022-04-05,6.09,6.22,5.78,5.86,26142260
2022-04-06,5.88,5.89,5.70,5.86,20103020
2022-04-07,5.88,6.04,5.80,5.95,27370020
2022-04-08,6.04,6.23,5.99,6.21,21387950
2022-04-11,6.28,6.34,6.07,6.11,18769500
2022-04-12,6.22,6.29,6.11,6.13,23776950
2022-04-13,6.20,6.24,6.10,6.14,15390060
2022-04-14,6.12,6.18,6.01,6.14,12625920
2022-04-18,6.18,6.27,6.09,6.09,14010300
2022-04-19,6.05,6.13,5.96,6.05,15576040
2022-04-20,6.00,6.04,5.80,6.00,19891960
2022-04-21,5.97,5.97,5.65,5.72,26104740
2022-04-22,5.62,5.68,5.45,5.49,28994090
2022-04-25,5.30,5.41,5.22,5.32,23539930
2022-04-26,5.33,5.34,5.06,5.08,18048580
2022-04-27,5.10,5.20,5.03,5.05,16595520
2022-04-28,5.06,5.14,5.01,5.13,16536040
2022-04-29,5.19,5.26,5.06,5.08,16401460
2022-05-02,4.98,5.00,4.83,4.98,20493390
2022-05-03,5.00,5.13,4.97,5.05,15419280
2022-05-04,5.05,5.19,4.97,5.18,16669510
2022-05-05,5.21,5.21,4.90,5.00,20758030
2022-05-06,4.96,4.99,4.86,4.92,15572920
2022-05-09,4.77,4.81,4.55,4.59,22183120
2022-05-10,4.64,4.67,4.45,4.57,26212270
2022-05-11,4.58,4.63,4.26,4.32,30000360
2022-05-12,4.23,4.24,3.94,4.06,29166840
2022-05-13,4.03,4.17,3.92,4.16,32328700
2022-05-16,4.15,4.33,4.15,4.28,18825230
2022-05-17,4.36,4.43,4.28,4.37,15930080
2022-05-18,4.31,4.39,4.23,4.30,20115260
2022-05-19,4.41,4.56,4.38,4.51,22587720
2022-05-20,4.55,4.59,4.39,4.50,15195910
2022-05-23,4.60,4.64,4.46,4.51,7998635
2022-05-24,4.51,4.65,4.49,4.62,14454240
2022-05-25,4.53,4.64,4.50,4.58,18553750
2022-05-26,4.56,4.64,4.52,4.59,14217880
2022-05-27,4.65,4.67,4.53,4.55,10912070
2022-05-31,4.53,4.63,4.44,4.50,15268140
2022-06-01,4.52,4.53,4.38,4.43,11392450
2022-06-02,4.49,4.73,4.49,4.69,14333960
2022-06-03,4.63,4.68,4.52,4.55,18687270
2022-06-06,4.61,4.61,4.42,4.48,13752470
2022-06-07,4.45,4.52,4.42,4.51,7595622
2022-06-08,4.49,4.54,4.43,4.50,13054390
2022-06-09,4.46,4.47,4.32,4.32,16936600
2022-06-10,4.24,4.57,4.18,4.53,16395850
2022-06-13,4.41,4.47,4.23,4.24,40680840
2022-06-14,4.26,4.26,3.99,4.08,37844890
2022-06-15,4.13,4.25,3.98,4.13,41163590
2022-06-16,4.06,4.21,3.96,4.14,44738800
2022-06-17,4.12,4.21,4.01,4.10,97181640
2022-06-21,4.06,4.29,4.05,4.20,25324360
2022-06-22,4.21,4.33,4.15,4.18,17803710
2022-06-23,4.17,4.20,3.95,3.97,25679710
2022-06-24,3.97,4.02,3.83,4.00,22175610
2022-06-27,4.04,4.10,3.95,4.10,16031090
2022-06-28,4.11,4.14,3.80,3.81,25418600
2022-06-29,3.84,3.84,3.67,3.75,17529810
2022-06-30,3.71,3.74,3.55,3.58,18856190
2022-07-01,3.55,3.73,3.50,3.70,18042870
2022-07-05,3.59,3.62,3.25,3.35,30972930
2022-07-06,3.38,3.39,3.22,3.34,21129960
2022-07-07,3.36,3.47,3.33,3.39,17251130
2022-07-08,3.38,3.42,3.29,3.35,17221410
2022-07-11,3.31,3.42,3.27,3.33,10660440
2022-07-12,3.32,3.36,3.21,3.26,13020600
2022-07-13,3.22,3.45,3.22,3.35,19253300
2022-07-14,3.22,3.22,3.04,3.13,31103910
2022-07-15,3.19,3.19,3.00,3.09,20456690
2022-07-18,3.16,3.26,3.13,3.21,26612580
2022-07-19,3.26,3.33,3.21,3.28,19994240
2022-07-20,3.28,3.32,3.21,3.22,15581940
2022-07-21,3.22,3.30,3.17,3.25,18783000
2022-07-22,3.31,3.44,3.24,3.25,24626360
2022-07-25,3.27,3.27,3.09,3.13,23358920
2022-07-26,3.14,3.19,3.08,3.11,21207180
2022-07-27,3.14,3.24,3.10,3.23,18599690
2022-07-28,3.27,3.37,3.19,3.37,34652690
2022-07-29,3.41,3.46,3.29,3.41,20966800
2022-08-01,3.41,3.50,3.41,3.45,12667940
