date,open,high,low,close,volume
2021-01-04,24.05,24.75,22.77,23.09,231600
2021-01-05,23.20,25.75,23.05,24.42,219468
2021-01-06,25.00,25.25,23.57,24.34,89018
2021-01-07,24.61,25.00,23.94,24.82,91234
2021-01-08,24.75,27.00,23.24,23.86,322180
2021-01-11,23.45,24.27,23.38,24.07,52078
2021-01-12,24.27,25.00,24.25,24.59,105026
2021-01-13,24.54,25.16,24.39,24.39,84352
2021-01-14,24.68,25.20,24.61,24.98,127038
2021-01-15,25.09,26.62,24.43,25.95,124656
2021-01-19,27.00,27.00,26.00,26.00,73966
2021-01-20,25.90,26.07,24.59,25.00,85410
2021-01-21,24.98,25.17,23.96,24.14,140202
2021-01-22,23.68,24.04,22.90,23.88,98714
2021-01-25,23.84,24.41,23.57,24.32,104186
2021-01-26,24.51,24.75,23.40,23.65,77874
2021-01-27,23.25,24.36,23.20,23.23,90930
2021-01-28,23.32,24.06,23.02,23.66,83866
2021-01-29,23.66,24.46,23.10,23.71,79612
2021-02-01,26.00,26.41,25.12,25.83,252372
2021-02-02,26.25,26.44,25.84,25.87,115592
2021-02-03,26.35,27.50,26.17,27.02,127026
2021-02-04,27.50,27.50,26.51,26.96,127176
2021-02-05,27.41,27.95,27.12,27.38,101600
2021-02-08,27.55,28.07,27.31,28.07,119814
2021-02-09,27.77,28.07,26.72,26.91,135128
2021-02-10,27.27,27.27,25.50,26.59,109268
2021-02-11,26.50,27.19,25.84,26.55,61482
2021-02-12,26.58,27.22,26.50,26.77,53064
2021-02-16,27.36,27.36,25.75,26.50,159170
2021-02-17,26.50,26.79,26.10,26.40,60866
2021-02-18,26.73,26.79,25.80,25.84,65980
2021-02-19,26.11,27.02,25.84,26.25,128552
2021-02-22,26.58,27.98,26.51,27.49,113514
2021-02-23,28.25,29.06,28.00,28.16,293094
2021-02-24,29.07,29.07,28.04,28.62,189838
2021-02-25,28.45,29.77,27.93,28.00,326298
2021-02-26,28.52,28.55,26.00,26.47,231810
2021-03-01,25.83,26.75,24.84,25.81,399284
2021-03-02,26.00,27.25,26.00,26.85,157470
2021-03-03,27.12,27.25,26.66,26.75,69030
2021-03-04,26.86,27.46,25.08,26.98,182374
2021-03-05,27.50,27.50,25.66,26.93,87284
2021-03-08,26.86,27.23,26.07,26.27,50254
2021-03-09,26.11,26.97,26.05,26.25,52554
2021-03-10,26.32,27.75,26.12,27.75,76890
2021-03-11,27.75,29.09,27.64,28.75,117254
2021-03-12,29.00,29.86,28.26,29.61,52446
2021-03-15,29.39,29.39,28.17,29.07,46956
2021-03-16,28.67,28.72,27.50,27.66,62174
2021-03-17,27.61,29.00,27.45,28.13,74912
2021-03-18,27.75,28.71,26.91,27.00,38318
2021-03-19,26.70,28.18,26.49,26.62,121098
2021-03-22,26.73,27.09,26.18,26.77,73004
2021-03-23,26.57,27.19,26.25,26.27,41622
2021-03-24,26.69,27.22,26.06,26.21,36432
2021-03-25,26.00,26.91,26.00,26.70,105002
2021-03-26,26.93,27.44,26.14,26.89,67386
2021-03-29,26.82,27.25,26.22,26.22,79618
2021-03-30,26.16,26.55,25.85,26.22,75312
2021-03-31,26.32,26.75,26.07,26.23,157422
2021-04-01,26.37,27.95,26.37,27.04,79756
2021-04-05,27.50,28.50,26.82,27.70,132142
2021-04-06,27.73,28.46,27.73,28.26,33112
2021-04-07,27.75,28.23,27.64,27.82,62638
2021-04-08,27.75,28.00,26.69,27.70,66442
2021-04-09,27.51,27.62,26.94,27.34,27684
2021-04-12,27.20,27.50,26.80,27.23,28130
2021-04-13,27.25,27.46,27.00,27.27,36784
2021-04-14,27.50,27.90,27.07,27.73,97674
2021-04-15,27.54,27.54,26.36,27.12,96676
2021-04-16,27.00,27.18,26.64,26.91,33368
2021-04-19,27.05,27.58,26.61,27.09,61496
2021-04-20,26.77,27.04,26.39,26.70,50210
2021-04-21,26.70,28.53,26.70,28.31,49668
2021-04-22,28.31,28.70,27.52,28.01,46292
2021-04-23,27.90,28.57,27.84,28.57,122194
2021-04-26,28.70,29.55,28.42,29.15,90634
2021-04-27,29.12,31.00,29.12,29.28,112284
2021-04-28,29.45,30.28,29.18,29.50,138234
2021-04-29,29.61,30.20,29.09,30.18,88030
2021-04-30,29.78,30.55,29.50,30.00,94262
2021-05-03,30.00,34.97,29.32,33.65,303924
2021-05-04,33.49,34.52,32.25,32.91,189080
2021-05-05,32.72,33.79,32.20,33.79,33636
2021-05-06,33.52,33.52,30.00,32.00,177276
2021-05-07,31.41,33.53,31.41,33.00,93506
2021-05-10,33.64,33.64,32.23,33.09,79534
2021-05-11,32.26,32.97,32.09,32.42,88394
2021-05-12,32.30,33.23,31.09,31.27,79024
2021-05-13,31.88,32.23,29.53,30.63,92064
2021-05-14,31.07,32.56,31.07,31.87,69044
