date,open,high,low,close,volume
2021-01-04,54.10,54.10,54.10,54.10,0
2021-01-05,54.10,54.10,54.10,54.10,0
2021-01-06,54.10,54.10,54.10,54.10,0
2021-01-07,54.10,54.10,54.10,54.10,0
2021-01-08,54.10,54.10,54.10,54.10,0
2021-01-11,65.40,65.40,65.40,65.40,1000
2021-01-12,65.40,65.40,65.40,65.40,0
2021-01-13,65.40,65.40,65.40,65.40,0
2021-01-14,65.40,65.40,65.40,65.40,0
2021-01-15,63.40,63.40,63.40,63.40,1569
2021-01-19,63.40,63.40,63.40,63.40,0
2021-01-20,63.40,63.40,63.40,63.40,0
2021-01-21,63.40,63.40,63.40,63.40,0
2021-01-22,63.40,63.40,63.40,63.40,0
2021-01-25,63.40,63.40,63.40,63.40,0
2021-01-26,63.40,63.40,63.40,63.40,0
2021-01-27,63.40,63.40,63.40,63.40,0
2021-01-28,63.40,63.40,63.40,63.40,0
2021-01-29,63.40,63.40,63.40,63.40,0
2021-02-01,63.40,63.40,63.40,63.40,0
2021-02-02,63.40,63.40,63.40,63.40,0
2021-02-03,63.40,63.40,63.40,63.40,0
2021-02-04,63.40,63.40,63.40,63.40,0
2021-02-05,63.40,63.40,63.40,63.40,0
2021-02-08,63.40,63.40,63.40,63.40,0
2021-02-09,70.00,70.00,70.00,70.00,390
2021-02-10,72.45,72.45,72.45,72.45,450
2021-02-11,72.45,72.45,72.45,72.45,0
2021-02-12,72.45,72.45,72.45,72.45,0
2021-02-16,79.90,79.90,79.48,79.90,3650
2021-02-17,79.90,79.90,79.90,79.90,0
2021-02-18,79.90,79.90,79.90,79.90,0
2021-02-19,79.90,79.90,79.90,79.90,0
2021-02-22,79.90,79.90,79.90,79.90,0
2021-02-23,79.90,79.90,79.90,79.90,0
2021-02-24,79.90,79.90,79.90,79.90,0
2021-02-25,79.90,79.90,79.90,79.90,0
2021-02-26,79.90,79.90,79.90,79.90,0
2021-03-01,79.90,79.90,79.90,79.90,0
2021-03-02,79.90,79.90,79.90,79.90,0
2021-03-03,79.90,79.90,79.90,79.90,0
2021-03-04,79.90,79.90,79.90,79.90,0
2021-03-05,68.57,68.97,68.57,68.97,1500
2021-03-08,67.00,67.30,67.00,67.00,1709
2021-03-09,68.50,68.50,68.50,68.50,1880
2021-03-10,68.50,68.50,68.50,68.50,0
2021-03-11,68.50,68.50,68.50,68.50,0
2021-03-12,68.50,68.50,68.50,68.50,0
2021-03-15,68.50,68.50,68.50,68.50,0
2021-03-16,72.45,72.45,72.45,72.45,175
2021-03-17,72.45,72.45,72.45,72.45,0
2021-03-18,72.45,72.45,72.45,72.45,0
2021-03-19,72.45,72.45,72.45,72.45,0
2021-03-22,72.45,72.45,72.45,72.45,0
2021-03-23,72.45,72.45,72.45,72.45,0
2021-03-24,72.45,72.45,72.45,72.45,0
2021-03-25,72.45,72.45,72.45,72.45,0
2021-03-26,70.97,70.97,70.97,70.97,300
2021-03-29,70.97,70.97,70.97,70.97,0
2021-03-30,70.97,70.97,70.97,70.97,0
2021-03-31,70.97,70.97,70.97,70.97,0
2021-04-01,70.97,70.97,70.97,70.97,0
2021-04-05,70.97,70.97,70.97,70.97,0
2021-04-06,70.97,70.97,70.97,70.97,0
2021-04-07,70.97,70.97,70.97,70.97,0
2021-04-08,70.97,70.97,70.97,70.97,0
2021-04-09,70.97,70.97,70.97,70.97,0
2021-04-12,70.97,70.97,70.97,70.97,0
2021-04-13,70.97,70.97,70.97,70.97,0
2021-04-14,70.97,70.97,70.97,70.97,0
2021-04-15,70.97,70.97,70.97,70.97,0
2021-04-16,70.97,70.97,70.97,70.97,0
2021-04-19,70.97,70.97,70.97,70.97,0
2021-04-20,70.97,70.97,70.97,70.97,0
2021-04-21,70.97,70.97,70.97,70.97,0
2021-04-22,70.97,70.97,70.97,70.97,0
2021-04-23,70.97,70.97,70.97,70.97,0
2021-04-26,70.97,70.97,70.97,70.97,0
2021-04-27,70.97,70.97,70.97,70.97,0
2021-04-28,70.97,70.97,70.97,70.97,0
2021-04-29,70.97,70.97,70.97,70.97,0
2021-04-30,70.97,70.97,70.97,70.97,0
2021-05-03,70.97,70.97,70.97,70.97,0
2021-05-04,70.97,70.97,70.97,70.97,0
2021-05-05,70.97,70.97,70.97,70.97,0
2021-05-06,70.97,70.97,70.97,70.97,0
2021-05-07,70.97,70.97,70.97,70.97,0
2021-05-10,70.97,70.97,70.97,70.97,0
2021-05-11,70.97,70.97,70.97,70.97,0
2021-05-12,70.97,70.97,70.97,70.97,0
2021-05-13,70.97,70.97,70.97,70.97,0
2021-05-14,70.97,70.97,70.97,70.97,0
2021-05-17,70.97,70.97,70.97,70.97,0
2021-05-18,79.75,79.75,79.75,79.75,185
2021-05-19,79.75,79.75,79.75,79.75,0
2021-05-20,79.75,79.75,79.75,79.75,0
2021-05-21,79.75,79.75,79.75,79.75,0
2021-05-24,79.75,79.75,79.75,79.75,0
2021-05-25,79.75,79.75,79.75,79.75,0
2021-05-26,79.75,79.75,79.75,79.75,0
2021-05-27,79.75,79.75,79.75,79.75,0
2021-05-28,79.75,79.75,79.75,79.75,0
2021-06-01,79.75,79.75,79.75,79.75,0
2021-06-02,79.75,79.75,79.75,79.75,0
2021-06-03,79.75,79.75,79.75,79.75,0
2021-06-04,79.75,79.75,79.75,79.75,0
