date,open,high,low,close,volume
2021-01-04,83.23,83.37,79.71,80.28,801090
2021-01-05,80.52,83.87,79.01,82.54,547187
2021-01-06,82.95,86.44,82.95,84.17,621614
2021-01-07,84.70,85.59,82.59,83.51,556473
2021-01-08,83.12,84.47,82.42,82.94,385378
2021-01-11,82.08,83.03,80.99,82.20,447673
2021-01-12,82.50,84.19,82.05,83.37,481474
2021-01-13,83.01,83.45,82.15,82.22,325441
2021-01-14,82.86,83.55,82.10,83.35,231250
2021-01-15,83.12,83.69,80.90,83.15,333193
2021-01-19,83.76,83.76,82.08,83.22,289875
2021-01-20,83.00,85.35,82.19,84.29,607954
2021-01-21,84.45,84.59,83.59,83.75,368123
2021-01-22,83.28,83.84,82.45,83.67,382598
2021-01-25,83.19,84.16,82.30,83.86,352435
2021-01-26,84.26,84.97,81.46,81.88,415306
2021-01-27,80.79,81.58,78.06,79.28,660898
2021-01-28,80.13,84.09,79.36,83.77,500922
2021-01-29,83.16,83.61,80.64,80.78,569081
2021-02-01,81.70,83.81,80.64,83.57,945241
2021-02-02,84.50,86.00,83.50,85.15,582956
2021-02-03,84.67,85.84,84.20,85.50,452390
2021-02-04,85.98,87.43,85.86,86.63,508757
2021-02-05,87.42,88.60,86.88,87.50,266109
2021-02-08,87.93,88.38,86.84,88.28,392196
2021-02-09,88.64,88.85,86.56,86.86,342603
2021-02-10,87.12,87.91,85.92,87.12,334054
2021-02-11,87.50,88.23,86.58,86.98,566165
2021-02-12,86.45,87.16,85.72,86.22,186039
2021-02-16,86.12,86.58,84.90,85.94,291620
2021-02-17,85.64,86.28,84.52,84.99,375254
2021-02-18,84.16,85.66,83.99,84.32,250577
2021-02-19,84.78,86.20,84.08,85.33,337729
2021-02-22,85.18,88.33,84.83,87.56,554593
2021-02-23,87.32,88.42,87.32,88.10,585590
2021-02-24,88.56,90.43,88.17,90.22,374573
2021-02-25,90.67,90.95,86.16,86.85,559427
2021-02-26,87.50,89.95,86.33,86.59,736804
2021-03-01,86.33,89.81,85.95,86.50,592454
2021-03-02,85.85,86.48,85.07,85.97,543190
2021-03-03,86.55,92.00,85.89,91.20,1072181
2021-03-04,91.60,94.63,91.15,91.91,1305161
2021-03-05,93.35,94.26,91.25,93.12,666310
2021-03-08,95.00,96.25,92.74,95.32,548036
2021-03-09,95.33,97.18,95.28,95.55,786355
2021-03-10,96.01,96.15,94.00,94.36,870348
2021-03-11,94.89,95.71,93.91,94.30,766659
2021-03-12,94.77,95.91,94.21,95.66,748864
2021-03-15,96.33,99.96,95.88,99.31,1038678
2021-03-16,99.75,100.38,97.91,99.63,784374
2021-03-17,99.41,100.30,96.83,99.35,427041
2021-03-18,98.19,98.58,96.64,97.15,420759
2021-03-19,95.85,96.50,93.16,93.34,926322
2021-03-22,93.22,93.50,92.07,92.54,645190
2021-03-23,91.80,93.80,91.63,92.45,528853
2021-03-24,93.22,94.43,91.51,91.86,412432
2021-03-25,90.91,94.08,89.51,93.73,421552
2021-03-26,94.66,94.89,92.32,94.74,452128
2021-03-29,94.55,94.58,91.41,91.71,466749
2021-03-30,92.32,93.86,91.74,93.68,401810
2021-03-31,93.98,94.92,92.72,93.92,382231
2021-04-01,94.06,96.12,93.51,95.25,431152
2021-04-05,96.06,96.90,95.11,96.70,563359
2021-04-06,98.00,98.12,96.51,97.25,662963
2021-04-07,97.38,98.03,96.65,97.99,302334
2021-04-08,98.03,98.32,96.36,96.49,315818
2021-04-09,96.33,96.33,94.85,95.37,297760
2021-04-12,95.95,96.46,94.56,96.30,294058
2021-04-13,95.59,95.90,94.70,95.77,246325
2021-04-14,95.69,96.88,94.96,95.38,274451
2021-04-15,95.89,97.01,95.01,97.01,211200
2021-04-16,97.53,97.72,96.67,96.79,266645
2021-04-19,96.20,96.73,95.50,95.84,315194
2021-04-20,95.84,96.53,94.64,96.12,315612
2021-04-21,96.54,97.67,95.74,97.10,480969
2021-04-22,97.43,99.16,96.75,98.21,341468
2021-04-23,98.29,98.89,97.31,98.72,461075
2021-04-26,99.04,100.07,98.92,99.88,468027
2021-04-27,99.66,100.10,98.37,98.71,231578
2021-04-28,99.00,99.13,98.19,98.70,318166
2021-04-29,99.20,100.08,98.96,99.81,357686
2021-04-30,100.08,100.38,98.95,99.04,430141
2021-05-03,99.76,101.71,98.42,101.41,924428
2021-05-04,102.00,103.53,97.53,102.61,972221
2021-05-05,103.21,103.21,98.44,100.66,505507
2021-05-06,100.91,103.34,100.74,103.20,622715
2021-05-07,102.52,106.12,101.98,105.98,639603
2021-05-10,106.82,107.47,103.33,103.89,564789
2021-05-11,101.91,103.76,100.79,102.67,331030
2021-05-12,102.78,102.78,99.99,100.34,554172
2021-05-13,100.35,102.50,99.38,101.66,515519
2021-05-14,102.63,102.89,100.82,102.28,275044
2021-05-17,102.50,102.90,101.08,102.67,240261
2021-05-18,103.17,103.72,101.74,102.36,472616
2021-05-19,101.49,101.71,99.44,101.15,506458
2021-05-20,101.00,102.83,100.88,102.42,293757
2021-05-21,102.86,103.72,101.64,103.16,230321
2021-05-24,103.38,104.82,102.73,103.98,340619
2021-05-25,104.59,104.81,102.99,103.31,271404
2021-05-26,103.35,104.72,103.13,104.19,231250
2021-05-27,104.62,105.46,104.18,104.42,234457
2021-05-28,104.83,105.33,103.40,104.82,275557
2021-06-01,105.49,106.21,104.40,105.05,407296
2021-06-02,105.05,106.61,104.42,106.25,452688
2021-06-03,105.97,106.11,104.21,104.61,498021
2021-06-04,105.07,105.36,102.36,103.10,512740
2021-06-07,103.50,105.20,103.06,104.96,540387
2021-06-08,105.13,107.42,104.73,107.19,419501
2021-06-09,107.33,107.95,106.23,106.33,324240
2021-06-10,106.84,107.00,104.99,105.87,259315
2021-06-11,107.72,107.72,106.31,107.32,211109
2021-06-14,106.74,107.44,105.62,106.28,257728
2021-06-15,105.82,106.39,104.98,105.93,405091
2021-06-16,106.01,107.33,104.96,105.01,243551
2021-06-17,104.54,104.95,103.33,104.58,443648
2021-06-18,102.28,103.38,101.17,101.60,742004
2021-06-21,102.46,105.73,101.64,105.38,330691
2021-06-22,104.92,105.97,103.85,104.00,240317
2021-06-23,103.40,104.98,103.31,103.77,271803
2021-06-24,104.31,104.31,102.54,103.25,398044
2021-06-25,103.96,106.10,103.38,105.71,2236401
2021-06-28,105.90,105.90,102.46,103.00,629560
2021-06-29,103.50,104.52,103.13,103.74,447629
2021-06-30,103.65,105.05,103.27,104.42,392610
2021-07-01,104.86,105.84,103.78,104.99,460772
2021-07-02,105.20,105.59,104.45,105.12,269759
2021-07-06,105.00,105.41,103.32,105.07,301579
2021-07-07,104.93,105.75,104.64,105.46,292824
2021-07-08,104.01,105.59,101.43,104.78,353367
2021-07-09,105.99,108.62,104.64,108.35,306836
2021-07-12,107.76,108.57,107.21,108.55,379278
2021-07-13,108.24,108.75,106.16,106.47,313142
2021-07-14,106.92,107.42,104.89,105.09,298242
2021-07-15,104.76,106.74,104.07,104.80,420467
2021-07-16,105.54,105.75,103.70,103.76,276150
2021-07-19,101.55,101.55,97.81,100.02,487080
2021-07-20,100.63,103.96,100.29,103.08,517151
2021-07-21,103.19,106.70,101.03,104.49,530650
2021-07-22,103.75,103.95,101.51,102.36,207457
2021-07-23,102.89,104.12,102.09,104.02,407451
2021-07-26,104.43,105.54,102.41,104.50,497923
2021-07-27,103.51,105.27,102.80,104.48,460072
2021-07-28,105.04,105.04,103.17,104.57,289121
