date,open,high,low,close,volume
2021-01-04,73.68,73.99,69.92,71.37,4558417
2021-01-05,70.66,71.68,70.01,70.83,2519432
2021-01-06,69.47,70.58,68.73,70.43,3348381
2021-01-07,70.71,73.17,70.54,72.73,2481422
2021-01-08,72.92,73.11,70.21,70.52,2485129
2021-01-11,69.81,73.31,69.56,72.92,3751349
2021-01-12,73.04,73.69,71.78,73.60,2765168
2021-01-13,74.42,76.52,73.14,73.36,2847752
2021-01-14,73.61,74.00,71.94,72.08,1970760
2021-01-15,71.93,74.01,71.78,73.60,2252853
2021-01-19,73.99,75.56,73.60,75.18,2423318
2021-01-20,75.71,80.66,75.26,79.31,3759114
2021-01-21,79.74,82.40,79.51,80.33,2919738
2021-01-22,79.78,81.35,78.67,81.31,2491215
2021-01-25,82.35,84.15,82.11,83.28,4170352
2021-01-26,84.02,85.48,81.78,82.65,3066936
2021-01-27,81.60,84.41,80.33,81.72,2995078
2021-01-28,80.72,82.16,80.24,81.02,2638532
2021-01-29,80.51,80.89,78.75,79.90,3133055
2021-02-01,80.52,81.43,78.32,80.92,2771180
2021-02-02,81.75,82.52,80.33,81.73,1949595
2021-02-03,82.11,82.66,81.03,82.10,2079283
2021-02-04,82.41,84.36,81.30,83.48,2771150
2021-02-05,83.92,87.65,83.48,87.41,3964533
2021-02-08,87.74,91.86,87.74,91.50,4117558
2021-02-09,91.49,91.98,89.08,89.36,2507307
2021-02-10,89.85,91.14,87.48,90.01,2857128
2021-02-11,90.50,91.42,89.76,90.87,1366268
2021-02-12,90.14,90.57,88.73,88.96,1762140
2021-02-16,88.91,88.91,84.53,84.85,3802109
2021-02-17,84.43,85.04,82.27,83.84,2766180
2021-02-18,83.73,84.27,82.61,83.01,1725438
2021-02-19,83.45,84.59,83.33,84.04,1687769
2021-02-22,83.43,84.04,81.53,81.66,1892104
2021-02-23,81.18,82.48,78.89,82.26,1961095
2021-02-24,81.66,83.10,78.85,82.88,2632252
2021-02-25,82.18,82.35,77.05,77.26,4979599
2021-02-26,78.55,80.70,77.19,79.73,3728734
2021-03-01,80.69,82.02,79.18,79.37,2510453
2021-03-02,79.76,81.43,78.55,81.09,3125802
2021-03-03,80.64,80.71,77.51,77.62,3257601
2021-03-04,77.50,80.85,74.82,77.28,3368533
2021-03-05,78.19,83.07,76.30,82.62,4249287
2021-03-08,83.02,85.94,82.74,84.68,2104678
2021-03-09,85.68,86.61,84.13,84.97,2504021
2021-03-10,86.13,89.22,85.39,88.02,2983332
2021-03-11,88.23,88.89,86.22,87.44,2297850
2021-03-12,85.26,85.79,83.39,84.48,3355628
2021-03-15,85.01,86.60,83.78,86.53,1995503
2021-03-16,87.16,88.33,85.09,85.24,4005020
2021-03-17,85.04,97.58,83.89,97.01,10218330
2021-03-18,96.77,97.01,90.66,90.94,4506049
2021-03-19,90.85,92.38,89.38,91.40,3456746
2021-03-22,92.28,93.83,91.47,93.22,2449851
2021-03-23,93.80,94.12,90.89,91.52,1651092
2021-03-24,91.88,93.69,90.91,90.95,2510220
2021-03-25,90.51,95.93,89.82,95.27,3469298
2021-03-26,95.60,99.73,94.84,98.83,2721865
2021-03-29,99.24,100.45,95.40,95.76,2893244
2021-03-30,95.47,98.80,94.65,97.80,1943291
2021-03-31,98.55,98.60,96.97,97.27,1804753
2021-04-01,98.32,99.51,96.80,99.39,1781118
2021-04-05,100.11,100.81,98.57,100.68,1772878
2021-04-06,100.14,102.09,99.74,100.86,1594998
2021-04-07,101.13,101.38,99.04,99.35,1847944
2021-04-08,99.79,100.40,98.03,98.28,1692782
2021-04-09,97.65,101.59,97.12,101.40,1888484
2021-04-12,101.62,101.84,99.62,100.76,1992794
2021-04-13,99.93,100.78,98.15,99.69,2075366
2021-04-14,99.05,100.27,98.76,99.01,1525982
2021-04-15,100.21,100.50,98.60,98.90,2275424
2021-04-16,99.24,102.24,99.24,101.74,2574174
2021-04-19,101.84,102.01,98.96,99.94,2326841
2021-04-20,99.70,99.91,94.54,96.19,2357124
2021-04-21,96.32,98.48,96.10,98.00,1395032
2021-04-22,97.09,97.50,95.56,96.81,2247487
2021-04-23,97.31,98.50,96.29,97.88,1642802
2021-04-26,98.36,99.98,97.89,99.75,1801428
2021-04-27,100.56,101.34,99.07,99.39,1498456
2021-04-28,99.06,99.84,98.43,99.19,1167628
2021-04-29,100.03,101.60,99.48,100.94,1583407
2021-04-30,100.57,100.79,98.29,99.55,2750470
2021-05-03,100.72,102.48,100.21,101.80,1818091
2021-05-04,101.38,103.24,100.09,102.82,1834413
2021-05-05,103.12,103.25,100.60,101.44,1022617
2021-05-06,101.86,102.44,100.34,101.57,1356228
2021-05-07,101.70,104.00,100.43,103.83,1372029
2021-05-10,103.54,106.29,102.94,103.74,1634682
2021-05-11,101.91,102.51,98.08,99.41,2255955
2021-05-12,98.50,99.13,91.89,92.37,4565941
2021-05-13,92.93,95.52,92.51,94.85,3763836
2021-05-14,95.87,96.63,94.87,95.81,2253252
2021-05-17,95.54,95.85,92.75,94.26,2422085
2021-05-18,94.26,94.50,91.65,91.82,2884534
2021-05-19,90.32,92.02,88.83,91.14,3870865
2021-05-20,91.16,92.62,90.77,91.57,1921305
2021-05-21,92.32,92.99,90.70,90.89,1586553
2021-05-24,91.61,91.92,90.86,91.32,1404638
2021-05-25,91.89,94.43,91.89,92.96,2346566
2021-05-26,93.21,95.55,93.04,94.95,2776869
2021-05-27,95.62,96.24,94.81,95.08,2210883
2021-05-28,95.94,96.15,94.19,95.14,1465680
2021-06-01,96.18,96.83,93.78,94.65,1808664
2021-06-02,94.86,94.86,92.41,92.59,2590095
2021-06-03,91.61,92.10,90.24,91.26,2584304
2021-06-04,91.81,93.03,90.65,92.83,2275196
2021-06-07,92.92,93.04,90.81,92.02,1795039
2021-06-08,92.38,92.85,91.76,92.13,1443954
2021-06-09,92.59,92.81,89.89,90.23,1765861
2021-06-10,89.96,89.96,86.99,87.58,3418706
2021-06-11,87.92,89.18,87.90,89.12,1931932
2021-06-14,89.03,90.08,87.53,88.44,3143565
2021-06-15,88.44,89.40,87.50,88.93,2345229
2021-06-16,89.33,89.47,87.37,87.77,3646742
2021-06-17,88.07,92.62,88.07,90.95,6415962
2021-06-18,92.49,95.86,91.55,94.33,7600231
2021-06-21,94.71,95.59,92.97,93.79,3765872
2021-06-22,93.91,94.86,93.21,94.65,2531548
2021-06-23,94.82,94.92,91.58,93.19,2761768
2021-06-24,93.19,93.62,92.16,93.47,2631310
2021-06-25,93.56,94.11,92.49,93.30,3081665
2021-06-28,93.82,94.99,93.46,94.57,1745186
2021-06-29,94.41,97.43,94.22,95.34,2488277
2021-06-30,95.44,96.27,94.84,95.47,2212863
2021-07-01,95.56,98.24,94.98,97.80,2717065
2021-07-02,98.08,98.39,96.97,97.43,1882920
2021-07-06,96.88,97.15,94.88,95.93,3364823
2021-07-07,95.90,98.77,95.90,98.15,2783994
2021-07-08,95.13,96.43,93.73,94.62,4466594
2021-07-09,95.48,96.24,94.65,95.06,2063479
2021-07-12,94.15,95.18,93.67,94.82,1732245
2021-07-13,94.38,94.38,91.92,92.06,2276788
2021-07-14,92.90,93.58,92.06,92.57,1347005
2021-07-15,92.04,93.40,91.60,93.08,1463922
2021-07-16,93.16,94.39,92.04,92.21,1622545
2021-07-19,90.78,93.08,90.39,92.40,2262399
2021-07-20,92.67,95.11,92.24,94.65,1951256
2021-07-21,94.98,96.72,94.74,96.67,2022379
2021-07-22,95.76,96.48,94.38,96.20,1945193
2021-07-23,96.87,99.16,96.58,98.84,1718219
2021-07-26,98.94,99.57,96.91,97.35,1459426
2021-07-27,97.32,98.91,96.16,98.39,1546107
2021-07-28,97.88,98.93,96.54,96.96,1330836
2021-07-29,98.02,102.54,97.55,102.31,3034301
2021-07-30,101.11,103.32,100.68,101.04,2035681
2021-08-02,102.14,103.04,100.82,101.71,1860305
2021-08-03,101.96,103.16,100.66,103.10,1269496
2021-08-04,102.29,103.74,101.30,101.32,1562600
2021-08-05,101.63,102.62,100.93,101.33,1490092
2021-08-06,101.31,102.28,99.60,99.98,1244290
2021-08-09,99.75,100.90,98.90,99.73,1049404
2021-08-10,99.94,102.96,99.46,101.59,1040892
2021-08-11,101.57,104.66,100.98,104.59,1206273
2021-08-12,104.52,105.26,102.80,103.20,1066285
2021-08-13,103.63,104.26,102.58,103.94,1072809
