date,open,high,low,close,volume
2021-01-04,30.34,33.00,29.61,32.46,46632680
2021-01-05,32.40,33.19,30.45,30.99,24021990
2021-01-06,31.20,33.50,30.80,31.76,29997290
2021-01-07,32.98,35.26,32.85,35.09,26228600
2021-01-08,37.10,37.19,33.19,34.30,30247810
2021-01-11,34.37,35.04,32.33,32.79,24666250
2021-01-12,32.38,37.18,32.34,36.75,34306690
2021-01-13,36.04,36.69,34.54,35.55,18763140
2021-01-14,35.37,36.25,34.52,34.70,14694490
2021-01-15,34.26,34.76,32.35,32.60,16619920
2021-01-19,33.92,36.00,33.38,35.44,28457130
2021-01-20,36.78,37.65,33.90,35.60,26123700
2021-01-21,35.50,36.16,34.06,35.37,14516400
2021-01-22,34.80,35.32,33.96,34.44,20406220
2021-01-25,35.04,35.20,31.76,31.99,37025580
2021-01-26,33.15,33.84,32.10,32.50,33539700
2021-01-27,31.99,32.49,31.08,31.56,23233170
2021-01-28,31.20,32.38,30.63,32.21,17980260
2021-01-29,32.41,33.28,31.58,32.25,12491370
2021-02-01,32.85,32.94,31.10,32.04,12273470
2021-02-02,31.15,31.79,29.53,30.20,28701900
2021-02-03,30.09,31.09,29.58,30.73,15963310
2021-02-04,30.83,31.40,30.60,30.84,10590600
2021-02-05,30.94,30.97,30.09,30.40,12197730
2021-02-08,30.31,30.53,29.76,30.36,12368280
2021-02-09,30.32,32.29,29.85,31.87,21648380
2021-02-10,31.85,33.30,31.30,31.50,23779530
2021-02-11,31.76,32.65,31.40,31.99,14918250
2021-02-12,31.59,32.43,31.20,31.85,8160570
2021-02-16,31.92,32.15,29.98,30.40,14570490
2021-02-17,30.10,30.32,29.27,29.74,11714440
2021-02-18,28.96,30.45,28.80,29.44,10885040
2021-02-19,29.95,30.21,29.45,29.84,10283710
2021-02-22,29.30,29.41,27.75,27.84,14854950
2021-02-23,26.45,27.35,23.52,26.99,24646820
2021-02-24,27.21,28.87,26.10,28.68,20261320
2021-02-25,28.90,29.01,25.13,25.87,37485090
2021-02-26,26.34,26.80,24.58,25.37,39284540
2021-03-01,25.93,26.51,25.60,25.86,12646450
2021-03-02,25.01,25.33,23.61,23.74,17366940
2021-03-03,24.32,24.75,22.66,22.77,19298130
2021-03-04,22.36,23.34,20.81,22.32,31580930
2021-03-05,22.06,22.68,19.69,22.46,24160870
2021-03-08,22.44,23.65,21.20,21.33,15913510
2021-03-09,22.61,24.85,22.57,23.08,27468330
2021-03-10,24.35,25.40,22.81,23.34,18587280
2021-03-11,25.00,26.33,24.31,26.02,22841280
2021-03-12,24.89,25.80,24.57,25.69,11703000
2021-03-15,25.80,26.14,25.40,25.90,8550462
2021-03-16,26.15,26.64,25.51,25.84,11024190
2021-03-17,24.96,25.44,24.32,25.43,12917800
2021-03-18,24.84,25.80,24.66,25.06,12721970
2021-03-19,24.90,26.51,24.54,26.28,27773640
2021-03-22,26.53,27.32,26.37,26.82,8968390
2021-03-23,25.78,27.04,25.64,26.37,10275950
2021-03-24,25.75,25.95,22.53,22.89,18726930
2021-03-25,22.08,23.79,22.00,23.50,9668606
2021-03-26,22.98,24.29,22.55,23.70,13687730
2021-03-29,23.64,24.22,22.20,22.60,12278670
2021-03-30,21.91,23.33,21.52,23.08,13175450
2021-03-31,23.57,25.16,23.50,25.00,14390480
2021-04-01,26.10,26.13,25.01,25.25,7099685
2021-04-05,25.87,26.00,24.76,24.94,5775793
2021-04-06,24.89,25.75,24.43,25.53,6261448
2021-04-07,24.26,24.26,22.08,22.23,37793420
2021-04-08,23.02,23.50,22.34,23.23,20397550
2021-04-09,22.90,22.98,22.31,22.76,7196752
2021-04-12,22.67,22.72,21.60,21.78,10725940
2021-04-13,21.92,22.06,21.26,21.82,11273890
2021-04-14,21.96,22.11,20.85,21.10,11531900
2021-04-15,20.89,20.96,19.20,19.68,22242820
2021-04-16,19.45,19.48,18.90,19.28,11843680
2021-04-19,19.39,19.50,18.54,19.25,10598940
2021-04-20,19.20,19.64,18.79,19.16,7251607
2021-04-21,19.01,19.80,18.68,19.78,10759870
2021-04-22,19.85,20.69,19.65,20.04,10618820
2021-04-23,20.21,20.70,19.91,20.60,6787270
2021-04-26,20.84,20.93,20.31,20.81,5888522
2021-04-27,20.89,20.98,20.46,20.63,6873218
2021-04-28,20.34,20.52,20.09,20.16,6871678
2021-04-29,20.16,20.32,19.36,19.55,7918204
2021-04-30,19.28,20.02,19.19,19.74,5939814
2021-05-03,20.06,20.15,19.35,19.44,5973262
2021-05-04,19.37,19.62,18.74,19.42,9116640
2021-05-05,19.55,19.64,18.80,18.82,7091590
2021-05-06,18.99,19.01,17.60,17.99,12301950
2021-05-07,18.05,18.76,17.95,18.26,7011002
2021-05-10,18.15,18.20,16.96,17.01,12697680
2021-05-11,16.10,17.26,15.98,17.01,10503440
2021-05-12,17.20,18.57,16.93,17.78,27260440
2021-05-13,18.29,18.44,16.72,17.23,11558120
2021-05-14,17.40,18.50,17.30,18.35,8521646
2021-05-17,18.38,19.11,18.29,18.85,9723277
2021-05-18,19.11,19.83,18.95,19.41,11427980
2021-05-19,18.73,19.60,18.62,19.55,8775884
2021-05-20,19.99,20.58,19.85,20.27,13422240
2021-05-21,20.61,20.75,19.86,20.49,8220461
2021-05-24,20.56,21.14,20.18,20.81,8481548
2021-05-25,21.22,21.52,19.75,19.99,16463340
2021-05-26,20.15,23.40,19.85,22.82,36841840
2021-05-27,23.23,23.72,22.26,23.65,60405270
2021-05-28,23.61,24.38,22.79,23.30,17303410
2021-06-01,24.04,24.52,23.54,23.81,17061270
2021-06-02,23.62,25.05,23.60,24.34,20347610
2021-06-03,24.37,25.36,23.40,24.96,19311750
2021-06-04,25.06,25.65,24.73,25.64,11656450
2021-06-07,25.67,27.24,25.59,26.68,20617200
2021-06-08,27.47,29.07,27.35,28.47,26439560
2021-06-09,29.00,29.09,27.22,27.43,15148990
2021-06-10,27.61,28.00,26.91,27.00,12242540
2021-06-11,27.23,28.49,26.90,28.11,18424520
2021-06-14,28.33,28.57,27.79,28.24,10196560
2021-06-15,27.89,28.99,27.80,28.21,14770290
2021-06-16,27.36,28.74,27.29,28.40,12185440
2021-06-17,28.67,31.32,28.43,30.88,24688820
2021-06-18,31.22,31.23,29.69,30.11,20633270
2021-06-21,30.06,30.50,29.00,30.11,11271640
2021-06-22,29.95,30.45,28.55,28.93,14671250
2021-06-23,29.95,31.29,29.88,31.18,13273220
2021-06-24,31.49,31.49,30.30,30.68,9605723
2021-06-25,30.90,31.83,30.51,31.68,12241200
2021-06-28,32.06,33.99,31.96,33.71,21742620
2021-06-29,33.76,34.28,32.66,34.25,12955500
2021-06-30,34.00,35.27,34.00,34.94,13074080
2021-07-01,35.55,36.66,34.22,34.69,17525460
2021-07-02,35.01,35.82,31.00,32.67,24841470
2021-07-06,31.05,33.98,31.03,33.58,14942050
2021-07-07,33.52,34.47,31.28,32.03,14257940
2021-07-08,30.02,32.07,29.85,31.79,13320340
2021-07-09,32.50,32.60,30.80,31.82,9477899
2021-07-12,32.36,33.52,31.77,32.81,9065834
2021-07-13,32.65,33.09,31.99,32.52,6674883
2021-07-14,32.27,32.50,30.04,30.33,10839170
2021-07-15,30.43,31.89,29.50,30.98,10706230
2021-07-16,30.96,31.21,29.87,30.32,6595474
2021-07-19,29.18,30.61,28.67,30.54,7813830
2021-07-20,30.61,30.85,29.91,30.73,5350276
2021-07-21,31.39,34.22,31.38,33.41,15895110
2021-07-22,33.26,33.60,32.42,32.93,5174408
2021-07-23,31.44,31.70,29.20,30.28,19078840
2021-07-26,29.23,31.58,28.85,30.77,12904750
2021-07-27,29.90,30.45,26.22,26.48,24571740
2021-07-28,28.35,30.69,28.01,30.64,21094560
2021-07-29,31.20,31.40,29.87,30.66,12540450
2021-07-30,30.14,34.55,29.90,33.39,27405110
2021-08-02,34.77,35.44,33.52,33.68,20534910
2021-08-03,32.74,33.09,31.61,32.54,9729701
2021-08-04,32.97,33.60,32.28,32.69,7232572
2021-08-05,32.27,32.30,31.12,31.35,11401470
2021-08-06,31.10,31.55,29.96,30.35,12098990
2021-08-09,30.48,31.07,30.20,30.68,8373794
2021-08-10,31.08,31.29,30.35,30.39,6163074
2021-08-11,30.33,30.99,29.88,30.72,8909529
2021-08-12,30.27,30.92,29.09,30.11,16995030
2021-08-13,29.60,29.75,28.55,28.66,9421821
2021-08-16,27.90,28.11,27.21,27.66,10289310
2021-08-17,27.29,28.46,26.91,28.03,10369210
2021-08-18,28.32,29.12,27.99,28.51,8553624
2021-08-19,28.01,28.64,27.45,27.54,6333200
2021-08-20,27.96,29.52,27.93,28.56,9547873
2021-08-23,28.80,29.33,28.50,29.20,7132629
2021-08-24,29.56,30.51,29.52,30.46,10774270
2021-08-25,30.25,30.79,29.79,30.64,7930573
2021-08-26,30.14,30.95,29.34,29.62,5715988
2021-08-27,29.82,29.85,29.23,29.34,5663820
2021-08-30,29.87,29.91,27.72,29.03,9395796
2021-08-31,29.29,30.93,29.16,30.86,10191220
2021-09-01,30.89,31.67,30.09,30.47,11965820
2021-09-02,30.58,31.77,30.47,31.20,8405241
2021-09-03,30.79,31.10,30.10,30.28,8337504
