date,open,high,low,close,volume
2016-09-15,78.12,79.06,77.77,78.82,2653594
2016-09-16,78.70,78.91,78.17,78.80,4255102
2016-09-19,78.79,79.37,78.49,79.16,3321525
2016-09-20,79.63,80.34,79.28,79.88,3629503
2016-09-21,79.80,81.00,79.68,80.87,3147586
2016-09-22,81.05,81.46,80.73,81.29,2639634
2016-09-23,80.97,81.46,80.77,81.16,2196998
2016-09-26,81.00,81.15,79.50,79.52,4332389
2016-09-27,80.62,80.92,79.61,80.88,6888929
2016-09-28,80.84,81.17,80.02,80.71,2467803
2016-09-29,80.35,80.47,79.23,79.74,3267891
2016-09-30,80.10,80.65,80.03,80.26,3622982
2016-10-03,80.00,81.07,79.69,81.00,3983503
2016-10-04,81.06,81.41,80.68,81.11,3184046
2016-10-05,81.35,82.09,81.23,81.75,3556246
2016-10-06,81.25,81.78,80.73,81.47,2994111
2016-10-07,81.57,82.31,81.30,82.09,4241161
2016-10-10,82.13,83.24,82.10,83.06,4600596
2016-10-11,82.60,82.85,81.25,81.81,4218223
2016-10-12,81.81,82.22,80.46,80.51,3622844
2016-10-13,79.93,80.49,79.60,80.00,3565014
2016-10-14,80.17,80.32,79.21,79.27,3143876
2016-10-17,79.53,79.53,78.01,78.53,3880372
2016-10-18,79.09,79.14,78.50,78.77,3218290
2016-10-19,78.96,79.33,78.53,78.56,2988801
2016-10-20,78.73,79.11,78.39,78.74,2661919
2016-10-21,78.54,78.78,78.08,78.25,3211716
2016-10-24,78.49,78.69,77.44,77.57,4350818
2016-10-25,76.88,78.28,75.50,77.75,8496026
2016-10-26,77.42,77.65,76.37,76.76,2988727
2016-10-27,77.36,77.42,76.13,76.16,3788300
2016-10-28,75.62,75.68,73.86,74.53,5651141
2016-10-31,74.63,74.74,73.80,73.84,3562142
2016-11-01,73.81,73.98,71.85,72.98,8190224
2016-11-02,73.15,73.49,72.64,72.65,4433829
2016-11-03,72.81,73.28,71.88,72.11,4843213
2016-11-04,72.12,73.03,71.67,72.49,3593709
2016-11-07,73.22,73.93,73.05,73.88,4964475
2016-11-08,73.57,74.47,73.36,74.02,2682655
2016-11-09,77.15,79.30,76.58,78.39,7325134
2016-11-10,78.96,79.70,78.00,78.34,6904770
2016-11-11,77.97,78.09,76.79,77.67,3072650
2016-11-14,78.01,78.24,76.69,77.02,3218026
2016-11-15,77.43,77.54,76.18,77.32,3097568
2016-11-16,77.52,77.52,76.82,76.94,1922103
2016-11-17,77.00,77.81,76.73,77.71,4516171
2016-11-18,77.58,77.92,76.52,76.67,4571592
2016-11-21,76.80,77.04,76.10,76.64,4060174
2016-11-22,77.81,77.81,75.50,75.99,5208707
2016-11-23,64.34,68.43,64.18,68.00,53939850
2016-11-25,68.53,69.14,67.78,69.12,8620682
2016-11-28,68.43,68.43,67.10,67.20,12456690
