date,open,high,low,close,volume
2016-09-15,9.16,9.37,9.16,9.34,26426380
2016-09-16,9.32,9.38,9.19,9.30,20910360
2016-09-19,9.38,9.38,9.19,9.21,16125940
2016-09-20,9.27,9.31,9.17,9.20,18698440
2016-09-21,9.25,9.33,9.18,9.33,18465370
2016-09-22,9.36,9.39,9.21,9.27,26504770
2016-09-23,9.24,9.29,9.17,9.18,17250360
2016-09-26,9.15,9.17,9.10,9.14,17027020
2016-09-27,9.06,9.26,9.06,9.25,16802420
2016-09-28,9.27,9.32,9.22,9.29,12274770
2016-09-29,9.29,9.41,9.25,9.32,31038330
2016-09-30,9.37,9.54,9.34,9.47,31943090
2016-10-03,9.41,9.53,9.41,9.46,20110390
2016-10-04,9.46,9.54,9.43,9.48,26870170
2016-10-05,9.47,9.65,9.44,9.62,31860620
2016-10-06,9.88,10.05,9.78,10.02,102549700
2016-10-07,9.99,10.09,9.88,10.04,57971080
2016-10-10,10.10,10.24,10.06,10.21,34851070
2016-10-11,10.16,10.16,9.86,9.96,49125810
2016-10-12,9.82,9.91,9.68,9.87,39608110
2016-10-13,9.81,9.81,9.69,9.77,28141360
2016-10-14,9.83,9.92,9.81,9.82,26808940
2016-10-17,9.79,9.91,9.75,9.81,22069480
2016-10-18,9.90,9.97,9.86,9.95,34738860
2016-10-19,9.97,10.02,9.92,9.97,42647270
2016-10-20,10.00,10.10,9.59,9.69,79196310
2016-10-21,9.68,9.91,9.67,9.76,43298500
2016-10-24,9.85,9.93,9.80,9.90,20647170
2016-10-25,9.91,9.92,9.79,9.81,22176890
2016-10-26,9.77,9.87,9.74,9.79,23555670
2016-10-27,9.86,9.89,9.65,9.67,23275340
2016-10-28,9.72,9.78,9.60,9.62,16036910
2016-10-31,9.69,9.74,9.64,9.69,20069400
2016-11-01,9.72,9.74,9.51,9.61,25338610
2016-11-02,9.59,9.66,9.48,9.59,28461390
2016-11-03,9.59,9.59,9.49,9.52,23437580
2016-11-04,9.44,9.62,9.37,9.50,22269240
2016-11-07,9.65,9.86,9.65,9.85,36570840
2016-11-08,9.85,9.96,9.79,9.91,15032150
2016-11-09,9.68,9.82,9.63,9.80,19642850
2016-11-10,9.81,9.94,9.49,9.60,27072660
2016-11-11,9.58,9.76,9.51,9.75,16932940
2016-11-14,9.78,9.89,9.75,9.85,17691500
2016-11-15,9.99,10.15,9.92,10.11,19964850
2016-11-16,10.08,10.13,10.01,10.12,12922620
2016-11-17,10.16,10.38,10.07,10.38,18393750
2016-11-18,10.34,10.72,10.31,10.47,37095040
2016-11-21,10.49,10.63,10.47,10.62,21359130
2016-11-22,10.69,10.74,10.61,10.67,19796380
2016-11-23,10.67,10.71,10.57,10.70,14552570
2016-11-25,10.70,10.77,10.63,10.75,7896290
2016-11-28,10.74,10.80,10.67,10.68,19933470
2016-11-29,10.73,10.82,10.66,10.76,22709400
2016-11-30,10.76,10.80,10.60,10.60,18765840
2016-12-01,10.56,10.57,9.78,9.86,67603040
2016-12-02,9.92,10.15,9.84,10.05,28442280
2016-12-05,10.14,10.28,10.06,10.24,29873320
2016-12-06,10.40,10.40,10.19,10.30,24203980
2016-12-07,10.30,10.65,10.27,10.65,27799640
2016-12-08,10.61,10.76,10.57,10.71,12617750
2016-12-09,10.66,10.72,10.32,10.41,22275400
2016-12-12,10.34,10.44,10.30,10.36,12618440
2016-12-13,10.42,10.49,10.37,10.41,13590930
2016-12-14,10.40,10.55,10.37,10.44,14092260
2016-12-15,10.46,10.67,10.40,10.61,14373860
2016-12-16,10.61,10.69,10.43,10.45,26210730
2016-12-19,10.67,10.86,10.65,10.70,22227050
2016-12-20,10.82,10.82,10.65,10.69,13104840
2016-12-21,10.67,10.75,10.64,10.65,11677940
2016-12-22,10.69,10.82,10.69,10.77,13864750
2016-12-23,10.74,10.81,10.71,10.81,10002690
2016-12-27,10.85,10.96,10.83,10.90,7937220
2016-12-28,10.99,11.04,10.75,10.76,10899650
2016-12-29,10.75,10.75,10.64,10.71,9080250
2016-12-30,10.79,11.00,10.53,10.57,8981610
2017-01-03,10.67,10.86,10.58,10.73,19374690
2017-01-04,10.76,10.81,10.69,10.73,12973980
2017-01-05,10.75,10.88,10.71,10.71,16342480
2017-01-06,10.69,10.79,10.61,10.76,12036000
2017-01-09,10.78,10.98,10.78,10.89,14400800
2017-01-10,10.90,10.90,10.78,10.85,13178510
2017-01-11,10.87,10.90,10.78,10.90,12723680
2017-01-12,10.87,10.87,10.68,10.82,9962400
2017-01-13,10.87,11.11,10.86,11.05,14988830
2017-01-17,11.03,11.06,10.85,10.91,15031010
2017-01-18,11.00,11.13,10.93,11.12,17155380
2017-01-19,11.14,11.24,11.05,11.08,18703590
2017-01-20,11.19,11.28,11.13,11.23,17270120
2017-01-23,11.30,11.41,11.22,11.28,25200760
2017-01-24,11.31,11.48,11.31,11.46,17293330
2017-01-25,11.65,11.72,11.45,11.69,35400270
2017-01-26,11.50,11.62,11.29,11.43,37855950
2017-01-27,11.56,11.91,11.54,11.82,36148710
2017-01-30,11.68,11.70,11.47,11.60,26169560
2017-01-31,11.60,11.64,11.45,11.49,23845850
2017-02-01,11.59,11.78,11.55,11.77,21155240
2017-02-02,11.75,11.79,11.61,11.72,12035180
2017-02-03,11.75,11.82,11.69,11.77,11286480
2017-02-06,11.80,11.80,11.68,11.72,11389060
2017-02-07,11.79,11.79,11.62,11.70,35548030
2017-02-08,11.75,11.75,11.57,11.59,23339000
2017-02-09,11.65,11.65,11.57,11.60,13572500
2017-02-10,11.66,11.66,11.49,11.60,15427500
2017-02-13,11.70,11.77,11.62,11.63,9434230
2017-02-14,11.60,11.63,11.47,11.56,12144380
