date,open,high,low,close,volume
2021-01-04,9.87,9.92,9.67,9.72,13251020
2021-01-05,9.78,10.07,9.75,9.93,11260550
2021-01-06,10.13,10.57,10.08,10.53,16735690
2021-01-07,10.59,10.63,10.43,10.51,9987893
2021-01-08,10.51,10.53,10.38,10.53,9418879
2021-01-11,10.50,10.60,10.42,10.54,8800269
2021-01-12,10.60,10.77,10.53,10.72,12304420
2021-01-13,10.72,10.83,10.61,10.79,8122311
2021-01-14,10.85,11.46,10.82,11.32,13279550
2021-01-15,11.30,11.45,11.10,11.43,15472360
2021-01-19,11.56,11.60,11.05,11.06,16361630
2021-01-20,11.23,11.24,10.87,11.06,8519093
2021-01-21,11.12,11.25,11.06,11.09,8858434
2021-01-22,10.96,11.22,10.92,11.17,7609245
2021-01-25,11.12,11.49,11.06,11.39,13776700
2021-01-26,11.60,15.38,11.37,14.59,60245800
2021-01-27,14.86,16.60,14.13,15.36,76790110
2021-01-28,12.87,14.57,11.60,11.91,54114130
2021-01-29,12.11,12.66,12.10,12.38,19307860
2021-02-01,12.54,12.54,11.77,11.77,18160130
2021-02-02,11.80,11.89,11.33,11.49,17958240
2021-02-03,11.55,11.96,11.48,11.77,12384310
2021-02-04,11.66,11.91,11.57,11.74,11149700
2021-02-05,11.79,12.31,11.54,12.23,13826750
2021-02-08,12.42,12.45,12.13,12.37,7025231
2021-02-09,12.36,12.68,12.27,12.56,8706270
2021-02-10,12.63,12.78,12.35,12.48,18306010
2021-02-11,12.01,12.06,11.23,11.50,25197270
2021-02-12,11.54,11.93,11.45,11.78,12259430
2021-02-16,11.83,11.98,11.72,11.79,10303690
2021-02-17,11.77,11.89,11.66,11.77,8505261
2021-02-18,11.69,11.90,11.65,11.70,9734582
2021-02-19,11.83,12.03,11.81,11.94,9449009
2021-02-22,11.96,12.12,11.91,11.98,12000360
2021-02-23,12.02,12.26,11.73,12.19,10723850
2021-02-24,12.29,12.54,12.21,12.45,8127727
2021-02-25,12.55,12.63,12.10,12.15,13137980
2021-02-26,12.05,12.40,12.02,12.29,13553530
2021-03-01,12.45,12.94,12.34,12.51,19122350
2021-03-02,12.55,13.06,12.49,12.85,17506820
2021-03-03,12.92,13.95,12.88,13.79,25784140
2021-03-04,13.78,13.80,13.13,13.42,17257720
2021-03-05,13.10,13.54,13.09,13.47,13579930
2021-03-08,13.48,14.44,13.48,14.30,21921900
2021-03-09,14.22,14.41,13.79,13.85,14851000
2021-03-10,13.97,13.97,13.66,13.88,13059300
2021-03-11,13.81,13.90,13.54,13.60,9727079
2021-03-12,13.73,14.12,13.60,14.03,9141638
2021-03-15,14.13,14.33,14.02,14.19,8843565
2021-03-16,14.12,14.22,13.96,14.03,7845410
2021-03-17,14.07,14.15,13.87,14.14,9289366
2021-03-18,14.00,14.34,13.96,13.96,7280138
