date,open,high,low,close,volume
2021-01-04,57.25,57.98,55.73,56.69,212798
2021-01-05,57.50,59.03,56.94,58.30,166864
2021-01-06,59.00,62.80,58.98,62.19,423981
2021-01-07,62.94,65.03,62.52,62.92,256189
2021-01-08,63.00,63.36,61.31,61.54,229709
2021-01-11,61.54,63.29,61.54,62.87,177816
2021-01-12,69.16,70.04,65.15,66.22,366638
2021-01-13,65.76,66.63,63.60,64.77,272824
2021-01-14,65.31,68.20,65.00,66.90,244125
2021-01-15,65.85,66.69,64.00,65.04,265618
2021-01-19,65.99,67.00,64.88,65.84,302363
2021-01-20,65.80,67.86,65.80,67.85,250957
2021-01-21,67.85,68.38,66.08,66.58,158401
2021-01-22,65.64,67.64,65.64,67.59,175795
2021-01-25,67.59,67.93,65.89,67.10,253771
2021-01-26,67.45,67.45,65.93,66.48,163322
2021-01-27,64.79,65.31,62.50,64.54,288086
2021-01-28,65.56,65.56,61.67,62.02,188787
2021-01-29,62.09,62.15,59.73,59.80,164541
2021-02-01,60.40,60.81,58.49,60.59,168279
2021-02-02,61.71,62.91,60.78,62.35,141747
2021-02-03,62.23,62.38,60.75,61.38,101309
2021-02-04,61.60,63.41,61.25,63.35,115258
2021-02-05,63.98,64.50,63.03,64.46,110397
2021-02-08,65.01,66.18,64.92,66.12,201045
2021-02-09,66.37,67.64,65.88,66.71,182467
2021-02-10,67.21,67.63,65.46,66.24,130127
2021-02-11,66.45,66.69,64.45,66.67,146241
2021-02-12,66.86,72.17,66.86,71.80,390370
2021-02-16,73.23,74.26,72.12,72.16,304260
2021-02-17,71.53,72.83,70.31,72.13,202346
2021-02-18,71.64,72.40,69.81,71.36,207499
2021-02-19,71.96,74.32,71.49,74.10,181264
2021-02-22,73.40,76.80,73.40,75.87,198926
2021-02-23,75.70,76.10,72.76,73.47,221546
2021-02-24,77.64,79.05,72.07,72.55,356576
2021-02-25,71.59,72.55,69.50,69.65,293784
2021-02-26,69.77,70.16,67.75,69.27,297711
2021-03-01,73.00,75.02,72.00,75.01,517812
2021-03-02,75.39,75.74,74.21,74.21,296799
2021-03-03,74.57,75.57,73.35,73.36,310013
2021-03-04,73.02,73.74,70.22,71.49,325746
2021-03-05,72.41,73.76,71.24,73.67,299485
2021-03-08,75.17,77.25,73.71,73.84,483665
2021-03-09,74.44,75.43,73.67,74.41,247161
2021-03-10,74.68,76.70,74.65,76.30,352842
2021-03-11,77.19,77.79,76.00,77.51,290213
2021-03-12,77.92,79.04,76.99,76.99,483173
2021-03-15,76.50,76.88,74.17,76.50,286365
2021-03-16,76.52,76.52,74.25,75.01,195398
2021-03-17,74.31,74.58,72.70,74.21,328717
2021-03-18,74.14,76.28,73.70,73.93,224642
2021-03-19,74.44,74.48,72.50,74.31,571037
2021-03-22,74.65,75.10,72.06,72.62,213379
2021-03-23,72.00,72.19,68.00,68.49,419353
2021-03-24,69.50,70.54,66.53,66.58,327158
2021-03-25,65.73,67.50,64.09,67.18,550767
2021-03-26,68.15,69.03,66.50,67.71,270288
2021-03-29,67.16,68.92,65.95,65.98,275075
2021-03-30,66.01,67.88,65.66,67.49,309480
2021-03-31,68.00,68.26,66.56,66.70,439228
2021-04-01,67.14,67.47,66.22,67.32,325921
2021-04-05,68.54,69.25,67.35,67.63,329520
2021-04-06,67.90,68.60,67.63,68.19,296652
2021-04-07,68.99,71.64,68.52,71.24,853255
2021-04-08,71.31,72.48,70.10,72.13,457281
2021-04-09,72.44,73.51,71.91,73.31,263552
2021-04-12,73.10,73.19,70.62,71.51,239246
2021-04-13,71.13,71.58,68.52,68.83,339259
2021-04-14,68.51,69.68,68.09,68.64,391634
2021-04-15,69.32,69.34,67.77,68.48,173126
2021-04-16,70.54,71.00,68.43,69.60,400854
2021-04-19,70.00,70.95,69.48,70.61,400998
2021-04-20,70.65,70.93,65.96,67.06,372284
2021-04-21,66.63,68.30,66.32,67.81,282027
2021-04-22,67.81,68.57,67.22,67.41,226674
2021-04-23,67.82,68.76,67.45,67.92,444189
2021-04-26,68.93,69.69,67.44,67.67,272235
2021-04-27,68.32,69.12,67.50,67.74,351544
2021-04-28,67.27,69.17,65.51,66.57,337316
2021-04-29,65.61,66.64,65.32,66.15,353064
2021-04-30,65.84,67.29,65.30,65.33,390000
2021-05-03,66.05,67.80,66.05,67.56,411360
2021-05-04,67.52,67.52,64.72,65.46,303555
2021-05-05,65.87,67.13,65.07,66.44,233495
2021-05-06,66.51,67.03,65.52,66.40,156868
2021-05-07,66.40,66.97,65.91,66.39,174985
2021-05-10,66.30,67.08,64.32,64.38,248263
2021-05-11,62.90,63.52,61.83,62.84,341303
2021-05-12,62.35,62.96,59.65,60.07,357460
2021-05-13,60.15,61.97,60.15,61.62,190434
2021-05-14,62.12,63.04,61.21,63.03,184631
2021-05-17,62.88,63.35,61.72,63.18,140846
2021-05-18,63.40,63.86,62.88,62.95,266353
2021-05-19,61.57,63.19,61.36,62.58,269578
2021-05-20,63.17,63.17,61.83,62.53,242019
2021-05-21,63.30,63.85,62.35,62.48,177137
2021-05-24,63.46,64.93,62.90,64.55,230414
2021-05-25,64.55,65.48,61.94,62.15,274801
2021-05-26,62.13,62.89,61.71,62.88,267737
2021-05-27,63.78,64.02,63.14,63.67,150159
2021-05-28,64.34,64.91,63.55,64.65,172842
2021-06-01,65.10,65.62,64.28,65.04,267979
2021-06-02,65.21,65.21,62.27,62.86,229624
2021-06-03,62.60,62.84,61.61,62.65,221845
2021-06-04,62.84,63.11,62.26,62.87,204292
2021-06-07,63.31,64.13,62.61,63.40,263878
2021-06-08,64.15,64.47,63.68,64.24,201395
2021-06-09,64.51,64.51,62.91,62.92,188982
2021-06-10,63.70,64.12,62.94,62.95,198269
2021-06-11,63.49,64.87,63.01,64.79,167414
2021-06-14,64.99,65.58,63.17,63.29,254819
2021-06-15,63.55,64.42,62.42,64.21,302601
2021-06-16,63.80,64.74,63.10,64.07,261097
2021-06-17,63.59,63.80,61.65,62.22,391532
2021-06-18,62.27,62.75,60.75,61.27,817825
2021-06-21,61.80,63.74,61.42,62.88,285763
2021-06-22,62.28,63.67,61.80,63.64,306870
2021-06-23,63.65,63.81,62.85,63.02,292226
2021-06-24,63.38,64.00,62.48,63.98,227965
2021-06-25,65.39,67.63,65.14,65.40,874769
2021-06-28,65.99,66.49,63.30,64.17,435656
2021-06-29,64.37,65.21,63.89,64.12,245123
2021-06-30,63.68,64.79,63.53,64.00,303894
2021-07-01,64.13,65.00,63.49,64.68,345790
2021-07-02,64.38,64.72,63.52,63.99,275603
2021-07-06,64.40,64.40,62.72,64.09,336849
2021-07-07,64.21,64.82,63.60,64.49,250493
2021-07-08,63.06,63.59,62.34,62.43,347378
2021-07-09,64.38,68.14,63.88,68.12,608154
2021-07-12,67.29,67.65,66.23,66.72,295761
2021-07-13,66.35,66.71,65.31,65.54,278983
2021-07-14,66.25,66.69,65.00,65.39,207310
2021-07-15,65.18,65.75,64.04,65.03,302490
2021-07-16,65.75,65.86,64.36,65.34,1075951
2021-07-19,63.51,64.60,62.55,64.09,441839
2021-07-20,64.58,66.69,64.31,66.21,330727
2021-07-21,66.68,67.32,65.29,66.15,260894
2021-07-22,66.05,66.21,64.13,64.36,195219
2021-07-23,64.47,65.14,63.72,65.13,149132
2021-07-26,65.43,65.92,64.61,65.14,153147
2021-07-27,64.35,64.90,63.32,64.78,196331
2021-07-28,65.61,65.69,64.02,64.70,203292
2021-07-29,65.71,66.44,65.15,65.60,144150
2021-07-30,65.46,67.58,64.39,67.12,355744
2021-08-02,67.25,68.68,67.22,67.89,345116
2021-08-03,67.81,70.58,67.05,70.36,560947
2021-08-04,69.10,70.83,68.75,70.08,326101
2021-08-05,70.61,70.72,69.28,70.57,237152
2021-08-06,71.00,71.50,70.33,71.23,200202
2021-08-09,70.78,71.33,69.99,70.41,195988
2021-08-10,70.44,72.91,70.27,72.88,298439
2021-08-11,73.15,74.39,72.36,74.34,362322
2021-08-12,74.72,75.65,74.18,74.58,209998
2021-08-13,74.27,74.38,72.47,73.07,263525
2021-08-16,73.46,75.11,72.54,74.48,211788
2021-08-17,73.80,74.52,73.38,74.33,262950
2021-08-18,74.53,76.21,74.05,74.97,271393
2021-08-19,74.00,74.28,71.59,71.86,286078
2021-08-20,71.75,73.40,71.00,73.07,292595
2021-08-23,73.64,75.34,72.87,75.07,236210
2021-08-24,75.50,76.89,75.47,76.18,252200
2021-08-25,76.75,77.66,76.18,77.21,209556
2021-08-26,77.21,77.82,75.66,75.70,257856
2021-08-27,75.70,78.91,75.70,78.78,344751
2021-08-30,79.49,80.76,78.86,80.03,430329
2021-08-31,80.00,80.72,78.95,79.17,378816
2021-09-01,79.28,81.23,77.89,80.33,321447
2021-09-02,80.45,82.57,80.42,82.54,298031
2021-09-03,82.48,84.07,82.48,83.35,302695
2021-09-07,83.50,86.25,83.45,84.03,429527
2021-09-08,83.50,84.80,83.00,84.47,249538
2021-09-09,84.31,85.74,83.99,84.88,336851
2021-09-10,85.87,87.99,85.01,86.64,365110
2021-09-13,87.34,87.34,82.17,84.90,343172
2021-09-14,85.20,85.22,82.48,83.66,246561
2021-09-15,84.04,84.76,83.15,84.63,250056
2021-09-16,84.97,85.79,83.85,84.49,170516
2021-09-17,84.75,85.26,83.03,83.12,833647
2021-09-20,80.00,81.80,78.66,79.64,332159
2021-09-21,80.86,81.16,78.90,80.67,208598
2021-09-22,81.55,82.18,80.77,81.11,198452
2021-09-23,81.89,82.67,81.45,81.89,157731
2021-09-24,81.12,82.68,80.55,81.06,208689
2021-09-27,80.65,83.72,80.42,82.96,181338
2021-09-28,82.81,83.39,81.64,81.80,200608
2021-09-29,82.13,82.13,80.80,81.19,168764
2021-09-30,81.25,82.03,80.66,80.71,177473
2021-10-01,81.03,83.50,79.93,82.60,304648
2021-10-04,81.75,82.48,80.61,81.52,222479
2021-10-05,82.18,84.08,81.90,83.46,156679
2021-10-06,82.35,83.80,81.84,82.75,280587
2021-10-07,83.53,84.37,82.42,82.47,276713
2021-10-08,82.51,83.15,81.63,82.14,151224
2021-10-11,82.51,84.12,82.32,82.67,135610
2021-10-12,85.90,89.75,85.60,89.57,648301
2021-10-13,89.82,91.79,86.15,86.71,551546
2021-10-14,87.68,87.68,80.80,81.43,496230
2021-10-15,83.33,84.28,82.06,82.82,354596
2021-10-18,83.06,84.72,82.70,82.91,386171
2021-10-19,83.29,83.90,81.95,82.62,286945
2021-10-20,82.39,83.46,82.08,83.09,177718
2021-10-21,83.44,83.99,82.27,83.26,208760
2021-10-22,83.05,84.70,83.05,84.24,183766
2021-10-25,84.48,86.34,84.19,85.97,166426
2021-10-26,86.08,86.40,85.01,85.63,147253
2021-10-27,85.40,85.40,82.52,82.71,196343
2021-10-28,82.88,83.96,82.58,83.51,197072
2021-10-29,82.79,83.94,82.38,83.28,249643
2021-11-01,83.88,85.03,83.06,84.25,227026
2021-11-02,84.61,84.61,81.77,83.19,234261
2021-11-03,83.14,87.41,81.67,87.18,326522
2021-11-04,88.48,94.09,88.00,90.24,470664
2021-11-05,91.05,92.47,89.28,89.50,278211
2021-11-08,90.41,92.45,90.09,91.00,221574
2021-11-09,91.20,92.87,91.20,91.97,210463
2021-11-10,91.40,92.00,89.63,90.52,154192
2021-11-11,90.52,93.81,90.08,93.25,177920
2021-11-12,93.50,94.54,92.99,94.03,228310
2021-11-15,94.16,94.18,92.50,93.15,226297
2021-11-16,92.38,92.80,90.03,90.42,291269
2021-11-17,90.54,91.22,88.30,88.96,295667
2021-11-18,89.96,90.74,88.08,90.38,274020
2021-11-19,89.93,91.39,89.93,90.55,163544
2021-11-22,91.40,91.64,88.34,88.54,296691
2021-11-23,89.22,89.72,87.25,89.16,269930
2021-11-24,88.88,89.72,87.12,87.50,253911
2021-11-26,85.50,87.45,83.29,83.75,251198
2021-11-29,84.77,85.13,82.51,83.51,333228
2021-11-30,82.84,83.50,81.00,81.53,285641
2021-12-01,83.41,83.51,78.72,78.77,362998
2021-12-02,79.12,82.60,78.83,82.01,253784
2021-12-03,82.55,82.71,80.50,81.21,258288
2021-12-06,82.63,85.80,81.68,85.53,406135
2021-12-07,86.41,86.85,84.68,85.45,283109
2021-12-08,85.99,85.99,84.06,84.46,218947
2021-12-09,83.70,84.83,83.28,83.63,235143
2021-12-10,84.06,84.69,83.19,83.84,291892
2021-12-13,83.59,83.74,81.95,82.12,271169
2021-12-14,81.84,84.69,81.60,82.43,551036
2021-12-15,82.92,83.57,80.86,82.56,407708
2021-12-16,83.01,84.46,81.93,82.46,355351
2021-12-17,81.24,82.44,79.86,81.45,1282752
2021-12-20,80.58,80.58,77.30,78.99,358105
2021-12-21,79.99,81.81,79.42,80.97,353433
2021-12-22,81.12,82.69,80.98,82.39,272934
2021-12-23,82.28,84.26,82.28,83.65,148305
2021-12-27,83.65,84.45,82.34,84.37,216574
2021-12-28,84.35,87.40,84.35,86.58,232562
2021-12-29,87.01,89.70,86.10,89.29,206496
2021-12-30,89.78,90.46,88.63,88.64,195949
2021-12-31,88.25,90.49,88.00,90.03,131412
2022-01-03,90.92,92.63,88.82,89.17,226727
2022-01-04,89.40,91.78,89.40,91.15,180872
2022-01-05,91.42,93.17,89.66,89.68,154215
2022-01-06,90.03,90.59,88.28,88.50,222454
2022-01-07,88.29,90.64,87.76,87.83,233296
2022-01-10,87.34,87.34,85.01,86.96,349271
2022-01-11,86.96,89.01,86.68,88.15,351811
2022-01-12,88.43,88.72,86.88,87.69,211817
2022-01-13,88.23,89.79,87.82,88.62,267274
2022-01-14,88.10,88.48,85.87,87.09,214467
2022-01-18,86.50,86.50,84.48,85.34,301303
2022-01-19,86.03,86.92,84.75,85.92,269246
2022-01-20,93.00,93.91,90.51,91.46,712179
2022-01-21,90.50,93.97,89.05,91.02,413949
2022-01-24,89.80,91.34,87.04,90.89,353292
2022-01-25,89.85,92.85,87.58,91.70,405289
2022-01-26,92.69,98.71,92.38,94.71,891141
2022-01-27,96.05,99.19,93.06,93.49,508108
2022-01-28,95.73,98.15,94.10,98.09,501947
2022-01-31,98.20,98.55,94.19,97.66,786257
2022-02-01,99.66,101.72,98.67,100.00,656951
2022-02-02,99.68,100.54,98.04,98.73,629513
2022-02-03,98.00,98.78,94.16,94.79,469759
2022-02-04,94.72,95.86,88.26,89.96,789055
2022-02-07,90.10,92.19,88.76,91.26,442598
2022-02-08,91.78,93.08,90.53,91.00,347978
2022-02-09,91.54,92.16,90.63,90.72,375965
2022-02-10,89.39,91.14,88.60,89.44,407152
2022-02-11,89.14,90.76,85.72,86.37,483759
2022-02-14,85.83,86.91,84.48,85.25,479566
2022-02-15,86.25,87.96,85.81,87.41,310098
2022-02-16,87.54,89.33,87.07,88.57,309677
2022-02-17,88.04,88.47,86.59,87.37,418299
2022-02-18,88.97,99.23,88.82,97.19,1067898
2022-02-22,96.09,103.08,95.41,102.32,795944
2022-02-23,102.76,105.92,102.01,104.33,617203
2022-02-24,100.86,107.04,100.32,106.86,470253
2022-02-25,107.56,110.00,107.56,109.03,600671
2022-02-28,107.25,112.33,107.00,110.77,544404
2022-03-01,111.29,112.39,104.03,105.51,710587
2022-03-02,105.77,110.67,105.17,108.46,403812
2022-03-03,108.89,109.29,105.50,106.75,419698
2022-03-04,105.24,108.16,103.75,107.02,404976
2022-03-07,106.82,108.40,104.05,104.21,380655
2022-03-08,105.10,106.61,102.35,105.16,396646
2022-03-09,105.17,108.62,105.01,106.80,369497
2022-03-10,106.42,108.72,105.56,106.30,349906
2022-03-11,106.90,109.23,105.51,108.29,382081
2022-03-14,110.59,119.41,110.59,114.88,941489
2022-03-15,116.01,116.01,111.80,113.55,763437
2022-03-16,113.40,115.66,112.19,115.35,450762
2022-03-17,115.94,118.82,115.14,117.61,490055
2022-03-18,118.18,120.58,115.59,120.37,893253
2022-03-21,120.74,123.42,118.53,119.91,381980
2022-03-22,120.64,122.19,118.71,120.52,326662
2022-03-23,120.00,121.62,118.33,118.50,232999
2022-03-24,118.60,120.84,116.51,120.15,220383
2022-03-25,119.81,121.47,119.17,121.47,211309
2022-03-28,121.47,123.25,120.91,121.70,364819
2022-03-29,122.00,124.80,120.93,124.55,436377
2022-03-30,124.53,125.34,123.39,123.68,378751
2022-03-31,123.17,125.34,120.41,120.62,353302
2022-04-01,120.51,121.90,114.76,115.55,620488
2022-04-04,115.99,116.35,101.69,102.25,1184289
2022-04-05,102.51,102.62,91.11,92.87,1519070
2022-04-06,92.29,92.29,88.81,89.31,849678
2022-04-07,89.30,90.75,86.35,87.06,703488
2022-04-08,87.55,88.82,86.35,87.07,702819
2022-04-11,86.52,88.10,85.16,85.33,662547
2022-04-12,85.50,87.97,85.50,86.37,455342
2022-04-13,86.55,88.93,86.25,87.37,410811
2022-04-14,88.09,88.87,85.63,87.43,617776
2022-04-18,87.13,90.98,87.13,90.66,643883
2022-04-19,92.07,95.74,91.47,95.58,703339
2022-04-20,96.47,97.34,90.70,91.57,872285
2022-04-21,92.00,92.44,88.12,88.43,504329
2022-04-22,87.85,89.49,86.91,87.33,513830
2022-04-25,86.36,87.00,80.78,84.58,751234
2022-04-26,84.99,85.84,82.83,82.90,542833
2022-04-27,82.76,86.28,82.51,85.26,703030
2022-04-28,86.32,89.37,85.11,88.85,407038
2022-04-29,88.31,90.30,85.99,86.02,404891
2022-05-02,86.29,89.78,85.98,88.37,736582
2022-05-03,87.87,92.94,87.28,91.36,700645
2022-05-04,92.35,95.50,89.73,93.96,669252
2022-05-05,92.73,93.47,89.71,90.93,445930
2022-05-06,91.18,92.10,89.22,90.14,563278
2022-05-09,88.82,90.28,86.41,87.79,502743
2022-05-10,89.71,90.47,87.13,89.42,448860
2022-05-11,88.90,90.51,85.95,86.10,498056
2022-05-12,85.41,88.00,84.18,87.27,454373
2022-05-13,88.24,90.20,88.07,88.15,367738
2022-05-16,88.39,89.55,86.84,87.70,401328
2022-05-17,89.61,92.33,88.45,91.64,605906
2022-05-18,89.66,91.30,84.58,85.18,496466
2022-05-19,84.44,86.96,84.26,84.60,427581
2022-05-20,85.47,86.34,83.54,84.69,364871
2022-05-23,85.79,87.86,85.08,87.07,409683
2022-05-24,86.15,87.03,84.81,85.13,326107
2022-05-25,84.95,88.88,84.82,87.89,288326
2022-05-26,88.28,89.73,87.95,88.63,322723
2022-05-27,89.78,90.36,87.65,89.73,406549
2022-05-31,89.53,91.72,88.45,89.88,453550
2022-06-01,90.24,91.15,87.82,90.37,295566
2022-06-02,90.37,91.91,90.37,91.15,208987
2022-06-03,90.62,93.38,90.62,93.15,233907
2022-06-06,93.46,95.52,92.41,94.57,266925
2022-06-07,93.04,94.85,92.64,94.54,201701
2022-06-08,92.60,93.04,82.66,83.49,1105775
2022-06-09,81.32,83.88,80.13,81.60,508409
2022-06-10,79.90,81.09,78.45,79.84,440078
2022-06-13,77.97,79.68,75.81,76.38,482968
2022-06-14,78.21,83.00,78.21,80.34,579156
2022-06-15,80.71,81.70,77.95,79.25,498436
2022-06-16,76.86,77.75,71.97,73.34,534294
2022-06-17,73.08,74.95,71.66,72.60,990711
2022-06-21,74.33,75.22,73.33,73.81,364280
2022-06-22,72.10,72.77,68.73,69.34,625268
2022-06-23,70.73,72.61,69.94,72.28,390168
2022-06-24,72.98,74.35,71.83,72.52,582872
2022-06-27,74.12,75.94,73.74,74.54,401088
2022-06-28,75.05,75.83,72.80,73.42,311779
