date,open,high,low,close,volume
2016-09-15,173.12,175.55,171.65,174.61,355259
2016-09-16,174.61,177.35,174.03,177.20,370250
2016-09-19,178.73,180.29,177.00,178.91,380798
2016-09-20,180.11,180.98,178.16,179.25,269928
2016-09-21,180.50,187.43,179.25,186.75,555371
2016-09-22,188.35,191.73,187.58,191.25,496512
2016-09-23,191.44,191.76,186.63,187.09,283907
2016-09-26,186.90,188.03,184.59,186.85,260848
2016-09-27,186.43,188.37,186.40,187.50,220620
2016-09-28,187.51,188.42,184.36,187.48,184879
2016-09-29,186.62,187.61,183.66,183.74,228746
2016-09-30,185.31,185.68,183.25,184.97,183150
2016-10-03,185.45,189.35,184.00,186.20,266606
2016-10-04,186.08,187.64,182.91,184.59,220330
2016-10-05,185.41,186.80,184.23,186.49,185164
2016-10-06,186.74,188.11,185.57,186.29,222287
2016-10-07,187.08,190.22,186.04,189.83,318710
2016-10-10,191.61,193.58,188.75,189.19,381284
2016-10-11,185.45,186.23,182.25,184.47,461969
2016-10-12,184.05,184.31,182.12,183.21,300309
2016-10-13,171.11,174.37,166.64,168.46,2122528
2016-10-14,168.21,170.00,166.00,167.04,3332746
2016-10-17,167.47,169.49,166.85,167.89,843472
2016-10-18,170.91,170.98,167.20,167.51,709524
2016-10-19,168.62,170.19,166.10,169.43,781648
2016-10-20,168.21,171.88,167.90,171.05,813855
2016-10-21,169.67,174.11,169.01,173.93,613106
2016-10-24,175.18,175.78,171.51,172.82,352591
2016-10-25,173.15,173.57,170.84,171.04,261989
2016-10-26,169.62,172.09,168.77,170.65,443078
2016-10-27,171.74,173.13,168.01,169.44,396827
2016-10-28,168.57,170.03,165.62,168.16,507489
2016-10-31,169.15,169.15,165.95,168.01,419284
2016-11-01,167.31,170.77,166.92,169.79,691650
2016-11-02,169.05,169.99,166.16,166.61,543358
2016-11-03,167.15,168.40,164.67,165.88,703638
2016-11-04,172.00,172.06,166.08,166.89,1214434
2016-11-07,170.21,170.88,167.90,169.26,544224
2016-11-08,169.77,176.10,169.40,174.67,500416
2016-11-09,166.90,174.23,166.78,172.84,664204
2016-11-10,174.71,175.69,161.62,162.81,1090666
2016-11-11,160.58,161.49,150.64,155.96,1844237
2016-11-14,155.96,158.39,150.14,153.50,1388155
2016-11-15,155.39,159.76,154.02,155.71,802130
2016-11-16,153.93,158.84,152.95,156.94,551723
2016-11-17,156.98,160.00,156.48,157.27,439827
2016-11-18,156.75,160.62,156.27,157.63,406901
2016-11-21,159.21,161.85,157.85,160.63,532497
2016-11-22,162.00,165.32,160.00,164.95,791470
2016-11-23,164.50,167.12,164.02,166.75,662260
2016-11-25,168.39,168.40,160.41,163.19,393653
2016-11-28,163.00,164.58,161.26,161.86,537466
2016-11-29,161.42,164.19,160.63,162.91,502947
2016-11-30,162.77,163.86,156.08,157.82,2699895
2016-12-01,157.48,160.10,148.98,151.30,910171
2016-12-02,151.73,154.54,151.00,152.56,592506
