date,open,high,low,close,volume
2016-09-15,38.98,39.98,38.86,39.75,7644730
2016-09-16,39.44,39.50,38.90,39.16,7284086
2016-09-19,39.35,39.84,39.17,39.26,4214969
2016-09-20,39.54,39.58,39.16,39.32,4802718
2016-09-21,39.55,40.00,39.31,39.93,7344495
2016-09-22,40.01,40.10,39.67,39.84,5792146
2016-09-23,39.79,40.05,39.65,39.77,6541931
2016-09-26,39.40,39.43,38.61,38.77,7161703
2016-09-27,38.58,39.15,38.26,39.08,5914029
2016-09-28,39.33,39.46,38.82,39.42,5922050
2016-09-29,39.42,39.62,38.66,39.00,5751071
2016-09-30,39.24,39.92,39.12,39.69,9717801
2016-10-03,39.53,39.69,39.31,39.64,4790191
2016-10-04,39.67,40.26,39.54,40.09,6230598
2016-10-05,40.31,41.26,40.24,41.09,9410104
2016-10-06,42.37,43.02,41.56,42.12,13760850
2016-10-07,41.88,42.31,41.47,42.18,9248176
2016-10-10,42.55,42.70,42.27,42.51,5256101
2016-10-11,42.63,42.92,41.99,42.26,7242512
2016-10-12,42.26,42.75,42.22,42.45,4181571
2016-10-13,41.90,41.90,41.12,41.70,6305103
2016-10-14,42.28,42.57,41.74,41.89,7834682
2016-10-17,41.99,42.18,41.60,41.69,4721437
2016-10-18,42.18,42.31,41.76,41.81,5929218
2016-10-19,41.97,42.13,41.66,41.85,5997753
2016-10-20,41.84,42.03,41.30,41.71,4225208
2016-10-21,41.29,41.59,41.03,41.43,7633189
2016-10-24,41.71,41.96,41.52,41.67,5711865
2016-10-25,41.61,41.77,41.22,41.35,5109576
2016-10-26,41.15,42.18,41.14,41.90,4775321
2016-10-27,42.38,43.10,42.02,42.60,8499186
2016-10-28,42.68,42.75,41.75,41.97,7515418
2016-10-31,42.11,42.40,41.90,41.95,5593811
2016-11-01,42.13,42.44,41.27,41.80,5400887
2016-11-02,41.59,41.75,41.05,41.40,6944738
2016-11-03,40.40,42.93,40.40,42.04,8476905
2016-11-04,42.18,42.60,41.68,41.83,5991308
2016-11-07,42.58,43.01,42.57,42.85,5767007
2016-11-08,42.79,42.97,42.12,42.77,5572460
2016-11-09,43.35,46.17,43.24,45.81,18163820
2016-11-10,46.68,49.12,46.64,48.01,23690530
2016-11-11,47.52,48.15,47.23,47.96,10837230
2016-11-14,48.21,49.40,48.16,48.69,12738090
2016-11-15,48.08,48.68,47.41,48.66,8127796
2016-11-16,48.21,48.46,47.58,48.04,6952473
2016-11-17,48.04,48.65,47.58,48.65,5609960
2016-11-18,48.76,49.24,48.34,48.97,5912957
2016-11-21,49.07,49.19,48.51,48.94,5584576
2016-11-22,48.98,49.21,48.63,48.97,4964860
2016-11-23,49.20,49.57,48.89,49.45,4978801
2016-11-25,49.32,49.54,49.16,49.54,2307669
2016-11-28,48.69,49.30,48.36,48.58,6600414
2016-11-29,48.81,49.00,48.38,48.41,4446784
2016-11-30,48.87,49.44,48.79,49.14,6882941
2016-12-01,49.52,50.47,49.48,50.27,6403382
2016-12-02,50.06,50.22,49.49,49.72,5363693
2016-12-05,49.96,50.36,49.58,49.73,5117637
2016-12-06,49.94,49.98,49.27,49.73,4622777
2016-12-07,49.89,50.80,49.57,50.71,4968009
2016-12-08,50.92,51.62,50.76,51.09,5850555
2016-12-09,50.99,51.29,50.71,51.27,5043897
2016-12-12,50.90,51.06,50.08,50.57,5408242
2016-12-13,50.81,51.01,50.22,50.64,4604059
2016-12-14,50.11,51.32,49.68,50.38,8549491
2016-12-15,50.60,51.90,50.59,51.17,7567930
2016-12-16,50.07,50.18,48.52,48.57,17487160
2016-12-19,48.47,48.67,47.53,48.17,6887188
2016-12-20,48.51,48.83,48.25,48.49,5055305
2016-12-21,48.51,48.96,48.25,48.76,4067114
2016-12-22,48.65,48.73,48.21,48.63,4519938
2016-12-23,48.64,48.78,48.39,48.63,3055230
2016-12-27,48.81,49.10,48.64,48.87,2761271
2016-12-28,48.79,49.05,48.18,48.21,3085866
2016-12-29,48.22,48.37,47.72,48.06,3811810
2016-12-30,48.17,48.35,48.01,48.14,4188522
2017-01-03,48.70,49.11,47.88,48.49,5602149
2017-01-04,48.54,49.09,48.38,48.76,6812538
2017-01-05,48.54,48.79,47.52,48.09,5800910
2017-01-06,48.34,48.76,48.20,48.40,3949188
2017-01-09,48.18,48.87,47.91,47.97,6953629
2017-01-10,48.04,48.71,47.66,48.18,9151683
2017-01-11,48.43,48.82,47.95,48.63,6206347
2017-01-12,48.29,48.32,47.41,48.16,4918190
2017-01-13,48.51,48.94,48.37,48.52,4713456
2017-01-17,48.10,48.28,47.62,47.84,5365743
2017-01-18,47.96,48.31,47.39,48.30,4936360
2017-01-19,48.47,48.62,47.91,48.26,4817445
2017-01-20,48.44,48.88,48.18,48.54,5579248
2017-01-23,48.66,48.87,48.12,48.33,4556852
2017-01-24,48.56,49.48,48.56,49.05,4196463
2017-01-25,49.52,50.25,49.49,50.16,5533323
2017-01-26,49.65,50.35,49.58,50.05,5066756
2017-01-27,49.82,49.97,49.47,49.68,5001055
2017-01-30,49.35,49.35,48.40,49.05,5311272
2017-01-31,48.88,49.28,48.07,48.61,5144417
2017-02-01,49.23,49.40,48.25,48.53,7881728
2017-02-02,46.56,46.89,44.98,45.97,15650390
2017-02-03,46.77,46.87,46.07,46.25,10435540
2017-02-06,45.76,46.62,45.76,46.35,5870887
2017-02-07,46.61,46.79,46.16,46.17,5427197
2017-02-08,46.02,46.13,45.64,45.91,6310457
2017-02-09,46.21,47.25,46.12,46.97,5908686
2017-02-10,47.26,47.61,47.04,47.27,4990469
2017-02-13,47.64,48.34,47.64,47.79,4929017
2017-02-14,47.62,48.32,47.51,48.13,4927117
2017-02-15,48.32,48.38,47.86,48.18,6783641
2017-02-16,48.18,48.41,47.83,47.93,7505420
2017-02-17,47.54,47.66,47.05,47.32,7971772
2017-02-21,47.71,47.97,47.46,47.66,5717421
2017-02-22,47.32,47.96,47.29,47.78,5460877
2017-02-23,47.87,47.99,47.59,47.85,5594394
2017-02-24,47.18,47.37,46.82,46.89,6712569
2017-02-27,47.04,47.17,46.83,47.04,7312988
2017-02-28,46.85,47.12,46.68,46.85,7491977
2017-03-01,47.70,48.99,47.62,48.54,10909440
2017-03-02,48.59,48.73,47.66,47.73,6550798
2017-03-03,47.95,49.19,47.90,48.98,8216104
2017-03-06,47.91,48.46,47.74,48.18,6563775
2017-03-07,47.99,48.07,47.49,47.66,5279513
2017-03-08,48.19,48.48,47.72,47.76,5302587
2017-03-09,47.91,48.24,47.72,47.90,5026814
2017-03-10,48.18,48.47,47.96,48.26,5293490
2017-03-13,48.27,48.60,48.13,48.38,5358646
2017-03-14,48.11,48.21,47.71,48.14,3865190
2017-03-15,48.32,48.40,47.73,47.96,5894433
2017-03-16,48.02,48.54,48.00,48.26,4820819
2017-03-17,48.43,48.43,47.46,47.67,6909679
2017-03-20,47.52,47.73,47.23,47.46,3934540
2017-03-21,47.73,47.84,46.28,46.38,6333344
2017-03-22,45.87,46.49,45.45,46.25,5286895
2017-03-23,46.10,47.04,45.90,46.50,5034991
2017-03-24,46.67,47.10,46.16,46.46,4944521
2017-03-27,45.46,46.27,44.89,46.18,6218016
2017-03-28,45.92,47.20,45.87,46.88,5234013
2017-03-29,46.70,47.03,46.50,46.62,4899323
2017-03-30,46.61,47.73,46.55,47.46,6681997
2017-03-31,47.26,47.50,47.16,47.19,4519142
2017-04-03,47.26,47.42,46.08,46.81,5222211
2017-04-04,46.71,46.86,46.35,46.74,4983890
2017-04-05,47.10,47.37,46.30,46.37,4844056
2017-04-06,46.37,47.19,46.05,47.05,6255464
2017-04-07,46.64,47.27,46.43,47.00,6548103
2017-04-10,46.99,47.52,46.90,47.16,5215946
2017-04-11,46.84,47.21,46.47,47.14,4536582
2017-04-12,46.89,47.01,46.20,46.43,4524688
2017-04-13,46.18,46.51,45.63,45.67,6498481
2017-04-17,45.79,46.50,45.64,46.37,5592167
2017-04-18,45.91,46.06,45.34,45.73,6363291
2017-04-19,46.06,46.38,45.56,45.70,5341141
2017-04-20,46.03,46.45,45.77,46.26,4455971
2017-04-21,46.13,46.32,45.73,45.80,7463821
2017-04-24,46.85,47.14,46.38,46.47,7062292
2017-04-25,46.90,47.35,46.77,46.79,7317142
2017-04-26,46.79,47.04,46.28,46.36,7340578
2017-04-27,46.46,46.77,46.20,46.58,5616235
2017-04-28,46.54,46.67,46.25,46.28,5635613
2017-05-01,46.48,46.62,46.16,46.43,5468316
2017-05-02,46.48,46.60,46.21,46.47,4325274
2017-05-03,46.22,46.74,46.20,46.54,5903027
2017-05-04,47.12,47.92,46.78,47.04,8636432
2017-05-05,47.23,47.31,46.66,47.01,4745346
2017-05-08,46.93,47.46,46.89,47.40,6914230
2017-05-09,47.47,47.57,46.66,46.73,4738239
2017-05-10,46.52,46.78,46.43,46.64,5157557
2017-05-11,46.43,46.78,46.05,46.11,4943496
2017-05-12,45.78,45.98,45.39,45.49,4595352
2017-05-15,45.61,46.37,45.53,46.27,4589649
2017-05-16,46.32,46.52,46.07,46.32,3372302
2017-05-17,45.56,45.80,44.33,44.63,7970456
2017-05-18,44.51,44.89,44.28,44.50,5323566
2017-05-19,44.63,45.43,44.59,45.10,6129602
2017-05-22,45.28,45.43,44.75,44.80,4131925
2017-05-23,44.80,45.40,44.68,45.12,5923739
2017-05-24,45.15,45.34,44.97,45.13,3414225
2017-05-25,45.59,45.95,45.38,45.73,4346812
2017-05-26,45.67,45.82,45.52,45.61,3272370
2017-05-30,45.36,45.49,45.08,45.29,4108792
2017-05-31,45.36,45.39,44.65,45.20,5653381
2017-06-01,45.43,46.28,45.03,46.15,5216713
2017-06-02,45.72,46.21,45.58,45.95,3705383
2017-06-05,45.96,46.16,45.60,45.68,3885169
2017-06-06,45.29,45.41,44.78,45.08,4711557
2017-06-07,45.23,45.44,44.90,45.19,4639748
2017-06-08,45.26,46.45,45.20,46.09,7647446
2017-06-09,46.31,47.31,46.18,47.21,7038450
2017-06-12,47.23,47.89,47.04,47.56,6406545
2017-06-13,47.78,47.88,47.50,47.62,5372185
2017-06-14,47.12,47.74,46.82,47.62,5341891
2017-06-15,47.29,47.88,47.27,47.52,5214687
2017-06-16,47.64,47.82,47.23,47.81,6313417
2017-06-19,48.04,48.43,47.93,48.23,4749606
2017-06-20,47.98,48.24,47.62,47.67,4347983
2017-06-21,47.92,48.00,46.71,46.93,5440485
2017-06-22,46.72,46.97,46.59,46.64,4398728
2017-06-23,46.89,46.95,46.50,46.69,4674191
2017-06-26,46.81,47.32,46.59,46.99,3724399
2017-06-27,47.09,47.97,47.09,47.33,5635687
2017-06-28,47.78,48.80,47.75,48.72,7271054
2017-06-29,49.25,50.29,48.89,49.19,8991182
2017-06-30,49.55,49.72,49.01,49.08,4395671
2017-07-03,49.46,50.51,49.43,50.17,3717989
2017-07-05,50.14,50.47,49.69,49.93,4147361
2017-07-06,50.02,50.55,49.76,49.92,5150213
2017-07-07,50.07,50.43,49.76,50.18,3837795
2017-07-10,50.03,50.30,49.82,50.07,4263810
2017-07-11,49.92,50.03,49.48,49.61,4335222
2017-07-12,49.55,49.76,49.21,49.64,3936610
2017-07-13,49.61,49.95,49.55,49.77,3381337
2017-07-14,49.27,49.64,48.87,49.44,6667873
2017-07-17,49.35,49.56,48.88,49.45,3788979
2017-07-18,49.07,49.31,48.73,48.92,3806369
2017-07-19,49.06,49.27,48.87,49.09,3966374
2017-07-20,49.16,49.22,48.74,48.76,5377276
2017-07-21,48.81,48.98,48.45,48.82,3571067
2017-07-24,48.84,49.03,48.70,48.86,3440222
2017-07-25,49.46,49.87,49.30,49.76,5292675
2017-07-26,49.77,49.86,48.72,48.89,4239790
2017-07-27,48.97,49.41,48.80,49.17,3316285
2017-07-28,49.16,49.50,48.72,49.36,2602914
2017-07-31,49.57,49.65,49.09,49.13,3942929
2017-08-01,49.58,49.80,49.02,49.77,4079177
2017-08-02,49.72,49.82,48.84,49.56,4564433
2017-08-03,47.88,48.63,47.62,47.79,8682344
2017-08-04,48.04,48.46,47.58,48.17,6401613
2017-08-07,48.17,48.77,48.16,48.53,9164890
2017-08-08,48.47,49.16,48.41,48.77,7843049
2017-08-09,48.42,48.63,47.92,48.31,6214660
2017-08-10,47.77,47.96,46.39,46.74,7629998
2017-08-11,46.71,47.01,46.58,46.81,6419556
2017-08-14,47.38,47.74,47.29,47.58,6702775
2017-08-15,47.99,48.66,47.66,47.78,6335488
2017-08-16,47.90,48.34,47.72,47.95,7287638
2017-08-17,47.68,47.95,46.87,46.95,7682559
2017-08-18,46.70,47.47,46.57,47.02,7662137
2017-08-21,46.96,46.98,46.53,46.68,4693670
2017-08-22,46.76,47.20,46.63,47.17,4115482
2017-08-23,46.76,47.33,46.69,47.05,4384274
2017-08-24,47.22,47.62,46.99,47.60,4913418
2017-08-25,47.73,48.18,47.66,47.99,5620453
2017-08-28,47.88,47.95,47.39,47.57,5179809
2017-08-29,47.00,47.00,46.47,46.73,6216846
2017-08-30,46.84,47.21,46.63,47.06,4924151
2017-08-31,47.23,47.38,46.81,46.83,5991077
2017-09-01,47.05,48.02,46.89,47.80,6860606
2017-09-05,47.46,47.55,46.99,47.31,9368908
2017-09-06,47.54,48.23,47.45,47.95,7960977
2017-09-07,47.89,48.02,46.67,46.81,5791556
2017-09-08,46.77,47.27,46.57,47.14,4865592
2017-09-11,47.77,47.94,47.21,47.59,6316357
2017-09-12,47.81,48.56,47.79,48.50,5324449
2017-09-13,48.29,48.65,48.08,48.65,4833263
2017-09-14,48.64,48.85,48.29,48.35,3775335
2017-09-15,48.26,48.57,48.11,48.54,7304344
2017-09-18,48.74,49.08,48.61,48.90,4090190
2017-09-19,48.96,49.65,48.87,49.47,5171585
2017-09-20,49.56,50.30,49.35,50.13,4672146
2017-09-21,50.11,50.57,49.89,50.45,5294092
2017-09-22,50.12,50.95,50.08,50.54,5754267
2017-09-25,50.38,51.01,50.25,50.85,5768120
