date,open,high,low,close,volume
2016-09-15,13.47,13.82,13.46,13.81,2628455
2016-09-16,13.66,13.83,13.55,13.65,3287808
2016-09-19,13.76,13.91,13.71,13.79,3049753
2016-09-20,13.84,13.96,13.74,13.90,2553754
2016-09-21,14.03,14.16,13.94,14.13,2458558
2016-09-22,14.27,14.48,14.27,14.35,2290247
2016-09-23,14.24,14.26,13.99,14.02,2189125
2016-09-26,13.94,14.00,13.74,13.77,1484019
2016-09-27,13.67,13.81,13.53,13.76,2443817
2016-09-28,13.81,14.09,13.79,14.07,2113089
2016-09-29,14.12,14.22,13.85,13.95,2553701
2016-09-30,14.07,14.19,13.97,14.11,2347038
2016-10-03,14.06,14.12,13.97,14.08,1544240
2016-10-04,14.11,14.24,13.99,14.10,2348489
2016-10-05,14.20,14.60,14.16,14.52,2630686
2016-10-06,14.56,14.59,14.41,14.54,2637923
2016-10-07,14.47,14.55,14.33,14.41,2761172
2016-10-10,14.52,14.62,14.46,14.56,888647
2016-10-11,14.56,14.68,14.49,14.52,2998167
2016-10-12,14.51,14.60,14.46,14.54,1601464
2016-10-13,14.41,14.57,14.21,14.49,2265055
2016-10-14,14.68,14.76,14.50,14.57,1914712
2016-10-17,14.56,14.62,14.46,14.52,1558984
2016-10-18,14.71,14.75,14.62,14.68,1656173
2016-10-19,14.75,14.91,14.72,14.75,2043993
2016-10-20,14.69,14.74,14.57,14.67,1479336
2016-10-21,14.52,14.68,14.47,14.62,1468962
2016-10-24,14.68,14.78,14.60,14.65,2837846
2016-10-25,14.69,14.69,14.51,14.52,1611381
2016-10-26,14.46,14.73,14.44,14.57,2102062
2016-10-27,14.68,14.76,14.57,14.67,2207258
2016-10-28,14.65,14.71,14.45,14.47,2931090
2016-10-31,14.51,14.60,14.44,14.48,1795819
2016-11-01,14.61,14.63,14.18,14.33,2400699
2016-11-02,14.32,14.35,14.14,14.20,2796070
2016-11-03,14.21,14.42,14.20,14.31,2467823
2016-11-04,14.27,14.40,14.14,14.26,1760293
2016-11-07,14.56,14.64,14.53,14.61,1569732
2016-11-08,14.58,14.73,14.49,14.65,2106054
2016-11-09,14.37,15.09,14.37,15.03,4464224
2016-11-10,15.58,16.44,15.57,16.25,7516996
2016-11-11,16.10,16.61,15.97,16.56,5157255
2016-11-14,16.67,17.11,16.62,17.08,5918902
2016-11-15,17.01,17.19,16.84,17.14,4533975
2016-11-16,16.98,17.13,16.89,17.00,3722422
2016-11-17,17.05,17.14,16.91,16.98,2699699
2016-11-18,16.83,17.05,16.74,16.99,2271863
2016-11-21,17.10,17.28,17.07,17.23,1749953
2016-11-22,17.26,17.55,17.21,17.51,2959541
2016-11-23,17.50,17.71,17.44,17.58,2705962
2016-11-25,17.44,17.51,17.28,17.50,1457703
2016-11-28,17.40,17.51,17.07,17.10,2917086
2016-11-29,17.05,17.29,17.02,17.18,2703301
2016-11-30,17.42,17.57,17.28,17.44,2631974
2016-12-01,17.59,17.82,17.51,17.61,3021965
2016-12-02,17.59,17.62,17.29,17.49,2476416
2016-12-05,17.63,17.69,17.36,17.37,2792727
2016-12-06,17.53,17.64,17.43,17.61,1704039
2016-12-07,17.64,17.93,17.52,17.88,2145508
2016-12-08,17.98,18.50,17.98,18.48,4264937
2016-12-09,18.54,18.64,18.43,18.57,2834103
2016-12-12,18.58,18.67,18.45,18.51,2958288
2016-12-13,18.62,18.75,18.50,18.57,2921771
2016-12-14,18.49,18.62,18.28,18.36,3071149
2016-12-15,18.29,19.04,18.28,18.73,4523246
2016-12-16,18.80,18.85,18.37,18.42,2929742
2016-12-19,18.24,18.38,18.16,18.24,2807284
2016-12-20,18.42,18.55,18.35,18.48,1775395
2016-12-21,18.49,18.49,18.27,18.36,1858661
2016-12-22,18.30,18.30,18.06,18.11,2032250
2016-12-23,18.07,18.12,17.91,18.06,2208318
2016-12-27,18.08,18.21,18.02,18.03,902948
2016-12-28,18.02,18.14,17.79,17.82,2678821
2016-12-29,17.83,17.93,17.71,17.77,1734029
2016-12-30,17.86,17.96,17.76,17.82,1563669
2017-01-03,18.02,18.22,17.83,17.93,2271265
2017-01-04,18.06,18.36,18.05,18.30,1764642
2017-01-05,18.33,18.43,18.18,18.35,1835082
2017-01-06,18.40,18.54,18.34,18.39,1382835
2017-01-09,18.25,18.39,18.09,18.32,1500752
2017-01-10,18.34,18.72,18.34,18.57,2117995
2017-01-11,18.66,18.88,18.56,18.88,2527554
2017-01-12,18.91,18.93,18.34,18.62,2097939
2017-01-13,18.69,18.89,18.59,18.68,2019635
