date,open,high,low,close,volume
2025-12-08,14.60,16.00,14.60,14.92,7578903
2025-12-09,14.54,14.81,14.45,14.51,5969036
2025-12-10,14.64,15.18,14.62,14.99,8651325
2025-12-11,15.91,16.00,15.36,15.60,11203430
2025-12-12,15.79,15.87,15.58,15.87,5102575
2025-12-15,16.45,16.89,16.21,16.47,5596391
2025-12-16,16.32,16.45,16.11,16.19,4225091
2025-12-17,16.32,16.40,15.66,15.84,3736976
2025-12-18,15.92,16.09,15.85,15.97,2870765
2025-12-19,15.95,15.99,15.81,15.88,4583133
2025-12-22,15.86,15.89,15.70,15.83,2629280
2025-12-23,15.72,15.78,15.52,15.67,1647556
2025-12-24,15.75,15.78,15.57,15.63,372836
2025-12-26,15.55,15.73,15.55,15.72,574226
2025-12-29,15.71,15.79,15.61,15.72,1101385
2025-12-30,15.75,15.92,15.70,15.90,893981
2025-12-31,15.87,15.97,15.84,15.85,824279
2026-01-02,15.85,15.91,15.49,15.50,968321
2026-01-05,15.23,15.29,14.87,14.97,2115098
2026-01-06,15.00,15.34,15.00,15.21,1746410
2026-01-07,15.18,15.29,15.14,15.17,1517985
2026-01-08,15.10,15.33,15.10,15.20,834496
2026-01-09,15.35,15.41,15.13,15.28,1933080
2026-01-12,15.14,15.27,15.14,15.24,1347151
2026-01-13,15.12,15.39,15.10,15.32,1184543
2026-01-14,15.81,16.35,15.81,16.33,1576021
2026-01-15,16.09,16.34,16.04,16.26,1010020
2026-01-16,16.63,16.73,16.53,16.70,1354823
2026-01-20,16.80,16.98,16.75,16.89,827716
2026-01-21,16.69,16.77,16.34,16.46,1341330
2026-01-22,16.32,16.48,16.26,16.31,1118790
2026-01-23,16.55,16.88,16.51,16.84,583932
2026-01-26,17.82,18.39,17.79,18.24,1891366
2026-01-27,17.91,17.91,17.56,17.59,1210908
2026-01-28,17.81,18.05,17.69,17.81,699664
2026-01-29,18.22,18.26,17.89,17.96,724511
2026-01-30,17.89,17.98,17.64,17.75,845043
2026-02-02,17.60,17.75,17.45,17.53,710928
2026-02-03,17.61,17.93,17.61,17.79,748074
2026-02-04,18.09,18.36,18.06,18.30,1240595
2026-02-05,18.70,18.77,18.56,18.62,1626160
2026-02-06,19.33,19.48,19.09,19.22,1955136
2026-02-09,19.30,19.40,18.70,18.87,1026636
2026-02-10,18.93,19.27,18.90,19.21,644408
2026-02-11,19.34,19.93,19.28,19.87,763569
2026-02-12,16.83,17.25,15.97,16.31,5126937
2026-02-13,16.87,17.01,16.50,16.83,1675947
2026-02-17,16.18,16.26,15.60,15.91,3270569
2026-02-18,15.98,16.16,15.83,16.09,1250445
2026-02-19,15.90,16.55,15.88,16.42,3221343
2026-02-20,16.53,16.75,16.43,16.65,1325237
2026-02-23,16.00,16.02,15.76,15.76,1816795
2026-02-24,15.95,16.43,15.93,16.42,1387235
2026-02-25,16.21,16.29,16.05,16.10,785797
2026-02-26,15.76,16.28,15.76,16.17,2141475
2026-02-27,15.90,15.92,15.72,15.87,942958
2026-03-02,15.57,15.62,15.32,15.44,1394338
