date,open,high,low,close,volume
2021-01-04,95.78,95.96,93.18,93.99,987551
2021-01-05,93.80,94.49,92.33,94.23,825166
2021-01-06,93.76,95.25,93.34,93.93,1199526
2021-01-07,93.96,94.89,92.65,94.79,1090448
2021-01-08,95.02,95.40,94.05,95.21,842415
2021-01-11,95.54,95.86,93.08,93.63,764981
2021-01-12,93.68,93.94,91.96,92.45,1118615
2021-01-13,92.84,93.75,92.35,93.26,953700
2021-01-14,93.04,93.04,90.92,91.62,2018709
2021-01-15,91.86,93.95,91.48,93.43,1893255
2021-01-19,93.81,94.18,91.92,93.01,1442342
2021-01-20,92.80,93.05,91.22,91.75,1143052
2021-01-21,91.75,91.84,90.56,91.46,878938
2021-01-22,91.51,92.32,90.49,91.87,1051972
2021-01-25,92.11,94.86,91.93,94.55,1513094
2021-01-26,94.55,96.41,93.78,96.09,1613806
2021-01-27,95.87,98.80,93.96,94.07,2608530
2021-01-28,91.00,94.99,89.66,91.02,1862724
2021-01-29,90.65,91.19,88.38,89.54,2733544
2021-02-01,89.26,90.03,87.39,89.18,1402787
2021-02-02,89.24,91.17,88.58,89.48,1132771
2021-02-03,89.37,89.91,87.66,88.72,1315956
2021-02-04,88.76,89.62,88.50,88.88,835238
2021-02-05,89.25,90.99,88.60,90.29,1610417
2021-02-08,90.91,91.20,89.71,90.83,858978
2021-02-09,90.99,91.35,90.25,90.77,792661
2021-02-10,91.49,91.49,90.12,90.80,710504
2021-02-11,90.61,91.09,89.45,89.88,611428
2021-02-12,89.88,90.12,88.64,89.65,1061970
2021-02-16,89.70,90.11,86.87,86.93,2056768
2021-02-17,86.22,86.81,85.60,85.95,3036321
2021-02-18,85.87,87.59,85.07,86.49,1916965
2021-02-19,86.82,86.82,83.97,84.12,1446304
2021-02-22,84.12,84.12,82.76,83.96,1404353
2021-02-23,84.26,85.64,83.91,84.37,1375686
2021-02-24,83.65,85.35,83.54,84.80,2024788
2021-02-25,84.89,85.84,83.92,84.41,767786
2021-02-26,84.51,84.79,83.76,84.28,1377767
2021-03-01,84.79,85.40,84.19,84.55,1287667
2021-03-02,84.69,85.51,84.11,84.90,866530
2021-03-03,84.65,84.90,83.14,83.19,1440550
2021-03-04,83.59,84.63,82.58,82.90,1664991
2021-03-05,83.14,84.90,82.03,84.43,1162467
2021-03-08,84.53,84.75,83.66,84.15,1401823
2021-03-09,84.50,86.32,84.32,85.02,1351618
2021-03-10,85.22,86.29,84.05,85.90,1034471
2021-03-11,85.66,86.80,85.39,85.82,851711
2021-03-12,86.21,86.89,85.46,86.81,1097095
2021-03-15,87.17,88.05,86.93,87.34,1530737
2021-03-16,87.31,87.90,86.78,87.23,966454
2021-03-17,86.66,87.42,86.20,86.65,1410570
2021-03-18,86.22,86.94,85.47,86.32,1093664
2021-03-19,86.50,87.91,86.35,86.54,2363089
2021-03-22,86.64,87.92,86.39,87.85,976082
2021-03-23,88.18,88.34,87.02,87.56,1043475
2021-03-24,86.63,88.03,86.00,87.53,1238400
2021-03-25,88.10,89.26,87.40,88.70,973952
2021-03-26,88.50,90.51,88.50,90.21,1411147
2021-03-29,90.00,91.00,89.40,90.13,1647935
2021-03-30,95.85,95.89,89.57,89.90,4028614
2021-03-31,89.72,89.87,88.82,89.16,1795527
2021-04-01,89.09,90.15,87.58,89.24,1808832
2021-04-05,89.17,90.26,88.59,89.08,1226332
2021-04-06,88.81,89.94,88.71,89.73,1231418
2021-04-07,90.05,90.05,88.70,89.16,1211607
2021-04-08,89.01,89.93,89.01,89.64,2671680
2021-04-09,89.18,89.81,87.72,88.11,959581
2021-04-12,88.07,88.50,87.61,88.23,1277416
2021-04-13,88.03,88.76,87.86,88.02,1496033
2021-04-14,88.09,88.24,86.98,87.91,877359
2021-04-15,88.22,88.57,87.95,88.48,769407
2021-04-16,88.74,88.89,88.03,88.79,934963
2021-04-19,88.60,89.08,87.87,88.85,1315531
2021-04-20,88.76,90.68,88.58,90.62,1822074
2021-04-21,91.17,92.12,91.00,91.92,1770030
2021-04-22,91.92,92.11,91.20,91.42,1042935
2021-04-23,91.40,91.82,90.77,91.47,1369036
2021-04-26,91.50,91.50,90.10,90.35,1651604
2021-04-27,90.30,90.50,89.41,89.87,956885
2021-04-28,90.08,90.59,89.11,89.32,712537
2021-04-29,89.43,90.82,89.43,90.60,669548
2021-04-30,90.62,90.81,89.79,90.36,1719378
2021-05-03,90.26,91.54,90.26,90.90,725579
2021-05-04,91.16,91.45,89.85,90.37,1104167
2021-05-05,90.15,90.62,89.73,90.46,717602
2021-05-06,90.98,91.83,89.71,90.23,1206297
2021-05-07,90.13,90.50,88.81,89.33,843245
2021-05-10,89.55,91.62,89.41,90.68,1765175
2021-05-11,91.11,91.31,89.25,89.72,1029582
2021-05-12,89.80,90.07,88.75,88.94,951310
2021-05-13,88.59,90.67,88.50,90.26,1384892
2021-05-14,90.20,90.57,89.56,89.56,876753
2021-05-17,89.83,90.48,89.11,89.14,948809
2021-05-18,88.85,90.18,88.56,89.19,1048409
2021-05-19,89.11,89.85,88.68,89.81,1174611
2021-05-20,89.61,91.36,89.32,90.87,1123385
2021-05-21,91.13,91.67,90.23,90.60,1354599
2021-05-24,90.80,91.35,90.45,90.60,959370
2021-05-25,90.62,90.62,89.43,90.30,1089121
2021-05-26,90.45,90.66,88.11,89.66,1418633
2021-05-27,89.81,90.05,88.57,88.70,3122723
2021-05-28,88.99,89.90,88.88,89.06,1794478
2021-06-01,89.42,89.78,88.46,88.93,1274748
2021-06-02,89.21,89.77,88.89,89.68,882759
2021-06-03,89.51,89.73,88.88,89.67,927778
2021-06-04,89.83,90.00,89.25,89.81,698243
2021-06-07,89.80,89.85,88.62,89.49,1064532
2021-06-08,89.73,89.97,88.00,88.50,1177622
2021-06-09,88.07,88.91,87.75,88.13,1620901
2021-06-10,88.40,88.85,88.03,88.74,1190897
2021-06-11,88.79,89.00,88.10,88.85,1565151
2021-06-14,88.70,89.21,88.38,89.20,861663
2021-06-15,89.41,89.54,88.65,88.77,1005804
2021-06-16,88.85,89.00,87.43,87.57,952352
2021-06-17,87.48,87.82,86.68,87.54,1111417
2021-06-18,87.28,87.72,86.05,86.13,2690397
2021-06-21,86.17,87.27,86.17,87.17,1301259
2021-06-22,87.17,87.89,87.00,87.26,1081580
2021-06-23,87.22,87.22,86.08,86.11,1621638
2021-06-24,86.21,86.40,85.58,86.28,911022
2021-06-25,86.32,87.46,86.03,87.28,4280931
2021-06-28,87.63,88.71,87.55,88.15,1252766
2021-06-29,88.15,88.70,87.33,87.62,1280589
2021-06-30,87.98,88.48,87.45,88.32,1817527
