date,open,high,low,close,volume
2016-09-15,11.93,12.26,11.89,12.20,22596597
2016-09-16,12.16,12.24,12.07,12.19,27590819
2016-09-19,12.23,12.32,12.15,12.29,11592497
2016-09-20,12.32,12.36,12.23,12.26,8979292
2016-09-21,12.25,12.30,12.12,12.26,10344376
2016-09-22,12.33,12.46,12.31,12.41,7532475
2016-09-23,12.44,12.47,12.36,12.37,6521895
2016-09-26,12.32,12.37,12.21,12.30,5833238
2016-09-27,12.29,12.38,12.27,12.31,6762399
2016-09-28,12.36,12.39,12.20,12.24,5692142
2016-09-29,12.23,12.23,12.07,12.11,7769967
2016-09-30,12.18,12.29,12.11,12.23,8656503
2016-10-03,12.17,12.19,12.09,12.15,5364818
2016-10-04,12.22,12.24,12.09,12.11,6799479
2016-10-05,12.15,12.20,12.08,12.10,13053773
2016-10-06,12.08,12.29,12.08,12.23,6213998
2016-10-07,12.26,12.26,12.05,12.15,7757943
2016-10-10,12.17,12.24,12.15,12.19,4829426
2016-10-11,12.18,12.18,11.90,11.93,10084408
2016-10-12,11.93,12.11,11.88,12.10,7047603
2016-10-13,12.05,12.20,12.00,12.16,7944183
2016-10-14,11.98,12.26,11.73,12.09,15628302
2016-10-17,12.08,12.09,11.92,12.03,7443471
2016-10-18,12.11,12.38,12.11,12.23,9655420
2016-10-19,12.25,12.34,12.19,12.29,6436539
2016-10-20,12.32,12.36,12.18,12.22,6918615
2016-10-21,12.23,12.28,12.11,12.27,6762591
2016-10-24,12.35,12.66,12.34,12.51,13684397
2016-10-25,12.53,12.59,12.46,12.48,6753603
2016-10-26,12.49,12.49,12.17,12.18,7699059
2016-10-27,12.21,12.21,11.92,11.94,11198368
2016-10-28,11.94,12.06,11.94,11.99,10968784
2016-10-31,12.01,12.09,11.94,12.03,9073192
2016-11-01,12.18,12.21,11.91,11.97,9229756
2016-11-02,11.99,12.19,11.99,12.02,9856420
2016-11-03,12.07,12.08,11.66,11.68,17991955
2016-11-04,10.88,11.58,10.54,11.27,72961913
2016-11-07,11.38,11.39,11.14,11.35,16493335
2016-11-08,11.35,11.42,11.20,11.33,11920097
2016-11-09,10.96,11.25,10.83,11.05,20413604
2016-11-10,11.20,11.22,10.57,10.58,14459396
2016-11-11,10.60,10.66,10.36,10.48,11354228
2016-11-14,10.45,10.57,10.16,10.22,16114048
2016-11-15,10.26,10.46,10.21,10.40,18663732
2016-11-16,10.38,10.64,10.37,10.52,15576392
2016-11-17,10.51,10.59,10.38,10.49,14557356
2016-11-18,10.44,10.50,10.40,10.42,11069132
2016-11-21,10.41,10.93,10.39,10.90,36262480
2016-11-22,10.93,11.41,10.90,11.31,27635976
2016-11-23,11.26,11.41,11.15,11.19,11963704
2016-11-25,11.18,11.26,11.16,11.21,5316552
