date,open,high,low,close,volume
2021-01-04,233.45,234.89,228.36,231.52,126674
2021-01-05,232.47,233.99,230.59,233.60,97868
2021-01-06,234.98,234.98,230.84,232.22,141990
2021-01-07,232.82,237.91,232.36,237.70,55194
2021-01-08,238.72,244.02,232.84,232.97,150041
2021-01-11,231.14,232.23,225.78,226.27,195668
2021-01-12,226.25,228.60,221.69,222.49,77943
2021-01-13,223.05,224.84,216.16,217.00,158219
2021-01-14,217.96,217.96,213.55,216.45,230489
2021-01-15,216.01,222.51,215.00,222.07,98041
2021-01-19,224.00,226.77,221.69,223.73,103688
2021-01-20,224.21,230.99,224.21,230.50,61214
2021-01-21,230.23,234.59,230.23,232.23,133577
2021-01-22,231.96,240.91,231.96,240.36,119857
2021-01-25,241.16,243.29,234.74,235.42,129853
2021-01-26,234.69,236.11,233.12,233.86,160764
2021-01-27,231.90,236.69,224.56,226.74,120987
2021-01-28,227.91,232.53,221.56,231.49,124765
2021-01-29,231.15,232.27,227.29,229.89,68428
2021-02-01,232.48,241.03,230.67,239.41,201777
2021-02-02,241.03,245.52,238.86,244.46,103660
2021-02-03,242.67,244.47,239.18,241.07,66431
2021-02-04,241.35,244.60,239.82,241.01,72998
2021-02-05,240.94,240.94,236.96,237.35,136877
2021-02-08,241.49,242.69,237.05,238.81,158425
2021-02-09,237.43,245.04,236.08,238.78,175017
2021-02-10,238.66,241.33,236.44,240.47,89312
2021-02-11,241.01,245.96,241.01,245.63,98216
2021-02-12,245.00,249.61,244.01,247.90,119022
2021-02-16,255.75,255.75,250.43,252.61,290954
2021-02-17,250.92,252.12,246.88,251.46,69553
2021-02-18,249.83,252.71,249.00,249.21,195067
2021-02-19,248.18,250.00,239.09,248.45,240052
2021-02-22,246.83,246.83,231.22,233.11,215278
2021-02-23,227.93,230.92,220.23,229.03,184271
2021-02-24,227.92,227.92,224.03,224.82,147221
2021-02-25,223.91,226.14,221.54,222.68,145197
2021-02-26,222.66,225.32,221.29,224.25,158982
2021-03-01,226.32,231.35,225.24,230.30,129833
2021-03-02,230.00,230.87,227.80,229.54,110561
2021-03-03,232.28,232.97,228.59,230.38,182709
2021-03-04,229.61,231.42,225.13,227.37,129937
2021-03-05,228.01,237.71,225.83,236.67,139309
2021-03-08,236.54,239.47,234.90,235.54,104944
2021-03-09,236.93,244.27,236.93,242.13,159539
2021-03-10,243.68,246.84,241.93,242.56,86871
2021-03-11,244.39,248.48,240.38,243.99,70799
2021-03-12,242.40,244.32,241.56,244.16,60634
2021-03-15,244.39,250.54,243.49,248.70,117775
2021-03-16,249.15,249.74,241.37,241.38,98940
2021-03-17,240.49,242.38,235.19,241.55,87667
2021-03-18,241.44,241.69,235.73,236.59,109201
2021-03-19,236.94,240.79,235.45,237.45,428215
2021-03-22,236.41,236.76,229.19,230.79,98474
2021-03-23,230.36,233.55,227.06,233.12,115308
2021-03-24,233.47,233.72,225.53,226.40,95862
2021-03-25,225.40,225.49,219.85,224.31,103518
2021-03-26,223.69,228.58,223.69,226.40,110477
2021-03-29,225.33,227.04,223.11,226.26,173517
2021-03-30,226.67,228.63,221.37,227.30,112823
2021-03-31,226.41,229.52,221.24,225.04,151519
2021-04-01,225.82,233.54,224.56,233.02,108557
2021-04-05,234.25,238.44,231.83,236.69,141019
2021-04-06,236.61,239.04,234.74,235.22,149108
2021-04-07,235.10,237.78,231.72,232.10,84903
2021-04-08,233.29,233.97,232.60,233.41,127692
2021-04-09,233.51,234.49,231.01,233.46,142716
2021-04-12,232.85,234.48,231.84,233.44,68144
2021-04-13,234.37,234.95,232.16,232.31,88305
2021-04-14,233.56,238.08,233.00,234.59,186888
2021-04-15,235.28,237.06,232.59,234.73,134689
2021-04-16,235.83,240.00,233.52,237.24,386536
2021-04-19,237.38,239.00,235.75,237.66,151573
2021-04-20,236.37,240.01,235.20,235.70,168527
2021-04-21,234.34,241.65,234.23,238.16,153326
2021-04-22,238.86,242.40,233.08,241.51,135233
2021-04-23,241.65,246.84,241.65,245.98,128511
2021-04-26,248.39,252.64,245.86,252.50,326991
2021-04-27,251.26,255.93,251.00,255.66,103822
2021-04-28,255.73,258.77,254.78,256.05,198522
2021-04-29,256.56,267.71,253.01,265.21,193673
2021-04-30,264.16,270.08,262.11,265.01,131040
2021-05-03,264.75,265.31,261.22,264.66,250931
2021-05-04,262.18,264.04,261.34,263.78,129953
2021-05-05,263.95,264.27,261.17,263.80,107659
2021-05-06,263.56,264.88,258.13,261.28,83170
2021-05-07,261.31,263.73,258.69,262.10,64845
2021-05-10,261.74,263.32,252.54,253.32,129164
2021-05-11,250.96,254.24,248.78,251.27,57956
2021-05-12,249.56,250.26,241.48,241.88,73158
2021-05-13,244.16,247.34,242.03,246.58,106382
2021-05-14,247.08,248.19,243.21,245.02,70800
2021-05-17,242.91,246.84,238.86,243.05,218118
2021-05-18,242.45,242.54,234.26,235.00,79075
2021-05-19,234.22,236.77,229.33,233.06,105174
2021-05-20,232.98,239.72,231.84,238.85,142160
2021-05-21,240.16,242.35,235.21,236.27,87436
2021-05-24,236.30,237.85,233.06,236.53,80606
2021-05-25,237.23,238.00,234.75,236.54,139565
2021-05-26,236.34,236.68,231.50,232.52,100427
2021-05-27,233.37,234.39,231.14,233.87,107537
2021-05-28,234.44,237.82,234.44,235.99,82086
2021-06-01,236.56,236.56,229.64,231.99,109965
2021-06-02,232.52,235.23,231.03,234.48,104301
2021-06-03,233.88,233.88,229.86,231.90,63524
2021-06-04,232.99,234.03,230.94,233.77,73310
2021-06-07,232.95,234.48,229.83,231.00,112026
2021-06-08,231.32,231.71,229.39,231.39,71123
2021-06-09,231.19,233.24,230.39,231.82,78815
2021-06-10,232.50,234.21,231.05,233.51,64330
2021-06-11,234.22,237.07,233.88,235.82,70588
2021-06-14,236.33,238.58,234.26,238.41,73872
2021-06-15,238.54,240.94,237.40,238.23,105069
2021-06-16,238.04,241.36,236.71,239.19,69537
2021-06-17,238.34,244.55,237.83,244.22,83094
2021-06-18,243.43,244.41,241.44,242.48,106004
2021-06-21,243.09,248.62,241.62,245.92,73221
2021-06-22,246.69,249.94,245.60,248.43,56510
2021-06-23,248.00,248.39,246.20,247.42,69061
2021-06-24,248.20,249.74,244.21,246.26,65521
2021-06-25,247.26,251.34,245.94,249.92,237284
2021-06-28,250.20,253.32,248.99,251.12,93851
2021-06-29,252.13,257.49,250.09,256.49,66841
2021-06-30,255.05,258.30,255.04,257.11,107117
2021-07-01,257.65,259.39,252.16,254.44,105447
2021-07-02,254.56,258.71,252.41,257.71,96891
2021-07-06,256.93,259.36,256.26,256.63,106683
2021-07-07,258.00,259.70,255.98,258.66,75725
2021-07-08,254.78,255.27,251.34,252.71,187070
2021-07-09,253.29,253.57,248.69,253.02,84144
2021-07-12,253.38,255.00,250.20,253.55,67511
2021-07-13,253.02,253.34,248.55,250.93,100650
2021-07-14,252.65,252.73,246.56,248.86,60202
2021-07-15,248.75,249.89,245.75,247.02,59016
2021-07-16,247.21,250.03,246.28,249.41,86188
2021-07-19,246.83,248.28,244.52,246.56,99506
2021-07-20,247.75,254.04,246.36,252.14,104127
2021-07-21,252.14,254.69,251.14,253.07,62075
2021-07-22,253.49,253.49,246.87,247.15,42524
2021-07-23,248.72,250.41,247.28,249.70,43554
2021-07-26,248.80,250.38,246.80,247.50,75895
2021-07-27,245.74,245.78,242.31,244.27,46890
2021-07-28,244.31,245.60,242.94,244.50,63034
2021-07-29,243.81,252.89,243.47,251.57,111336
2021-07-30,252.60,256.48,252.37,252.63,46303
2021-08-02,253.23,259.97,252.75,257.98,132448
2021-08-03,258.36,264.49,255.71,262.53,127589
2021-08-04,262.58,269.98,261.85,266.18,147461
2021-08-05,268.07,268.10,256.26,261.35,85825
2021-08-06,261.02,263.54,258.77,261.03,83556
2021-08-09,261.88,264.50,259.59,264.24,68167
2021-08-10,265.00,265.41,258.95,261.69,52390
2021-08-11,261.94,264.03,259.09,261.30,82810
2021-08-12,259.42,261.50,258.76,261.15,53843
2021-08-13,261.03,263.41,259.56,260.50,47358
2021-08-16,261.23,268.18,260.20,266.48,80191
2021-08-17,265.70,268.33,264.20,264.33,64794
2021-08-18,263.57,263.57,258.14,258.15,60940
2021-08-19,254.95,261.70,254.12,261.27,100641
2021-08-20,262.63,264.25,260.61,262.38,65321
2021-08-23,263.92,263.92,261.40,263.29,50439
2021-08-24,262.76,264.38,262.18,263.17,49069
2021-08-25,263.00,267.10,263.00,264.95,52351
2021-08-26,264.95,264.95,261.86,262.96,59919
2021-08-27,262.85,264.44,259.02,261.42,105961
2021-08-30,261.72,267.29,259.88,266.67,90725
2021-08-31,268.08,271.24,266.29,267.99,85819
2021-09-01,269.10,275.82,266.62,275.40,95378
2021-09-02,277.54,288.54,275.89,276.41,100790
2021-09-03,276.32,279.72,274.06,279.25,76820
2021-09-07,279.25,281.31,278.17,279.10,70925
2021-09-08,279.18,279.65,277.43,279.11,99446
2021-09-09,280.10,285.04,278.11,281.46,47701
2021-09-10,283.02,284.36,278.38,278.38,132287
2021-09-13,279.08,279.08,271.76,272.21,61723
2021-09-14,272.83,279.32,270.45,274.05,102823
2021-09-15,274.40,276.97,272.00,275.50,55274
2021-09-16,276.17,278.40,273.81,276.31,94637
2021-09-17,276.31,276.56,271.75,275.87,264888
2021-09-20,273.91,275.90,267.54,273.41,105554
2021-09-21,274.00,274.91,271.67,272.53,51047
2021-09-22,272.60,274.43,268.36,272.44,72222
2021-09-23,273.63,278.58,272.50,277.53,64282
2021-09-24,276.53,280.63,276.53,278.65,67948
2021-09-27,278.31,278.31,270.78,272.53,54285
2021-09-28,271.35,271.70,265.04,268.03,86441
2021-09-29,268.42,271.75,263.32,263.68,81898
2021-09-30,264.36,269.09,258.40,259.03,96791
2021-10-01,259.33,262.38,253.81,261.41,119337
2021-10-04,260.04,260.41,254.11,255.01,75640
2021-10-05,256.00,264.01,254.64,263.03,85342
2021-10-06,259.96,267.03,258.16,266.52,62460
2021-10-07,268.64,272.51,267.74,272.51,78606
2021-10-08,272.95,274.89,270.86,272.97,93022
2021-10-11,272.92,274.41,269.07,269.47,35021
2021-10-12,270.07,270.07,267.37,267.61,35703
2021-10-13,269.59,269.94,265.79,268.03,73357
2021-10-14,271.23,272.44,269.12,272.38,45766
2021-10-15,273.73,275.25,272.87,274.42,53282
