date,open,high,low,close,volume
2021-01-04,148.96,150.62,145.56,146.10,83850
2021-01-05,146.90,149.28,146.61,148.79,109375
2021-01-06,148.56,156.23,148.56,154.78,178035
2021-01-07,155.50,157.40,154.10,156.60,88906
2021-01-08,156.86,157.08,154.00,155.64,78909
2021-01-11,153.88,156.90,153.69,156.26,79296
2021-01-12,155.79,161.40,155.79,160.75,94021
2021-01-13,160.23,161.29,157.42,158.58,77462
2021-01-14,159.84,159.87,156.85,158.04,90268
2021-01-15,157.63,158.36,153.74,157.65,92180
2021-01-19,158.65,160.00,157.19,158.37,118307
2021-01-20,158.52,161.72,157.78,161.28,113419
2021-01-21,160.63,164.20,159.17,162.77,224318
2021-01-22,161.30,164.21,160.44,163.04,99804
2021-01-25,163.08,165.63,161.99,163.38,120236
2021-01-26,163.65,163.65,159.07,160.34,128917
2021-01-27,157.75,162.76,157.18,161.45,123850
2021-01-28,162.00,162.30,157.48,158.76,158555
2021-01-29,157.98,158.34,155.71,156.12,188961
2021-02-01,156.96,158.00,152.90,157.74,129794
2021-02-02,159.27,160.52,157.54,158.55,153021
2021-02-03,158.26,160.81,157.05,160.50,88868
2021-02-04,161.18,167.23,159.87,167.00,184531
2021-02-05,168.07,168.73,163.71,165.77,211699
2021-02-08,166.54,169.58,165.19,169.54,91469
2021-02-09,169.81,171.48,167.63,170.60,167815
2021-02-10,171.75,171.96,168.65,169.53,97077
2021-02-11,169.51,171.07,167.85,170.11,172349
2021-02-12,169.45,172.19,169.45,171.51,68155
2021-02-16,172.19,172.81,170.35,172.48,74749
2021-02-17,172.18,172.84,169.81,170.81,56820
2021-02-18,169.95,170.09,166.17,166.17,145640
2021-02-19,166.96,170.23,165.13,169.96,104881
2021-02-22,169.02,172.23,168.67,172.04,84049
2021-02-23,170.64,172.40,168.95,171.23,120208
2021-02-24,171.59,171.59,168.39,168.63,132773
2021-02-25,167.84,169.03,161.67,162.11,102614
2021-02-26,162.45,164.97,160.77,160.99,157179
2021-03-01,162.67,167.88,162.67,167.64,167142
2021-03-02,167.04,167.04,159.14,159.32,177593
2021-03-03,159.03,162.66,158.14,160.78,151125
2021-03-04,159.67,160.20,154.26,156.16,122427
2021-03-05,157.12,159.92,154.36,159.78,172018
2021-03-08,160.00,165.85,158.77,163.78,114278
2021-03-09,164.93,166.00,161.63,162.42,148275
2021-03-10,163.15,166.07,161.49,165.32,57585
