date,open,high,low,close,volume
2021-01-04,187.42,187.42,179.15,179.15,232521
2021-01-05,178.38,183.28,178.36,181.85,133616
2021-01-06,181.06,188.54,181.06,186.42,250012
2021-01-07,186.24,187.26,184.02,184.51,125283
2021-01-08,185.96,185.96,180.82,182.54,132654
2021-01-11,182.74,185.28,180.13,180.14,150732
2021-01-12,180.00,181.43,176.00,176.90,222425
2021-01-13,176.62,178.25,175.00,175.43,178048
2021-01-14,176.24,177.55,175.00,175.06,175966
2021-01-15,174.59,175.69,171.90,174.74,186265
2021-01-19,176.08,180.51,173.44,179.78,208368
2021-01-20,179.95,181.50,176.20,177.41,140114
2021-01-21,177.41,178.67,174.81,175.63,252217
2021-01-22,175.48,175.76,173.75,174.34,132205
2021-01-25,176.60,176.60,169.86,172.93,229943
2021-01-26,173.87,174.86,171.54,172.96,167602
2021-01-27,170.32,170.50,164.21,164.22,546165
2021-01-28,166.68,168.10,164.19,164.20,286136
2021-01-29,163.59,165.59,160.72,161.89,360619
2021-02-01,163.00,168.50,161.72,166.46,279904
2021-02-02,168.64,171.99,168.33,170.12,254841
2021-02-03,171.59,172.90,165.62,170.68,302663
2021-02-04,169.87,175.23,169.87,175.11,288336
2021-02-05,175.25,177.45,174.80,176.08,161299
2021-02-08,177.10,180.27,175.90,180.27,214546
2021-02-09,179.60,180.18,176.96,177.75,141398
2021-02-10,178.68,181.56,176.17,179.98,378199
2021-02-11,179.89,184.85,179.28,180.59,375209
2021-02-12,181.19,181.19,177.68,179.11,169452
2021-02-16,180.78,183.56,178.46,182.75,191062
2021-02-17,181.87,186.27,181.61,184.88,145684
2021-02-18,184.02,186.04,182.11,185.80,168411
2021-02-19,186.83,192.53,185.71,192.01,232045
2021-02-22,191.57,201.15,191.00,195.58,263142
2021-02-23,195.54,195.88,190.00,194.25,188855
2021-02-24,194.08,200.90,193.06,195.29,219339
2021-02-25,194.46,197.04,190.98,191.28,145086
2021-02-26,193.97,197.29,191.00,192.35,382749
2021-03-01,195.02,205.10,195.02,204.83,494552
2021-03-02,204.62,207.09,197.71,200.73,567336
2021-03-03,200.91,206.61,200.32,202.89,256788
2021-03-04,203.67,203.67,196.42,198.01,320787
2021-03-05,199.79,200.44,193.04,199.72,195906
2021-03-08,200.20,202.60,199.01,200.00,179433
2021-03-09,199.75,200.74,195.88,198.43,196278
2021-03-10,198.74,198.74,195.00,195.17,396874
2021-03-11,195.88,200.12,194.99,198.16,258246
2021-03-12,197.69,199.20,195.45,199.10,189448
2021-03-15,200.34,202.06,199.46,201.28,151284
2021-03-16,202.04,202.04,198.02,198.97,159381
2021-03-17,197.77,199.24,195.34,198.68,162602
2021-03-18,198.00,200.55,194.10,195.09,241347
2021-03-19,193.62,194.29,191.29,191.86,314602
2021-03-22,192.13,192.90,187.81,189.16,247215
2021-03-23,187.63,188.40,185.22,185.56,230351
2021-03-24,186.18,188.00,180.26,180.57,219687
2021-03-25,179.85,183.69,176.87,182.77,273699
2021-03-26,184.10,184.10,174.54,177.45,341282
2021-03-29,177.00,180.81,173.27,177.32,345906
2021-03-30,177.53,180.77,177.33,178.61,191832
2021-03-31,178.46,180.41,177.21,179.46,230009
2021-04-01,181.32,183.55,179.37,183.03,184865
2021-04-05,184.98,184.98,181.52,182.40,120843
2021-04-06,181.52,187.69,181.52,187.51,158608
2021-04-07,188.40,188.40,184.11,185.38,160540
2021-04-08,186.61,186.61,182.80,185.24,121980
2021-04-09,185.39,185.47,183.05,183.93,93454
2021-04-12,184.11,184.11,181.03,182.03,232141
2021-04-13,181.06,181.06,178.44,180.31,201041
2021-04-14,180.78,183.16,178.14,178.36,216832
2021-04-15,180.19,180.19,175.43,175.44,197645
2021-04-16,175.60,177.00,174.77,176.47,130893
2021-04-19,176.39,179.83,175.58,179.11,174888
2021-04-20,177.95,178.07,174.55,176.60,229743
2021-04-21,177.63,180.84,177.23,179.99,241480
2021-04-22,180.23,185.51,178.84,183.84,270997
2021-04-23,184.07,185.68,182.88,183.14,121474
2021-04-26,184.55,185.15,181.89,184.55,110544
2021-04-27,185.03,186.00,183.73,184.54,272700
2021-04-28,184.95,185.68,182.61,184.07,146406
2021-04-29,185.28,186.90,183.43,184.79,144567
2021-04-30,183.42,185.55,183.32,184.84,96324
2021-05-03,186.70,187.71,184.46,184.76,136071
2021-05-04,184.44,184.44,180.63,182.00,259363
2021-05-05,183.00,184.49,180.34,181.42,131910
2021-05-06,181.42,182.51,179.79,180.81,159089
2021-05-07,179.91,184.91,179.91,184.06,141872
2021-05-10,184.78,186.34,181.04,181.17,183655
2021-05-11,178.85,182.97,178.02,182.50,132678
2021-05-12,181.72,182.85,179.61,179.94,338655
2021-05-13,180.56,182.20,178.96,180.61,176560
2021-05-14,182.00,185.44,182.00,185.42,203040
2021-05-17,185.58,185.58,182.91,182.98,116475
2021-05-18,183.20,187.45,183.00,185.76,102678
2021-05-19,184.56,190.31,180.67,190.31,187906
2021-05-20,190.01,193.54,189.74,191.30,172711
2021-05-21,192.61,194.02,191.54,192.03,99494
2021-05-24,192.26,193.26,191.21,191.79,74875
2021-05-25,191.79,192.59,189.87,190.38,82778
2021-05-26,191.68,191.68,188.16,188.69,79989
2021-05-27,189.25,190.94,186.55,187.13,272089
2021-05-28,187.52,189.13,184.22,185.04,195749
2021-06-01,185.06,186.40,181.35,182.73,187690
2021-06-02,183.00,183.00,177.29,178.94,628442
2021-06-03,178.34,178.77,175.43,177.70,181338
2021-06-04,177.70,178.50,175.42,176.24,192805
2021-06-07,177.24,177.84,173.37,175.08,181440
2021-06-08,175.05,176.15,174.61,175.02,108740
2021-06-09,175.10,178.07,175.01,176.71,107779
2021-06-10,176.16,177.97,175.70,177.27,122994
2021-06-11,178.00,178.60,176.69,177.16,91747
2021-06-14,177.10,177.92,174.51,175.72,121369
2021-06-15,175.61,175.70,173.28,173.67,65127
2021-06-16,174.25,174.61,171.53,173.05,111949
2021-06-17,173.02,173.05,170.34,171.24,113256
2021-06-18,169.94,170.69,167.73,169.81,197434
2021-06-21,172.05,173.54,170.85,173.30,176098
2021-06-22,173.05,174.09,172.01,172.72,101882
2021-06-23,172.66,174.51,171.59,173.43,136811
2021-06-24,173.48,174.62,171.06,174.16,193931
2021-06-25,175.00,178.36,175.00,176.55,280267
2021-06-28,176.01,177.25,173.33,176.69,219218
2021-06-29,176.75,177.00,172.97,174.12,409571
2021-06-30,173.54,174.70,171.50,172.57,279022
2021-07-01,172.36,174.11,171.98,173.22,157390
2021-07-02,173.82,173.82,171.20,173.11,119649
2021-07-06,172.43,172.71,167.90,170.24,188406
2021-07-07,170.53,171.27,168.78,169.90,204704
2021-07-08,167.84,170.85,166.76,169.39,323884
2021-07-09,170.58,173.31,170.43,172.91,137843
2021-07-12,172.06,174.54,170.68,173.61,335578
2021-07-13,173.21,173.76,170.55,170.88,211022
2021-07-14,171.56,172.40,166.61,166.64,156548
2021-07-15,165.99,167.90,165.99,167.76,184036
2021-07-16,168.92,169.53,164.27,165.05,269683
2021-07-19,163.18,163.80,159.24,160.06,284158
2021-07-20,160.06,163.24,159.35,161.34,209504
2021-07-21,161.79,165.05,161.79,163.66,132981
2021-07-22,164.31,164.31,162.01,163.39,166958
2021-07-23,163.91,164.27,161.76,163.73,99079
2021-07-26,164.08,166.35,163.73,165.53,108051
2021-07-27,164.99,164.99,162.99,164.76,107284
2021-07-28,164.76,165.84,163.42,165.26,103066
2021-07-29,165.00,166.90,164.18,164.43,103525
2021-07-30,163.49,164.89,162.04,162.74,93016
2021-08-02,162.96,165.01,161.86,161.97,102131
2021-08-03,162.09,162.09,157.85,159.18,134054
2021-08-04,158.29,159.38,155.15,156.19,163832
2021-08-05,156.00,160.50,155.45,158.83,167379
2021-08-06,160.16,160.81,158.02,159.49,71844
2021-08-09,158.34,158.75,156.74,157.45,82418
2021-08-10,157.25,158.40,156.25,157.25,97737
2021-08-11,157.20,158.54,156.52,158.18,179458
2021-08-12,158.57,158.57,155.25,155.58,115104
2021-08-13,155.99,156.56,153.28,154.37,107581
2021-08-16,153.50,155.05,152.42,154.44,157084
2021-08-17,154.52,155.91,152.68,155.34,228684
2021-08-18,155.03,158.69,154.07,155.41,215047
2021-08-19,155.39,159.69,154.49,158.01,238846
2021-08-20,158.11,162.39,156.29,161.27,231082
2021-08-23,161.89,166.27,161.69,165.20,236179
2021-08-24,166.37,167.51,163.94,164.61,150935
2021-08-25,165.98,173.30,165.07,171.28,317702
2021-08-26,170.68,175.87,170.54,175.67,286266
2021-08-27,175.45,180.43,175.14,180.00,291121
2021-08-30,180.76,180.76,177.79,178.14,219802
2021-08-31,177.83,181.83,177.73,180.78,418832
2021-09-01,180.68,182.36,179.28,182.18,159717
2021-09-02,183.00,183.99,180.58,183.75,184818
2021-09-03,182.96,185.58,182.13,184.42,217004
2021-09-07,183.96,184.40,180.49,180.50,208568
2021-09-08,180.26,182.35,179.04,179.70,199064
2021-09-09,179.17,179.17,176.29,176.37,129889
2021-09-10,176.07,176.53,173.82,175.01,102955
2021-09-13,176.31,180.12,175.07,179.65,203765
2021-09-14,181.01,182.22,178.10,181.12,116034
2021-09-15,181.12,181.38,178.97,180.51,88977
2021-09-16,180.53,181.13,178.77,180.51,130515
2021-09-17,180.90,185.48,180.65,185.48,347853
2021-09-20,182.99,184.26,181.12,182.85,163033
2021-09-21,183.42,185.15,181.63,182.87,101752
2021-09-22,184.22,186.97,183.84,186.81,108504
2021-09-23,187.19,191.30,186.31,191.09,173410
2021-09-24,192.18,194.80,190.75,192.30,179020
2021-09-27,192.64,195.99,191.51,193.21,128990
2021-09-28,192.15,192.35,190.04,191.19,118370
2021-09-29,190.51,192.69,188.93,189.34,122163
2021-09-30,188.69,188.69,185.21,185.95,112577
2021-10-01,187.81,191.41,185.13,191.25,230616
2021-10-04,191.92,192.99,188.07,188.46,162528
2021-10-05,188.63,190.83,187.13,189.27,115125
2021-10-06,187.61,189.50,186.51,189.35,87139
2021-10-07,189.40,191.82,189.14,189.25,134670
2021-10-08,189.66,190.44,187.13,187.52,195129
2021-10-11,187.21,188.20,186.10,186.84,66718
2021-10-12,186.56,189.98,186.35,189.98,114623
2021-10-13,190.00,190.00,185.90,188.37,177698
2021-10-14,189.84,191.73,188.60,190.90,86205
2021-10-15,192.05,193.16,187.62,187.87,87173
2021-10-18,187.00,188.48,185.02,188.35,155517
2021-10-19,189.38,190.38,187.38,187.39,106534
2021-10-20,186.80,187.50,185.54,185.76,78941
2021-10-21,185.31,186.72,184.15,184.29,203613
2021-10-22,183.40,183.50,179.86,182.00,134675
2021-10-25,181.57,184.99,180.55,184.80,149219
2021-10-26,185.01,188.28,184.89,185.81,130706
2021-10-27,186.32,186.32,183.30,184.13,67533
2021-10-28,184.24,188.27,184.24,187.95,70519
2021-10-29,187.90,190.20,187.51,189.51,78043
2021-11-01,192.31,197.47,192.31,197.26,276223
2021-11-02,196.99,199.00,196.55,198.23,159293
2021-11-03,198.90,198.90,192.82,193.01,137956
2021-11-04,193.62,194.83,192.72,193.90,75700
2021-11-05,198.45,200.90,196.50,200.59,182047
2021-11-08,203.01,203.37,199.84,200.84,127055
2021-11-09,201.88,202.00,196.83,197.29,106966
2021-11-10,194.95,196.84,189.48,192.71,145257
2021-11-11,193.71,195.67,191.01,195.58,112123
2021-11-12,196.08,196.08,190.61,190.69,73338
2021-11-15,191.31,195.63,190.64,191.93,99228
2021-11-16,191.03,191.32,188.12,189.12,98009
2021-11-17,189.81,190.00,185.43,185.90,105972
2021-11-18,187.04,187.04,181.04,181.78,128670
2021-11-19,180.44,181.40,178.08,178.71,125897
2021-11-22,178.01,179.57,174.42,177.09,165946
2021-11-23,176.39,179.14,175.59,179.09,103000
2021-11-24,178.84,180.41,177.13,178.81,93214
2021-11-26,174.37,174.72,170.56,172.63,279934
