date,open,high,low,close,volume
2021-01-04,55.07,57.41,54.24,55.24,733987
2021-01-05,54.86,57.35,54.50,56.47,639498
2021-01-06,55.96,57.41,55.83,56.66,796817
2021-01-07,57.50,58.63,57.00,58.32,403120
2021-01-08,58.87,59.87,56.80,58.09,502628
2021-01-11,58.10,62.30,57.47,60.91,855217
2021-01-12,61.62,63.30,61.02,61.88,568648
2021-01-13,62.40,62.44,60.22,61.15,460872
2021-01-14,61.55,64.14,61.19,63.41,620731
2021-01-15,62.88,63.03,60.75,61.67,405106
2021-01-19,62.01,63.41,61.80,63.04,436679
2021-01-20,63.98,64.32,61.52,61.88,348663
2021-01-21,63.07,63.28,61.68,62.51,353875
2021-01-22,62.21,62.69,61.41,61.99,399112
2021-01-25,62.96,63.26,59.46,60.97,528109
2021-01-26,61.43,61.45,58.64,59.90,572606
2021-01-27,58.34,58.94,53.49,55.97,952626
2021-01-28,57.30,60.62,53.81,59.94,988682
2021-01-29,60.17,60.97,56.65,56.86,868972
2021-02-01,58.21,62.95,57.49,62.49,726862
2021-02-02,63.76,64.39,60.49,63.46,518446
2021-02-03,63.69,63.86,60.48,61.48,373705
2021-02-04,61.21,63.27,61.03,63.26,416033
2021-02-05,63.96,63.96,61.31,62.71,475238
2021-02-08,63.33,66.11,62.80,64.62,427185
2021-02-09,64.30,64.94,63.46,64.40,276561
2021-02-10,65.04,66.30,64.00,65.64,420776
2021-02-11,66.61,68.76,65.62,67.61,553142
2021-02-12,66.99,67.99,65.20,67.67,427921
2021-02-16,67.83,69.29,67.37,67.69,443609
2021-02-17,66.29,67.16,63.93,65.17,389120
2021-02-18,64.36,65.56,62.62,64.19,364640
2021-02-19,65.00,68.11,64.48,67.98,603931
2021-02-22,66.67,67.40,64.75,65.12,329912
2021-02-23,63.37,65.74,60.28,65.30,535886
2021-02-24,65.06,67.61,60.88,67.49,344292
2021-02-25,67.04,67.30,62.58,62.75,420006
2021-02-26,63.81,65.26,61.50,64.35,483753
2021-03-01,65.52,69.09,64.69,68.87,544243
2021-03-02,69.29,69.29,64.90,64.91,620811
2021-03-03,65.05,66.95,62.48,63.23,424566
2021-03-04,62.98,63.25,56.91,58.96,555033
2021-03-05,60.35,62.39,55.84,62.09,562490
2021-03-08,61.08,61.78,56.90,57.39,424701
2021-03-09,60.21,62.16,59.24,61.47,776272
2021-03-10,62.51,64.00,60.35,61.12,404683
2021-03-11,63.83,67.34,63.20,67.27,573567
2021-03-12,66.33,67.71,65.31,66.29,439043
2021-03-15,66.48,66.94,64.77,66.33,299621
2021-03-16,67.52,67.70,65.32,66.16,427620
2021-03-17,65.24,67.23,64.00,66.77,332611
2021-03-18,65.49,65.75,61.74,61.89,383366
2021-03-19,61.90,64.08,61.72,63.24,633913
2021-03-22,60.33,60.80,56.69,58.66,3356587
2021-03-23,58.86,60.06,56.12,57.03,1685709
2021-03-24,58.37,58.94,55.54,55.68,657034
2021-03-25,54.86,55.56,52.63,53.91,1494733
2021-03-26,56.09,58.50,55.46,58.46,757363
2021-03-29,57.81,58.36,55.81,56.24,613281
2021-03-30,57.04,57.42,55.40,57.11,323159
2021-03-31,57.75,58.83,57.15,58.02,599366
2021-04-01,58.60,61.35,57.91,58.56,688196
2021-04-05,59.79,60.79,58.60,59.90,427017
2021-04-06,59.94,60.49,58.51,59.20,259019
2021-04-07,59.00,59.92,57.78,58.09,359229
2021-04-08,59.18,59.71,58.16,59.70,462439
2021-04-09,59.38,59.95,58.58,59.16,369400
2021-04-12,58.48,59.40,57.39,59.21,296586
2021-04-13,59.73,59.73,57.73,58.75,455797
2021-04-14,59.00,61.00,58.87,59.50,557942
2021-04-15,60.58,60.79,59.38,60.53,250270
2021-04-16,61.21,62.00,60.25,60.50,273769
2021-04-19,60.00,60.46,57.52,59.63,558928
2021-04-20,59.55,59.80,57.37,57.93,478664
2021-04-21,57.62,59.50,57.07,59.45,302380
2021-04-22,59.55,60.62,58.48,58.71,415245
2021-04-23,59.45,61.88,59.45,61.01,408621
2021-04-26,61.43,63.31,61.34,62.77,488010
2021-04-27,63.45,63.45,61.81,62.12,366341
2021-04-28,61.91,62.72,60.64,61.63,781063
2021-04-29,58.01,59.99,55.02,57.61,2037914
2021-04-30,56.44,56.68,55.46,56.61,751598
2021-05-03,57.10,57.48,55.51,55.87,849675
2021-05-04,55.37,55.49,53.20,53.93,777408
2021-05-05,54.41,55.12,53.35,53.65,315131
2021-05-06,53.33,54.38,52.55,54.32,479044
2021-05-07,54.99,56.19,54.98,56.14,353132
2021-05-10,55.19,55.20,53.10,53.10,397939
2021-05-11,50.85,54.07,50.29,53.35,580497
2021-05-12,51.96,52.59,49.59,49.94,704200
2021-05-13,50.96,51.85,48.68,49.59,676399
2021-05-14,50.41,51.62,49.66,51.08,1482435
2021-05-17,50.16,51.03,49.25,50.72,292792
2021-05-18,50.95,52.19,50.33,50.40,272100
2021-05-19,48.92,52.82,48.92,52.71,391390
2021-05-20,53.15,55.14,52.71,55.09,442661
2021-05-21,56.50,56.50,54.53,54.54,411005
2021-05-24,55.16,55.83,54.79,55.30,466872
2021-05-25,56.00,56.25,55.07,55.20,337654
2021-05-26,55.91,57.53,55.32,57.45,471734
2021-05-27,57.51,59.55,57.06,59.04,553242
2021-05-28,59.18,59.69,58.07,59.20,290943
2021-06-01,59.57,60.22,57.64,58.28,514498
2021-06-02,58.34,58.64,57.62,58.17,458027
2021-06-03,57.56,58.05,56.91,57.65,259568
2021-06-04,58.28,59.35,57.95,58.83,245154
2021-06-07,58.62,59.27,58.07,59.27,249897
2021-06-08,59.85,60.70,59.30,60.31,614742
2021-06-09,60.57,60.87,59.64,59.82,461996
2021-06-10,60.29,60.90,59.01,59.42,608250
2021-06-11,59.76,60.12,59.28,59.90,513245
2021-06-14,59.55,61.31,59.44,60.83,430944
2021-06-15,60.98,61.50,60.34,60.50,248318
2021-06-16,60.49,61.68,60.04,60.61,286975
2021-06-17,60.41,61.17,59.41,60.01,399300
2021-06-18,59.18,59.79,57.75,58.67,614412
2021-06-21,58.95,59.48,56.59,59.11,249976
2021-06-22,59.03,59.41,58.26,59.29,240394
2021-06-23,59.38,60.62,59.38,60.08,252603
2021-06-24,60.74,61.66,60.25,61.31,301265
2021-06-25,61.53,62.11,61.01,61.96,788506
2021-06-28,62.68,64.31,62.32,63.65,635652
2021-06-29,63.64,63.98,62.71,63.42,351663
2021-06-30,63.13,64.39,62.56,64.08,574288
2021-07-01,64.23,64.39,62.07,62.67,231258
2021-07-02,63.36,63.41,62.17,62.54,252088
2021-07-06,62.68,63.00,60.79,61.91,310294
2021-07-07,62.53,62.78,59.69,60.23,439323
2021-07-08,59.01,59.75,57.65,58.47,427932
2021-07-09,58.62,60.26,58.04,59.98,300560
2021-07-12,62.16,62.16,58.62,59.83,342847
2021-07-13,59.33,60.37,59.23,60.01,369184
2021-07-14,60.58,61.25,58.59,58.83,209248
2021-07-15,58.71,58.71,56.91,58.20,379571
