date,open,high,low,close,volume
2016-09-15,9.72,9.80,9.65,9.73,52948990
2016-09-16,9.71,9.95,9.70,9.95,94368030
2016-09-19,9.99,10.04,9.78,9.81,86120970
2016-09-20,9.88,9.92,9.77,9.82,47346590
2016-09-21,9.69,9.71,9.33,9.49,200233700
2016-09-22,9.55,9.59,9.42,9.58,112082000
2016-09-23,9.57,9.70,9.54,9.59,61748480
2016-09-26,9.54,9.54,9.40,9.46,67378520
2016-09-27,9.50,9.76,9.50,9.71,96705870
2016-09-28,9.71,9.76,9.60,9.75,72335810
2016-09-29,9.73,9.83,9.66,9.67,62140340
2016-09-30,9.69,9.95,9.68,9.86,98047390
2016-10-03,9.80,10.34,9.80,10.26,153297300
2016-10-04,10.32,10.44,10.19,10.23,121265500
2016-10-05,10.35,10.70,10.34,10.63,129171100
2016-10-06,10.50,10.55,10.39,10.51,65852710
2016-10-07,10.40,10.65,10.36,10.48,86579470
2016-10-10,10.32,10.45,10.28,10.33,66955710
2016-10-11,10.23,10.29,9.99,10.06,90276450
2016-10-12,10.09,10.25,9.92,9.95,74066270
2016-10-13,9.80,10.05,9.76,10.02,83159560
2016-10-14,10.16,10.21,10.04,10.15,95177200
2016-10-17,10.05,10.07,9.84,9.98,255753400
2016-10-18,11.66,11.98,11.65,11.88,421164500
2016-10-19,11.82,12.24,11.80,12.19,219304600
2016-10-20,12.20,12.38,12.11,12.34,144776300
2016-10-21,12.25,12.79,12.23,12.75,188111900
2016-10-24,12.74,12.93,12.62,12.73,159629600
2016-10-25,12.65,12.81,12.57,12.65,82292100
2016-10-26,12.63,12.87,12.57,12.70,85972710
2016-10-27,12.74,12.82,12.59,12.65,68998850
2016-10-28,12.61,12.89,12.60,12.66,70638920
2016-10-31,12.69,12.69,12.44,12.49,65054840
2016-11-01,12.50,12.58,12.18,12.33,69679600
2016-11-02,12.28,12.41,12.18,12.23,47818160
2016-11-03,12.23,12.37,12.18,12.21,50398670
2016-11-04,12.20,12.34,12.16,12.20,48261460
2016-11-07,12.43,12.57,12.34,12.46,58229730
2016-11-08,12.41,12.58,12.32,12.43,46744240
2016-11-09,12.18,12.37,12.09,12.22,77049050
2016-11-10,12.28,12.30,11.37,11.54,196933200
2016-11-11,11.49,11.66,11.31,11.48,110762900
2016-11-14,11.47,11.59,11.07,11.34,99284720
2016-11-15,11.46,11.64,11.31,11.36,74359340
2016-11-16,11.30,11.61,11.18,11.52,59281870
2016-11-17,11.51,11.68,11.36,11.50,62273320
2016-11-18,11.57,11.64,11.35,11.52,67424710
2016-11-21,11.62,11.87,11.62,11.80,70547530
2016-11-22,11.83,11.95,11.70,11.80,70059270
2016-11-23,11.78,11.89,11.73,11.77,45186100
2016-11-25,11.76,11.84,11.72,11.74,16162600
2016-11-28,11.71,11.76,11.57,11.69,52673210
2016-11-29,11.73,11.92,11.71,11.75,70813120
2016-11-30,11.90,12.04,11.64,11.70,76922930
2016-12-01,11.75,11.87,11.39,11.72,86329910
2016-12-02,11.68,12.10,11.68,12.08,89371340
2016-12-05,12.07,12.07,11.84,11.92,76205600
2016-12-06,12.01,12.48,11.94,12.46,114983800
2016-12-07,12.45,12.57,12.32,12.54,81885700
2016-12-08,12.54,12.63,12.22,12.32,89850300
2016-12-09,12.38,12.43,12.17,12.29,46975220
2016-12-12,12.28,12.40,12.23,12.28,39115110
2016-12-13,12.35,12.51,12.28,12.38,55282300
2016-12-14,12.34,12.44,12.25,12.34,61056200
2016-12-15,12.34,12.74,12.29,12.50,73741660
2016-12-16,12.64,12.67,12.40,12.42,78641620
2016-12-19,12.43,12.64,12.29,12.54,48637480
2016-12-20,12.55,12.63,12.46,12.51,39331710
2016-12-21,12.55,12.77,12.50,12.65,64990330
2016-12-22,12.68,12.75,12.52,12.56,41607670
2016-12-23,12.56,12.63,12.51,12.56,20101210
2016-12-27,12.62,12.90,12.57,12.84,52806240
2016-12-28,12.91,12.91,12.58,12.59,43685230
2016-12-29,12.60,12.61,12.42,12.53,34440660
2016-12-30,12.62,12.66,12.36,12.38,44527710
2017-01-03,12.50,12.82,12.43,12.75,94277060
2017-01-04,12.75,13.02,12.65,12.94,78333400
2017-01-05,12.92,13.28,12.89,13.18,96533790
2017-01-06,13.21,13.39,12.98,13.11,106519300
2017-01-09,13.15,13.20,12.99,13.10,57672170
2017-01-10,13.13,13.22,12.93,12.99,59824690
2017-01-11,13.09,13.15,12.92,13.05,56109630
2017-01-12,13.06,13.09,12.85,12.92,53838390
2017-01-13,13.12,13.39,13.06,13.37,104931200
2017-01-17,13.50,13.54,13.21,13.29,121935300
2017-01-18,13.32,13.37,13.11,13.33,157483000
2017-01-19,14.20,14.35,13.82,13.84,231818600
2017-01-20,13.94,14.08,13.77,13.86,94746550
2017-01-23,13.87,13.95,13.73,13.74,74287550
2017-01-24,13.81,14.09,13.70,14.01,77466400
2017-01-25,14.08,14.14,13.90,13.95,76075490
2017-01-26,14.04,14.12,13.85,13.90,60345540
2017-01-27,13.95,14.25,13.90,14.24,83069350
2017-01-30,14.18,14.20,13.88,14.12,81158840
2017-01-31,14.05,14.18,13.97,14.07,44045570
2017-02-01,14.12,14.24,13.93,14.08,60193000
2017-02-02,14.06,14.10,13.90,13.92,34578030
2017-02-03,13.95,14.06,13.91,14.03,35097640
2017-02-06,14.00,14.10,13.92,14.10,35432040
2017-02-07,14.15,14.43,14.11,14.40,85338460
2017-02-08,14.36,14.51,14.26,14.47,68809370
2017-02-09,14.50,14.51,14.36,14.41,45497600
2017-02-10,14.47,14.53,14.40,14.48,55296720
2017-02-13,14.52,14.60,14.30,14.32,47873380
2017-02-14,14.32,14.41,14.01,14.08,83641460
2017-02-15,14.07,14.24,14.05,14.23,52898760
2017-02-16,14.24,14.24,14.11,14.20,28439420
2017-02-17,14.18,14.29,14.13,14.22,45854960
