date,open,high,low,close,volume
2016-09-15,75.95,76.23,75.58,76.17,451178
2016-09-16,75.56,76.03,75.40,75.91,435218
2016-09-19,76.99,77.08,76.55,76.82,381467
2016-09-20,76.56,77.15,76.49,76.70,619165
2016-09-21,75.96,77.02,75.49,76.99,694909
2016-09-22,78.32,78.56,77.86,78.17,346384
2016-09-23,76.42,77.35,76.37,76.94,448399
2016-09-26,77.42,77.57,77.21,77.42,328442
2016-09-27,77.97,78.50,77.89,77.99,604696
2016-09-28,78.44,78.49,78.00,78.40,422938
2016-09-29,79.47,79.51,78.13,78.31,480458
2016-09-30,78.33,78.46,77.38,77.57,403169
2016-10-03,77.56,77.66,77.16,77.54,488716
2016-10-04,77.76,77.92,75.93,76.25,504116
2016-10-05,75.48,75.57,74.74,75.24,514388
2016-10-06,73.80,74.18,73.59,73.78,923973
2016-10-07,71.21,71.73,71.04,71.21,1497978
2016-10-10,70.97,71.39,70.80,71.33,1648031
2016-10-11,71.53,71.60,70.09,70.20,674055
2016-10-12,70.19,70.81,70.09,70.60,1229322
2016-10-13,70.61,71.30,70.49,70.96,1000322
2016-10-14,71.42,71.45,70.82,70.94,826194
2016-10-17,70.55,71.10,70.52,70.73,380624
2016-10-18,71.83,71.87,71.17,71.43,490752
2016-10-19,71.45,71.98,71.35,71.51,344496
2016-10-20,71.02,71.85,71.01,71.36,584263
2016-10-21,71.00,71.33,70.91,71.30,616181
2016-10-24,70.81,70.96,69.96,70.30,408824
2016-10-25,70.15,70.60,69.96,70.58,537587
2016-10-26,70.31,70.61,70.07,70.53,322796
2016-10-27,70.87,71.04,70.18,70.75,1043269
2016-10-28,70.40,70.82,70.30,70.54,318450
2016-10-31,70.75,71.57,70.63,71.37,381568
2016-11-01,71.18,71.21,70.33,70.40,367191
2016-11-02,70.33,70.36,69.46,69.58,411735
2016-11-03,69.61,70.17,69.50,69.94,378072
2016-11-04,70.39,70.53,69.59,69.60,428564
2016-11-07,69.02,69.52,68.33,69.50,778850
2016-11-08,69.14,70.16,69.14,69.93,483844
2016-11-09,68.99,69.43,68.47,68.78,552967
2016-11-10,65.41,65.88,63.35,65.55,1719795
2016-11-11,66.74,66.86,65.83,65.90,885770
2016-11-14,63.93,63.94,63.21,63.41,1287808
2016-11-15,63.67,64.32,63.46,64.21,718337
2016-11-16,63.45,63.96,63.40,63.93,1022501
2016-11-17,64.11,64.42,63.77,63.94,520187
2016-11-18,63.32,63.59,63.15,63.27,651546
2016-11-21,63.83,64.44,63.60,64.42,541405
2016-11-22,63.28,63.63,63.24,63.53,505490
2016-11-23,62.75,63.08,62.50,62.57,631518
2016-11-25,63.41,63.57,63.10,63.26,285149
2016-11-28,63.89,63.97,63.48,63.65,450417
2016-11-29,63.55,63.80,63.46,63.63,733029
2016-11-30,63.40,63.43,62.24,62.26,712573
2016-12-01,62.18,62.43,61.64,61.81,860275
2016-12-02,62.86,63.24,62.47,62.80,829868
2016-12-05,62.30,62.63,61.94,62.51,528931
2016-12-06,62.53,62.95,62.40,62.49,502043
2016-12-07,62.47,63.10,62.44,62.98,517819
2016-12-08,63.34,63.41,62.87,63.28,594390
2016-12-09,63.58,64.05,63.48,64.05,542842
2016-12-12,63.25,64.45,63.22,64.19,787859
2016-12-13,64.43,64.55,64.11,64.43,661008
2016-12-14,64.71,64.80,63.17,63.24,664764
2016-12-15,63.17,63.33,62.84,63.11,619751
2016-12-16,63.16,64.15,63.10,63.70,527119
2016-12-19,63.84,64.21,63.60,63.98,592732
2016-12-20,63.37,63.74,63.28,63.51,840722
2016-12-21,63.33,63.70,63.16,63.16,479365
2016-12-22,63.05,63.37,62.97,63.10,523373
2016-12-23,63.93,63.93,63.33,63.49,470445
2016-12-27,63.29,63.64,63.29,63.45,370024
2016-12-28,63.44,63.52,63.04,63.08,447021
2016-12-29,63.27,64.00,63.21,63.99,453574
2016-12-30,64.11,64.42,63.53,63.63,710901
2017-01-03,63.39,63.53,62.86,62.92,1707993
2017-01-04,62.60,62.97,62.54,62.84,1138164
2017-01-05,62.92,63.99,62.91,63.76,1046481
2017-01-06,63.21,63.70,63.20,63.64,1101766
2017-01-09,63.34,63.48,62.87,62.89,870928
2017-01-10,62.31,62.47,61.88,62.01,856354
2017-01-11,61.80,62.74,61.68,62.54,812271
2017-01-12,63.79,63.85,63.31,63.52,775837
2017-01-13,63.59,63.94,63.29,63.92,829514
2017-01-17,64.55,64.95,64.46,64.79,872187
2017-01-18,63.82,64.08,63.56,63.60,504024
2017-01-19,63.11,63.39,62.95,63.09,515787
2017-01-20,63.22,63.79,63.15,63.63,612974
2017-01-23,63.76,64.11,63.68,64.06,459408
2017-01-24,63.75,64.13,63.73,63.85,652460
2017-01-25,64.06,64.08,63.59,63.71,425746
2017-01-26,63.09,63.20,62.74,63.13,1830113
2017-01-27,63.28,63.38,63.08,63.14,427758
2017-01-30,62.79,63.09,62.74,62.85,667161
2017-01-31,63.31,63.92,63.24,63.79,846175
2017-02-01,63.33,63.68,62.89,63.31,796098
2017-02-02,63.15,63.40,63.07,63.31,480065
2017-02-03,63.36,63.57,63.13,63.28,402102
2017-02-06,63.52,63.62,63.34,63.43,551951
2017-02-07,63.63,64.45,63.48,64.28,677814
2017-02-08,65.40,65.82,65.08,65.29,895409
2017-02-09,66.25,66.28,65.15,65.31,895613
2017-02-10,64.99,65.41,64.99,65.32,371487
2017-02-13,65.35,65.40,65.07,65.33,539082
2017-02-14,65.59,65.61,64.85,65.18,474801
2017-02-15,64.37,65.02,64.31,65.02,473328
2017-02-16,64.91,65.42,64.91,65.39,312562
2017-02-17,65.45,65.51,64.99,65.33,399395
2017-02-21,65.39,66.16,65.28,66.13,473608
2017-02-22,66.10,66.46,65.72,66.04,429932
2017-02-23,66.22,66.69,66.20,66.49,415447
2017-02-24,66.51,66.79,66.35,66.64,401571
2017-02-27,66.21,66.62,66.02,66.39,349333
2017-02-28,66.09,66.60,66.07,66.38,371797
2017-03-01,65.32,65.84,65.27,65.47,696123
2017-03-02,65.45,66.29,65.40,66.11,432178
2017-03-03,65.14,65.84,64.91,65.71,578341
2017-03-06,65.50,65.63,65.31,65.45,281925
2017-03-07,64.87,65.49,64.85,65.36,692930
2017-03-08,64.84,65.03,64.63,64.93,579025
2017-03-09,64.94,65.38,64.94,65.08,516734
2017-03-10,65.36,65.62,65.18,65.44,813613
2017-03-13,65.48,65.84,65.39,65.63,570860
2017-03-14,65.68,65.86,65.51,65.57,260234
2017-03-15,65.45,66.28,65.32,66.02,632150
2017-03-16,66.44,66.66,66.20,66.28,548577
2017-03-17,66.35,67.43,66.29,67.13,1245402
2017-03-20,67.18,67.29,66.76,67.06,602103
2017-03-21,67.64,68.73,67.54,68.45,1318868
2017-03-22,68.28,68.68,67.93,68.52,641704
2017-03-23,68.50,69.11,68.50,68.86,1815555
2017-03-24,69.25,69.52,69.03,69.32,717292
2017-03-27,69.92,70.06,69.44,69.71,458694
2017-03-28,69.39,69.64,68.81,69.02,334747
2017-03-29,68.36,69.00,68.30,68.93,298845
2017-03-30,68.69,68.77,68.30,68.50,277314
2017-03-31,69.22,69.51,69.03,69.25,505529
2017-04-03,68.80,69.03,68.56,68.98,339040
2017-04-04,68.64,69.11,68.59,68.86,363342
2017-04-05,68.78,69.26,68.75,69.17,255394
2017-04-06,69.36,69.61,69.12,69.39,433111
2017-04-07,69.58,70.04,69.35,69.39,408463
2017-04-10,69.53,69.76,69.36,69.68,301246
2017-04-11,70.00,70.32,69.90,70.12,456708
2017-04-12,70.78,71.15,70.57,71.03,548589
2017-04-13,70.78,70.91,70.45,70.59,397377
2017-04-17,70.76,71.27,70.69,70.99,295535
2017-04-18,70.31,70.91,70.23,70.78,369877
2017-04-19,70.04,70.17,69.65,69.92,605403
2017-04-20,69.27,69.60,69.26,69.38,569608
2017-04-21,69.73,70.10,69.69,70.01,336812
2017-04-24,70.71,71.12,70.49,71.00,549092
2017-04-25,70.78,70.96,70.67,70.87,302248
2017-04-26,70.15,70.70,70.12,70.31,378548
2017-04-27,70.88,71.18,70.77,70.96,396235
2017-04-28,70.52,70.83,70.43,70.77,276621
2017-05-01,70.57,70.70,70.41,70.54,371216
2017-05-02,71.08,71.23,70.84,71.20,352060
2017-05-03,71.35,71.56,71.12,71.23,480091
2017-05-04,70.75,71.52,70.72,71.47,492763
2017-05-05,71.53,72.19,71.48,72.13,501458
2017-05-08,73.25,73.32,72.51,72.65,473436
2017-05-09,72.51,72.94,72.39,72.55,477096
2017-05-10,73.20,73.46,72.84,73.19,477140
2017-05-11,72.52,72.85,72.33,72.75,289692
2017-05-12,72.59,73.20,72.59,73.07,337827
2017-05-15,73.43,73.79,73.24,73.75,638736
2017-05-16,74.03,74.40,73.82,73.84,624597
2017-05-17,74.62,75.09,74.23,74.47,1076139
2017-05-18,74.33,74.57,73.78,74.25,585622
2017-05-19,74.33,75.24,74.22,75.21,485533
2017-05-22,69.26,69.54,68.91,69.38,468416
2017-05-23,69.81,70.33,69.74,70.19,553217
2017-05-24,70.00,70.50,69.98,70.48,486805
2017-05-25,70.63,70.76,70.41,70.68,422379
