date,open,high,low,close,volume
2016-09-15,5.46,5.56,5.45,5.56,15613630
2016-09-16,5.43,5.48,5.40,5.47,14984830
2016-09-19,5.52,5.55,5.49,5.51,5608365
2016-09-20,5.52,5.52,5.47,5.50,5179528
2016-09-21,5.53,5.58,5.50,5.58,8012303
2016-09-22,5.74,5.75,5.71,5.74,14041370
2016-09-23,5.65,5.70,5.64,5.66,7359621
2016-09-26,5.61,5.65,5.61,5.62,5833876
2016-09-27,5.58,5.72,5.58,5.71,6156934
2016-09-28,5.73,5.75,5.68,5.74,5129983
2016-09-29,5.75,5.79,5.70,5.72,5826492
2016-09-30,5.76,5.83,5.75,5.79,8956896
2016-10-03,5.77,5.79,5.75,5.75,5647890
2016-10-04,5.78,5.83,5.74,5.78,5806067
2016-10-05,5.77,5.77,5.69,5.71,13046700
2016-10-06,5.59,5.59,5.52,5.54,18084010
2016-10-07,5.41,5.50,5.41,5.49,13812860
2016-10-10,5.50,5.56,5.49,5.53,9067222
2016-10-11,5.48,5.48,5.37,5.39,13911120
2016-10-12,5.15,5.17,5.09,5.09,32038690
2016-10-13,4.96,4.96,4.88,4.94,23210820
2016-10-14,4.99,5.04,4.95,4.95,8422085
2016-10-17,4.96,4.99,4.94,4.97,6318729
2016-10-18,5.01,5.04,4.98,5.02,8454916
2016-10-19,4.99,4.99,4.95,4.98,5479864
2016-10-20,4.97,5.02,4.97,5.00,6488916
2016-10-21,4.94,4.95,4.90,4.92,10176130
2016-10-24,4.96,4.99,4.95,4.97,5757799
2016-10-25,4.93,4.98,4.92,4.97,9113129
2016-10-26,5.07,5.20,5.07,5.16,16722640
2016-10-27,4.79,4.79,4.71,4.73,36396150
2016-10-28,4.57,4.62,4.54,4.56,27189030
2016-10-31,4.52,4.53,4.47,4.48,14432630
2016-11-01,4.45,4.47,4.40,4.44,21471030
2016-11-02,4.43,4.48,4.41,4.44,11709840
2016-11-03,4.43,4.45,4.38,4.39,16905780
2016-11-04,4.32,4.34,4.30,4.31,12419100
2016-11-07,4.48,4.49,4.39,4.44,19612060
2016-11-08,4.42,4.45,4.37,4.44,10484410
2016-11-09,4.36,4.46,4.35,4.45,11165460
2016-11-10,4.48,4.53,4.45,4.49,11343820
2016-11-11,4.43,4.45,4.36,4.42,11799610
2016-11-14,4.32,4.33,4.28,4.31,12622000
2016-11-15,4.07,4.15,4.04,4.14,33785640
2016-11-16,4.10,4.16,4.10,4.12,13834470
2016-11-17,4.19,4.22,4.14,4.15,10605290
2016-11-18,4.20,4.21,4.15,4.16,6631697
2016-11-21,4.16,4.18,4.14,4.17,6049349
2016-11-22,4.17,4.20,4.16,4.19,7697022
2016-11-23,4.15,4.20,4.13,4.19,6471780
2016-11-25,4.34,4.36,4.31,4.33,8090037
2016-11-28,4.28,4.29,4.24,4.26,8120757
2016-11-29,4.27,4.31,4.26,4.29,6298845
2016-11-30,4.32,4.33,4.29,4.30,10201950
2016-12-01,4.30,4.31,4.25,4.25,7047330
2016-12-02,4.23,4.26,4.20,4.23,6893718
2016-12-05,4.33,4.51,4.32,4.51,18411870
2016-12-06,4.54,4.60,4.51,4.57,18244870
2016-12-07,4.62,4.73,4.61,4.70,17705140
2016-12-08,4.63,4.65,4.56,4.58,22289720
2016-12-09,4.60,4.65,4.58,4.62,12020030
2016-12-12,4.61,4.67,4.60,4.63,15787590
2016-12-13,4.70,4.79,4.70,4.74,12147270
2016-12-14,4.74,4.80,4.70,4.70,15085770
2016-12-15,4.71,4.77,4.68,4.72,13168060
2016-12-16,4.86,4.93,4.84,4.88,13242340
2016-12-19,4.93,4.94,4.87,4.89,13689380
2016-12-20,4.88,4.92,4.86,4.90,16270500
2016-12-21,4.96,4.99,4.67,4.76,29811760
2016-12-22,4.75,4.76,4.71,4.72,9596312
2016-12-23,4.84,4.89,4.83,4.88,9609372
