date,open,high,low,close,volume
2021-01-04,13.82,14.15,13.65,13.89,4534921
2021-01-05,14.09,15.03,13.96,14.66,8677628
2021-01-06,15.31,15.50,14.89,15.02,8461534
2021-01-07,15.06,15.39,14.96,15.12,5425917
2021-01-08,15.27,15.27,14.76,15.01,4606729
2021-01-11,14.60,15.42,14.47,15.36,5128942
2021-01-12,15.61,16.23,15.34,16.00,4648909
2021-01-13,15.93,15.93,15.23,15.35,3450119
2021-01-14,15.42,15.88,15.36,15.57,4452470
2021-01-15,15.21,15.40,14.68,14.75,4777436
2021-01-19,13.64,14.03,13.47,13.88,9999620
2021-01-20,14.00,14.05,13.43,13.66,4786837
2021-01-21,13.62,13.82,13.24,13.39,5054977
2021-01-22,13.06,13.43,12.98,13.41,5031712
2021-01-25,13.22,13.22,12.50,12.70,5649654
2021-01-26,13.00,13.09,12.57,12.62,4670904
2021-01-27,12.39,12.90,12.15,12.22,5614257
2021-01-28,12.45,12.74,12.11,12.62,6062577
2021-01-29,12.49,12.83,12.26,12.38,5502684
2021-02-01,12.56,12.85,12.31,12.66,3580877
2021-02-02,13.04,13.09,12.68,12.90,5183938
2021-02-03,12.99,13.63,12.84,13.62,3854004
2021-02-04,13.73,13.81,13.15,13.78,4675819
2021-02-05,14.04,14.34,13.23,13.37,7906373
2021-02-08,13.45,13.83,13.45,13.65,4154712
2021-02-09,13.59,13.65,13.17,13.47,5647966
2021-02-10,13.58,13.96,13.45,13.85,4436545
2021-02-11,13.75,13.85,13.27,13.64,4639014
2021-02-12,13.43,13.97,13.32,13.94,3341976
2021-02-16,14.36,14.58,14.09,14.52,4313558
2021-02-17,14.58,14.63,14.21,14.41,3380413
2021-02-18,14.26,14.29,13.70,13.70,2717404
2021-02-19,13.74,14.10,13.69,14.03,2701938
2021-02-22,14.10,15.31,13.95,15.00,5176012
2021-02-23,15.15,15.19,14.39,15.06,5796420
2021-02-24,15.19,15.99,14.93,15.87,6792418
2021-02-25,15.95,16.00,15.27,15.50,5378805
2021-02-26,15.18,15.32,14.46,15.10,4726329
2021-03-01,15.39,15.76,15.28,15.64,4105956
2021-03-02,15.62,15.86,14.96,15.00,5345312
2021-03-03,15.11,15.49,15.01,15.02,5660494
2021-03-04,15.26,15.66,14.83,15.42,6507665
2021-03-05,16.36,17.43,16.00,17.29,12804420
