date,open,high,low,close,volume
2021-01-04,23.28,23.81,22.46,22.54,1103939
2021-01-05,22.53,23.58,22.39,23.29,1442412
2021-01-06,23.83,24.83,23.80,24.54,1602046
2021-01-07,24.91,24.97,24.26,24.29,1362790
2021-01-08,24.58,24.78,23.98,24.35,1405432
2021-01-11,23.94,24.30,23.82,24.26,1051264
2021-01-12,24.35,24.64,24.25,24.46,779635
2021-01-13,24.54,24.60,24.10,24.35,905989
2021-01-14,24.52,25.00,24.32,24.62,812072
2021-01-15,24.29,24.60,23.92,24.26,1327117
2021-01-19,24.55,24.65,23.82,24.16,1008186
2021-01-20,24.13,24.47,23.85,24.43,1322558
2021-01-21,24.09,24.40,23.61,23.63,1371033
2021-01-22,23.31,23.72,23.17,23.63,923999
2021-01-25,23.24,23.41,22.88,23.31,3362505
2021-01-26,23.62,23.69,22.96,23.17,2489712
2021-01-27,22.73,22.74,21.81,22.15,2913257
2021-01-28,22.43,23.20,22.08,22.85,2746911
2021-01-29,22.64,22.64,21.85,22.38,15234990
2021-02-01,22.80,22.82,21.99,22.39,2012923
2021-02-02,22.76,22.78,22.27,22.77,1967273
2021-02-03,22.81,23.45,22.69,23.32,2021314
2021-02-04,23.48,23.91,23.40,23.55,1520866
2021-02-05,23.88,23.98,23.54,23.85,1408194
2021-02-08,23.96,24.18,23.81,24.12,1238309
2021-02-09,23.75,23.96,22.98,23.42,2050446
2021-02-10,23.56,23.67,22.81,22.95,1325142
2021-02-11,23.02,23.35,22.62,22.96,770219
2021-02-12,22.85,23.44,22.84,23.40,892786
2021-02-16,23.71,24.52,23.56,24.39,1765445
2021-02-17,24.33,24.64,24.19,24.55,1282311
2021-02-18,24.46,24.63,24.01,24.01,1661574
2021-02-19,24.09,25.40,24.09,25.18,2091326
2021-02-22,25.08,26.54,24.89,26.33,2293135
2021-02-23,26.38,26.93,26.14,26.76,1779615
2021-02-24,26.91,27.49,26.52,27.23,1583236
2021-02-25,27.25,27.33,26.27,26.33,1254984
2021-02-26,26.43,26.90,26.02,26.26,1300504
2021-03-01,26.94,27.56,26.66,27.55,1935653
2021-03-02,27.40,27.68,26.83,27.15,1596248
2021-03-03,27.19,27.55,26.94,27.06,1847879
2021-03-04,27.29,27.50,26.30,26.99,1580658
2021-03-05,27.50,27.79,26.82,27.72,1440514
2021-03-08,27.99,29.11,27.86,28.86,2227823
2021-03-09,28.80,29.23,28.57,28.88,1434456
2021-03-10,28.92,29.38,28.53,29.14,1073483
2021-03-11,29.27,29.35,28.44,28.50,1475688
2021-03-12,28.70,29.45,28.57,29.43,1597593
2021-03-15,29.43,29.94,29.21,29.93,951812
2021-03-16,29.74,29.80,29.27,29.42,996523
2021-03-17,29.48,29.58,29.11,29.44,912907
2021-03-18,29.47,29.76,28.89,29.01,802415
2021-03-19,29.02,29.33,28.56,28.74,2507571
2021-03-22,28.75,28.83,28.33,28.73,626811
2021-03-23,28.30,28.51,27.00,27.10,1007428
2021-03-24,27.44,28.12,27.20,27.22,1219941
2021-03-25,27.00,27.68,26.57,27.57,635844
2021-03-26,27.99,28.38,27.58,28.06,794362
2021-03-29,27.83,28.32,27.27,27.45,676689
2021-03-30,27.50,27.93,27.36,27.86,446842
2021-03-31,28.03,28.39,27.73,27.91,916883
2021-04-01,27.96,28.66,27.70,28.65,830318
2021-04-05,29.00,29.13,28.61,28.79,508516
2021-04-06,29.02,29.47,28.78,28.82,835046
2021-04-07,28.75,28.81,28.28,28.46,399398
2021-04-08,28.40,28.40,27.87,28.21,463528
2021-04-09,28.19,28.54,27.87,28.49,536397
2021-04-12,28.67,28.77,28.43,28.55,331484
2021-04-13,28.49,28.52,27.89,28.14,313643
2021-04-14,28.44,28.74,28.30,28.43,340568
2021-04-15,28.72,29.19,28.50,29.18,798281
2021-04-16,29.40,29.67,29.32,29.56,925377
2021-04-19,29.33,29.61,29.16,29.58,1048881
2021-04-20,29.30,29.79,28.84,29.15,744898
2021-04-21,29.08,29.79,28.93,29.69,710005
2021-04-22,29.66,29.74,29.25,29.43,587897
2021-04-23,29.43,30.18,29.43,30.02,552855
2021-04-26,30.11,30.57,29.92,30.04,731138
2021-04-27,30.22,30.33,29.74,30.29,528335
2021-04-28,30.29,30.55,30.01,30.34,741008
2021-04-29,30.80,31.20,30.29,30.60,940479
2021-04-30,30.40,30.93,30.25,30.45,960683
2021-05-03,31.09,31.10,30.57,30.64,928513
2021-05-04,30.46,31.05,30.10,31.00,719578
2021-05-05,31.29,31.66,31.02,31.21,1010209
2021-05-06,31.22,31.69,30.91,31.65,768552
2021-05-07,31.32,31.81,31.02,31.76,968734
2021-05-10,31.98,32.34,31.84,31.96,859986
2021-05-11,31.55,31.80,31.18,31.52,604753
2021-05-12,31.51,31.70,30.47,30.57,559575
2021-05-13,30.38,31.41,30.38,31.26,757468
2021-05-14,31.68,31.75,31.18,31.62,587975
2021-05-17,31.59,32.08,31.47,31.96,708954
2021-05-18,31.95,32.28,31.44,31.53,839970
2021-05-19,31.00,31.45,30.68,31.39,576073
2021-05-20,31.17,31.63,30.94,31.60,880553
2021-05-21,31.92,32.00,31.47,31.66,553307
2021-05-24,31.80,32.02,31.49,31.87,412262
2021-05-25,31.88,32.06,31.18,31.32,628017
2021-05-26,31.56,31.82,31.38,31.79,1008273
2021-05-27,32.05,32.55,31.94,32.52,716005
2021-05-28,32.55,32.58,32.09,32.54,701009
2021-06-01,32.97,32.97,32.52,32.88,726103
2021-06-02,33.00,33.29,32.55,33.02,855648
2021-06-03,32.88,32.92,32.43,32.65,684203
2021-06-04,32.76,32.91,32.44,32.50,758890
2021-06-07,32.44,32.74,32.01,32.13,542692
2021-06-08,32.15,32.46,31.72,32.45,560114
2021-06-09,32.41,32.53,32.10,32.47,494853
