date,open,high,low,close,volume
2016-09-15,83.48,85.85,83.28,85.54,2851206
2016-09-16,85.87,86.23,83.45,83.75,3917717
2016-09-19,84.35,84.54,82.35,82.99,3383374
2016-09-20,83.77,83.90,82.48,82.79,2345346
2016-09-21,83.17,83.67,82.64,83.38,1895074
2016-09-22,84.30,84.53,83.71,84.39,1845305
2016-09-23,84.03,85.00,83.53,83.90,2730448
2016-09-26,83.05,83.74,82.40,82.53,2711157
2016-09-27,82.23,83.20,81.74,82.43,3474321
2016-09-28,82.54,83.40,81.81,82.24,2562996
2016-09-29,82.11,98.09,81.50,96.12,24425820
2016-09-30,99.70,104.64,99.70,102.01,23722220
2016-10-03,102.98,105.00,101.98,102.76,6893449
2016-10-04,102.76,104.95,102.50,103.23,5728760
2016-10-05,103.19,104.31,102.36,102.50,4678720
2016-10-06,102.50,105.29,100.82,103.49,10823800
2016-10-07,103.82,103.92,102.09,102.99,4717627
2016-10-10,102.36,103.71,102.05,102.83,3123458
2016-10-11,102.77,102.77,100.69,101.93,4392572
2016-10-12,101.52,103.20,100.75,102.74,2850218
2016-10-13,101.87,102.00,100.30,101.84,3347326
2016-10-14,102.36,103.09,101.13,101.40,2077996
2016-10-17,100.87,101.94,100.60,100.88,1857730
2016-10-18,101.65,102.23,101.25,101.65,1279956
2016-10-19,101.20,101.65,100.88,101.03,1938821
2016-10-20,100.48,107.54,99.39,104.49,7807885
2016-10-21,105.39,105.56,100.80,101.71,14432150
2016-10-24,101.62,102.00,100.51,101.84,3357695
2016-10-25,101.65,101.65,100.50,100.64,3969908
2016-10-26,100.41,101.15,97.87,98.66,6446656
2016-10-27,100.36,100.70,98.74,99.08,36611270
2016-10-28,99.75,100.26,99.20,99.78,13880940
2016-10-31,99.81,100.30,99.72,100.00,7925712
2016-11-01,100.00,100.05,99.33,99.55,6966078
2016-11-02,99.51,99.67,99.00,99.03,5170566
2016-11-03,99.25,99.60,98.69,98.74,4917641
2016-11-04,98.72,99.25,98.32,98.70,3281112
2016-11-07,99.11,99.34,98.65,98.72,5905886
2016-11-08,98.80,99.43,98.55,99.01,4714983
2016-11-09,98.50,98.76,97.01,97.28,7985394
2016-11-10,97.41,97.56,95.88,96.59,8361871
2016-11-11,96.50,98.05,96.50,97.73,3810246
2016-11-14,98.00,98.00,96.61,96.74,4583198
2016-11-15,96.63,98.04,96.33,97.80,3477343
2016-11-16,97.82,98.69,97.68,97.83,2306898
2016-11-17,98.00,98.57,97.65,98.06,2280574
2016-11-18,98.51,99.05,98.35,98.88,2341873
2016-11-21,99.28,99.43,98.31,98.59,2814052
2016-11-22,98.95,99.25,98.34,98.84,1985397
2016-11-23,98.60,99.52,98.50,99.33,2019982
2016-11-25,99.40,99.59,99.14,99.51,1465556
2016-11-28,99.97,100.00,98.96,99.06,4654524
2016-11-29,99.00,99.45,98.57,98.85,2853539
