date,open,high,low,close,volume
2021-01-04,75.76,76.01,72.81,73.94,1115762
2021-01-05,73.39,75.32,73.39,75.18,1017726
2021-01-06,75.79,79.20,75.51,77.46,1259267
2021-01-07,78.10,79.85,77.45,79.61,920138
2021-01-08,80.00,80.47,77.32,79.91,1456796
2021-01-11,78.45,82.40,78.45,80.97,1659517
2021-01-12,80.94,81.72,80.37,81.50,1000418
2021-01-13,81.90,83.39,81.26,81.40,1067298
2021-01-14,81.72,84.08,81.45,83.41,1128957
2021-01-15,82.38,83.17,81.20,82.97,1086583
2021-01-19,83.56,84.77,83.09,84.45,1098437
2021-01-20,85.20,87.00,84.08,86.94,1156865
2021-01-21,87.01,87.89,86.10,86.30,1020415
2021-01-22,86.28,86.28,83.43,84.55,848402
2021-01-25,84.23,84.47,80.78,83.06,878419
2021-01-26,83.70,84.41,79.53,79.68,1286869
2021-01-27,77.85,78.33,75.44,76.91,1049044
2021-01-28,77.79,79.09,77.13,78.19,807976
2021-01-29,77.60,78.03,75.49,77.60,871390
2021-02-01,78.59,80.95,77.83,80.64,965497
2021-02-02,81.13,82.18,80.13,81.72,643420
2021-02-03,81.72,82.69,80.30,81.28,589246
2021-02-04,81.76,83.49,81.68,82.74,640543
2021-02-05,83.00,83.32,81.50,82.15,711284
2021-02-08,82.90,84.98,82.83,84.58,566764
2021-02-09,84.18,85.81,84.18,85.61,648298
2021-02-10,86.05,86.56,84.78,84.94,695461
2021-02-11,85.30,86.01,83.68,85.81,646548
2021-02-12,85.22,86.73,84.98,85.75,539558
2021-02-16,86.10,86.22,84.19,84.19,1051252
2021-02-17,84.16,87.31,81.06,83.49,1215800
2021-02-18,83.49,83.97,80.55,82.34,1349855
2021-02-19,83.22,85.66,82.89,85.08,968911
2021-02-22,84.34,84.77,82.22,82.38,1083996
2021-02-23,81.50,83.02,78.26,82.69,1147815
2021-02-24,82.32,83.36,81.06,83.21,1034885
2021-02-25,82.99,83.44,79.80,79.98,864967
2021-02-26,80.72,81.82,79.27,81.02,1204008
2021-03-01,82.44,83.55,81.49,82.88,779419
2021-03-02,83.05,83.23,81.68,83.02,757343
2021-03-03,79.44,81.26,78.43,79.78,1300447
2021-03-04,79.15,80.39,75.66,77.48,1007350
2021-03-05,78.51,81.16,76.60,80.82,1079634
2021-03-08,81.32,83.60,80.27,81.76,932642
2021-03-09,82.78,83.50,81.76,82.43,799677
2021-03-10,83.04,85.88,82.57,85.01,766226
2021-03-11,85.85,86.75,85.32,85.86,656123
2021-03-12,85.60,88.06,85.20,88.01,954336
2021-03-15,87.71,90.80,87.67,90.80,951480
2021-03-16,90.91,91.62,88.43,89.70,1093691
2021-03-17,89.25,91.87,88.11,91.80,1101193
2021-03-18,91.29,93.55,90.20,90.89,995369
2021-03-19,91.09,91.58,89.47,90.89,1475954
2021-03-22,90.92,91.02,88.40,89.82,1439051
2021-03-23,89.07,89.65,84.82,85.21,1579216
2021-03-24,86.00,88.65,86.00,86.45,1254097
2021-03-25,86.10,90.00,85.36,89.72,732622
2021-03-26,90.56,92.74,89.90,92.66,877581
2021-03-29,92.62,93.93,91.08,91.14,1093846
2021-03-30,90.96,92.59,90.53,92.04,772685
2021-03-31,92.44,93.82,91.78,92.09,1327545
2021-04-01,93.06,93.79,92.46,93.79,472535
2021-04-05,94.54,94.54,92.82,94.30,504208
2021-04-06,94.46,96.24,94.06,95.57,749294
2021-04-07,95.56,96.94,94.48,96.82,999454
2021-04-08,96.58,96.58,93.42,94.67,913417
2021-04-09,95.02,96.92,94.39,96.85,760373
2021-04-12,97.00,97.81,95.88,97.48,602442
2021-04-13,97.39,97.39,95.72,96.78,400241
2021-04-14,97.02,97.50,95.51,95.78,884708
2021-04-15,96.02,96.32,94.73,95.69,924945
2021-04-16,96.66,97.74,96.55,97.09,908625
2021-04-19,97.58,97.90,96.08,97.27,555620
2021-04-20,96.80,97.47,93.13,94.53,880371
2021-04-21,94.19,95.85,93.68,95.79,520386
2021-04-22,95.86,96.16,94.38,94.79,706350
2021-04-23,95.35,96.20,94.83,95.85,749639
2021-04-26,96.73,97.28,95.96,96.80,543484
2021-04-27,97.30,97.70,96.14,97.16,719832
2021-04-28,97.14,97.14,94.11,94.92,1541593
2021-04-29,97.07,98.43,95.43,98.38,997054
2021-04-30,97.50,98.00,96.00,96.81,852284
2021-05-03,98.17,100.36,98.03,99.35,1115494
2021-05-04,98.59,101.21,98.59,100.90,846503
2021-05-05,101.50,102.18,99.17,101.80,463519
2021-05-06,102.02,104.45,101.41,104.36,680433
2021-05-07,104.08,107.27,102.65,106.92,844803
2021-05-10,107.82,109.89,106.98,108.22,1018139
2021-05-11,106.79,106.79,103.20,105.59,1013617
2021-05-12,104.92,105.15,99.61,99.82,1075901
2021-05-13,100.75,104.44,100.39,103.85,777329
2021-05-14,105.02,106.75,104.50,106.47,774461
2021-05-17,105.33,106.50,104.20,106.29,668668
2021-05-18,106.29,106.74,103.33,103.33,948230
2021-05-19,101.52,103.79,99.93,103.31,1106443
2021-05-20,103.89,104.61,102.80,104.21,591472
2021-05-21,105.06,106.37,103.60,103.80,552910
2021-05-24,104.83,105.58,103.91,105.16,477002
2021-05-25,105.82,106.47,103.79,103.80,745141
2021-05-26,104.00,106.19,104.00,106.03,925342
2021-05-27,107.39,107.94,106.09,106.62,1483278
2021-05-28,107.15,107.15,105.01,106.65,747302
2021-06-01,108.59,109.24,106.85,107.35,1248927
2021-06-02,107.44,107.72,104.36,104.82,631537
2021-06-03,104.15,104.96,102.61,104.83,903452
2021-06-04,105.20,105.43,103.93,105.00,541323
2021-06-07,106.00,106.42,104.62,104.99,515370
2021-06-08,104.78,105.50,104.05,105.00,1218458
2021-06-09,105.52,105.83,102.06,102.25,1247859
2021-06-10,102.86,102.92,98.87,98.98,1410330
2021-06-11,99.43,100.56,98.38,99.64,1161118
2021-06-14,99.50,99.97,96.21,96.81,1204692
2021-06-15,97.10,98.74,96.60,98.34,811236
2021-06-16,97.72,98.30,96.78,97.07,750978
2021-06-17,97.26,97.26,92.58,94.64,1027454
2021-06-18,93.43,95.10,93.13,94.65,1647495
2021-06-21,95.62,97.04,95.59,96.18,645048
2021-06-22,96.28,97.85,95.30,97.61,945820
2021-06-23,97.35,98.12,96.51,96.70,981465
2021-06-24,97.27,97.49,95.85,97.00,950881
2021-06-25,97.28,97.92,96.45,96.65,1451941
2021-06-28,96.56,97.33,95.94,96.79,900414
2021-06-29,97.76,98.50,96.96,96.98,591288
2021-06-30,96.80,98.25,96.28,97.90,1010991
2021-07-01,98.91,99.87,98.28,99.29,836840
2021-07-02,99.12,99.69,98.04,98.37,586893
2021-07-06,98.07,98.25,95.70,96.58,1230606
2021-07-07,96.09,98.30,96.02,98.12,828885
2021-07-08,96.32,97.05,93.95,94.49,662267
2021-07-09,96.15,97.00,95.61,96.35,481475
2021-07-12,95.88,96.97,95.31,96.66,426229
2021-07-13,96.28,96.52,93.61,93.65,536261
2021-07-14,93.97,95.18,93.41,93.75,567936
2021-07-15,92.65,94.48,92.25,92.96,563882
2021-07-16,93.23,93.76,91.94,92.06,500779
2021-07-19,89.83,91.28,89.14,90.30,752388
2021-07-20,90.46,92.82,90.14,92.56,1120775
2021-07-21,93.63,95.08,93.19,94.94,655945
2021-07-22,95.12,95.25,92.46,92.66,746610
2021-07-23,93.76,94.38,93.00,94.18,406817
2021-07-26,94.67,95.01,92.76,92.94,699783
2021-07-27,92.03,93.20,91.31,92.22,558953
2021-07-28,93.75,95.91,92.30,94.22,986777
2021-07-29,95.76,97.95,95.41,96.41,622592
2021-07-30,95.75,97.47,95.65,96.16,731355
2021-08-02,96.69,97.81,94.14,94.41,716360
2021-08-03,94.79,96.23,93.72,96.10,564269
2021-08-04,96.26,97.34,95.34,95.40,507215
2021-08-05,95.76,97.25,95.23,95.86,457651
2021-08-06,96.40,97.06,95.41,95.83,478450
2021-08-09,95.28,95.92,94.51,94.74,452012
2021-08-10,94.63,97.94,94.03,96.50,671100
2021-08-11,96.57,99.08,96.27,99.04,478002
2021-08-12,99.42,99.60,97.51,97.68,527285
2021-08-13,97.35,97.94,95.85,96.18,840502
2021-08-16,95.43,97.72,94.52,96.79,757748
2021-08-17,96.55,96.80,93.27,93.94,616383
2021-08-18,93.49,95.08,92.40,92.67,716542
2021-08-19,91.04,93.33,90.74,91.59,499419
2021-08-20,91.58,93.00,91.32,92.44,523455
2021-08-23,92.56,92.92,91.35,92.51,635483
2021-08-24,93.09,95.29,93.08,94.95,546498
2021-08-25,95.33,97.68,95.21,96.44,707547
2021-08-26,96.33,97.41,95.88,96.48,1060022
2021-08-27,97.25,99.47,97.03,98.60,725115
2021-08-30,98.73,99.39,98.03,98.27,794183
2021-08-31,98.27,98.51,94.79,95.55,988882
2021-09-01,95.83,96.63,94.75,95.59,784125
2021-09-02,96.37,97.05,95.96,96.65,564740
2021-09-03,96.39,96.41,94.75,95.40,471921
2021-09-07,95.00,95.28,93.19,93.25,593296
2021-09-08,92.50,94.00,92.21,93.81,846253
2021-09-09,94.00,95.28,93.52,93.59,623587
2021-09-10,94.34,94.98,93.38,93.67,610897
2021-09-13,95.33,96.85,94.36,96.03,836820
2021-09-14,96.18,96.44,93.26,93.54,649180
2021-09-15,93.24,94.86,93.05,94.58,850614
2021-09-16,94.92,95.70,94.09,94.49,808857
2021-09-17,94.05,94.53,90.68,91.69,1966807
2021-09-20,88.85,90.40,87.93,89.61,1294684
2021-09-21,89.83,90.02,86.86,87.58,1933042
2021-09-22,88.10,88.74,86.79,87.16,1573766
2021-09-23,87.46,89.51,86.54,88.88,1220581
2021-09-24,88.63,89.31,88.17,88.28,801422
2021-09-27,88.22,92.11,88.22,91.20,1257223
2021-09-28,90.80,91.10,88.15,88.26,827585
2021-09-29,88.93,89.79,87.96,88.12,725791
2021-09-30,88.60,89.19,85.16,85.50,1388064
2021-10-01,85.80,87.99,85.54,87.07,913747
2021-10-04,86.99,89.21,86.64,87.99,998499
2021-10-05,88.27,89.60,87.46,87.96,1053882
2021-10-06,87.13,88.92,86.56,88.76,867317
2021-10-07,88.80,91.42,88.80,90.05,938889
2021-10-08,90.04,90.29,87.62,87.81,1036041
2021-10-11,88.02,89.82,87.91,88.25,609422
2021-10-12,88.67,90.34,88.08,89.10,1065867
2021-10-13,89.51,90.39,89.02,89.60,780825
2021-10-14,90.76,91.61,90.09,91.09,743162
2021-10-15,92.00,92.50,90.97,91.49,577346
2021-10-18,89.94,92.33,89.94,92.13,711790
2021-10-19,92.04,92.04,88.88,90.06,1208736
2021-10-20,89.97,91.91,89.97,91.20,876124
2021-10-21,90.58,91.22,89.74,91.14,818733
2021-10-22,91.23,92.35,89.73,89.82,859062
2021-10-25,89.52,91.95,88.61,91.55,1355913
2021-10-26,91.91,92.46,90.49,90.49,1027507
2021-10-27,92.60,94.73,90.13,90.32,1724226
2021-10-28,91.03,93.68,90.34,93.48,954657
2021-10-29,92.75,94.96,92.69,93.41,1114074
2021-11-01,94.04,94.37,93.01,94.18,853847
2021-11-02,94.00,94.06,92.27,93.21,756518
2021-11-03,92.75,95.47,92.23,92.70,1406107
2021-11-04,92.62,95.99,92.62,93.90,918627
2021-11-05,94.95,96.01,94.53,95.38,778729
2021-11-08,96.79,97.98,95.65,96.66,732655
2021-11-09,96.92,97.95,96.50,97.70,498614
2021-11-10,97.33,97.59,93.42,94.01,707183
2021-11-11,94.49,94.89,92.49,92.97,632850
2021-11-12,93.66,95.09,93.33,94.94,581571
2021-11-15,95.48,95.99,93.10,93.34,811397
2021-11-16,92.93,93.59,92.08,92.16,725844
2021-11-17,91.98,92.60,91.20,91.74,667219
2021-11-18,92.06,92.23,89.96,90.29,721495
2021-11-19,89.86,90.58,88.52,89.21,1526891
2021-11-22,89.82,92.57,89.14,91.54,759318
2021-11-23,91.94,92.55,90.97,91.65,482345
2021-11-24,91.42,91.73,90.67,91.01,726238
2021-11-26,88.71,89.44,86.13,87.39,846753
2021-11-29,88.70,88.97,85.92,87.13,1090974
2021-11-30,86.26,86.89,83.81,84.84,1548349
2021-12-01,87.09,89.07,85.87,85.90,1059772
2021-12-02,86.47,89.34,86.44,88.67,950345
2021-12-03,89.17,91.07,88.16,90.54,1165301
2021-12-06,90.74,92.71,90.74,91.95,981795
2021-12-07,93.38,95.65,92.49,94.45,1543710
2021-12-08,94.85,95.74,94.01,95.07,954699
2021-12-09,94.37,94.37,92.78,93.25,1067320
2021-12-10,93.95,94.29,91.69,92.65,794385
2021-12-13,92.39,92.78,90.08,91.20,901848
2021-12-14,90.36,91.19,88.69,88.89,1132664
2021-12-15,88.95,91.62,88.40,91.54,984352
2021-12-16,92.16,92.38,89.39,89.91,1052437
2021-12-17,89.16,89.30,86.65,87.02,1963213
2021-12-20,85.61,85.61,83.78,84.26,1066290
2021-12-21,85.30,87.30,84.83,87.27,819806
2021-12-22,87.00,87.92,86.77,87.30,1265343
2021-12-23,87.84,89.36,87.56,88.83,1321644
2021-12-27,89.34,89.82,88.37,89.72,632531
2021-12-28,89.65,90.64,89.58,90.16,553821
2021-12-29,90.04,91.43,90.00,91.10,510509
2021-12-30,91.47,91.90,90.00,90.14,489493
2021-12-31,90.15,91.02,89.62,90.50,404924
2022-01-03,91.02,91.45,89.25,90.05,955641
2022-01-04,90.84,93.80,90.84,93.54,750655
2022-01-05,93.54,96.74,93.54,93.70,1291325
2022-01-06,93.70,95.42,92.40,92.69,754574
2022-01-07,92.26,92.75,89.65,89.87,1185669
2022-01-10,89.31,91.92,88.78,91.77,1594018
2022-01-11,91.87,95.26,91.48,95.25,1631968
2022-01-12,96.20,97.85,94.38,94.91,1279052
2022-01-13,95.07,96.44,94.87,95.38,913445
2022-01-14,94.48,95.25,93.35,94.54,806379
2022-01-18,93.84,94.41,92.60,93.35,894814
2022-01-19,94.09,94.98,90.81,91.30,1184171
2022-01-20,92.50,95.31,91.59,91.76,2305473
2022-01-21,91.00,92.76,88.88,89.23,1717994
2022-01-24,87.00,92.49,85.98,92.27,1512497
2022-01-25,90.66,90.66,87.79,89.37,1240379
2022-01-26,90.77,91.34,87.00,87.84,1313143
2022-01-27,88.47,89.77,86.22,86.38,807704
2022-01-28,85.66,87.84,84.53,87.77,879541
2022-01-31,87.50,88.75,87.25,88.70,943751
2022-02-01,90.26,91.03,88.19,90.01,697399
2022-02-02,90.08,91.52,89.43,91.38,696154
2022-02-03,91.25,91.30,89.44,89.50,643531
2022-02-04,88.86,89.42,86.44,88.23,568950
2022-02-07,88.53,89.27,87.67,88.35,441726
2022-02-08,88.48,91.03,88.42,90.69,593527
2022-02-09,93.62,94.03,92.61,93.47,780483
2022-02-10,91.58,93.32,89.01,89.75,812131
2022-02-11,90.29,92.04,88.95,89.24,757841
2022-02-14,89.13,91.87,89.10,90.47,1139852
2022-02-15,90.85,93.55,90.73,92.34,1291529
2022-02-16,94.30,101.12,94.30,100.80,1333234
2022-02-17,99.56,100.00,96.67,97.68,1162470
2022-02-18,98.10,98.95,96.45,98.07,874202
2022-02-22,97.86,97.86,92.85,93.59,778847
2022-02-23,94.26,94.41,90.38,90.58,657175
2022-02-24,87.83,90.74,87.01,90.64,1112636
2022-02-25,90.84,92.81,90.45,92.72,700191
2022-02-28,91.12,93.25,90.93,93.19,1503378
2022-03-01,93.40,93.68,88.72,89.32,987727
2022-03-02,90.41,93.26,89.12,92.65,1397853
2022-03-03,93.53,93.86,90.61,91.27,651107
2022-03-04,89.51,90.15,86.21,86.86,864175
2022-03-07,86.92,87.47,80.25,80.80,1354574
2022-03-08,81.43,83.87,79.35,81.82,1271313
2022-03-09,84.40,89.84,83.76,88.75,1402266
2022-03-10,86.63,89.16,86.46,88.94,1160871
2022-03-11,90.19,91.00,89.11,89.80,866275
2022-03-14,90.36,91.50,89.76,90.75,1115847
