date,open,high,low,close,volume
2021-01-04,48.77,48.82,46.75,47.00,551403
2021-01-05,47.01,48.62,47.01,48.51,593760
2021-01-06,49.13,50.42,48.96,49.82,771861
2021-01-07,50.51,51.23,49.72,49.99,465012
2021-01-08,50.42,50.42,48.17,48.99,503727
2021-01-11,48.99,49.85,48.48,49.76,472969
2021-01-12,49.76,51.70,49.72,51.50,525001
2021-01-13,51.28,52.16,51.05,51.65,562954
2021-01-14,52.03,54.20,51.88,53.88,595280
2021-01-15,53.32,54.41,53.07,54.12,545940
2021-01-19,54.85,55.16,53.80,53.84,719071
2021-01-20,53.86,54.05,52.23,53.52,800534
2021-01-21,53.26,53.40,50.91,51.19,638611
2021-01-22,50.00,50.95,49.75,50.26,769926
2021-01-25,49.46,49.85,47.91,49.69,1124326
2021-01-26,49.99,50.45,47.95,48.01,738156
2021-01-27,47.00,47.17,44.45,44.55,1398116
2021-01-28,45.21,48.75,45.21,48.28,1174097
2021-01-29,48.24,48.53,46.25,46.56,434139
2021-02-01,47.01,47.74,46.54,47.71,1918798
2021-02-02,48.53,51.21,48.06,50.75,1557983
2021-02-03,50.67,51.64,49.69,51.33,1590746
2021-02-04,52.02,54.44,51.86,53.73,1517776
2021-02-05,54.62,56.18,54.37,55.15,655770
2021-02-08,55.45,56.23,54.88,55.82,810074
2021-02-09,57.22,59.00,55.71,55.75,2707556
2021-02-10,56.13,56.21,52.50,53.72,1636450
2021-02-11,53.25,53.26,52.47,52.50,5519332
2021-02-12,52.91,54.54,52.51,52.75,3775850
2021-02-16,53.59,54.20,52.83,53.79,3483193
2021-02-17,49.93,50.20,48.16,48.16,1847768
2021-02-18,48.10,49.45,46.46,48.98,1711988
2021-02-19,49.16,50.21,48.56,48.70,2514553
2021-02-22,48.53,50.01,48.22,49.39,1018178
2021-02-23,49.05,49.31,47.76,48.90,1523214
2021-02-24,49.06,50.91,49.00,50.59,1984123
2021-02-25,51.15,51.22,47.12,47.19,1409741
2021-02-26,47.31,47.98,45.84,46.91,2420874
2021-03-01,48.00,48.96,47.91,48.22,2126192
2021-03-02,48.50,49.45,47.80,49.20,1260535
2021-03-03,49.39,51.30,49.36,50.89,1671702
2021-03-04,50.41,51.87,50.31,51.59,2465723
2021-03-05,52.31,53.24,51.23,52.70,1879530
2021-03-08,52.69,53.87,52.15,53.34,1417305
2021-03-09,53.52,54.54,52.50,53.03,1045478
2021-03-10,53.27,54.42,53.27,54.07,865700
2021-03-11,54.37,56.57,54.03,56.14,1190168
2021-03-12,56.58,57.50,55.92,56.71,626245
2021-03-15,56.74,57.15,55.40,56.98,647078
2021-03-16,56.70,56.79,54.50,54.88,794512
2021-03-17,55.01,55.85,54.55,55.44,754199
2021-03-18,55.77,56.19,54.05,54.34,1442243
2021-03-19,53.63,54.44,53.13,53.34,1353943
2021-03-22,53.43,53.50,52.30,53.17,791803
2021-03-23,52.48,52.95,50.87,51.26,1002078
2021-03-24,52.19,52.89,51.02,51.19,776832
2021-03-25,50.76,53.41,50.10,53.38,1059266
2021-03-26,54.24,55.12,53.68,54.86,893412
2021-03-29,53.97,54.48,52.84,53.74,1316814
2021-03-30,54.05,54.63,53.22,54.14,949718
2021-03-31,54.28,54.78,53.70,53.72,486778
2021-04-01,53.76,54.99,53.76,54.99,971024
2021-04-05,55.62,56.01,54.81,55.14,748422
2021-04-06,55.08,55.45,53.75,54.53,646443
2021-04-07,54.79,55.13,54.36,54.49,581603
2021-04-08,54.49,54.53,53.51,54.31,647781
2021-04-09,54.99,55.30,54.14,54.84,670528
2021-04-12,54.88,55.99,54.88,55.98,862615
2021-04-13,55.52,55.89,53.80,55.09,773979
2021-04-14,55.01,56.37,54.89,55.55,466408
2021-04-15,56.00,56.00,54.91,55.21,507958
2021-04-16,56.06,56.50,55.52,55.97,412603
2021-04-19,55.20,55.61,53.36,53.48,774041
2021-04-20,53.01,53.41,51.66,53.25,828943
2021-04-21,52.70,54.04,52.31,53.79,623753
2021-04-22,53.88,54.23,52.60,52.92,761369
2021-04-23,52.86,54.95,52.51,54.58,754440
2021-04-26,55.21,56.20,55.00,55.30,991675
2021-04-27,56.51,56.98,54.00,55.95,1650634
2021-04-28,56.09,57.59,55.82,57.08,1407243
2021-04-29,55.08,55.92,52.65,54.10,3979007
2021-04-30,54.85,57.66,54.70,56.87,6455819
2021-05-03,57.63,58.12,56.10,56.17,2796409
2021-05-04,55.81,56.66,55.20,56.29,1817192
2021-05-05,55.86,56.44,54.86,55.53,964201
2021-05-06,56.09,56.25,54.38,56.00,1240155
2021-05-07,55.35,57.02,55.33,56.97,732352
2021-05-10,57.29,57.90,55.76,55.85,788635
2021-05-11,54.73,55.59,53.83,54.56,953795
2021-05-12,54.81,55.33,52.35,52.77,1148020
2021-05-13,52.81,54.44,52.60,53.11,1013545
2021-05-14,53.82,54.87,53.58,54.56,768814
2021-05-17,54.41,54.73,53.78,54.64,2248406
2021-05-18,55.21,55.40,53.93,53.94,612344
2021-05-19,52.76,54.34,51.74,54.25,1012218
2021-05-20,54.75,54.95,53.82,54.09,1366614
2021-05-21,54.66,55.55,54.22,54.49,957588
2021-05-24,54.97,55.45,54.48,55.16,741278
2021-05-25,55.41,56.22,54.77,54.93,993096
2021-05-26,54.97,56.00,54.97,55.79,599648
2021-05-27,56.45,57.58,56.16,57.55,993949
2021-05-28,57.51,57.93,56.54,57.84,1200872
2021-06-01,58.63,59.83,58.63,59.74,1335548
2021-06-02,60.00,60.20,58.87,59.01,1922044
2021-06-03,58.67,59.33,57.84,59.32,695063
2021-06-04,59.56,59.84,58.50,59.19,726964
2021-06-07,59.30,59.77,59.21,59.41,836712
2021-06-08,59.10,60.28,58.66,59.94,1358976
2021-06-09,60.11,60.48,59.40,59.89,1473856
2021-06-10,60.63,60.64,58.71,58.89,965520
2021-06-11,59.20,59.54,58.85,59.30,395176
2021-06-14,59.39,59.69,58.93,59.25,813982
2021-06-15,59.51,60.53,59.38,60.08,920932
2021-06-16,59.95,60.60,59.55,60.19,1214415
2021-06-17,60.49,60.88,57.38,58.45,1202279
2021-06-18,57.28,58.27,56.57,56.70,1327305
2021-06-21,57.47,59.21,57.47,59.02,891905
2021-06-22,59.13,59.80,58.45,59.12,1412896
2021-06-23,59.12,60.07,59.12,59.68,571901
2021-06-24,60.73,60.75,59.65,60.55,549546
2021-06-25,60.85,61.90,60.70,61.44,1578884
2021-06-28,61.44,61.77,59.58,59.81,926738
2021-06-29,60.25,60.46,59.37,59.70,868632
2021-06-30,59.20,60.38,59.20,59.91,1012942
2021-07-01,60.25,61.15,59.90,60.45,715082
2021-07-02,60.95,60.95,60.13,60.48,371820
2021-07-06,60.10,60.20,58.57,59.44,782568
2021-07-07,58.97,59.96,58.91,59.53,465096
2021-07-08,58.01,59.52,57.31,58.74,692390
2021-07-09,60.00,61.06,59.83,60.85,618386
2021-07-12,60.85,61.75,60.16,61.74,866249
2021-07-13,61.74,61.74,60.25,60.34,716632
2021-07-14,60.41,61.50,59.38,59.78,687322
2021-07-15,59.35,60.25,59.15,60.04,469890
2021-07-16,60.45,60.48,59.20,59.34,466326
2021-07-19,57.87,58.02,56.48,57.55,930687
2021-07-20,57.50,59.99,57.37,59.55,1274804
2021-07-21,60.22,61.24,60.22,61.01,1009930
2021-07-22,62.56,63.19,58.50,59.58,2243676
2021-07-23,60.56,61.60,60.50,61.51,1737429
2021-07-26,61.51,62.62,59.77,60.21,2067926
2021-07-27,59.68,61.09,59.48,60.88,1033159
2021-07-28,61.09,61.26,59.90,60.73,952064
2021-07-29,61.53,62.19,61.09,61.43,1114242
2021-07-30,59.68,61.09,59.57,61.00,5346153
2021-08-02,62.00,62.33,60.66,60.70,2234576
2021-08-03,61.00,61.39,59.34,60.87,1832045
2021-08-04,60.81,61.93,59.72,61.18,2735888
2021-08-05,57.75,58.61,57.45,58.35,1369891
2021-08-06,58.67,59.29,58.05,58.68,858015
2021-08-09,58.26,58.66,57.60,58.31,2086826
2021-08-10,58.73,59.70,58.40,59.65,1306954
2021-08-11,59.78,60.51,59.42,59.70,1503438
2021-08-12,58.00,58.57,57.66,57.99,3533060
2021-08-13,58.32,58.48,57.46,57.73,2006092
2021-08-16,57.37,58.18,56.96,57.77,1362018
2021-08-17,57.10,57.56,56.32,56.98,1607051
2021-08-18,56.72,57.14,55.91,56.42,1323533
2021-08-19,55.64,56.52,54.74,55.07,1546278
2021-08-20,54.97,55.70,54.34,55.48,1820722
2021-08-23,55.79,56.16,55.51,55.88,948138
2021-08-24,56.12,56.91,56.05,56.72,1095974
2021-08-25,56.87,57.84,56.37,57.20,1153492
2021-08-26,57.38,57.82,56.68,57.13,1595887
2021-08-27,57.13,59.18,57.13,59.18,1680565
2021-08-30,59.25,59.25,57.48,57.50,863464
2021-08-31,57.39,58.31,57.04,57.83,1214358
2021-09-01,57.80,58.07,56.75,56.85,2202403
2021-09-02,57.07,57.72,56.17,57.72,1141665
2021-09-03,57.63,57.63,56.55,56.85,665356
2021-09-07,56.79,57.45,56.27,56.30,931365
2021-09-08,56.25,56.37,55.56,56.22,1213642
2021-09-09,56.07,57.54,56.07,56.73,858905
2021-09-10,57.23,57.39,55.73,55.82,695489
2021-09-13,56.05,56.53,55.22,56.50,1020172
2021-09-14,56.37,56.70,54.92,55.13,937842
2021-09-15,55.41,56.36,55.01,56.19,847436
2021-09-16,56.32,56.78,55.46,55.52,663420
2021-09-17,55.41,56.23,55.20,55.53,1489743
2021-09-20,53.96,54.70,53.52,54.64,1282308
