date,open,high,low,close,volume
2021-01-04,28.06,28.30,27.70,27.99,6123
2021-01-05,27.71,28.09,27.55,27.90,12855
2021-01-06,27.72,27.81,27.55,27.71,18168
2021-01-07,27.39,27.50,27.23,27.36,11820
2021-01-08,27.50,27.53,27.25,27.41,10314
2021-01-11,27.27,27.27,27.06,27.06,4817
2021-01-12,27.15,27.19,26.42,26.60,29971
2021-01-13,26.96,27.06,26.65,27.06,19589
2021-01-14,26.89,27.28,26.89,27.19,6451
2021-01-15,27.14,27.43,27.14,27.39,3083
2021-01-19,27.20,27.93,27.20,27.93,15540
2021-01-20,27.79,27.91,27.50,27.76,9971
2021-01-21,27.85,28.07,27.85,28.04,7827
2021-01-22,28.04,28.04,27.46,27.46,10045
2021-01-25,27.72,27.83,27.52,27.65,8560
2021-01-26,27.75,27.95,27.46,27.71,8784
2021-01-27,27.65,27.66,27.21,27.34,8802
2021-01-28,27.34,27.43,27.08,27.43,3741
2021-01-29,27.48,27.48,27.12,27.36,5196
2021-02-01,27.44,27.55,27.41,27.55,13311
2021-02-02,27.50,27.70,27.50,27.70,5186
2021-02-03,27.68,27.74,27.67,27.67,3300
2021-02-04,27.38,27.78,27.38,27.69,8939
2021-02-05,27.65,27.74,27.43,27.47,3262
2021-02-08,27.60,27.67,27.51,27.51,543
2021-02-09,27.65,27.65,27.55,27.65,1276
2021-02-10,27.65,27.65,27.30,27.30,1371
2021-02-11,27.61,27.65,27.39,27.64,5514
2021-02-12,27.60,27.87,27.60,27.81,10620
2021-02-16,27.86,27.96,27.54,27.69,3060
2021-02-17,27.75,27.75,27.35,27.55,4379
2021-02-18,27.48,27.55,27.11,27.51,26694
2021-02-19,27.55,27.55,27.40,27.40,3808
2021-02-22,27.48,27.54,27.30,27.41,5812
2021-02-23,27.30,27.55,27.30,27.55,16534
2021-02-24,27.46,27.69,27.27,27.64,18503
2021-02-25,27.38,27.51,27.33,27.33,7430
2021-02-26,27.32,27.67,27.32,27.67,2423
2021-03-01,27.79,27.79,27.40,27.61,4350
2021-03-02,27.59,27.69,27.42,27.43,8746
2021-03-03,27.36,27.61,27.25,27.25,15010
2021-03-04,27.50,27.65,27.33,27.35,6991
2021-03-05,27.56,27.68,27.30,27.61,8102
2021-03-08,27.77,27.91,27.47,27.89,3350
2021-03-09,27.75,27.86,27.75,27.75,5736
2021-03-10,27.70,27.95,27.36,27.36,47734
2021-03-11,27.50,27.70,27.48,27.55,7723
2021-03-12,27.50,27.75,27.35,27.60,16341
2021-03-15,27.60,27.95,27.44,27.75,3133
2021-03-16,27.70,27.70,27.43,27.43,4661
2021-03-17,27.57,27.75,27.57,27.59,5384
2021-03-18,27.50,27.50,27.46,27.46,4200
2021-03-19,27.35,27.67,27.35,27.67,3907
2021-03-22,27.31,27.72,27.24,27.55,10054
2021-03-23,27.64,27.65,27.47,27.52,5410
2021-03-24,27.50,27.84,27.45,27.47,9179
2021-03-25,27.39,27.46,27.33,27.45,5026
2021-03-26,27.51,27.60,27.43,27.60,5329
2021-03-29,27.60,27.60,27.60,27.60,592
2021-03-30,27.37,27.65,27.37,27.50,9883
2021-03-31,27.75,27.88,27.47,27.69,8927
2021-04-01,27.47,27.92,27.47,27.92,4157
2021-04-05,27.89,27.92,27.57,27.57,4728
2021-04-06,27.59,27.88,27.50,27.66,14923
2021-04-07,27.75,27.75,27.55,27.55,12932
2021-04-08,27.65,27.70,27.58,27.60,6309
2021-04-09,27.51,27.88,27.51,27.78,2657
2021-04-12,27.60,27.90,27.60,27.90,5230
2021-04-13,27.90,27.98,27.77,27.84,11992
2021-04-14,27.59,27.99,27.56,27.75,11116
2021-04-15,27.83,27.90,27.75,27.85,9336
2021-04-16,27.85,28.06,27.80,27.90,12457
2021-04-19,28.00,28.00,27.91,27.91,4805
2021-04-20,27.95,28.00,27.90,28.00,6714
2021-04-21,27.87,28.00,27.87,28.00,4437
2021-04-22,27.84,28.00,27.84,28.00,3450
2021-04-23,27.89,28.08,27.84,28.05,5523
2021-04-26,28.05,28.41,27.96,28.41,4638
2021-04-27,27.73,28.01,27.73,27.90,7747
2021-04-28,28.39,28.39,28.39,28.39,675
2021-04-29,27.97,28.28,27.97,28.28,8997
2021-04-30,28.38,28.39,27.97,28.39,4072
2021-05-03,28.30,28.30,28.12,28.30,3018
2021-05-04,27.76,28.03,27.60,27.69,22888
2021-05-05,27.82,28.07,27.67,27.90,12309
2021-05-06,27.61,27.82,27.54,27.82,1027
2021-05-07,27.82,27.85,27.60,27.85,1120
2021-05-10,27.65,27.84,27.62,27.83,9017
2021-05-11,27.85,27.85,27.75,27.85,1737
2021-05-12,27.87,27.87,27.33,27.76,6848
2021-05-13,27.54,27.78,27.48,27.78,1473
2021-05-14,27.77,28.26,27.51,28.26,11502
2021-05-17,28.03,28.03,27.40,27.50,26948
2021-05-18,27.45,27.69,27.32,27.41,31661
2021-05-19,27.40,27.60,27.32,27.43,32639
2021-05-20,27.40,27.60,27.40,27.50,19905
2021-05-21,27.52,27.81,27.50,27.81,8639
2021-05-24,27.71,27.80,27.59,27.64,11341
2021-05-25,27.50,27.85,27.50,27.62,9621
2021-05-26,27.60,27.75,27.60,27.66,6257
2021-05-27,27.68,27.85,27.68,27.76,11516
2021-05-28,27.85,27.85,27.64,27.83,8661
2021-06-01,27.85,27.95,27.54,27.84,7855
2021-06-02,27.96,28.19,27.68,27.85,24692
2021-06-03,28.00,28.07,28.00,28.03,4712
2021-06-04,28.06,28.18,28.05,28.05,4233
2021-06-07,28.03,28.26,28.03,28.26,4123
2021-06-08,27.91,28.30,27.75,28.20,12243
2021-06-09,28.25,28.25,27.83,27.85,7602
2021-06-10,27.93,28.10,27.90,27.91,9022
2021-06-11,28.00,28.00,27.96,27.99,4743
2021-06-14,27.98,28.30,27.98,28.25,9440
2021-06-15,28.29,28.30,28.20,28.22,4703
2021-06-16,28.28,28.30,28.11,28.30,10182
2021-06-17,28.25,28.45,28.02,28.37,8933
2021-06-18,28.36,28.55,28.04,28.27,9239
2021-06-21,27.82,28.46,27.82,28.22,3421
2021-06-22,28.02,28.45,27.96,28.45,11553
2021-06-23,28.34,28.35,28.08,28.35,4673
2021-06-24,28.20,28.44,27.89,28.09,13315
2021-06-25,28.33,28.38,28.10,28.38,426
2021-06-28,28.38,28.38,28.07,28.07,3607
2021-06-29,28.21,28.21,28.15,28.15,373
2021-06-30,28.25,28.25,28.04,28.19,6435
2021-07-01,28.28,28.37,28.20,28.37,2619
2021-07-02,28.37,28.37,28.17,28.17,6063
2021-07-06,28.11,28.16,28.10,28.11,7388
2021-07-07,28.11,28.39,28.11,28.39,2559
